StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value
1,Alabama,1001,Autauga,2011,2015,125.3
1,Alabama,1001,Autauga,2012,2016,124.2
1,Alabama,1001,Autauga,2013,2017,122.8
1,Alabama,1001,Autauga,2014,2018,122.5
1,Alabama,1001,Autauga,2015,2019,125.8
1,Alabama,1001,Autauga,2016,2020,128.0
1,Alabama,1001,Autauga,2017,2021,163.2
1,Alabama,1003,Baldwin,2011,2015,123.5
1,Alabama,1003,Baldwin,2012,2016,125.9
1,Alabama,1003,Baldwin,2013,2017,123.0
1,Alabama,1003,Baldwin,2014,2018,122.0
1,Alabama,1003,Baldwin,2015,2019,122.1
1,Alabama,1003,Baldwin,2016,2020,121.0
1,Alabama,1003,Baldwin,2017,2021,154.7
1,Alabama,1005,Barbour,2011,2015,127.8
1,Alabama,1005,Barbour,2012,2016,123.9
1,Alabama,1005,Barbour,2013,2017,120.7
1,Alabama,1005,Barbour,2014,2018,117.4
1,Alabama,1005,Barbour,2015,2019,110.3
1,Alabama,1005,Barbour,2016,2020,105.6
1,Alabama,1005,Barbour,2017,2021,135.1
1,Alabama,1007,Bibb,2011,2015,129.2
1,Alabama,1007,Bibb,2012,2016,128.8
1,Alabama,1007,Bibb,2013,2017,126.8
1,Alabama,1007,Bibb,2014,2018,125.0
1,Alabama,1007,Bibb,2015,2019,127.7
1,Alabama,1007,Bibb,2016,2020,129.4
1,Alabama,1007,Bibb,2017,2021,164.7
1,Alabama,1009,Blount,2011,2015,123.9
1,Alabama,1009,Blount,2012,2016,126.0
1,Alabama,1009,Blount,2013,2017,125.6
1,Alabama,1009,Blount,2014,2018,124.3
1,Alabama,1009,Blount,2015,2019,125.2
1,Alabama,1009,Blount,2016,2020,124.2
1,Alabama,1009,Blount,2017,2021,156.3
1,Alabama,1011,Bullock,2011,2015,122.2
1,Alabama,1011,Bullock,2012,2016,121.0
1,Alabama,1011,Bullock,2013,2017,121.2
1,Alabama,1011,Bullock,2014,2018,121.8
1,Alabama,1011,Bullock,2015,2019,122.4
1,Alabama,1011,Bullock,2016,2020,123.8
1,Alabama,1011,Bullock,2017,2021,158.5
1,Alabama,1013,Butler,2011,2015,133.7
1,Alabama,1013,Butler,2012,2016,136.2
1,Alabama,1013,Butler,2013,2017,134.8
1,Alabama,1013,Butler,2014,2018,135.5
1,Alabama,1013,Butler,2015,2019,133.7
1,Alabama,1013,Butler,2016,2020,125.3
1,Alabama,1013,Butler,2017,2021,153.3
1,Alabama,1015,Calhoun,2011,2015,113.8
1,Alabama,1015,Calhoun,2012,2016,117.4
1,Alabama,1015,Calhoun,2013,2017,115.6
1,Alabama,1015,Calhoun,2014,2018,114.0
1,Alabama,1015,Calhoun,2015,2019,116.8
1,Alabama,1015,Calhoun,2016,2020,115.0
1,Alabama,1015,Calhoun,2017,2021,146.1
1,Alabama,1017,Chambers,2011,2015,119.9
1,Alabama,1017,Chambers,2012,2016,115.3
1,Alabama,1017,Chambers,2013,2017,115.2
1,Alabama,1017,Chambers,2014,2018,109.8
1,Alabama,1017,Chambers,2015,2019,112.2
1,Alabama,1017,Chambers,2016,2020,113.1
1,Alabama,1017,Chambers,2017,2021,149.5
1,Alabama,1019,Cherokee,2011,2015,110.2
1,Alabama,1019,Cherokee,2012,2016,110.8
1,Alabama,1019,Cherokee,2013,2017,110.6
1,Alabama,1019,Cherokee,2014,2018,110.0
1,Alabama,1019,Cherokee,2015,2019,111.3
1,Alabama,1019,Cherokee,2016,2020,108.0
1,Alabama,1019,Cherokee,2017,2021,136.2
1,Alabama,1021,Chilton,2011,2015,125.4
1,Alabama,1021,Chilton,2012,2016,123.6
1,Alabama,1021,Chilton,2013,2017,120.1
1,Alabama,1021,Chilton,2014,2018,118.4
1,Alabama,1021,Chilton,2015,2019,124.6
1,Alabama,1021,Chilton,2016,2020,127.0
1,Alabama,1021,Chilton,2017,2021,162.9
1,Alabama,1023,Choctaw,2011,2015,114.1
1,Alabama,1023,Choctaw,2012,2016,115.7
1,Alabama,1023,Choctaw,2013,2017,112.8
1,Alabama,1023,Choctaw,2014,2018,114.5
1,Alabama,1023,Choctaw,2015,2019,116.8
1,Alabama,1023,Choctaw,2016,2020,115.0
1,Alabama,1023,Choctaw,2017,2021,147.8
1,Alabama,1025,Clarke,2011,2015,125.2
1,Alabama,1025,Clarke,2012,2016,128.0
1,Alabama,1025,Clarke,2013,2017,128.7
1,Alabama,1025,Clarke,2014,2018,129.2
1,Alabama,1025,Clarke,2015,2019,127.7
1,Alabama,1025,Clarke,2016,2020,125.7
1,Alabama,1025,Clarke,2017,2021,165.7
1,Alabama,1027,Clay,2011,2015,107.7
1,Alabama,1027,Clay,2012,2016,111.5
1,Alabama,1027,Clay,2013,2017,108.0
1,Alabama,1027,Clay,2014,2018,105.9
1,Alabama,1027,Clay,2015,2019,113.2
1,Alabama,1027,Clay,2016,2020,116.7
1,Alabama,1027,Clay,2017,2021,151.4
1,Alabama,1029,Cleburne,2011,2015,112.3
1,Alabama,1029,Cleburne,2012,2016,113.4
1,Alabama,1029,Cleburne,2013,2017,113.0
1,Alabama,1029,Cleburne,2014,2018,112.6
1,Alabama,1029,Cleburne,2015,2019,112.1
1,Alabama,1029,Cleburne,2016,2020,112.1
1,Alabama,1029,Cleburne,2017,2021,142.7
1,Alabama,1031,Coffee,2011,2015,126.4
1,Alabama,1031,Coffee,2012,2016,128.1
1,Alabama,1031,Coffee,2013,2017,127.3
1,Alabama,1031,Coffee,2014,2018,124.3
1,Alabama,1031,Coffee,2015,2019,120.3
1,Alabama,1031,Coffee,2016,2020,111.1
1,Alabama,1031,Coffee,2017,2021,139.5
1,Alabama,1033,Colbert,2011,2015,110.0
1,Alabama,1033,Colbert,2012,2016,110.7
1,Alabama,1033,Colbert,2013,2017,113.5
1,Alabama,1033,Colbert,2014,2018,118.8
1,Alabama,1033,Colbert,2015,2019,123.1
1,Alabama,1033,Colbert,2016,2020,128.7
1,Alabama,1033,Colbert,2017,2021,154.2
1,Alabama,1035,Conecuh,2011,2015,132.7
1,Alabama,1035,Conecuh,2012,2016,138.0
1,Alabama,1035,Conecuh,2013,2017,135.3
1,Alabama,1035,Conecuh,2014,2018,129.7
1,Alabama,1035,Conecuh,2015,2019,122.9
1,Alabama,1035,Conecuh,2016,2020,116.8
1,Alabama,1035,Conecuh,2017,2021,139.0
1,Alabama,1037,Coosa,2011,2015,115.3
1,Alabama,1037,Coosa,2012,2016,116.7
1,Alabama,1037,Coosa,2013,2017,114.4
1,Alabama,1037,Coosa,2014,2018,113.9
1,Alabama,1037,Coosa,2015,2019,122.2
1,Alabama,1037,Coosa,2016,2020,126.1
1,Alabama,1037,Coosa,2017,2021,163.8
1,Alabama,1039,Covington,2011,2015,121.5
1,Alabama,1039,Covington,2012,2016,122.8
1,Alabama,1039,Covington,2013,2017,121.4
1,Alabama,1039,Covington,2014,2018,117.2
1,Alabama,1039,Covington,2015,2019,114.1
1,Alabama,1039,Covington,2016,2020,108.4
1,Alabama,1039,Covington,2017,2021,134.4
1,Alabama,1041,Crenshaw,2011,2015,123.9
