StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value
1,Alabama,1001,Autauga,2011,2015,4.78
1,Alabama,1001,Autauga,2012,2016,4.68
1,Alabama,1001,Autauga,2013,2017,4.5
1,Alabama,1001,Autauga,2014,2018,4.22
1,Alabama,1001,Autauga,2015,2019,4.23
1,Alabama,1001,Autauga,2016,2020,4.06
1,Alabama,1001,Autauga,2017,2021,5.02
1,Alabama,1003,Baldwin,2011,2015,5.55
1,Alabama,1003,Baldwin,2012,2016,5.15
1,Alabama,1003,Baldwin,2013,2017,5.22
1,Alabama,1003,Baldwin,2014,2018,5.11
1,Alabama,1003,Baldwin,2015,2019,5.12
1,Alabama,1003,Baldwin,2016,2020,4.96
1,Alabama,1003,Baldwin,2017,2021,6.32
1,Alabama,1005,Barbour,2011,2015,5.25
1,Alabama,1005,Barbour,2012,2016,5.03
1,Alabama,1005,Barbour,2013,2017,4.53
1,Alabama,1005,Barbour,2014,2018,3.95
1,Alabama,1005,Barbour,2015,2019,3.94
1,Alabama,1005,Barbour,2016,2020,4.12
1,Alabama,1005,Barbour,2017,2021,5.36
1,Alabama,1007,Bibb,2011,2015,3.63
1,Alabama,1007,Bibb,2012,2016,3.56
1,Alabama,1007,Bibb,2013,2017,3.71
1,Alabama,1007,Bibb,2014,2018,3.69
1,Alabama,1007,Bibb,2015,2019,3.71
1,Alabama,1007,Bibb,2016,2020,3.82
1,Alabama,1007,Bibb,2017,2021,4.81
1,Alabama,1009,Blount,2011,2015,4.08
1,Alabama,1009,Blount,2012,2016,3.91
1,Alabama,1009,Blount,2013,2017,4.1
1,Alabama,1009,Blount,2014,2018,4.21
1,Alabama,1009,Blount,2015,2019,4.42
1,Alabama,1009,Blount,2016,2020,4.57
1,Alabama,1009,Blount,2017,2021,5.67
1,Alabama,1011,Bullock,2011,2015,4.59
1,Alabama,1011,Bullock,2012,2016,4.49
1,Alabama,1011,Bullock,2013,2017,4.05
1,Alabama,1011,Bullock,2014,2018,3.87
1,Alabama,1011,Bullock,2015,2019,4.01
1,Alabama,1011,Bullock,2016,2020,3.99
1,Alabama,1011,Bullock,2017,2021,5.19
1,Alabama,1013,Butler,2011,2015,5.59
1,Alabama,1013,Butler,2012,2016,5.89
1,Alabama,1013,Butler,2013,2017,5.67
1,Alabama,1013,Butler,2014,2018,4.55
1,Alabama,1013,Butler,2015,2019,4.63
1,Alabama,1013,Butler,2016,2020,4.44
1,Alabama,1013,Butler,2017,2021,5.12
1,Alabama,1015,Calhoun,2011,2015,5.39
1,Alabama,1015,Calhoun,2012,2016,5.24
1,Alabama,1015,Calhoun,2013,2017,5.3
1,Alabama,1015,Calhoun,2014,2018,5.34
1,Alabama,1015,Calhoun,2015,2019,5.47
1,Alabama,1015,Calhoun,2016,2020,5.14
1,Alabama,1015,Calhoun,2017,2021,6.18
1,Alabama,1017,Chambers,2011,2015,4.83
1,Alabama,1017,Chambers,2012,2016,4.83
1,Alabama,1017,Chambers,2013,2017,5.08
1,Alabama,1017,Chambers,2014,2018,4.49
1,Alabama,1017,Chambers,2015,2019,4.36
1,Alabama,1017,Chambers,2016,2020,4.41
1,Alabama,1017,Chambers,2017,2021,5.03
1,Alabama,1019,Cherokee,2011,2015,5.73
1,Alabama,1019,Cherokee,2012,2016,5.2
1,Alabama,1019,Cherokee,2013,2017,5.02
1,Alabama,1019,Cherokee,2014,2018,5.15
1,Alabama,1019,Cherokee,2015,2019,5.2
1,Alabama,1019,Cherokee,2016,2020,4.89
1,Alabama,1019,Cherokee,2017,2021,6.57
1,Alabama,1021,Chilton,2011,2015,4.39
1,Alabama,1021,Chilton,2012,2016,4.14
1,Alabama,1021,Chilton,2013,2017,4.11
1,Alabama,1021,Chilton,2014,2018,3.74
1,Alabama,1021,Chilton,2015,2019,3.64
1,Alabama,1021,Chilton,2016,2020,3.38
1,Alabama,1021,Chilton,2017,2021,4.37
1,Alabama,1023,Choctaw,2011,2015,5.07
1,Alabama,1023,Choctaw,2012,2016,4.97
1,Alabama,1023,Choctaw,2013,2017,4.46
1,Alabama,1023,Choctaw,2014,2018,4.69
1,Alabama,1023,Choctaw,2015,2019,4.78
1,Alabama,1023,Choctaw,2016,2020,4.8
1,Alabama,1023,Choctaw,2017,2021,6.68
1,Alabama,1025,Clarke,2011,2015,5.66
1,Alabama,1025,Clarke,2012,2016,5.43
1,Alabama,1025,Clarke,2013,2017,5.28
1,Alabama,1025,Clarke,2014,2018,5.32
1,Alabama,1025,Clarke,2015,2019,5.49
1,Alabama,1025,Clarke,2016,2020,5.65
1,Alabama,1025,Clarke,2017,2021,7.67
1,Alabama,1027,Clay,2011,2015,4.37
1,Alabama,1027,Clay,2012,2016,4.83
1,Alabama,1027,Clay,2013,2017,5.35
1,Alabama,1027,Clay,2014,2018,5.23
1,Alabama,1027,Clay,2015,2019,5.3
1,Alabama,1027,Clay,2016,2020,5.57
1,Alabama,1027,Clay,2017,2021,6.24
1,Alabama,1029,Cleburne,2011,2015,5.76
1,Alabama,1029,Cleburne,2012,2016,5.47
1,Alabama,1029,Cleburne,2013,2017,5.64
1,Alabama,1029,Cleburne,2014,2018,5.52
1,Alabama,1029,Cleburne,2015,2019,5.36
1,Alabama,1029,Cleburne,2016,2020,5.04
1,Alabama,1029,Cleburne,2017,2021,6.54
1,Alabama,1031,Coffee,2011,2015,5.08
1,Alabama,1031,Coffee,2012,2016,4.88
1,Alabama,1031,Coffee,2013,2017,4.87
1,Alabama,1031,Coffee,2014,2018,4.62
1,Alabama,1031,Coffee,2015,2019,4.42
1,Alabama,1031,Coffee,2016,2020,4.12
1,Alabama,1031,Coffee,2017,2021,5.3
1,Alabama,1033,Colbert,2011,2015,4.51
1,Alabama,1033,Colbert,2012,2016,5.29
1,Alabama,1033,Colbert,2013,2017,4.77
1,Alabama,1033,Colbert,2014,2018,5.02
1,Alabama,1033,Colbert,2015,2019,4.82
1,Alabama,1033,Colbert,2016,2020,4.86
1,Alabama,1033,Colbert,2017,2021,5.63
1,Alabama,1035,Conecuh,2011,2015,5.14
1,Alabama,1035,Conecuh,2012,2016,5.84
1,Alabama,1035,Conecuh,2013,2017,5.9
1,Alabama,1035,Conecuh,2014,2018,5.54
1,Alabama,1035,Conecuh,2015,2019,5.52
1,Alabama,1035,Conecuh,2016,2020,4.83
1,Alabama,1035,Conecuh,2017,2021,4.96
1,Alabama,1037,Coosa,2011,2015,4.06
1,Alabama,1037,Coosa,2012,2016,4.05
1,Alabama,1037,Coosa,2013,2017,4.29
1,Alabama,1037,Coosa,2014,2018,4.04
1,Alabama,1037,Coosa,2015,2019,4.04
1,Alabama,1037,Coosa,2016,2020,4.12
1,Alabama,1037,Coosa,2017,2021,4.89
1,Alabama,1039,Covington,2011,2015,4.88
1,Alabama,1039,Covington,2012,2016,5.1
1,Alabama,1039,Covington,2013,2017,5.06
1,Alabama,1039,Covington,2014,2018,5.19
1,Alabama,1039,Covington,2015,2019,5.09
1,Alabama,1039,Covington,2016,2020,4.65
1,Alabama,1039,Covington,2017,2021,5.42
1,Alabama,1041,Crenshaw,2011,2015,4.58
1,Alabama,1041,Crenshaw,2012,2016,4.82
1,Alabama,1041,Crenshaw,2013,2017,4.51
1,Alabama,1041,Crenshaw,2014,2018,4.18
1,Alabama,1041,Crenshaw,2015,2019,4.09
1,Alabama,1041,Crenshaw,2016,2020,4.09
1,Alabama,1041,Crenshaw,2017,2021,4.95
1,Alabama,1043,Cullman,2011,2015,4.24
1,Alabama,1043,Cullman,2012,2016,4.31
1,Alabama,1043,Cullman,2013,2017,4.94
1,Alabama,1043,Cullman,2014,2018,5.04
1,Alabama,1043,Cullman,2015,2019,5.34
1,Alabama,1043,Cullman,2016,2020,5.39
1,Alabama,1043,Cullman,2017,2021,6.83
1,Alabama,1045,Dale,2011,2015,4.57
1,Alabama,1045,Dale,2012,2016,4.34
1,Alabama,1045,Dale,2013,2017,4.28
1,Alabama,1045,Dale,2014,2018,4.53
1,Alabama,1045,Dale,2015,2019,4.3
1,Alabama,1045,Dale,2016,2020,4.43
1,Alabama,1045,Dale,2017,2021,5.58
1,Alabama,1047,Dallas,2011,2015,5.28
1,Alabama,1047,Dallas,2012,2016,4.95
1,Alabama,1047,Dallas,2013,2017,4.71
1,Alabama,1047,Dallas,2014,2018,4.07
1,Alabama,1047,Dallas,2015,2019,4.12
1,Alabama,1047,Dallas,2016,2020,3.89
1,Alabama,1047,Dallas,2017,2021,4.99
1,Alabama,1049,DeKalb,2011,2015,5.32
1,Alabama,1049,DeKalb,2012,2016,5.16
1,Alabama,1049,DeKalb,2013,2017,5.14
1,Alabama,1049,DeKalb,2014,2018,5.37
1,Alabama,1049,DeKalb,2015,2019,5.55
1,Alabama,1049,DeKalb,2016,2020,5.38
1,Alabama,1049,DeKalb,2017,2021,6.93
1,Alabama,1051,Elmore,2011,2015,4.6
1,Alabama,1051,Elmore,2012,2016,4.48
1,Alabama,1051,Elmore,2013,2017,4.44
1,Alabama,1051,Elmore,2014,2018,4.34
1,Alabama,1051,Elmore,2015,2019,4.25
1,Alabama,1051,Elmore,2016,2020,4.24
1,Alabama,1051,Elmore,2017,2021,5.22
1,Alabama,1053,Escambia,2011,2015,5.3
1,Alabama,1053,Escambia,2012,2016,5.36
1,Alabama,1053,Escambia,2013,2017,5.53
1,Alabama,1053,Escambia,2014,2018,5.41
1,Alabama,1053,Escambia,2015,2019,5.69
1,Alabama,1053,Escambia,2016,2020,5.59
1,Alabama,1053,Escambia,2017,2021,6.87
1,Alabama,1055,Etowah,2011,2015,5.22
1,Alabama,1055,Etowah,2012,2016,4.82
1,Alabama,1055,Etowah,2013,2017,5.02
1,Alabama,1055,Etowah,2014,2018,5.1
1,Alabama,1055,Etowah,2015,2019,5.31
1,Alabama,1055,Etowah,2016,2020,5.15
1,Alabama,1055,Etowah,2017,2021,6.67
1,Alabama,1057,Fayette,2011,2015,4.02
1,Alabama,1057,Fayette,2012,2016,4.5
1,Alabama,1057,Fayette,2013,2017,4.34
1,Alabama,1057,Fayette,2014,2018,4.66
1,Alabama,1057,Fayette,2015,2019,4.94
1,Alabama,1057,Fayette,2016,2020,4.57
1,Alabama,1057,Fayette,2017,2021,5.21
1,Alabama,1059,Franklin,2011,2015,4.69
1,Alabama,1059,Franklin,2012,2016,5.02
1,Alabama,1059,Franklin,2013,2017,4.81
1,Alabama,1059,Franklin,2014,2018,5.08
1,Alabama,1059,Franklin,2015,2019,4.5
1,Alabama,1059,Franklin,2016,2020,4.38
1,Alabama,1059,Franklin,2017,2021,5.14
1,Alabama,1061,Geneva,2011,2015,4.25
1,Alabama,1061,Geneva,2012,2016,4.16
1,Alabama,1061,Geneva,2013,2017,4.36
1,Alabama,1061,Geneva,2014,2018,4.41
1,Alabama,1061,Geneva,2015,2019,4.5
1,Alabama,1061,Geneva,2016,2020,4.28
1,Alabama,1061,Geneva,2017,2021,5.0
1,Alabama,1063,Greene,2011,2015,4.24
1,Alabama,1063,Greene,2012,2016,4.22
1,Alabama,1063,Greene,2013,2017,4.4
1,Alabama,1063,Greene,2014,2018,4.48
1,Alabama,1063,Greene,2015,2019,4.7
1,Alabama,1063,Greene,2016,2020,4.62
1,Alabama,1063,Greene,2017,2021,5.53
1,Alabama,1065,Hale,2011,2015,4.28
1,Alabama,1065,Hale,2012,2016,4.14
1,Alabama,1065,Hale,2013,2017,4.4
1,Alabama,1065,Hale,2014,2018,4.27
1,Alabama,1065,Hale,2015,2019,4.54
1,Alabama,1065,Hale,2016,2020,4.51
1,Alabama,1065,Hale,2017,2021,5.39
