StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value
1,Alabama,1001,Autauga,2011,2015,17.68
1,Alabama,1001,Autauga,2012,2016,18.86
1,Alabama,1001,Autauga,2013,2017,17.98
1,Alabama,1001,Autauga,2014,2018,18.48
1,Alabama,1001,Autauga,2015,2019,19.15
1,Alabama,1001,Autauga,2016,2020,19.37
1,Alabama,1001,Autauga,2017,2021,23.88
1,Alabama,1003,Baldwin,2011,2015,16.87
1,Alabama,1003,Baldwin,2012,2016,17.42
1,Alabama,1003,Baldwin,2013,2017,18.42
1,Alabama,1003,Baldwin,2014,2018,18.92
1,Alabama,1003,Baldwin,2015,2019,19.65
1,Alabama,1003,Baldwin,2016,2020,19.36
1,Alabama,1003,Baldwin,2017,2021,25.62
1,Alabama,1005,Barbour,2011,2015,18.8
1,Alabama,1005,Barbour,2012,2016,20.33
1,Alabama,1005,Barbour,2013,2017,18.39
1,Alabama,1005,Barbour,2014,2018,17.9
1,Alabama,1005,Barbour,2015,2019,18.73
1,Alabama,1005,Barbour,2016,2020,17.21
1,Alabama,1005,Barbour,2017,2021,19.98
1,Alabama,1007,Bibb,2011,2015,17.35
1,Alabama,1007,Bibb,2012,2016,17.35
1,Alabama,1007,Bibb,2013,2017,17.62
1,Alabama,1007,Bibb,2014,2018,17.43
1,Alabama,1007,Bibb,2015,2019,17.5
1,Alabama,1007,Bibb,2016,2020,17.18
1,Alabama,1007,Bibb,2017,2021,21.37
1,Alabama,1009,Blount,2011,2015,16.64
1,Alabama,1009,Blount,2012,2016,16.63
1,Alabama,1009,Blount,2013,2017,16.77
1,Alabama,1009,Blount,2014,2018,16.87
1,Alabama,1009,Blount,2015,2019,16.81
1,Alabama,1009,Blount,2016,2020,16.88
1,Alabama,1009,Blount,2017,2021,22.05
1,Alabama,1011,Bullock,2011,2015,17.36
1,Alabama,1011,Bullock,2012,2016,18.7
1,Alabama,1011,Bullock,2013,2017,17.58
1,Alabama,1011,Bullock,2014,2018,17.79
1,Alabama,1011,Bullock,2015,2019,18.12
1,Alabama,1011,Bullock,2016,2020,18.03
1,Alabama,1011,Bullock,2017,2021,22.31
1,Alabama,1013,Butler,2011,2015,16.96
1,Alabama,1013,Butler,2012,2016,17.75
1,Alabama,1013,Butler,2013,2017,18.96
1,Alabama,1013,Butler,2014,2018,19.61
1,Alabama,1013,Butler,2015,2019,20.7
1,Alabama,1013,Butler,2016,2020,20.7
1,Alabama,1013,Butler,2017,2021,23.35
1,Alabama,1015,Calhoun,2011,2015,15.65
1,Alabama,1015,Calhoun,2012,2016,16.21
1,Alabama,1015,Calhoun,2013,2017,16.13
1,Alabama,1015,Calhoun,2014,2018,16.75
1,Alabama,1015,Calhoun,2015,2019,17.83
1,Alabama,1015,Calhoun,2016,2020,18.23
1,Alabama,1015,Calhoun,2017,2021,24.63
1,Alabama,1017,Chambers,2011,2015,17.65
1,Alabama,1017,Chambers,2012,2016,17.98
1,Alabama,1017,Chambers,2013,2017,18.37
1,Alabama,1017,Chambers,2014,2018,17.9
1,Alabama,1017,Chambers,2015,2019,18.34
1,Alabama,1017,Chambers,2016,2020,18.31
1,Alabama,1017,Chambers,2017,2021,22.27
1,Alabama,1019,Cherokee,2011,2015,17.5
1,Alabama,1019,Cherokee,2012,2016,17.72
1,Alabama,1019,Cherokee,2013,2017,17.23
1,Alabama,1019,Cherokee,2014,2018,17.96
1,Alabama,1019,Cherokee,2015,2019,18.48
1,Alabama,1019,Cherokee,2016,2020,18.67
1,Alabama,1019,Cherokee,2017,2021,24.34
1,Alabama,1021,Chilton,2011,2015,18.03
1,Alabama,1021,Chilton,2012,2016,19.35
1,Alabama,1021,Chilton,2013,2017,18.12
1,Alabama,1021,Chilton,2014,2018,18.0
1,Alabama,1021,Chilton,2015,2019,18.63
1,Alabama,1021,Chilton,2016,2020,18.1
1,Alabama,1021,Chilton,2017,2021,21.51
1,Alabama,1023,Choctaw,2011,2015,17.92
1,Alabama,1023,Choctaw,2012,2016,18.0
1,Alabama,1023,Choctaw,2013,2017,18.57
1,Alabama,1023,Choctaw,2014,2018,18.67
1,Alabama,1023,Choctaw,2015,2019,17.94
1,Alabama,1023,Choctaw,2016,2020,17.44
1,Alabama,1023,Choctaw,2017,2021,21.92
1,Alabama,1025,Clarke,2011,2015,15.72
1,Alabama,1025,Clarke,2012,2016,16.91
1,Alabama,1025,Clarke,2013,2017,17.48
1,Alabama,1025,Clarke,2014,2018,18.38
1,Alabama,1025,Clarke,2015,2019,18.35
1,Alabama,1025,Clarke,2016,2020,18.34
1,Alabama,1025,Clarke,2017,2021,23.17
1,Alabama,1027,Clay,2011,2015,16.83
1,Alabama,1027,Clay,2012,2016,18.85
1,Alabama,1027,Clay,2013,2017,19.51
1,Alabama,1027,Clay,2014,2018,18.34
1,Alabama,1027,Clay,2015,2019,18.76
1,Alabama,1027,Clay,2016,2020,20.07
1,Alabama,1027,Clay,2017,2021,23.11
1,Alabama,1029,Cleburne,2011,2015,16.97
1,Alabama,1029,Cleburne,2012,2016,17.71
1,Alabama,1029,Cleburne,2013,2017,18.45
1,Alabama,1029,Cleburne,2014,2018,18.74
