StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value
1,Alabama,1001,Autauga,2011,2015,14.15
1,Alabama,1001,Autauga,2012,2016,13.83
1,Alabama,1001,Autauga,2013,2017,13.11
1,Alabama,1001,Autauga,2014,2018,13.66
1,Alabama,1001,Autauga,2015,2019,14.27
1,Alabama,1001,Autauga,2016,2020,13.59
1,Alabama,1001,Autauga,2017,2021,18.74
1,Alabama,1003,Baldwin,2011,2015,13.08
1,Alabama,1003,Baldwin,2012,2016,13.31
1,Alabama,1003,Baldwin,2013,2017,12.89
1,Alabama,1003,Baldwin,2014,2018,13.25
1,Alabama,1003,Baldwin,2015,2019,13.83
1,Alabama,1003,Baldwin,2016,2020,13.66
1,Alabama,1003,Baldwin,2017,2021,16.62
1,Alabama,1005,Barbour,2011,2015,13.27
1,Alabama,1005,Barbour,2012,2016,14.43
1,Alabama,1005,Barbour,2013,2017,14.98
1,Alabama,1005,Barbour,2014,2018,15.32
1,Alabama,1005,Barbour,2015,2019,14.82
1,Alabama,1005,Barbour,2016,2020,14.8
1,Alabama,1005,Barbour,2017,2021,17.03
1,Alabama,1007,Bibb,2011,2015,13.53
1,Alabama,1007,Bibb,2012,2016,13.12
1,Alabama,1007,Bibb,2013,2017,12.71
1,Alabama,1007,Bibb,2014,2018,12.64
1,Alabama,1007,Bibb,2015,2019,12.7
1,Alabama,1007,Bibb,2016,2020,12.44
1,Alabama,1007,Bibb,2017,2021,15.93
1,Alabama,1009,Blount,2011,2015,13.31
1,Alabama,1009,Blount,2012,2016,12.83
1,Alabama,1009,Blount,2013,2017,12.93
1,Alabama,1009,Blount,2014,2018,12.85
1,Alabama,1009,Blount,2015,2019,13.09
1,Alabama,1009,Blount,2016,2020,13.2
1,Alabama,1009,Blount,2017,2021,16.7
1,Alabama,1011,Bullock,2011,2015,14.52
1,Alabama,1011,Bullock,2012,2016,13.85
1,Alabama,1011,Bullock,2013,2017,13.91
1,Alabama,1011,Bullock,2014,2018,14.25
1,Alabama,1011,Bullock,2015,2019,14.06
1,Alabama,1011,Bullock,2016,2020,13.28
1,Alabama,1011,Bullock,2017,2021,16.94
1,Alabama,1013,Butler,2011,2015,13.3
1,Alabama,1013,Butler,2012,2016,13.1
1,Alabama,1013,Butler,2013,2017,13.19
1,Alabama,1013,Butler,2014,2018,14.1
1,Alabama,1013,Butler,2015,2019,14.45
1,Alabama,1013,Butler,2016,2020,14.1
1,Alabama,1013,Butler,2017,2021,17.14
1,Alabama,1015,Calhoun,2011,2015,11.61
1,Alabama,1015,Calhoun,2012,2016,11.93
1,Alabama,1015,Calhoun,2013,2017,12.42
1,Alabama,1015,Calhoun,2014,2018,12.97
1,Alabama,1015,Calhoun,2015,2019,13.73
