StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value
1,Alabama,1001,Autauga,2011,2015,133.46
1,Alabama,1001,Autauga,2012,2016,132.71
1,Alabama,1001,Autauga,2013,2017,146.37
1,Alabama,1001,Autauga,2014,2018,142.92
1,Alabama,1001,Autauga,2015,2019,150.74
1,Alabama,1001,Autauga,2016,2020,150.37
1,Alabama,1001,Autauga,2017,2021,190.0
1,Alabama,1003,Baldwin,2011,2015,115.29
1,Alabama,1003,Baldwin,2012,2016,110.14
1,Alabama,1003,Baldwin,2013,2017,107.55
1,Alabama,1003,Baldwin,2014,2018,102.48
1,Alabama,1003,Baldwin,2015,2019,105.07
1,Alabama,1003,Baldwin,2016,2020,100.27
1,Alabama,1003,Baldwin,2017,2021,130.39
1,Alabama,1005,Barbour,2011,2015,125.33
1,Alabama,1005,Barbour,2012,2016,122.61
1,Alabama,1005,Barbour,2013,2017,123.26
1,Alabama,1005,Barbour,2014,2018,125.83
1,Alabama,1005,Barbour,2015,2019,131.42
1,Alabama,1005,Barbour,2016,2020,132.31
1,Alabama,1005,Barbour,2017,2021,157.35
1,Alabama,1007,Bibb,2011,2015,149.04
1,Alabama,1007,Bibb,2012,2016,147.05
1,Alabama,1007,Bibb,2013,2017,148.96
1,Alabama,1007,Bibb,2014,2018,151.85
1,Alabama,1007,Bibb,2015,2019,151.32
1,Alabama,1007,Bibb,2016,2020,148.42
1,Alabama,1007,Bibb,2017,2021,175.34
1,Alabama,1009,Blount,2011,2015,133.91
1,Alabama,1009,Blount,2012,2016,133.68
1,Alabama,1009,Blount,2013,2017,131.74
1,Alabama,1009,Blount,2014,2018,132.5
1,Alabama,1009,Blount,2015,2019,135.02
1,Alabama,1009,Blount,2016,2020,131.95
1,Alabama,1009,Blount,2017,2021,158.02
1,Alabama,1011,Bullock,2011,2015,138.78
1,Alabama,1011,Bullock,2012,2016,136.91
1,Alabama,1011,Bullock,2013,2017,144.76
1,Alabama,1011,Bullock,2014,2018,142.27
1,Alabama,1011,Bullock,2015,2019,152.48
1,Alabama,1011,Bullock,2016,2020,151.9
1,Alabama,1011,Bullock,2017,2021,190.87
1,Alabama,1013,Butler,2011,2015,116.97
1,Alabama,1013,Butler,2012,2016,111.89
1,Alabama,1013,Butler,2013,2017,113.76
1,Alabama,1013,Butler,2014,2018,112.83
1,Alabama,1013,Butler,2015,2019,120.22
1,Alabama,1013,Butler,2016,2020,117.09
1,Alabama,1013,Butler,2017,2021,151.56
1,Alabama,1015,Calhoun,2011,2015,119.39
1,Alabama,1015,Calhoun,2012,2016,112.3
1,Alabama,1015,Calhoun,2013,2017,110.63
1,Alabama,1015,Calhoun,2014,2018,112.32
1,Alabama,1015,Calhoun,2015,2019,115.07
1,Alabama,1015,Calhoun,2016,2020,113.62
1,Alabama,1015,Calhoun,2017,2021,144.91
1,Alabama,1017,Chambers,2011,2015,130.18
1,Alabama,1017,Chambers,2012,2016,122.75
1,Alabama,1017,Chambers,2013,2017,119.39
1,Alabama,1017,Chambers,2014,2018,121.43
1,Alabama,1017,Chambers,2015,2019,127.57
1,Alabama,1017,Chambers,2016,2020,119.54
1,Alabama,1017,Chambers,2017,2021,152.35
1,Alabama,1019,Cherokee,2011,2015,116.23
1,Alabama,1019,Cherokee,2012,2016,105.41
1,Alabama,1019,Cherokee,2013,2017,102.42
1,Alabama,1019,Cherokee,2014,2018,101.48
1,Alabama,1019,Cherokee,2015,2019,106.22
1,Alabama,1019,Cherokee,2016,2020,103.89
1,Alabama,1019,Cherokee,2017,2021,136.06
1,Alabama,1021,Chilton,2011,2015,130.56
1,Alabama,1021,Chilton,2012,2016,129.6
1,Alabama,1021,Chilton,2013,2017,138.7
1,Alabama,1021,Chilton,2014,2018,140.73
1,Alabama,1021,Chilton,2015,2019,141.86
1,Alabama,1021,Chilton,2016,2020,138.03
1,Alabama,1021,Chilton,2017,2021,164.58
1,Alabama,1023,Choctaw,2011,2015,130.22
1,Alabama,1023,Choctaw,2012,2016,133.4
1,Alabama,1023,Choctaw,2013,2017,142.23
1,Alabama,1023,Choctaw,2014,2018,146.03
1,Alabama,1023,Choctaw,2015,2019,153.83
1,Alabama,1023,Choctaw,2016,2020,149.22
1,Alabama,1023,Choctaw,2017,2021,178.42
1,Alabama,1025,Clarke,2011,2015,111.4
1,Alabama,1025,Clarke,2012,2016,106.67
1,Alabama,1025,Clarke,2013,2017,106.14
1,Alabama,1025,Clarke,2014,2018,104.69
1,Alabama,1025,Clarke,2015,2019,107.36
1,Alabama,1025,Clarke,2016,2020,101.73
1,Alabama,1025,Clarke,2017,2021,132.39
1,Alabama,1027,Clay,2011,2015,114.78
1,Alabama,1027,Clay,2012,2016,105.84
1,Alabama,1027,Clay,2013,2017,105.58
1,Alabama,1027,Clay,2014,2018,105.04
1,Alabama,1027,Clay,2015,2019,111.22
1,Alabama,1027,Clay,2016,2020,112.09
1,Alabama,1027,Clay,2017,2021,144.06
1,Alabama,1029,Cleburne,2011,2015,116.69
1,Alabama,1029,Cleburne,2012,2016,106.0
1,Alabama,1029,Cleburne,2013,2017,105.21
1,Alabama,1029,Cleburne,2014,2018,104.43
1,Alabama,1029,Cleburne,2015,2019,110.27
1,Alabama,1029,Cleburne,2016,2020,109.69
1,Alabama,1029,Cleburne,2017,2021,144.52
1,Alabama,1031,Coffee,2011,2015,114.27
1,Alabama,1031,Coffee,2012,2016,108.42
1,Alabama,1031,Coffee,2013,2017,111.21
1,Alabama,1031,Coffee,2014,2018,111.29
1,Alabama,1031,Coffee,2015,2019,111.71
1,Alabama,1031,Coffee,2016,2020,109.17
1,Alabama,1031,Coffee,2017,2021,134.71
1,Alabama,1033,Colbert,2011,2015,91.33
1,Alabama,1033,Colbert,2012,2016,91.13
