StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value
1,Alabama,1001,Autauga,2011,2015,21.03
1,Alabama,1001,Autauga,2012,2016,21.87
1,Alabama,1001,Autauga,2013,2017,22.19
1,Alabama,1001,Autauga,2014,2018,23.18
1,Alabama,1001,Autauga,2015,2019,23.23
1,Alabama,1001,Autauga,2016,2020,21.73
1,Alabama,1001,Autauga,2017,2021,23.63
1,Alabama,1003,Baldwin,2011,2015,23.65
1,Alabama,1003,Baldwin,2012,2016,25.25
1,Alabama,1003,Baldwin,2013,2017,26.94
1,Alabama,1003,Baldwin,2014,2018,27.79
1,Alabama,1003,Baldwin,2015,2019,27.86
1,Alabama,1003,Baldwin,2016,2020,27.53
1,Alabama,1003,Baldwin,2017,2021,34.19
1,Alabama,1005,Barbour,2011,2015,18.43
1,Alabama,1005,Barbour,2012,2016,19.17
1,Alabama,1005,Barbour,2013,2017,19.9
1,Alabama,1005,Barbour,2014,2018,21.58
1,Alabama,1005,Barbour,2015,2019,22.22
1,Alabama,1005,Barbour,2016,2020,20.25
1,Alabama,1005,Barbour,2017,2021,24.49
1,Alabama,1007,Bibb,2011,2015,16.8
1,Alabama,1007,Bibb,2012,2016,17.14
1,Alabama,1007,Bibb,2013,2017,16.3
1,Alabama,1007,Bibb,2014,2018,17.04
1,Alabama,1007,Bibb,2015,2019,17.08
1,Alabama,1007,Bibb,2016,2020,16.46
1,Alabama,1007,Bibb,2017,2021,21.03
1,Alabama,1009,Blount,2011,2015,19.72
1,Alabama,1009,Blount,2012,2016,20.33
1,Alabama,1009,Blount,2013,2017,18.88
1,Alabama,1009,Blount,2014,2018,19.47
1,Alabama,1009,Blount,2015,2019,19.95
1,Alabama,1009,Blount,2016,2020,19.22
1,Alabama,1009,Blount,2017,2021,24.08
1,Alabama,1011,Bullock,2011,2015,16.56
1,Alabama,1011,Bullock,2012,2016,16.13
1,Alabama,1011,Bullock,2013,2017,17.19
1,Alabama,1011,Bullock,2014,2018,18.2
1,Alabama,1011,Bullock,2015,2019,18.3
1,Alabama,1011,Bullock,2016,2020,16.43
1,Alabama,1011,Bullock,2017,2021,18.03
1,Alabama,1013,Butler,2011,2015,16.17
1,Alabama,1013,Butler,2012,2016,20.1
1,Alabama,1013,Butler,2013,2017,21.94
1,Alabama,1013,Butler,2014,2018,20.17
1,Alabama,1013,Butler,2015,2019,19.57
1,Alabama,1013,Butler,2016,2020,21.72
1,Alabama,1013,Butler,2017,2021,21.86
1,Alabama,1015,Calhoun,2011,2015,19.75
1,Alabama,1015,Calhoun,2012,2016,20.09
1,Alabama,1015,Calhoun,2013,2017,19.74
1,Alabama,1015,Calhoun,2014,2018,20.05
1,Alabama,1015,Calhoun,2015,2019,19.99
1,Alabama,1015,Calhoun,2016,2020,20.18
1,Alabama,1015,Calhoun,2017,2021,26.44
1,Alabama,1017,Chambers,2011,2015,18.27
1,Alabama,1017,Chambers,2012,2016,17.5
1,Alabama,1017,Chambers,2013,2017,18.64
1,Alabama,1017,Chambers,2014,2018,20.2
1,Alabama,1017,Chambers,2015,2019,19.93
1,Alabama,1017,Chambers,2016,2020,18.08
1,Alabama,1017,Chambers,2017,2021,22.0
1,Alabama,1019,Cherokee,2011,2015,19.61
1,Alabama,1019,Cherokee,2012,2016,18.94
1,Alabama,1019,Cherokee,2013,2017,19.18
1,Alabama,1019,Cherokee,2014,2018,19.3
1,Alabama,1019,Cherokee,2015,2019,18.75
1,Alabama,1019,Cherokee,2016,2020,18.25
1,Alabama,1019,Cherokee,2017,2021,24.88
1,Alabama,1021,Chilton,2011,2015,21.87
1,Alabama,1021,Chilton,2012,2016,23.42
1,Alabama,1021,Chilton,2013,2017,23.14
1,Alabama,1021,Chilton,2014,2018,23.84
1,Alabama,1021,Chilton,2015,2019,24.08
1,Alabama,1021,Chilton,2016,2020,22.82
1,Alabama,1021,Chilton,2017,2021,26.38
1,Alabama,1023,Choctaw,2011,2015,15.99
1,Alabama,1023,Choctaw,2012,2016,17.68
1,Alabama,1023,Choctaw,2013,2017,18.07
1,Alabama,1023,Choctaw,2014,2018,18.23
1,Alabama,1023,Choctaw,2015,2019,16.84
1,Alabama,1023,Choctaw,2016,2020,17.78
1,Alabama,1023,Choctaw,2017,2021,20.65
1,Alabama,1025,Clarke,2011,2015,24.85
1,Alabama,1025,Clarke,2012,2016,26.5
1,Alabama,1025,Clarke,2013,2017,28.57
1,Alabama,1025,Clarke,2014,2018,30.47
1,Alabama,1025,Clarke,2015,2019,30.39
1,Alabama,1025,Clarke,2016,2020,29.98
1,Alabama,1025,Clarke,2017,2021,38.79
1,Alabama,1027,Clay,2011,2015,17.85
1,Alabama,1027,Clay,2012,2016,17.27
1,Alabama,1027,Clay,2013,2017,17.86
1,Alabama,1027,Clay,2014,2018,18.56
1,Alabama,1027,Clay,2015,2019,18.95
1,Alabama,1027,Clay,2016,2020,18.67
1,Alabama,1027,Clay,2017,2021,23.28
1,Alabama,1029,Cleburne,2011,2015,21.72
1,Alabama,1029,Cleburne,2012,2016,21.37
1,Alabama,1029,Cleburne,2013,2017,21.8
1,Alabama,1029,Cleburne,2014,2018,22.78
1,Alabama,1029,Cleburne,2015,2019,22.73
1,Alabama,1029,Cleburne,2016,2020,22.3
1,Alabama,1029,Cleburne,2017,2021,29.97
1,Alabama,1031,Coffee,2011,2015,23.13
1,Alabama,1031,Coffee,2012,2016,26.0
1,Alabama,1031,Coffee,2013,2017,26.63
