StateFIPS,State,CountyFIPS,County,Start Year,End Year,Sex,Value
1,Alabama,1001,Autauga,2011,2015,Male,51.42
1,Alabama,1001,Autauga,2011,2015,Female,37.48
1,Alabama,1001,Autauga,2012,2016,Male,52.42
1,Alabama,1001,Autauga,2012,2016,Female,38.42
1,Alabama,1001,Autauga,2013,2017,Male,53.55
1,Alabama,1001,Autauga,2013,2017,Female,38.48
1,Alabama,1001,Autauga,2014,2018,Male,54.44
1,Alabama,1001,Autauga,2014,2018,Female,38.86
1,Alabama,1001,Autauga,2015,2019,Male,54.92
1,Alabama,1001,Autauga,2015,2019,Female,40.05
1,Alabama,1001,Autauga,2016,2020,Male,54.15
1,Alabama,1001,Autauga,2016,2020,Female,39.49
1,Alabama,1003,Baldwin,2011,2015,Male,52.99
1,Alabama,1003,Baldwin,2011,2015,Female,37.09
1,Alabama,1003,Baldwin,2012,2016,Male,51.57
1,Alabama,1003,Baldwin,2012,2016,Female,38.17
1,Alabama,1003,Baldwin,2013,2017,Male,52.92
1,Alabama,1003,Baldwin,2013,2017,Female,38.2
1,Alabama,1003,Baldwin,2014,2018,Male,50.43
1,Alabama,1003,Baldwin,2014,2018,Female,37.76
1,Alabama,1003,Baldwin,2015,2019,Male,50.52
1,Alabama,1003,Baldwin,2015,2019,Female,37.74
1,Alabama,1003,Baldwin,2016,2020,Male,49.82
1,Alabama,1003,Baldwin,2016,2020,Female,37.16
1,Alabama,1005,Barbour,2011,2015,Male,51.16
1,Alabama,1005,Barbour,2011,2015,Female,40.43
1,Alabama,1005,Barbour,2012,2016,Male,51.07
1,Alabama,1005,Barbour,2012,2016,Female,38.24
1,Alabama,1005,Barbour,2013,2017,Male,48.4
1,Alabama,1005,Barbour,2013,2017,Female,38.05
1,Alabama,1005,Barbour,2014,2018,Male,47.42
1,Alabama,1005,Barbour,2014,2018,Female,36.04
1,Alabama,1005,Barbour,2015,2019,Male,43.13
1,Alabama,1005,Barbour,2015,2019,Female,33.72
1,Alabama,1005,Barbour,2016,2020,Male,42.48
1,Alabama,1005,Barbour,2016,2020,Female,32.12
1,Alabama,1007,Bibb,2011,2015,Male,46.5
1,Alabama,1007,Bibb,2011,2015,Female,35.67
1,Alabama,1007,Bibb,2012,2016,Male,45.87
1,Alabama,1007,Bibb,2012,2016,Female,35.75
1,Alabama,1007,Bibb,2013,2017,Male,45.07
1,Alabama,1007,Bibb,2013,2017,Female,34.63
1,Alabama,1007,Bibb,2014,2018,Male,44.5
1,Alabama,1007,Bibb,2014,2018,Female,34.84
1,Alabama,1007,Bibb,2015,2019,Male,43.52
1,Alabama,1007,Bibb,2015,2019,Female,34.27
1,Alabama,1007,Bibb,2016,2020,Male,42.24
1,Alabama,1007,Bibb,2016,2020,Female,32.02
1,Alabama,1009,Blount,2011,2015,Male,47.78
1,Alabama,1009,Blount,2011,2015,Female,36.25
1,Alabama,1009,Blount,2012,2016,Male,46.07
1,Alabama,1009,Blount,2012,2016,Female,37.21
1,Alabama,1009,Blount,2013,2017,Male,46.19
1,Alabama,1009,Blount,2013,2017,Female,36.45
1,Alabama,1009,Blount,2014,2018,Male,46.05
1,Alabama,1009,Blount,2014,2018,Female,35.83
1,Alabama,1009,Blount,2015,2019,Male,45.31
1,Alabama,1009,Blount,2015,2019,Female,35.93
1,Alabama,1009,Blount,2016,2020,Male,44.26
1,Alabama,1009,Blount,2016,2020,Female,34.89
1,Alabama,1011,Bullock,2011,2015,Male,52.3
1,Alabama,1011,Bullock,2011,2015,Female,38.42
1,Alabama,1011,Bullock,2012,2016,Male,51.89
1,Alabama,1011,Bullock,2012,2016,Female,37.97
1,Alabama,1011,Bullock,2013,2017,Male,52.3
1,Alabama,1011,Bullock,2013,2017,Female,36.46
1,Alabama,1011,Bullock,2014,2018,Male,51.64
1,Alabama,1011,Bullock,2014,2018,Female,35.54
1,Alabama,1011,Bullock,2015,2019,Male,50.53
1,Alabama,1011,Bullock,2015,2019,Female,36.53
1,Alabama,1011,Bullock,2016,2020,Male,49.6
1,Alabama,1011,Bullock,2016,2020,Female,37.09
1,Alabama,1013,Butler,2011,2015,Male,66.72
1,Alabama,1013,Butler,2011,2015,Female,44.28
1,Alabama,1013,Butler,2012,2016,Male,65.49
1,Alabama,1013,Butler,2012,2016,Female,46.35
1,Alabama,1013,Butler,2013,2017,Male,65.02
1,Alabama,1013,Butler,2013,2017,Female,45.41
1,Alabama,1013,Butler,2014,2018,Male,60.6
1,Alabama,1013,Butler,2014,2018,Female,42.52
1,Alabama,1013,Butler,2015,2019,Male,56.12
1,Alabama,1013,Butler,2015,2019,Female,43.47
1,Alabama,1013,Butler,2016,2020,Male,56.28
1,Alabama,1013,Butler,2016,2020,Female,42.93
1,Alabama,1015,Calhoun,2011,2015,Male,58.9
1,Alabama,1015,Calhoun,2011,2015,Female,36.41
1,Alabama,1015,Calhoun,2012,2016,Male,56.82
1,Alabama,1015,Calhoun,2012,2016,Female,38.49
1,Alabama,1015,Calhoun,2013,2017,Male,58.03
1,Alabama,1015,Calhoun,2013,2017,Female,38.8
1,Alabama,1015,Calhoun,2014,2018,Male,56.92
1,Alabama,1015,Calhoun,2014,2018,Female,39.0
1,Alabama,1015,Calhoun,2015,2019,Male,56.36
1,Alabama,1015,Calhoun,2015,2019,Female,38.39
1,Alabama,1015,Calhoun,2016,2020,Male,53.74
1,Alabama,1015,Calhoun,2016,2020,Female,36.18
1,Alabama,1017,Chambers,2011,2015,Male,50.03
1,Alabama,1017,Chambers,2011,2015,Female,34.78
1,Alabama,1017,Chambers,2012,2016,Male,50.37
1,Alabama,1017,Chambers,2012,2016,Female,35.92
1,Alabama,1017,Chambers,2013,2017,Male,49.53
1,Alabama,1017,Chambers,2013,2017,Female,35.48
1,Alabama,1017,Chambers,2014,2018,Male,47.49
1,Alabama,1017,Chambers,2014,2018,Female,35.89
1,Alabama,1017,Chambers,2015,2019,Male,45.96
1,Alabama,1017,Chambers,2015,2019,Female,34.92
1,Alabama,1017,Chambers,2016,2020,Male,43.03
1,Alabama,1017,Chambers,2016,2020,Female,35.58
1,Alabama,1019,Cherokee,2011,2015,Male,55.97
1,Alabama,1019,Cherokee,2011,2015,Female,38.11
1,Alabama,1019,Cherokee,2012,2016,Male,55.93
1,Alabama,1019,Cherokee,2012,2016,Female,40.03
1,Alabama,1019,Cherokee,2013,2017,Male,55.19
1,Alabama,1019,Cherokee,2013,2017,Female,40.18
1,Alabama,1019,Cherokee,2014,2018,Male,50.98
1,Alabama,1019,Cherokee,2014,2018,Female,40.45
1,Alabama,1019,Cherokee,2015,2019,Male,49.8
1,Alabama,1019,Cherokee,2015,2019,Female,39.92
1,Alabama,1019,Cherokee,2016,2020,Male,48.45
1,Alabama,1019,Cherokee,2016,2020,Female,37.92
1,Alabama,1021,Chilton,2011,2015,Male,48.02
1,Alabama,1021,Chilton,2011,2015,Female,37.14
1,Alabama,1021,Chilton,2012,2016,Male,49.82
1,Alabama,1021,Chilton,2012,2016,Female,36.34
1,Alabama,1021,Chilton,2013,2017,Male,49.22
1,Alabama,1021,Chilton,2013,2017,Female,36.23
1,Alabama,1021,Chilton,2014,2018,Male,49.04
1,Alabama,1021,Chilton,2014,2018,Female,36.92
1,Alabama,1021,Chilton,2015,2019,Male,48.42
1,Alabama,1021,Chilton,2015,2019,Female,37.53
1,Alabama,1021,Chilton,2016,2020,Male,46.28
1,Alabama,1021,Chilton,2016,2020,Female,35.55
1,Alabama,1023,Choctaw,2011,2015,Male,63.16
1,Alabama,1023,Choctaw,2011,2015,Female,42.64
1,Alabama,1023,Choctaw,2012,2016,Male,62.4
1,Alabama,1023,Choctaw,2012,2016,Female,43.53
1,Alabama,1023,Choctaw,2013,2017,Male,61.66
1,Alabama,1023,Choctaw,2013,2017,Female,46.66
1,Alabama,1023,Choctaw,2014,2018,Male,61.24
1,Alabama,1023,Choctaw,2014,2018,Female,49.36
1,Alabama,1023,Choctaw,2015,2019,Male,59.5
1,Alabama,1023,Choctaw,2015,2019,Female,48.03
1,Alabama,1023,Choctaw,2016,2020,Male,60.55
1,Alabama,1023,Choctaw,2016,2020,Female,47.85
1,Alabama,1025,Clarke,2011,2015,Male,56.54
1,Alabama,1025,Clarke,2011,2015,Female,40.87
1,Alabama,1025,Clarke,2012,2016,Male,54.69
1,Alabama,1025,Clarke,2012,2016,Female,41.19
1,Alabama,1025,Clarke,2013,2017,Male,54.29
1,Alabama,1025,Clarke,2013,2017,Female,39.21
1,Alabama,1025,Clarke,2014,2018,Male,50.15
1,Alabama,1025,Clarke,2014,2018,Female,38.62
1,Alabama,1025,Clarke,2015,2019,Male,49.37
1,Alabama,1025,Clarke,2015,2019,Female,36.77
1,Alabama,1025,Clarke,2016,2020,Male,50.23
1,Alabama,1025,Clarke,2016,2020,Female,36.62
1,Alabama,1027,Clay,2011,2015,Male,58.44
1,Alabama,1027,Clay,2011,2015,Female,35.39
1,Alabama,1027,Clay,2012,2016,Male,57.43
1,Alabama,1027,Clay,2012,2016,Female,40.4
1,Alabama,1027,Clay,2013,2017,Male,55.2
1,Alabama,1027,Clay,2013,2017,Female,41.72
1,Alabama,1027,Clay,2014,2018,Male,56.21
1,Alabama,1027,Clay,2014,2018,Female,42.26
1,Alabama,1027,Clay,2015,2019,Male,54.94
1,Alabama,1027,Clay,2015,2019,Female,41.91
1,Alabama,1027,Clay,2016,2020,Male,50.89
1,Alabama,1027,Clay,2016,2020,Female,39.69
1,Alabama,1029,Cleburne,2011,2015,Male,60.62
1,Alabama,1029,Cleburne,2011,2015,Female,38.44
1,Alabama,1029,Cleburne,2012,2016,Male,58.34
1,Alabama,1029,Cleburne,2012,2016,Female,41.67
1,Alabama,1029,Cleburne,2013,2017,Male,57.33
1,Alabama,1029,Cleburne,2013,2017,Female,41.56
1,Alabama,1029,Cleburne,2014,2018,Male,56.19
1,Alabama,1029,Cleburne,2014,2018,Female,41.09
1,Alabama,1029,Cleburne,2015,2019,Male,54.72
1,Alabama,1029,Cleburne,2015,2019,Female,41.14
1,Alabama,1029,Cleburne,2016,2020,Male,53.31
1,Alabama,1029,Cleburne,2016,2020,Female,39.03
1,Alabama,1031,Coffee,2011,2015,Male,49.0
1,Alabama,1031,Coffee,2011,2015,Female,35.36
1,Alabama,1031,Coffee,2012,2016,Male,47.01
1,Alabama,1031,Coffee,2012,2016,Female,35.53
1,Alabama,1031,Coffee,2013,2017,Male,45.88
1,Alabama,1031,Coffee,2013,2017,Female,37.84
1,Alabama,1031,Coffee,2014,2018,Male,44.59
1,Alabama,1031,Coffee,2014,2018,Female,36.1
1,Alabama,1031,Coffee,2015,2019,Male,43.21
1,Alabama,1031,Coffee,2015,2019,Female,35.98
1,Alabama,1031,Coffee,2016,2020,Male,41.35
1,Alabama,1031,Coffee,2016,2020,Female,35.99
1,Alabama,1033,Colbert,2011,2015,Male,55.24
1,Alabama,1033,Colbert,2011,2015,Female,40.87
1,Alabama,1033,Colbert,2012,2016,Male,56.28
1,Alabama,1033,Colbert,2012,2016,Female,43.04
1,Alabama,1033,Colbert,2013,2017,Male,54.57
1,Alabama,1033,Colbert,2013,2017,Female,41.12
1,Alabama,1033,Colbert,2014,2018,Male,53.23
1,Alabama,1033,Colbert,2014,2018,Female,40.54
1,Alabama,1033,Colbert,2015,2019,Male,52.04
1,Alabama,1033,Colbert,2015,2019,Female,38.7
1,Alabama,1033,Colbert,2016,2020,Male,53.4
