StateFIPS,State,CountyFIPS,County,Start Year,End Year,Race Ethnicity,Value
1,Alabama,1001,Autauga,2011,2015,Asian/Pacific Islander (includes Hispanic),89.9
1,Alabama,1001,Autauga,2011,2015,Black (includes Hispanic),128.5
1,Alabama,1001,Autauga,2011,2015,Hispanic (all races),56.9
1,Alabama,1001,Autauga,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,White (includes Hispanic),122.0
1,Alabama,1001,Autauga,2012,2016,Asian/Pacific Islander (includes Hispanic),86.0
1,Alabama,1001,Autauga,2012,2016,Black (includes Hispanic),127.3
1,Alabama,1001,Autauga,2012,2016,Hispanic (all races),59.8
1,Alabama,1001,Autauga,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,White (includes Hispanic),120.4
1,Alabama,1001,Autauga,2013,2017,Asian/Pacific Islander (includes Hispanic),85.3
1,Alabama,1001,Autauga,2013,2017,Black (includes Hispanic),126.8
1,Alabama,1001,Autauga,2013,2017,Hispanic (all races),59.7
1,Alabama,1001,Autauga,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,White (includes Hispanic),119.4
1,Alabama,1001,Autauga,2014,2018,Asian/Pacific Islander (includes Hispanic),78.4
1,Alabama,1001,Autauga,2014,2018,Black (includes Hispanic),129.3
1,Alabama,1001,Autauga,2014,2018,Hispanic (all races),66.5
1,Alabama,1001,Autauga,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,White (includes Hispanic),117.7
1,Alabama,1001,Autauga,2015,2019,Asian/Pacific Islander (includes Hispanic),92.9
1,Alabama,1001,Autauga,2015,2019,Black (includes Hispanic),130.0
1,Alabama,1001,Autauga,2015,2019,Hispanic (all races),61.9
1,Alabama,1001,Autauga,2015,2019,American Indian/Alaskan Native (includes Hispanic),101.7
1,Alabama,1001,Autauga,2015,2019,White (includes Hispanic),122.7
1,Alabama,1001,Autauga,2016,2020,Asian/Pacific Islander (includes Hispanic),88.1
1,Alabama,1001,Autauga,2016,2020,Black (includes Hispanic),130.9
1,Alabama,1001,Autauga,2016,2020,Hispanic (all races),62.9
1,Alabama,1001,Autauga,2016,2020,American Indian/Alaskan Native (includes Hispanic),146.8
1,Alabama,1001,Autauga,2016,2020,White (includes Hispanic),125.5
1,Alabama,1001,Autauga,2017,2021,Asian/Pacific Islander (includes Hispanic),104.1
1,Alabama,1001,Autauga,2017,2021,Black (includes Hispanic),168.2
1,Alabama,1001,Autauga,2017,2021,Hispanic (all races),85.5
1,Alabama,1001,Autauga,2017,2021,American Indian/Alaskan Native (includes Hispanic),184.7
1,Alabama,1001,Autauga,2017,2021,White (includes Hispanic),159.7
1,Alabama,1003,Baldwin,2011,2015,Asian/Pacific Islander (includes Hispanic),78.1
1,Alabama,1003,Baldwin,2011,2015,Black (includes Hispanic),119.3
1,Alabama,1003,Baldwin,2011,2015,Hispanic (all races),48.0
1,Alabama,1003,Baldwin,2011,2015,American Indian/Alaskan Native (includes Hispanic),67.3
1,Alabama,1003,Baldwin,2011,2015,White (includes Hispanic),125.7
1,Alabama,1003,Baldwin,2012,2016,Asian/Pacific Islander (includes Hispanic),82.2
1,Alabama,1003,Baldwin,2012,2016,Black (includes Hispanic),123.3
1,Alabama,1003,Baldwin,2012,2016,Hispanic (all races),44.6
1,Alabama,1003,Baldwin,2012,2016,American Indian/Alaskan Native (includes Hispanic),74.5
1,Alabama,1003,Baldwin,2012,2016,White (includes Hispanic),127.3
1,Alabama,1003,Baldwin,2013,2017,Asian/Pacific Islander (includes Hispanic),75.7
1,Alabama,1003,Baldwin,2013,2017,Black (includes Hispanic),124.1
1,Alabama,1003,Baldwin,2013,2017,Hispanic (all races),44.3
1,Alabama,1003,Baldwin,2013,2017,American Indian/Alaskan Native (includes Hispanic),60.8
1,Alabama,1003,Baldwin,2013,2017,White (includes Hispanic),123.8
1,Alabama,1003,Baldwin,2014,2018,Asian/Pacific Islander (includes Hispanic),72.5
1,Alabama,1003,Baldwin,2014,2018,Black (includes Hispanic),126.9
1,Alabama,1003,Baldwin,2014,2018,Hispanic (all races),43.0
1,Alabama,1003,Baldwin,2014,2018,American Indian/Alaskan Native (includes Hispanic),52.1
1,Alabama,1003,Baldwin,2014,2018,White (includes Hispanic),121.9
1,Alabama,1003,Baldwin,2015,2019,Asian/Pacific Islander (includes Hispanic),85.5
1,Alabama,1003,Baldwin,2015,2019,Black (includes Hispanic),127.6
1,Alabama,1003,Baldwin,2015,2019,Hispanic (all races),45.5
1,Alabama,1003,Baldwin,2015,2019,American Indian/Alaskan Native (includes Hispanic),58.1
1,Alabama,1003,Baldwin,2015,2019,White (includes Hispanic),121.5
1,Alabama,1003,Baldwin,2016,2020,Asian/Pacific Islander (includes Hispanic),86.3
1,Alabama,1003,Baldwin,2016,2020,Black (includes Hispanic),126.4
1,Alabama,1003,Baldwin,2016,2020,Hispanic (all races),46.8
1,Alabama,1003,Baldwin,2016,2020,American Indian/Alaskan Native (includes Hispanic),39.8
1,Alabama,1003,Baldwin,2016,2020,White (includes Hispanic),120.4
1,Alabama,1003,Baldwin,2017,2021,Asian/Pacific Islander (includes Hispanic),107.6
1,Alabama,1003,Baldwin,2017,2021,Black (includes Hispanic),162.5
1,Alabama,1003,Baldwin,2017,2021,Hispanic (all races),63.7
1,Alabama,1003,Baldwin,2017,2021,American Indian/Alaskan Native (includes Hispanic),47.5
1,Alabama,1003,Baldwin,2017,2021,White (includes Hispanic),154.1
1,Alabama,1005,Barbour,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2011,2015,Black (includes Hispanic),124.4
1,Alabama,1005,Barbour,2011,2015,Hispanic (all races),97.7
1,Alabama,1005,Barbour,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2011,2015,White (includes Hispanic),129.8
1,Alabama,1005,Barbour,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2012,2016,Black (includes Hispanic),115.9
1,Alabama,1005,Barbour,2012,2016,Hispanic (all races),80.4
1,Alabama,1005,Barbour,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2012,2016,White (includes Hispanic),129.4
1,Alabama,1005,Barbour,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2013,2017,Black (includes Hispanic),114.3
