StateFIPS,State,CountyFIPS,County,Start Year,End Year,Race Ethnicity,Value
1,Alabama,1001,Autauga,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,Black (includes Hispanic),61.5
1,Alabama,1001,Autauga,2011,2015,Hispanic (all races),
1,Alabama,1001,Autauga,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,White (includes Hispanic),65.7
1,Alabama,1001,Autauga,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,Black (includes Hispanic),61.0
1,Alabama,1001,Autauga,2012,2016,Hispanic (all races),
1,Alabama,1001,Autauga,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,White (includes Hispanic),64.7
1,Alabama,1001,Autauga,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,Black (includes Hispanic),57.1
1,Alabama,1001,Autauga,2013,2017,Hispanic (all races),
1,Alabama,1001,Autauga,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,White (includes Hispanic),63.8
1,Alabama,1001,Autauga,2014,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,Black (includes Hispanic),57.1
1,Alabama,1001,Autauga,2014,2018,Hispanic (all races),
1,Alabama,1001,Autauga,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,White (includes Hispanic),62.6
1,Alabama,1001,Autauga,2015,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2015,2019,Black (includes Hispanic),56.9
1,Alabama,1001,Autauga,2015,2019,Hispanic (all races),
1,Alabama,1001,Autauga,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2015,2019,White (includes Hispanic),63.2
1,Alabama,1001,Autauga,2016,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2016,2020,Black (includes Hispanic),52.8
1,Alabama,1001,Autauga,2016,2020,Hispanic (all races),
1,Alabama,1001,Autauga,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2016,2020,White (includes Hispanic),63.9
1,Alabama,1001,Autauga,2017,2021,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2017,2021,Black (includes Hispanic),65.8
1,Alabama,1001,Autauga,2017,2021,Hispanic (all races),
1,Alabama,1001,Autauga,2017,2021,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2017,2021,White (includes Hispanic),78.7
1,Alabama,1003,Baldwin,2011,2015,Asian/Pacific Islander (includes Hispanic),43.0
1,Alabama,1003,Baldwin,2011,2015,Black (includes Hispanic),60.9
1,Alabama,1003,Baldwin,2011,2015,Hispanic (all races),18.1
1,Alabama,1003,Baldwin,2011,2015,American Indian/Alaskan Native (includes Hispanic),29.0
1,Alabama,1003,Baldwin,2011,2015,White (includes Hispanic),74.2
1,Alabama,1003,Baldwin,2012,2016,Asian/Pacific Islander (includes Hispanic),44.0
1,Alabama,1003,Baldwin,2012,2016,Black (includes Hispanic),59.7
1,Alabama,1003,Baldwin,2012,2016,Hispanic (all races),17.1
1,Alabama,1003,Baldwin,2012,2016,American Indian/Alaskan Native (includes Hispanic),35.9
1,Alabama,1003,Baldwin,2012,2016,White (includes Hispanic),74.6
1,Alabama,1003,Baldwin,2013,2017,Asian/Pacific Islander (includes Hispanic),41.6
1,Alabama,1003,Baldwin,2013,2017,Black (includes Hispanic),59.2
1,Alabama,1003,Baldwin,2013,2017,Hispanic (all races),21.2
1,Alabama,1003,Baldwin,2013,2017,American Indian/Alaskan Native (includes Hispanic),31.5
1,Alabama,1003,Baldwin,2013,2017,White (includes Hispanic),74.0
1,Alabama,1003,Baldwin,2014,2018,Asian/Pacific Islander (includes Hispanic),37.6
1,Alabama,1003,Baldwin,2014,2018,Black (includes Hispanic),59.1
1,Alabama,1003,Baldwin,2014,2018,Hispanic (all races),23.3
1,Alabama,1003,Baldwin,2014,2018,American Indian/Alaskan Native (includes Hispanic),34.9
1,Alabama,1003,Baldwin,2014,2018,White (includes Hispanic),71.3
1,Alabama,1003,Baldwin,2015,2019,Asian/Pacific Islander (includes Hispanic),44.2
1,Alabama,1003,Baldwin,2015,2019,Black (includes Hispanic),60.1
1,Alabama,1003,Baldwin,2015,2019,Hispanic (all races),19.0
1,Alabama,1003,Baldwin,2015,2019,American Indian/Alaskan Native (includes Hispanic),28.6
1,Alabama,1003,Baldwin,2015,2019,White (includes Hispanic),69.9
1,Alabama,1003,Baldwin,2016,2020,Asian/Pacific Islander (includes Hispanic),47.1
1,Alabama,1003,Baldwin,2016,2020,Black (includes Hispanic),58.1
1,Alabama,1003,Baldwin,2016,2020,Hispanic (all races),16.8
1,Alabama,1003,Baldwin,2016,2020,American Indian/Alaskan Native (includes Hispanic),43.3
1,Alabama,1003,Baldwin,2016,2020,White (includes Hispanic),67.6
1,Alabama,1003,Baldwin,2017,2021,Asian/Pacific Islander (includes Hispanic),59.0
1,Alabama,1003,Baldwin,2017,2021,Black (includes Hispanic),70.7
1,Alabama,1003,Baldwin,2017,2021,Hispanic (all races),20.9
1,Alabama,1003,Baldwin,2017,2021,American Indian/Alaskan Native (includes Hispanic),45.1
1,Alabama,1003,Baldwin,2017,2021,White (includes Hispanic),82.2
1,Alabama,1005,Barbour,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2011,2015,Black (includes Hispanic),60.3
1,Alabama,1005,Barbour,2011,2015,Hispanic (all races),
1,Alabama,1005,Barbour,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2011,2015,White (includes Hispanic),77.2
1,Alabama,1005,Barbour,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2012,2016,Black (includes Hispanic),57.9
1,Alabama,1005,Barbour,2012,2016,Hispanic (all races),
1,Alabama,1005,Barbour,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2012,2016,White (includes Hispanic),75.3
1,Alabama,1005,Barbour,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2013,2017,Black (includes Hispanic),56.7
1,Alabama,1005,Barbour,2013,2017,Hispanic (all races),
1,Alabama,1005,Barbour,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2013,2017,White (includes Hispanic),75.0
1,Alabama,1005,Barbour,2014,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2014,2018,Black (includes Hispanic),56.0
1,Alabama,1005,Barbour,2014,2018,Hispanic (all races),
1,Alabama,1005,Barbour,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2014,2018,White (includes Hispanic),77.0
1,Alabama,1005,Barbour,2015,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2015,2019,Black (includes Hispanic),52.7
1,Alabama,1005,Barbour,2015,2019,Hispanic (all races),
1,Alabama,1005,Barbour,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2015,2019,White (includes Hispanic),72.9
1,Alabama,1005,Barbour,2016,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2016,2020,Black (includes Hispanic),49.2
1,Alabama,1005,Barbour,2016,2020,Hispanic (all races),
1,Alabama,1005,Barbour,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2016,2020,White (includes Hispanic),73.1
1,Alabama,1005,Barbour,2017,2021,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2017,2021,Black (includes Hispanic),59.8
1,Alabama,1005,Barbour,2017,2021,Hispanic (all races),
1,Alabama,1005,Barbour,2017,2021,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2017,2021,White (includes Hispanic),94.0
1,Alabama,1007,Bibb,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1007,Bibb,2011,2015,Black (includes Hispanic),60.0
1,Alabama,1007,Bibb,2011,2015,Hispanic (all races),
1,Alabama,1007,Bibb,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2011,2015,White (includes Hispanic),62.3
1,Alabama,1007,Bibb,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1007,Bibb,2012,2016,Black (includes Hispanic),58.1
1,Alabama,1007,Bibb,2012,2016,Hispanic (all races),26.8
1,Alabama,1007,Bibb,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2012,2016,White (includes Hispanic),60.4
1,Alabama,1007,Bibb,2013,2017,Asian/Pacific Islander (includes Hispanic),28.2
1,Alabama,1007,Bibb,2013,2017,Black (includes Hispanic),56.8
1,Alabama,1007,Bibb,2013,2017,Hispanic (all races),
1,Alabama,1007,Bibb,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2013,2017,White (includes Hispanic),58.6
1,Alabama,1007,Bibb,2014,2018,Asian/Pacific Islander (includes Hispanic),29.0
1,Alabama,1007,Bibb,2014,2018,Black (includes Hispanic),55.5
1,Alabama,1007,Bibb,2014,2018,Hispanic (all races),18.5
1,Alabama,1007,Bibb,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2014,2018,White (includes Hispanic),57.6
1,Alabama,1007,Bibb,2015,2019,Asian/Pacific Islander (includes Hispanic),29.6
1,Alabama,1007,Bibb,2015,2019,Black (includes Hispanic),53.8
1,Alabama,1007,Bibb,2015,2019,Hispanic (all races),21.0
1,Alabama,1007,Bibb,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2015,2019,White (includes Hispanic),56.9
1,Alabama,1007,Bibb,2016,2020,Asian/Pacific Islander (includes Hispanic),33.0
1,Alabama,1007,Bibb,2016,2020,Black (includes Hispanic),51.1
1,Alabama,1007,Bibb,2016,2020,Hispanic (all races),18.7
1,Alabama,1007,Bibb,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2016,2020,White (includes Hispanic),54.3
1,Alabama,1007,Bibb,2017,2021,Asian/Pacific Islander (includes Hispanic),35.6
1,Alabama,1007,Bibb,2017,2021,Black (includes Hispanic),65.0
1,Alabama,1007,Bibb,2017,2021,Hispanic (all races),21.5
1,Alabama,1007,Bibb,2017,2021,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1007,Bibb,2017,2021,White (includes Hispanic),66.1
1,Alabama,1009,Blount,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1009,Blount,2011,2015,Black (includes Hispanic),61.2
1,Alabama,1009,Blount,2011,2015,Hispanic (all races),30.5
1,Alabama,1009,Blount,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1009,Blount,2011,2015,White (includes Hispanic),72.3
1,Alabama,1009,Blount,2012,2016,Asian/Pacific Islander (includes Hispanic),43.5
1,Alabama,1009,Blount,2012,2016,Black (includes Hispanic),59.9
1,Alabama,1009,Blount,2012,2016,Hispanic (all races),28.1
1,Alabama,1009,Blount,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1009,Blount,2012,2016,White (includes Hispanic),71.2
1,Alabama,1009,Blount,2013,2017,Asian/Pacific Islander (includes Hispanic),40.2
1,Alabama,1009,Blount,2013,2017,Black (includes Hispanic),58.3
1,Alabama,1009,Blount,2013,2017,Hispanic (all races),24.2
1,Alabama,1009,Blount,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1009,Blount,2013,2017,White (includes Hispanic),68.8
1,Alabama,1009,Blount,2014,2018,Asian/Pacific Islander (includes Hispanic),38.3
1,Alabama,1009,Blount,2014,2018,Black (includes Hispanic),56.8
1,Alabama,1009,Blount,2014,2018,Hispanic (all races),
1,Alabama,1009,Blount,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1009,Blount,2014,2018,White (includes Hispanic),69.1
1,Alabama,1009,Blount,2015,2019,Asian/Pacific Islander (includes Hispanic),42.2
1,Alabama,1009,Blount,2015,2019,Black (includes Hispanic),55.1
1,Alabama,1009,Blount,2015,2019,Hispanic (all races),20.5
1,Alabama,1009,Blount,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1009,Blount,2015,2019,White (includes Hispanic),68.2
1,Alabama,1009,Blount,2016,2020,Asian/Pacific Islander (includes Hispanic),40.8
1,Alabama,1009,Blount,2016,2020,Black (includes Hispanic),52.1
1,Alabama,1009,Blount,2016,2020,Hispanic (all races),
1,Alabama,1009,Blount,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1009,Blount,2016,2020,White (includes Hispanic),64.3
1,Alabama,1009,Blount,2017,2021,Asian/Pacific Islander (includes Hispanic),41.0
1,Alabama,1009,Blount,2017,2021,Black (includes Hispanic),64.0
1,Alabama,1009,Blount,2017,2021,Hispanic (all races),21.2
1,Alabama,1009,Blount,2017,2021,American Indian/Alaskan Native (includes Hispanic),
