StateFIPS,State,CountyFIPS,County,Start Year,End Year,Race Ethnicity,Value
1,Alabama,1001,Autauga,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,Black (includes Hispanic),15.72
1,Alabama,1001,Autauga,2011,2015,Hispanic (all races),
1,Alabama,1001,Autauga,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,White (includes Hispanic),13.64
1,Alabama,1001,Autauga,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,Black (includes Hispanic),14.73
1,Alabama,1001,Autauga,2012,2016,Hispanic (all races),
1,Alabama,1001,Autauga,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,White (includes Hispanic),13.51
1,Alabama,1001,Autauga,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,Black (includes Hispanic),14.13
1,Alabama,1001,Autauga,2013,2017,Hispanic (all races),
1,Alabama,1001,Autauga,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,White (includes Hispanic),12.76
1,Alabama,1001,Autauga,2014,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,Black (includes Hispanic),15.63
1,Alabama,1001,Autauga,2014,2018,Hispanic (all races),
1,Alabama,1001,Autauga,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,White (includes Hispanic),12.79
1,Alabama,1001,Autauga,2015,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2015,2019,Black (includes Hispanic),17.21
1,Alabama,1001,Autauga,2015,2019,Hispanic (all races),
1,Alabama,1001,Autauga,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2015,2019,White (includes Hispanic),13.04
1,Alabama,1001,Autauga,2016,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2016,2020,Black (includes Hispanic),17.1
1,Alabama,1001,Autauga,2016,2020,Hispanic (all races),
1,Alabama,1001,Autauga,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2016,2020,White (includes Hispanic),12.1
1,Alabama,1001,Autauga,2017,2021,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2017,2021,Black (includes Hispanic),23.7
1,Alabama,1001,Autauga,2017,2021,Hispanic (all races),
1,Alabama,1001,Autauga,2017,2021,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2017,2021,White (includes Hispanic),16.77
1,Alabama,1003,Baldwin,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2011,2015,Black (includes Hispanic),16.22
1,Alabama,1003,Baldwin,2011,2015,Hispanic (all races),
1,Alabama,1003,Baldwin,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2011,2015,White (includes Hispanic),12.42
1,Alabama,1003,Baldwin,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2012,2016,Black (includes Hispanic),16.24
1,Alabama,1003,Baldwin,2012,2016,Hispanic (all races),
1,Alabama,1003,Baldwin,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2012,2016,White (includes Hispanic),12.74
1,Alabama,1003,Baldwin,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2013,2017,Black (includes Hispanic),16.09
1,Alabama,1003,Baldwin,2013,2017,Hispanic (all races),
1,Alabama,1003,Baldwin,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2013,2017,White (includes Hispanic),12.2
1,Alabama,1003,Baldwin,2014,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2014,2018,Black (includes Hispanic),16.55
1,Alabama,1003,Baldwin,2014,2018,Hispanic (all races),
1,Alabama,1003,Baldwin,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2014,2018,White (includes Hispanic),12.49
1,Alabama,1003,Baldwin,2015,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2015,2019,Black (includes Hispanic),17.08
1,Alabama,1003,Baldwin,2015,2019,Hispanic (all races),
1,Alabama,1003,Baldwin,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2015,2019,White (includes Hispanic),13.1
1,Alabama,1003,Baldwin,2016,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2016,2020,Black (includes Hispanic),15.56
1,Alabama,1003,Baldwin,2016,2020,Hispanic (all races),
1,Alabama,1003,Baldwin,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2016,2020,White (includes Hispanic),13.33
1,Alabama,1003,Baldwin,2017,2021,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1003,Baldwin,2017,2021,Black (includes Hispanic),17.93
1,Alabama,1003,Baldwin,2017,2021,Hispanic (all races),
1,Alabama,1003,Baldwin,2017,2021,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1003,Baldwin,2017,2021,White (includes Hispanic),16.36
1,Alabama,1005,Barbour,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2011,2015,Black (includes Hispanic),15.66
1,Alabama,1005,Barbour,2011,2015,Hispanic (all races),
1,Alabama,1005,Barbour,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2011,2015,White (includes Hispanic),12.36
1,Alabama,1005,Barbour,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2012,2016,Black (includes Hispanic),16.24
1,Alabama,1005,Barbour,2012,2016,Hispanic (all races),
1,Alabama,1005,Barbour,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2012,2016,White (includes Hispanic),13.71
1,Alabama,1005,Barbour,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1005,Barbour,2013,2017,Black (includes Hispanic),17.71
1,Alabama,1005,Barbour,2013,2017,Hispanic (all races),
1,Alabama,1005,Barbour,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1005,Barbour,2013,2017,White (includes Hispanic),13.94
