StateFIPS,State,CountyFIPS,County,Start Year,End Year,Race Ethnicity,Value
1,Alabama,1001,Autauga,2011,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,Black (includes Hispanic),191.88
1,Alabama,1001,Autauga,2011,2015,Hispanic (all races),
1,Alabama,1001,Autauga,2011,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2011,2015,White (includes Hispanic),100.95
1,Alabama,1001,Autauga,2012,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,Black (includes Hispanic),189.86
1,Alabama,1001,Autauga,2012,2016,Hispanic (all races),
1,Alabama,1001,Autauga,2012,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2012,2016,White (includes Hispanic),97.84
1,Alabama,1001,Autauga,2013,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,Black (includes Hispanic),204.68
1,Alabama,1001,Autauga,2013,2017,Hispanic (all races),
1,Alabama,1001,Autauga,2013,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2013,2017,White (includes Hispanic),110.15
1,Alabama,1001,Autauga,2014,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,Black (includes Hispanic),197.16
1,Alabama,1001,Autauga,2014,2018,Hispanic (all races),
1,Alabama,1001,Autauga,2014,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2014,2018,White (includes Hispanic),109.09
1,Alabama,1001,Autauga,2015,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2015,2019,Black (includes Hispanic),198.65
1,Alabama,1001,Autauga,2015,2019,Hispanic (all races),
1,Alabama,1001,Autauga,2015,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2015,2019,White (includes Hispanic),110.93
1,Alabama,1001,Autauga,2016,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2016,2020,Black (includes Hispanic),196.11
1,Alabama,1001,Autauga,2016,2020,Hispanic (all races),
1,Alabama,1001,Autauga,2016,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2016,2020,White (includes Hispanic),109.08
1,Alabama,1001,Autauga,2017,2021,Asian/Pacific Islander (includes Hispanic),
1,Alabama,1001,Autauga,2017,2021,Black (includes Hispanic),241.92
1,Alabama,1001,Autauga,2017,2021,Hispanic (all races),
1,Alabama,1001,Autauga,2017,2021,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,1001,Autauga,2017,2021,White (includes Hispanic),136.26
1,Alabama,1003,Baldwin,2011,2015,Asian/Pacific Islander (includes Hispanic),83.86
1,Alabama,1003,Baldwin,2011,2015,Black (includes Hispanic),179.63
