StateFIPS,State,Year,Value
1,Alabama,2011,19.5
1,Alabama,2012,17.7
1,Alabama,2013,19.5
1,Alabama,2014,18.0
1,Alabama,2015,18.1
1,Alabama,2016,17.6
1,Alabama,2017,18.0
1,Alabama,2018,17.3
1,Alabama,2019,16.9
1,Alabama,2020,16.2
2,Alaska,2011,26.3
2,Alaska,2012,19.9
2,Alaska,2013,21.5
2,Alaska,2014,19.9
2,Alaska,2015,24.7
2,Alaska,2016,20.3
2,Alaska,2017,21.6
2,Alaska,2018,18.2
2,Alaska,2019,18.3
2,Alaska,2020,16.0
4,Arizona,2011,20.6
4,Arizona,2012,19.4
4,Arizona,2013,19.5
4,Arizona,2014,19.8
4,Arizona,2015,19.5
4,Arizona,2016,19.1
4,Arizona,2017,18.2
4,Arizona,2018,18.0
4,Arizona,2019,17.6
4,Arizona,2020,15.9
5,Arkansas,2011,18.0
5,Arkansas,2012,17.8
5,Arkansas,2013,18.9
5,Arkansas,2014,18.1
5,Arkansas,2015,17.3
5,Arkansas,2016,19.2
5,Arkansas,2017,19.9
5,Arkansas,2018,18.3
5,Arkansas,2019,17.8
5,Arkansas,2020,17.4
6,California,2011,18.3
6,California,2012,18.1
6,California,2013,17.5
6,California,2014,17.3
6,California,2015,16.8
6,California,2016,16.8
6,California,2017,16.0
6,California,2018,15.4
6,California,2019,15.4
6,California,2020,14.5
8,Colorado,2011,19.1
8,Colorado,2012,19.5
8,Colorado,2013,20.1
8,Colorado,2014,18.8
8,Colorado,2015,18.1
8,Colorado,2016,19.0
8,Colorado,2017,17.9
8,Colorado,2018,17.3
8,Colorado,2019,18.4
8,Colorado,2020,17.0
9,Connecticut,2011,27.6
9,Connecticut,2012,27.5
9,Connecticut,2013,27.3
9,Connecticut,2014,25.6
9,Connecticut,2015,25.7
9,Connecticut,2016,25.2
9,Connecticut,2017,24.1
9,Connecticut,2018,23.5
9,Connecticut,2019,22.4
9,Connecticut,2020,20.4
10,Delaware,2011,25.4
10,Delaware,2012,24.1
10,Delaware,2013,23.2
10,Delaware,2014,25.1
10,Delaware,2015,24.9
10,Delaware,2016,24.8
10,Delaware,2017,22.1
10,Delaware,2018,23.4
10,Delaware,2019,23.2
10,Delaware,2020,21.5
11,District of Columbia,2011,15.0
11,District of Columbia,2012,18.1
11,District of Columbia,2013,12.6
11,District of Columbia,2014,11.4
11,District of Columbia,2015,12.4
11,District of Columbia,2016,11.3
11,District of Columbia,2017,15.7
11,District of Columbia,2018,14.2
11,District of Columbia,2019,14.5
11,District of Columbia,2020,10.8
12,Florida,2011,21.3
12,Florida,2012,21.1
12,Florida,2013,22.7
12,Florida,2014,22.9
12,Florida,2015,21.8
12,Florida,2016,20.7
12,Florida,2017,19.1
12,Florida,2018,18.4
12,Florida,2019,18.8
12,Florida,2020,17.0
13,Georgia,2011,18.0
13,Georgia,2012,18.9
13,Georgia,2013,18.0
13,Georgia,2014,18.2
13,Georgia,2015,18.5
13,Georgia,2016,18.4
13,Georgia,2017,18.4
13,Georgia,2018,18.5
13,Georgia,2019,18.1
13,Georgia,2020,16.6
15,Hawaii,2011,12.3
15,Hawaii,2012,13.1
15,Hawaii,2013,13.0
15,Hawaii,2014,15.0
15,Hawaii,2015,14.7
15,Hawaii,2016,13.0
15,Hawaii,2017,14.9
15,Hawaii,2018,13.2
15,Hawaii,2019,13.5
15,Hawaii,2020,13.2
16,Idaho,2011,21.9
16,Idaho,2012,23.0
16,Idaho,2013,22.5
16,Idaho,2014,22.3
16,Idaho,2015,21.2
16,Idaho,2016,21.7
16,Idaho,2017,22.5
16,Idaho,2018,20.7
16,Idaho,2019,22.2
16,Idaho,2020,18.6
