StateFIPS,State,Year,Value
1,Alabama,2011,117.9
1,Alabama,2012,120.6
1,Alabama,2013,122.0
1,Alabama,2014,122.0
1,Alabama,2015,124.7
1,Alabama,2016,123.1
1,Alabama,2017,118.1
1,Alabama,2018,121.1
1,Alabama,2019,127.5
1,Alabama,2020,122.9
2,Alaska,2011,133.8
2,Alaska,2012,128.6
2,Alaska,2013,123.3
2,Alaska,2014,132.8
2,Alaska,2015,128.1
2,Alaska,2016,116.9
2,Alaska,2017,113.1
2,Alaska,2018,127.5
2,Alaska,2019,141.5
2,Alaska,2020,115.5
4,Arizona,2011,113.9
4,Arizona,2012,111.8
4,Arizona,2013,117.8
4,Arizona,2014,118.9
4,Arizona,2015,115.2
4,Arizona,2016,116.8
4,Arizona,2017,114.2
4,Arizona,2018,116.7
4,Arizona,2019,118.2
4,Arizona,2020,105.5
5,Arkansas,2011,108.4
5,Arkansas,2012,111.4
5,Arkansas,2013,120.4
5,Arkansas,2014,116.7
5,Arkansas,2015,118.7
5,Arkansas,2016,121.2
5,Arkansas,2017,116.3
5,Arkansas,2018,123.9
5,Arkansas,2019,129.1
5,Arkansas,2020,116.0
6,California,2011,123.4
6,California,2012,122.8
6,California,2013,123.1
6,California,2014,121.2
6,California,2015,124.2
6,California,2016,121.2
6,California,2017,123.4
6,California,2018,123.2
6,California,2019,126.2
6,California,2020,112.1
8,Colorado,2011,121.9
8,Colorado,2012,122.9
8,Colorado,2013,125.3
8,Colorado,2014,126.0
8,Colorado,2015,126.7
8,Colorado,2016,129.9
8,Colorado,2017,133.6
8,Colorado,2018,132.1
8,Colorado,2019,132.6
8,Colorado,2020,121.6
9,Connecticut,2011,137.1
9,Connecticut,2012,138.0
9,Connecticut,2013,140.0
9,Connecticut,2014,143.8
9,Connecticut,2015,145.0
9,Connecticut,2016,141.2
9,Connecticut,2017,138.9
9,Connecticut,2018,139.9
9,Connecticut,2019,142.4
9,Connecticut,2020,133.4
10,Delaware,2011,123.9
10,Delaware,2012,126.4
10,Delaware,2013,146.7
10,Delaware,2014,138.9
10,Delaware,2015,137.9
10,Delaware,2016,133.4
10,Delaware,2017,121.9
10,Delaware,2018,140.7
10,Delaware,2019,151.3
10,Delaware,2020,132.9
11,District of Columbia,2011,156.8
