StateFIPS,State,Year,Value
1,Alabama,2011,42.09
1,Alabama,2012,44.18
1,Alabama,2013,44.43
1,Alabama,2014,44.57
1,Alabama,2015,43.17
1,Alabama,2016,43.92
1,Alabama,2017,42.44
1,Alabama,2018,40.87
1,Alabama,2019,41.84
1,Alabama,2020,37.53
2,Alaska,2011,41.9
2,Alaska,2012,41.43
2,Alaska,2013,45.07
2,Alaska,2014,44.4
2,Alaska,2015,43.18
2,Alaska,2016,39.85
2,Alaska,2017,44.5
2,Alaska,2018,41.43
2,Alaska,2019,40.56
2,Alaska,2020,41.19
4,Arizona,2011,35.33
4,Arizona,2012,35.4
4,Arizona,2013,33.61
4,Arizona,2014,34.87
4,Arizona,2015,33.19
4,Arizona,2016,31.72
4,Arizona,2017,32.31
4,Arizona,2018,33.02
4,Arizona,2019,31.27
4,Arizona,2020,28.98
5,Arkansas,2011,41.02
5,Arkansas,2012,40.87
5,Arkansas,2013,42.61
5,Arkansas,2014,43.46
5,Arkansas,2015,44.25
5,Arkansas,2016,41.68
5,Arkansas,2017,42.14
5,Arkansas,2018,41.46
5,Arkansas,2019,45.32
5,Arkansas,2020,36.45
6,California,2011,38.28
6,California,2012,37.04
6,California,2013,35.83
6,California,2014,36.46
6,California,2015,35.78
6,California,2016,34.86
6,California,2017,34.16
6,California,2018,34.13
6,California,2019,34.45
6,California,2020,30.31
8,Colorado,2011,35.05
8,Colorado,2012,34.25
8,Colorado,2013,34.69
8,Colorado,2014,33.25
8,Colorado,2015,34.02
8,Colorado,2016,32.67
8,Colorado,2017,32.75
8,Colorado,2018,31.52
8,Colorado,2019,31.41
8,Colorado,2020,27.92
9,Connecticut,2011,39.43
9,Connecticut,2012,40.7
9,Connecticut,2013,36.56
9,Connecticut,2014,36.32
9,Connecticut,2015,35.41
9,Connecticut,2016,35.8
9,Connecticut,2017,34.13
9,Connecticut,2018,35.44
9,Connecticut,2019,32.99
9,Connecticut,2020,30.77
10,Delaware,2011,38.41
10,Delaware,2012,35.44
10,Delaware,2013,35.39
10,Delaware,2014,37.56
10,Delaware,2015,40.44
10,Delaware,2016,39.67
10,Delaware,2017,38.24
10,Delaware,2018,35.37
10,Delaware,2019,33.44
10,Delaware,2020,29.45
11,District of Columbia,2011,43.37
11,District of Columbia,2012,40.49
11,District of Columbia,2013,40.59
11,District of Columbia,2014,45.7
11,District of Columbia,2015,32.67
11,District of Columbia,2016,35.42
11,District of Columbia,2017,36.61
11,District of Columbia,2018,38.67
11,District of Columbia,2019,35.12
11,District of Columbia,2020,29.46
12,Florida,2011,40.5
12,Florida,2012,37.91
12,Florida,2013,38.54
12,Florida,2014,38.27
12,Florida,2015,37.81
12,Florida,2016,37.5
12,Florida,2017,35.93
12,Florida,2018,35.67
12,Florida,2019,36.23
12,Florida,2020,33.01
13,Georgia,2011,42.19
13,Georgia,2012,42.37
13,Georgia,2013,41.56
13,Georgia,2014,42.24
13,Georgia,2015,42.3
13,Georgia,2016,42.14
13,Georgia,2017,39.41
13,Georgia,2018,39.99
