StateFIPS,State,Year,Value
1,Alabama,2011,4.9
1,Alabama,2012,4.51
1,Alabama,2013,4.65
1,Alabama,2014,4.33
1,Alabama,2015,4.78
1,Alabama,2016,4.42
1,Alabama,2017,4.52
1,Alabama,2018,4.49
1,Alabama,2019,4.33
1,Alabama,2020,4.55
2,Alaska,2011,6.08
2,Alaska,2012,3.87
2,Alaska,2013,6.11
2,Alaska,2014,7.08
2,Alaska,2015,5.31
2,Alaska,2016,6.1
2,Alaska,2017,5.8
2,Alaska,2018,6.21
2,Alaska,2019,3.94
2,Alaska,2020,5.43
4,Arizona,2011,4.62
4,Arizona,2012,4.28
4,Arizona,2013,4.59
4,Arizona,2014,4.55
4,Arizona,2015,4.12
4,Arizona,2016,4.36
4,Arizona,2017,4.24
4,Arizona,2018,4.31
4,Arizona,2019,3.96
4,Arizona,2020,3.76
5,Arkansas,2011,4.69
5,Arkansas,2012,3.79
5,Arkansas,2013,4.12
5,Arkansas,2014,4.37
5,Arkansas,2015,3.95
5,Arkansas,2016,3.79
5,Arkansas,2017,4.33
5,Arkansas,2018,4.33
5,Arkansas,2019,4.33
5,Arkansas,2020,4.46
6,California,2011,3.93
6,California,2012,3.77
6,California,2013,3.49
6,California,2014,3.63
6,California,2015,3.56
6,California,2016,3.46
6,California,2017,3.38
6,California,2018,3.48
6,California,2019,3.58
6,California,2020,3.42
8,Colorado,2011,3.48
8,Colorado,2012,4.07
8,Colorado,2013,4.8
8,Colorado,2014,4.15
8,Colorado,2015,4.47
8,Colorado,2016,4.01
8,Colorado,2017,4.34
8,Colorado,2018,3.81
8,Colorado,2019,3.9
8,Colorado,2020,4.2
9,Connecticut,2011,4.34
9,Connecticut,2012,5.27
9,Connecticut,2013,5.03
9,Connecticut,2014,4.18
9,Connecticut,2015,4.93
9,Connecticut,2016,4.33
9,Connecticut,2017,5.04
9,Connecticut,2018,4.39
9,Connecticut,2019,4.7
9,Connecticut,2020,4.32
10,Delaware,2011,5.63
10,Delaware,2012,5.07
10,Delaware,2013,3.81
10,Delaware,2014,5.54
10,Delaware,2015,5.48
10,Delaware,2016,4.9
10,Delaware,2017,4.96
10,Delaware,2018,4.94
10,Delaware,2019,4.06
10,Delaware,2020,4.44
11,District of Columbia,2011,5.7
11,District of Columbia,2012,4.65
11,District of Columbia,2013,4.43
11,District of Columbia,2014,4.35
11,District of Columbia,2015,3.73
11,District of Columbia,2016,3.99
11,District of Columbia,2017,2.57
11,District of Columbia,2018,3.01
11,District of Columbia,2019,4.95
11,District of Columbia,2020,4.56
12,Florida,2011,4.75
12,Florida,2012,4.54
12,Florida,2013,4.61
12,Florida,2014,4.54
12,Florida,2015,4.62
12,Florida,2016,4.55
12,Florida,2017,4.47
12,Florida,2018,4.86
12,Florida,2019,4.55
12,Florida,2020,4.33
13,Georgia,2011,4.74
13,Georgia,2012,4.54
13,Georgia,2013,4.17
13,Georgia,2014,4.53
13,Georgia,2015,4.32
13,Georgia,2016,4.5
13,Georgia,2017,4.29
13,Georgia,2018,4.3
13,Georgia,2019,4.49
13,Georgia,2020,4.21
15,Hawaii,2011,4.04
15,Hawaii,2012,3.14
15,Hawaii,2013,3.04
15,Hawaii,2014,3.19
15,Hawaii,2015,3.58
15,Hawaii,2016,3.94
15,Hawaii,2017,4.17
15,Hawaii,2018,2.65
15,Hawaii,2019,3.77
15,Hawaii,2020,3.82
16,Idaho,2011,4.24
16,Idaho,2012,4.73
16,Idaho,2013,4.72
16,Idaho,2014,5.38
16,Idaho,2015,4.33
16,Idaho,2016,5.2
16,Idaho,2017,5.21
16,Idaho,2018,4.96
16,Idaho,2019,4.64
16,Idaho,2020,4.12
17,Illinois,2011,5.23
17,Illinois,2012,5.34
17,Illinois,2013,4.87
17,Illinois,2014,4.94
17,Illinois,2015,4.98
17,Illinois,2016,4.6
17,Illinois,2017,4.54
17,Illinois,2018,4.49
17,Illinois,2019,5.16
17,Illinois,2020,4.95
18,Indiana,2011,5.29
18,Indiana,2012,6.01
18,Indiana,2013,5.5
18,Indiana,2014,5.55
18,Indiana,2015,5.44
18,Indiana,2017,5.89
18,Indiana,2018,5.96
18,Indiana,2019,5.12
19,Iowa,2011,5.25
19,Iowa,2012,5.58
19,Iowa,2013,5.77
19,Iowa,2014,5.62
19,Iowa,2015,5.69
19,Iowa,2016,5.7
19,Iowa,2017,6.36
19,Iowa,2018,5.39
19,Iowa,2019,5.53
19,Iowa,2020,5.25
21,Kentucky,2011,4.97
21,Kentucky,2012,4.47
21,Kentucky,2013,5.1
21,Kentucky,2014,4.98
21,Kentucky,2015,5.05
21,Kentucky,2016,5.07
21,Kentucky,2017,5.58
21,Kentucky,2018,5.33
21,Kentucky,2019,6.17
21,Kentucky,2020,5.66
22,Louisiana,2011,4.8
22,Louisiana,2012,5.04
22,Louisiana,2013,4.64
22,Louisiana,2014,4.5
22,Louisiana,2015,4.63
22,Louisiana,2016,4.6
22,Louisiana,2017,3.86
22,Louisiana,2018,4.35
22,Louisiana,2019,4.75
22,Louisiana,2020,4.83
23,Maine,2011,6.16
23,Maine,2012,6.38
23,Maine,2013,6.21
23,Maine,2014,7.04
23,Maine,2015,7.14
23,Maine,2016,7.65
23,Maine,2017,5.83
23,Maine,2018,6.46
23,Maine,2019,7.06
23,Maine,2020,6.98
24,Maryland,2011,4.45
24,Maryland,2012,4.32
24,Maryland,2013,4.34
24,Maryland,2014,3.78
24,Maryland,2015,4.94
24,Maryland,2016,3.97
24,Maryland,2017,4.33
24,Maryland,2018,4.48
24,Maryland,2019,4.08
24,Maryland,2020,3.48
25,Massachusetts,2011,5.94
25,Massachusetts,2012,5.34
25,Massachusetts,2013,5.69
25,Massachusetts,2014,5.52
25,Massachusetts,2015,5.2
25,Massachusetts,2016,5.32
25,Massachusetts,2017,5.33
25,Massachusetts,2018,5.69
25,Massachusetts,2019,5.39
25,Massachusetts,2020,4.81
26,Michigan,2011,5.6
26,Michigan,2012,5.12
26,Michigan,2013,5.21
26,Michigan,2014,5.31
26,Michigan,2015,5.46
26,Michigan,2016,5.62
26,Michigan,2017,5.35
26,Michigan,2018,5.47
26,Michigan,2019,5.77
26,Michigan,2020,4.94
27,Minnesota,2011,5.46
27,Minnesota,2012,4.56
27,Minnesota,2013,4.52
27,Minnesota,2014,5.06
27,Minnesota,2015,4.73
27,Minnesota,2016,4.83
27,Minnesota,2017,4.77
27,Minnesota,2018,5.27
27,Minnesota,2019,5.39
27,Minnesota,2020,5.24
28,Mississippi,2011,4.46
28,Mississippi,2012,4.88
28,Mississippi,2013,4.49
28,Mississippi,2014,4.36
