StateFIPS,State,Year,Value
1,Alabama,2011,15.76
1,Alabama,2012,17.94
1,Alabama,2013,17.27
1,Alabama,2014,17.14
1,Alabama,2015,18.31
1,Alabama,2016,18.68
1,Alabama,2017,18.53
1,Alabama,2018,18.54
1,Alabama,2019,19.93
1,Alabama,2020,17.39
2,Alaska,2011,15.69
2,Alaska,2012,14.16
2,Alaska,2013,18.69
2,Alaska,2014,21.12
2,Alaska,2015,20.62
2,Alaska,2016,16.67
2,Alaska,2017,18.46
2,Alaska,2018,20.33
2,Alaska,2019,19.88
2,Alaska,2020,19.27
4,Arizona,2011,16.11
4,Arizona,2012,16.0
4,Arizona,2013,16.01
4,Arizona,2014,15.43
4,Arizona,2015,16.18
4,Arizona,2016,16.75
4,Arizona,2017,16.96
4,Arizona,2018,17.06
4,Arizona,2019,16.32
4,Arizona,2020,14.59
5,Arkansas,2011,16.0
5,Arkansas,2012,16.61
5,Arkansas,2013,17.49
5,Arkansas,2014,19.18
5,Arkansas,2015,18.87
5,Arkansas,2016,20.37
5,Arkansas,2017,20.35
5,Arkansas,2018,21.73
5,Arkansas,2019,22.32
5,Arkansas,2020,20.49
6,California,2011,14.25
6,California,2012,14.27
6,California,2013,14.49
6,California,2014,14.3
6,California,2015,15.35
6,California,2016,15.07
6,California,2017,15.53
6,California,2018,14.95
6,California,2019,15.55
6,California,2020,13.77
8,Colorado,2011,14.09
8,Colorado,2012,13.52
8,Colorado,2013,13.54
8,Colorado,2014,14.79
8,Colorado,2015,14.11
8,Colorado,2016,14.25
8,Colorado,2017,14.03
8,Colorado,2018,15.24
8,Colorado,2019,15.47
8,Colorado,2020,14.29
9,Connecticut,2011,14.95
9,Connecticut,2012,15.83
9,Connecticut,2013,15.26
9,Connecticut,2014,16.25
9,Connecticut,2015,16.35
9,Connecticut,2016,16.12
9,Connecticut,2017,17.03
9,Connecticut,2018,15.56
9,Connecticut,2019,16.86
9,Connecticut,2020,13.24
10,Delaware,2011,16.97
10,Delaware,2012,16.74
10,Delaware,2013,18.62
10,Delaware,2014,17.35
10,Delaware,2015,16.94
10,Delaware,2016,16.85
10,Delaware,2017,17.27
10,Delaware,2018,18.22
10,Delaware,2019,18.32
10,Delaware,2020,14.54
11,District of Columbia,2011,16.46
11,District of Columbia,2012,16.09
11,District of Columbia,2013,14.59
11,District of Columbia,2014,15.38
11,District of Columbia,2015,11.08
11,District of Columbia,2016,11.12
11,District of Columbia,2017,13.47
11,District of Columbia,2018,12.32
11,District of Columbia,2019,9.67
11,District of Columbia,2020,11.61
12,Florida,2011,15.25
12,Florida,2012,14.54
12,Florida,2013,14.23
12,Florida,2014,15.3
12,Florida,2015,15.69
12,Florida,2016,15.39
12,Florida,2017,14.95
12,Florida,2018,15.58
12,Florida,2019,15.91
12,Florida,2020,15.04
13,Georgia,2011,14.97
13,Georgia,2012,16.53
13,Georgia,2013,15.72
13,Georgia,2014,17.06
13,Georgia,2015,17.18
13,Georgia,2016,17.9
13,Georgia,2017,18.09
13,Georgia,2018,16.96
13,Georgia,2019,18.37
13,Georgia,2020,17.14
15,Hawaii,2011,14.8
15,Hawaii,2012,12.69
15,Hawaii,2013,14.05
15,Hawaii,2014,12.45
15,Hawaii,2015,15.06
15,Hawaii,2016,13.14
15,Hawaii,2017,13.46
15,Hawaii,2018,12.72
15,Hawaii,2019,14.77
15,Hawaii,2020,14.55
16,Idaho,2011,16.02
16,Idaho,2012,15.28
16,Idaho,2013,17.13
16,Idaho,2014,16.23
16,Idaho,2015,16.88
16,Idaho,2016,16.77
16,Idaho,2017,18.58
16,Idaho,2018,16.74
16,Idaho,2019,21.17
16,Idaho,2020,18.22
17,Illinois,2011,17.51
17,Illinois,2012,17.68
17,Illinois,2013,17.83
17,Illinois,2014,18.43
17,Illinois,2015,18.66
17,Illinois,2016,18.51
17,Illinois,2017,18.43
17,Illinois,2018,18.49
17,Illinois,2019,19.02
17,Illinois,2020,17.13
18,Indiana,2011,17.8
18,Indiana,2012,17.16
18,Indiana,2013,19.11
18,Indiana,2014,19.16
18,Indiana,2015,19.88
18,Indiana,2017,19.22
18,Indiana,2018,19.78
18,Indiana,2019,17.98
19,Iowa,2011,17.65
19,Iowa,2012,18.71
19,Iowa,2013,18.22
19,Iowa,2014,18.82
19,Iowa,2015,19.71
19,Iowa,2016,20.71
19,Iowa,2017,19.61
19,Iowa,2018,21.48
19,Iowa,2019,19.62
19,Iowa,2020,20.68
21,Kentucky,2011,20.28
21,Kentucky,2012,19.95
21,Kentucky,2013,20.78
21,Kentucky,2014,20.11
21,Kentucky,2015,21.47
21,Kentucky,2016,22.01
21,Kentucky,2017,22.39
21,Kentucky,2018,20.96
21,Kentucky,2019,21.83
21,Kentucky,2020,19.79
22,Louisiana,2011,21.33
22,Louisiana,2012,21.36
22,Louisiana,2013,21.93
22,Louisiana,2014,23.28
22,Louisiana,2015,21.65
22,Louisiana,2016,21.82
22,Louisiana,2017,23.38
22,Louisiana,2018,22.68
22,Louisiana,2019,24.74
22,Louisiana,2020,21.92
23,Maine,2011,15.84
23,Maine,2012,16.15
23,Maine,2013,15.59
23,Maine,2014,17.59
23,Maine,2015,17.57
23,Maine,2016,16.83
23,Maine,2017,16.34
23,Maine,2018,18.24
23,Maine,2019,17.79
23,Maine,2020,16.87
24,Maryland,2011,15.21
24,Maryland,2012,14.75
24,Maryland,2013,14.93
24,Maryland,2014,14.26
24,Maryland,2015,15.58
24,Maryland,2016,16.12
24,Maryland,2017,15.55
24,Maryland,2018,16.3
24,Maryland,2019,17.44
24,Maryland,2020,13.51
25,Massachusetts,2011,15.31
25,Massachusetts,2012,15.6
25,Massachusetts,2013,16.5
25,Massachusetts,2014,16.6
25,Massachusetts,2015,17.13
25,Massachusetts,2016,16.06
25,Massachusetts,2017,15.6
25,Massachusetts,2018,15.95
25,Massachusetts,2019,15.53
25,Massachusetts,2020,15.25
26,Michigan,2011,17.31
26,Michigan,2012,17.08
26,Michigan,2013,16.94
26,Michigan,2014,16.97
26,Michigan,2015,16.01
26,Michigan,2016,17.49
26,Michigan,2017,17.23
26,Michigan,2018,16.95
26,Michigan,2019,16.69
26,Michigan,2020,15.52
27,Minnesota,2011,15.09
27,Minnesota,2012,15.95
27,Minnesota,2013,16.3
27,Minnesota,2014,18.34
