StateFIPS,State,Year,Value
1,Alabama,2011,12.5
1,Alabama,2012,12.6
1,Alabama,2013,12.3
1,Alabama,2014,12.7
1,Alabama,2015,12.5
1,Alabama,2016,12.7
1,Alabama,2017,12.6
1,Alabama,2018,14.0
1,Alabama,2019,12.4
1,Alabama,2020,10.2
2,Alaska,2011,14.7
2,Alaska,2012,10.2
2,Alaska,2013,12.0
2,Alaska,2014,12.7
2,Alaska,2015,12.1
2,Alaska,2016,13.2
2,Alaska,2017,12.5
2,Alaska,2018,11.6
2,Alaska,2019,13.3
2,Alaska,2020,11.8
4,Arizona,2011,13.2
4,Arizona,2012,13.4
4,Arizona,2013,12.2
4,Arizona,2014,11.7
4,Arizona,2015,13.0
4,Arizona,2016,11.3
4,Arizona,2017,11.1
4,Arizona,2018,11.7
4,Arizona,2019,11.6
4,Arizona,2020,10.8
5,Arkansas,2011,9.9
5,Arkansas,2012,12.3
5,Arkansas,2013,13.5
5,Arkansas,2014,13.7
5,Arkansas,2015,14.3
5,Arkansas,2016,14.5
5,Arkansas,2017,14.5
5,Arkansas,2018,14.3
5,Arkansas,2019,14.5
5,Arkansas,2020,11.3
6,California,2011,13.3
6,California,2012,13.5
6,California,2013,13.4
6,California,2014,13.4
6,California,2015,13.0
6,California,2016,12.9
6,California,2017,12.4
6,California,2018,12.3
6,California,2019,12.5
6,California,2020,11.3
8,Colorado,2011,15.1
8,Colorado,2012,14.2
8,Colorado,2013,14.0
8,Colorado,2014,14.3
8,Colorado,2015,13.4
8,Colorado,2016,13.4
8,Colorado,2017,12.7
8,Colorado,2018,12.8
8,Colorado,2019,12.5
8,Colorado,2020,11.6
9,Connecticut,2011,17.0
9,Connecticut,2012,16.2
9,Connecticut,2013,15.7
9,Connecticut,2014,15.0
9,Connecticut,2015,13.2
9,Connecticut,2016,14.0
9,Connecticut,2017,16.6
9,Connecticut,2018,14.4
9,Connecticut,2019,14.2
9,Connecticut,2020,13.9
10,Delaware,2011,14.9
10,Delaware,2012,18.5
10,Delaware,2013,13.3
10,Delaware,2014,14.9
10,Delaware,2015,13.6
10,Delaware,2016,13.0
10,Delaware,2017,13.1
10,Delaware,2018,12.2
10,Delaware,2019,14.1
10,Delaware,2020,13.5
11,District of Columbia,2011,14.1
11,District of Columbia,2012,12.2
11,District of Columbia,2013,8.0
11,District of Columbia,2014,7.7
11,District of Columbia,2015,9.1
11,District of Columbia,2016,7.3
11,District of Columbia,2017,10.0
11,District of Columbia,2018,9.9
11,District of Columbia,2019,11.5
11,District of Columbia,2020,9.1
12,Florida,2011,18.4
12,Florida,2012,17.9
12,Florida,2013,20.2
12,Florida,2014,20.1
12,Florida,2015,21.0
12,Florida,2016,19.2
12,Florida,2017,17.6
12,Florida,2018,18.4
12,Florida,2019,16.1
12,Florida,2020,16.7
13,Georgia,2011,14.0
13,Georgia,2012,14.5
13,Georgia,2013,15.4
13,Georgia,2014,16.0
13,Georgia,2015,14.8
13,Georgia,2016,14.5
13,Georgia,2017,15.0
13,Georgia,2018,14.6
13,Georgia,2019,14.9
13,Georgia,2020,13.6
15,Hawaii,2011,13.7
15,Hawaii,2012,11.3
15,Hawaii,2013,11.3
15,Hawaii,2014,11.7
15,Hawaii,2015,10.1
15,Hawaii,2016,10.6
15,Hawaii,2017,11.0
15,Hawaii,2018,9.8
15,Hawaii,2019,10.5
15,Hawaii,2020,10.7
16,Idaho,2011,15.9
16,Idaho,2012,15.2
16,Idaho,2013,18.5
16,Idaho,2014,16.0
16,Idaho,2015,18.2
16,Idaho,2016,15.4
16,Idaho,2017,17.1
16,Idaho,2018,17.0
16,Idaho,2019,16.8
16,Idaho,2020,17.0
17,Illinois,2011,14.4
17,Illinois,2012,14.6
17,Illinois,2013,14.2
17,Illinois,2014,13.9
17,Illinois,2015,14.0
17,Illinois,2016,13.7
17,Illinois,2017,14.6
17,Illinois,2018,14.0
17,Illinois,2019,13.8
17,Illinois,2020,13.0
18,Indiana,2011,14.8
18,Indiana,2012,15.7
18,Indiana,2013,14.6
18,Indiana,2014,14.1
18,Indiana,2015,14.9
18,Indiana,2017,14.4
18,Indiana,2018,13.4
18,Indiana,2019,12.6
19,Iowa,2011,17.8
19,Iowa,2012,16.5
19,Iowa,2013,17.5
19,Iowa,2014,17.2
