StateFIPS,State,Year,Value
1,Alabama,2011,7.03
1,Alabama,2012,6.85
1,Alabama,2013,7.51
1,Alabama,2014,7.22
1,Alabama,2015,7.79
1,Alabama,2016,8.42
1,Alabama,2017,8.01
1,Alabama,2018,8.64
1,Alabama,2019,8.65
1,Alabama,2020,7.78
2,Alaska,2011,7.65
2,Alaska,2012,9.09
2,Alaska,2013,10.41
2,Alaska,2014,9.61
2,Alaska,2015,8.72
2,Alaska,2016,9.15
2,Alaska,2017,9.86
2,Alaska,2018,8.29
2,Alaska,2019,11.42
2,Alaska,2020,8.29
4,Arizona,2011,8.0
4,Arizona,2012,7.96
4,Arizona,2013,8.05
4,Arizona,2014,8.35
4,Arizona,2015,8.32
4,Arizona,2016,8.24
4,Arizona,2017,8.02
4,Arizona,2018,8.65
4,Arizona,2019,8.25
4,Arizona,2020,6.78
5,Arkansas,2011,5.19
5,Arkansas,2012,6.37
5,Arkansas,2013,6.02
5,Arkansas,2014,6.68
5,Arkansas,2015,6.61
5,Arkansas,2016,8.23
5,Arkansas,2017,7.01
5,Arkansas,2018,8.04
5,Arkansas,2019,8.72
5,Arkansas,2020,7.74
6,California,2011,9.63
6,California,2012,9.72
6,California,2013,10.02
6,California,2014,10.45
6,California,2015,10.25
6,California,2016,9.7
6,California,2017,9.86
6,California,2018,9.69
6,California,2019,10.02
6,California,2020,8.98
8,Colorado,2011,6.71
8,Colorado,2012,7.14
8,Colorado,2013,6.82
8,Colorado,2014,8.06
8,Colorado,2015,7.53
8,Colorado,2016,7.35
8,Colorado,2017,7.39
8,Colorado,2018,7.69
8,Colorado,2019,7.44
8,Colorado,2020,6.63
9,Connecticut,2011,7.56
9,Connecticut,2012,7.97
9,Connecticut,2013,7.59
9,Connecticut,2014,8.4
9,Connecticut,2015,8.49
9,Connecticut,2016,7.46
9,Connecticut,2017,7.96
9,Connecticut,2018,7.74
9,Connecticut,2019,7.69
9,Connecticut,2020,6.87
10,Delaware,2011,7.72
10,Delaware,2012,7.81
10,Delaware,2013,10.26
10,Delaware,2014,8.62
10,Delaware,2015,7.84
10,Delaware,2016,9.6
10,Delaware,2017,8.69
10,Delaware,2018,7.61
10,Delaware,2019,8.23
10,Delaware,2020,8.26
11,District of Columbia,2011,16.3
11,District of Columbia,2012,14.33
11,District of Columbia,2013,11.61
11,District of Columbia,2014,10.9
11,District of Columbia,2015,12.84
11,District of Columbia,2016,11.75
11,District of Columbia,2017,10.79
11,District of Columbia,2018,13.05
11,District of Columbia,2019,11.44
11,District of Columbia,2020,10.24
12,Florida,2011,7.4
12,Florida,2012,7.42
12,Florida,2013,7.67
12,Florida,2014,8.01
12,Florida,2015,8.4
12,Florida,2016,7.94
12,Florida,2017,7.88
12,Florida,2018,8.41
12,Florida,2019,8.46
12,Florida,2020,7.59
13,Georgia,2011,6.9
13,Georgia,2012,7.86
13,Georgia,2013,7.72
13,Georgia,2014,8.17
13,Georgia,2015,8.45
13,Georgia,2016,8.74
13,Georgia,2017,8.2
13,Georgia,2018,8.48
13,Georgia,2019,8.99
13,Georgia,2020,7.96
15,Hawaii,2011,10.76
15,Hawaii,2012,11.56
15,Hawaii,2013,12.3
15,Hawaii,2014,11.6
15,Hawaii,2015,11.55
15,Hawaii,2016,11.11
15,Hawaii,2017,11.16
15,Hawaii,2018,9.27
15,Hawaii,2019,9.1
15,Hawaii,2020,9.32
16,Idaho,2011,5.9
16,Idaho,2012,5.95
16,Idaho,2013,5.74
16,Idaho,2014,7.93
16,Idaho,2015,8.21
16,Idaho,2016,8.05
16,Idaho,2017,7.67
16,Idaho,2018,7.3
16,Idaho,2019,7.39
16,Idaho,2020,8.05
17,Illinois,2011,6.88
17,Illinois,2012,7.32
17,Illinois,2013,7.22
17,Illinois,2014,7.78
17,Illinois,2015,8.12
17,Illinois,2016,8.12
17,Illinois,2017,8.03
17,Illinois,2018,8.51
17,Illinois,2019,8.58
17,Illinois,2020,7.47
18,Indiana,2011,6.5
18,Indiana,2012,7.06
18,Indiana,2013,7.13
18,Indiana,2014,7.59
18,Indiana,2015,7.2
18,Indiana,2017,8.5
18,Indiana,2018,8.47
18,Indiana,2019,8.18
19,Iowa,2011,6.25
19,Iowa,2012,6.37
19,Iowa,2013,6.38
19,Iowa,2014,6.57
19,Iowa,2015,6.62
19,Iowa,2016,7.25
19,Iowa,2017,7.54
19,Iowa,2018,7.14
19,Iowa,2019,7.21
19,Iowa,2020,7.04
21,Kentucky,2011,6.94
21,Kentucky,2012,7.62
21,Kentucky,2013,8.53
21,Kentucky,2014,9.19
21,Kentucky,2015,8.97
21,Kentucky,2016,8.0
21,Kentucky,2017,8.47
21,Kentucky,2018,8.91
21,Kentucky,2019,9.38
21,Kentucky,2020,8.34
22,Louisiana,2011,7.82
22,Louisiana,2012,9.43
22,Louisiana,2013,9.0
22,Louisiana,2014,9.98
22,Louisiana,2015,10.54
22,Louisiana,2016,10.76
22,Louisiana,2017,9.94
22,Louisiana,2018,11.21
22,Louisiana,2019,11.07
22,Louisiana,2020,9.83
23,Maine,2011,5.44
23,Maine,2012,5.72
23,Maine,2013,5.37
23,Maine,2014,5.71
23,Maine,2015,5.8
23,Maine,2016,5.44
23,Maine,2017,5.82
23,Maine,2018,7.18
23,Maine,2019,7.71
23,Maine,2020,6.37
24,Maryland,2011,7.45
24,Maryland,2012,8.16
24,Maryland,2013,9.09
24,Maryland,2014,8.71
24,Maryland,2015,8.29
24,Maryland,2016,9.55
24,Maryland,2017,8.67
24,Maryland,2018,9.07
24,Maryland,2019,8.97
24,Maryland,2020,7.91
25,Massachusetts,2011,7.47
25,Massachusetts,2012,8.56
25,Massachusetts,2013,8.02
25,Massachusetts,2014,8.13
25,Massachusetts,2015,8.08
25,Massachusetts,2016,9.11
25,Massachusetts,2017,8.8
25,Massachusetts,2018,8.94
25,Massachusetts,2019,9.34
25,Massachusetts,2020,8.31
26,Michigan,2011,6.81
26,Michigan,2012,7.11
26,Michigan,2013,6.81
26,Michigan,2014,7.16
26,Michigan,2015,7.38
26,Michigan,2016,7.81
26,Michigan,2017,7.65
26,Michigan,2018,7.28
26,Michigan,2019,7.34
26,Michigan,2020,6.48
27,Minnesota,2011,4.45
27,Minnesota,2012,6.35
27,Minnesota,2013,6.8
27,Minnesota,2014,6.35
27,Minnesota,2015,8.1
27,Minnesota,2016,7.81
27,Minnesota,2017,8.67
27,Minnesota,2018,7.75
27,Minnesota,2019,8.23
27,Minnesota,2020,7.56
28,Mississippi,2011,7.16
28,Mississippi,2012,7.85
28,Mississippi,2013,7.97
28,Mississippi,2014,8.53
28,Mississippi,2015,9.19
28,Mississippi,2016,8.29
28,Mississippi,2017,9.94
28,Mississippi,2018,9.17
28,Mississippi,2019,8.35
28,Mississippi,2020,7.54
29,Missouri,2011,7.4
29,Missouri,2012,7.49
29,Missouri,2013,7.33
29,Missouri,2014,7.39
29,Missouri,2015,7.53
29,Missouri,2016,7.94
29,Missouri,2017,7.96
29,Missouri,2018,8.34
29,Missouri,2019,8.23
29,Missouri,2020,7.81
30,Montana,2011,4.7
30,Montana,2012,5.04
30,Montana,2013,5.97
30,Montana,2014,7.13
30,Montana,2015,6.76
30,Montana,2016,6.04
30,Montana,2017,7.36
30,Montana,2018,6.76
30,Montana,2019,7.23
30,Montana,2020,6.57
31,Nebraska,2011,5.74
31,Nebraska,2012,5.57
31,Nebraska,2013,5.82
31,Nebraska,2014,4.65
31,Nebraska,2015,5.99
31,Nebraska,2016,5.98
31,Nebraska,2017,5.9
31,Nebraska,2018,5.55
31,Nebraska,2019,6.32
31,Nebraska,2020,6.26
32,Nevada,2011,6.18
32,Nevada,2012,6.72
32,Nevada,2013,7.19
32,Nevada,2014,6.86
32,Nevada,2015,6.15
32,Nevada,2016,7.92
32,Nevada,2017,7.85
32,Nevada,2018,6.67
32,Nevada,2019,6.96
33,New Hampshire,2011,5.3
33,New Hampshire,2012,6.12
33,New Hampshire,2013,5.68
