StateFIPS,State,Year,Value
1,Alabama,2011,71.9
1,Alabama,2012,70.3
1,Alabama,2013,67.8
1,Alabama,2014,66.0
1,Alabama,2015,64.4
1,Alabama,2016,64.7
1,Alabama,2017,62.5
1,Alabama,2018,61.8
1,Alabama,2019,60.1
1,Alabama,2020,53.2
2,Alaska,2011,66.8
2,Alaska,2012,61.5
2,Alaska,2013,57.4
2,Alaska,2014,58.4
2,Alaska,2015,59.3
2,Alaska,2016,57.2
2,Alaska,2017,54.8
2,Alaska,2018,49.3
2,Alaska,2019,54.9
2,Alaska,2020,49.6
4,Arizona,2011,53.0
4,Arizona,2012,50.8
4,Arizona,2013,51.1
4,Arizona,2014,48.6
4,Arizona,2015,48.1
4,Arizona,2016,45.2
4,Arizona,2017,44.5
4,Arizona,2018,43.5
4,Arizona,2019,41.3
4,Arizona,2020,37.9
5,Arkansas,2011,72.6
5,Arkansas,2012,70.4
5,Arkansas,2013,74.7
5,Arkansas,2014,74.4
5,Arkansas,2015,73.9
5,Arkansas,2016,73.7
5,Arkansas,2017,69.2
5,Arkansas,2018,72.0
5,Arkansas,2019,69.8
5,Arkansas,2020,60.8
6,California,2011,45.7
6,California,2012,45.2
6,California,2013,43.6
6,California,2014,43.0
6,California,2015,42.2
6,California,2016,40.7
6,California,2017,39.7
6,California,2018,37.8
6,California,2019,38.0
6,California,2020,32.7
8,Colorado,2011,45.5
8,Colorado,2012,45.7
8,Colorado,2013,43.4
8,Colorado,2014,42.8
8,Colorado,2015,41.5
8,Colorado,2016,40.9
8,Colorado,2017,40.1
8,Colorado,2018,37.9
8,Colorado,2019,38.3
8,Colorado,2020,35.6
9,Connecticut,2011,63.0
9,Connecticut,2012,61.7
9,Connecticut,2013,62.9
9,Connecticut,2014,59.9
9,Connecticut,2015,58.1
9,Connecticut,2016,60.3
9,Connecticut,2017,59.6
9,Connecticut,2018,55.1
9,Connecticut,2019,55.5
9,Connecticut,2020,47.0
10,Delaware,2011,76.3
10,Delaware,2012,69.2
10,Delaware,2013,70.8
10,Delaware,2014,68.3
10,Delaware,2015,72.4
10,Delaware,2016,68.3
10,Delaware,2017,58.7
10,Delaware,2018,59.0
10,Delaware,2019,56.1
10,Delaware,2020,49.9
11,District of Columbia,2011,55.8
11,District of Columbia,2012,61.4
11,District of Columbia,2013,53.4
11,District of Columbia,2014,50.6
11,District of Columbia,2015,46.7
11,District of Columbia,2016,41.3
11,District of Columbia,2017,43.0
11,District of Columbia,2018,44.9
11,District of Columbia,2019,46.5
11,District of Columbia,2020,38.8
12,Florida,2011,63.7
12,Florida,2012,63.9
12,Florida,2013,61.5
12,Florida,2014,60.3
12,Florida,2015,58.4
12,Florida,2016,57.9
12,Florida,2017,56.7
12,Florida,2018,56.2
12,Florida,2019,54.7
12,Florida,2020,49.5
13,Georgia,2011,67.5
13,Georgia,2012,68.2
13,Georgia,2013,65.2
13,Georgia,2014,64.7
13,Georgia,2015,62.4
13,Georgia,2016,62.9
13,Georgia,2017,61.2
13,Georgia,2018,58.1
13,Georgia,2019,57.8
13,Georgia,2020,52.1
15,Hawaii,2011,47.0
15,Hawaii,2012,45.7
15,Hawaii,2013,50.4
15,Hawaii,2014,44.3
15,Hawaii,2015,44.7
15,Hawaii,2016,45.4
15,Hawaii,2017,45.6
15,Hawaii,2018,41.7
15,Hawaii,2019,41.9
15,Hawaii,2020,35.1
16,Idaho,2011,52.4
16,Idaho,2012,52.9
16,Idaho,2013,48.9
16,Idaho,2014,51.9
16,Idaho,2015,51.7
16,Idaho,2016,49.2
16,Idaho,2017,49.7
16,Idaho,2018,46.6
16,Idaho,2019,46.2
16,Idaho,2020,41.1
17,Illinois,2011,68.4
17,Illinois,2012,67.0
17,Illinois,2013,64.2
17,Illinois,2014,66.4
17,Illinois,2015,64.5
17,Illinois,2016,63.2
17,Illinois,2017,62.5
17,Illinois,2018,61.1
17,Illinois,2019,58.5
17,Illinois,2020,53.2
18,Indiana,2011,75.8
18,Indiana,2012,73.3
18,Indiana,2013,74.8
18,Indiana,2014,72.7
18,Indiana,2015,75.7
18,Indiana,2017,71.8
18,Indiana,2018,66.6
18,Indiana,2019,66.6
19,Iowa,2011,63.9
19,Iowa,2012,63.4
19,Iowa,2013,63.7
19,Iowa,2014,65.3
19,Iowa,2015,65.1
19,Iowa,2016,60.8
19,Iowa,2017,64.3
19,Iowa,2018,61.4
19,Iowa,2019,62.4
19,Iowa,2020,56.3
21,Kentucky,2011,95.6
21,Kentucky,2012,94.4
21,Kentucky,2013,95.3
21,Kentucky,2014,93.7
21,Kentucky,2015,92.1
21,Kentucky,2016,89.0
21,Kentucky,2017,89.4
21,Kentucky,2018,85.0
21,Kentucky,2019,87.4
21,Kentucky,2020,79.6
22,Louisiana,2011,70.9
22,Louisiana,2012,71.1
22,Louisiana,2013,68.7
22,Louisiana,2014,69.2
22,Louisiana,2015,65.8
22,Louisiana,2016,64.8
22,Louisiana,2017,64.2
22,Louisiana,2018,61.9
22,Louisiana,2019,63.8
22,Louisiana,2020,54.3
23,Maine,2011,69.9
23,Maine,2012,75.9
23,Maine,2013,76.0
23,Maine,2014,73.1
23,Maine,2015,71.2
23,Maine,2016,74.5
23,Maine,2017,69.4
23,Maine,2018,70.4
23,Maine,2019,69.0
23,Maine,2020,64.5
24,Maryland,2011,60.1
24,Maryland,2012,58.4
24,Maryland,2013,58.4
24,Maryland,2014,57.1
24,Maryland,2015,57.0
24,Maryland,2016,56.0
24,Maryland,2017,56.1
24,Maryland,2018,51.6
24,Maryland,2019,52.9
24,Maryland,2020,44.6
25,Massachusetts,2011,66.5
25,Massachusetts,2012,65.1
25,Massachusetts,2013,63.3
25,Massachusetts,2014,62.9
25,Massachusetts,2015,62.9
25,Massachusetts,2016,62.7
25,Massachusetts,2017,61.6
25,Massachusetts,2018,57.6
25,Massachusetts,2019,62.6
25,Massachusetts,2020,55.7
26,Michigan,2011,70.2
26,Michigan,2012,67.9
26,Michigan,2013,65.4
26,Michigan,2014,66.0
26,Michigan,2015,65.8
26,Michigan,2016,66.0
26,Michigan,2017,63.9
26,Michigan,2018,61.2
26,Michigan,2019,61.5
26,Michigan,2020,53.8
27,Minnesota,2011,53.8
27,Minnesota,2012,55.9
27,Minnesota,2013,57.6
27,Minnesota,2014,53.9
27,Minnesota,2015,58.8
