StateFIPS,State,Year,Value
1,Alabama,2011,4.0
1,Alabama,2012,4.0
1,Alabama,2013,3.6
1,Alabama,2014,4.1
1,Alabama,2015,3.8
1,Alabama,2016,3.6
1,Alabama,2017,3.7
1,Alabama,2018,3.7
1,Alabama,2019,3.4
1,Alabama,2020,3.6
2,Alaska,2011,4.4
2,Alaska,2012,3.1
2,Alaska,2013,3.2
2,Alaska,2014,4.6
2,Alaska,2015,3.4
2,Alaska,2016,4.5
2,Alaska,2017,4.8
2,Alaska,2018,3.6
2,Alaska,2019,3.1
2,Alaska,2020,3.1
4,Arizona,2011,4.2
4,Arizona,2012,4.6
4,Arizona,2013,3.9
4,Arizona,2014,3.6
4,Arizona,2015,3.9
4,Arizona,2016,3.5
4,Arizona,2017,3.6
4,Arizona,2018,3.7
4,Arizona,2019,3.9
4,Arizona,2020,3.6
5,Arkansas,2011,3.5
5,Arkansas,2012,4.5
5,Arkansas,2013,3.7
5,Arkansas,2014,3.8
5,Arkansas,2015,4.4
5,Arkansas,2016,4.1
5,Arkansas,2017,4.2
5,Arkansas,2018,4.0
5,Arkansas,2019,4.1
5,Arkansas,2020,3.4
6,California,2011,4.0
6,California,2012,4.1
6,California,2013,4.1
6,California,2014,4.1
6,California,2015,3.9
6,California,2016,3.9
6,California,2017,3.8
6,California,2018,3.9
6,California,2019,4.2
6,California,2020,3.7
8,Colorado,2011,3.8
8,Colorado,2012,3.9
8,Colorado,2013,4.0
8,Colorado,2014,4.3
8,Colorado,2015,4.1
8,Colorado,2016,4.3
8,Colorado,2017,4.1
8,Colorado,2018,3.8
8,Colorado,2019,4.1
8,Colorado,2020,3.4
9,Connecticut,2011,4.8
9,Connecticut,2012,4.8
9,Connecticut,2013,4.5
9,Connecticut,2014,4.0
9,Connecticut,2015,3.9
9,Connecticut,2016,3.9
9,Connecticut,2017,4.2
9,Connecticut,2018,4.5
9,Connecticut,2019,4.1
9,Connecticut,2020,4.0
10,Delaware,2011,4.4
10,Delaware,2012,4.3
10,Delaware,2013,3.6
10,Delaware,2014,4.3
10,Delaware,2015,4.7
10,Delaware,2016,4.1
10,Delaware,2017,4.4
10,Delaware,2018,3.6
10,Delaware,2019,5.5
10,Delaware,2020,4.2
11,District of Columbia,2011,3.1
11,District of Columbia,2012,2.8
11,District of Columbia,2013,2.4
11,District of Columbia,2014,3.0
11,District of Columbia,2015,2.6
11,District of Columbia,2016,
11,District of Columbia,2017,3.1
11,District of Columbia,2018,2.6
11,District of Columbia,2019,3.1
11,District of Columbia,2020,
12,Florida,2011,4.3
12,Florida,2012,4.7
12,Florida,2013,4.9
12,Florida,2014,5.2
12,Florida,2015,4.8
12,Florida,2016,5.2
12,Florida,2017,4.8
12,Florida,2018,5.0
12,Florida,2019,4.9
12,Florida,2020,4.8
13,Georgia,2011,4.2
13,Georgia,2012,4.2
13,Georgia,2013,4.3
13,Georgia,2014,4.3
13,Georgia,2015,4.6
13,Georgia,2016,4.2
13,Georgia,2017,4.2
13,Georgia,2018,3.8
13,Georgia,2019,4.5
13,Georgia,2020,4.4
15,Hawaii,2011,4.9
15,Hawaii,2012,4.6
15,Hawaii,2013,4.0
15,Hawaii,2014,4.9
15,Hawaii,2015,3.7
15,Hawaii,2016,4.0
15,Hawaii,2017,4.4
15,Hawaii,2018,3.6
15,Hawaii,2019,4.3
15,Hawaii,2020,4.4
16,Idaho,2011,3.8
16,Idaho,2012,3.8
16,Idaho,2013,4.5
16,Idaho,2014,4.1
16,Idaho,2015,3.9
16,Idaho,2016,4.3
16,Idaho,2017,5.8
16,Idaho,2018,5.1
16,Idaho,2019,4.0
16,Idaho,2020,4.9
17,Illinois,2011,4.5
17,Illinois,2012,4.7
17,Illinois,2013,4.9
17,Illinois,2014,4.5
17,Illinois,2015,4.6
17,Illinois,2016,4.3
17,Illinois,2017,4.6
17,Illinois,2018,4.4
17,Illinois,2019,4.3
17,Illinois,2020,4.5
18,Indiana,2011,5.0
18,Indiana,2012,4.8
18,Indiana,2013,4.7
18,Indiana,2014,5.2
18,Indiana,2015,4.9
18,Indiana,2017,4.6
18,Indiana,2018,4.4
18,Indiana,2019,3.9
19,Iowa,2011,4.3
19,Iowa,2012,4.8
19,Iowa,2013,5.3
19,Iowa,2014,4.7
19,Iowa,2015,5.2
19,Iowa,2016,6.1
19,Iowa,2017,4.8
19,Iowa,2018,5.0
19,Iowa,2019,4.9
19,Iowa,2020,4.4
21,Kentucky,2011,5.3
21,Kentucky,2012,5.1
21,Kentucky,2013,4.7
21,Kentucky,2014,4.8
21,Kentucky,2015,4.8
21,Kentucky,2016,4.5
21,Kentucky,2017,4.5
21,Kentucky,2018,4.3
21,Kentucky,2019,5.6
21,Kentucky,2020,4.7
22,Louisiana,2011,4.2
22,Louisiana,2012,4.4
22,Louisiana,2013,4.1
22,Louisiana,2014,4.3
22,Louisiana,2015,4.2
22,Louisiana,2016,4.7
22,Louisiana,2017,3.6
22,Louisiana,2018,4.1
22,Louisiana,2019,4.6
22,Louisiana,2020,4.3
23,Maine,2011,5.4
23,Maine,2012,4.4
23,Maine,2013,3.9
23,Maine,2014,4.2
23,Maine,2015,3.7
23,Maine,2016,3.9
23,Maine,2017,4.2
23,Maine,2018,4.7
23,Maine,2019,5.0
23,Maine,2020,4.9
24,Maryland,2011,4.2
24,Maryland,2012,4.3
24,Maryland,2013,4.7
24,Maryland,2014,4.0
24,Maryland,2015,3.9
24,Maryland,2016,4.3
24,Maryland,2017,3.5
24,Maryland,2018,4.0
24,Maryland,2019,4.1
24,Maryland,2020,3.6
25,Massachusetts,2011,4.1
25,Massachusetts,2012,4.1
25,Massachusetts,2013,4.3
25,Massachusetts,2014,3.9
25,Massachusetts,2015,4.2
25,Massachusetts,2016,4.1
25,Massachusetts,2017,4.1
25,Massachusetts,2018,4.0
25,Massachusetts,2019,4.3
25,Massachusetts,2020,4.1
26,Michigan,2011,4.3
26,Michigan,2012,4.4
26,Michigan,2013,4.2
26,Michigan,2014,5.0
26,Michigan,2015,4.8
26,Michigan,2016,4.7
26,Michigan,2017,4.5
26,Michigan,2018,4.5
26,Michigan,2019,4.9
26,Michigan,2020,4.3
27,Minnesota,2011,4.6
27,Minnesota,2012,4.7
27,Minnesota,2013,4.9
27,Minnesota,2014,4.6
27,Minnesota,2015,5.2
27,Minnesota,2016,5.2
27,Minnesota,2017,5.3
27,Minnesota,2018,5.0
27,Minnesota,2019,4.9
27,Minnesota,2020,5.6
28,Mississippi,2011,4.1
28,Mississippi,2012,4.2
28,Mississippi,2013,3.6
28,Mississippi,2014,4.1
28,Mississippi,2015,3.9
28,Mississippi,2016,4.1
28,Mississippi,2017,4.0
28,Mississippi,2018,4.0
28,Mississippi,2019,4.5
28,Mississippi,2020,4.4
29,Missouri,2011,4.3
29,Missouri,2012,4.3
29,Missouri,2013,4.4
29,Missouri,2014,4.8
29,Missouri,2015,4.3
29,Missouri,2016,4.6
29,Missouri,2017,4.1
29,Missouri,2018,4.3
29,Missouri,2019,4.1
29,Missouri,2020,4.2
30,Montana,2011,3.9
30,Montana,2012,4.4
30,Montana,2013,4.2
30,Montana,2014,3.8
30,Montana,2015,3.7
30,Montana,2016,3.6
30,Montana,2017,3.3
30,Montana,2018,3.6
30,Montana,2019,2.9
30,Montana,2020,3.0
31,Nebraska,2011,3.9
31,Nebraska,2012,4.5
31,Nebraska,2013,5.3
31,Nebraska,2014,4.9
31,Nebraska,2015,3.8
31,Nebraska,2016,5.3
31,Nebraska,2017,3.9
31,Nebraska,2018,4.9
31,Nebraska,2019,4.6
31,Nebraska,2020,4.0
32,Nevada,2011,3.9
32,Nevada,2012,3.4
32,Nevada,2013,4.8
32,Nevada,2014,3.7
32,Nevada,2015,3.6
32,Nevada,2016,3.3
32,Nevada,2017,3.7
32,Nevada,2018,3.8
32,Nevada,2019,3.8
33,New Hampshire,2011,4.4
33,New Hampshire,2012,4.4
33,New Hampshire,2013,3.5
33,New Hampshire,2014,4.5
33,New Hampshire,2015,3.4
33,New Hampshire,2016,4.6
33,New Hampshire,2017,4.3
33,New Hampshire,2018,4.3
33,New Hampshire,2019,4.4
33,New Hampshire,2020,4.4
34,New Jersey,2011,4.6
34,New Jersey,2012,4.3
34,New Jersey,2013,3.9
34,New Jersey,2014,4.8
34,New Jersey,2015,4.3
34,New Jersey,2016,4.4
34,New Jersey,2017,4.4
34,New Jersey,2018,4.4
34,New Jersey,2019,4.0
34,New Jersey,2020,4.4
35,New Mexico,2011,3.5
35,New Mexico,2012,3.8
35,New Mexico,2013,3.7
35,New Mexico,2014,3.9
35,New Mexico,2015,3.3
35,New Mexico,2016,4.1
35,New Mexico,2017,4.2
35,New Mexico,2018,3.5
35,New Mexico,2019,3.1
35,New Mexico,2020,3.2
36,New York,2011,4.3
36,New York,2012,4.3
36,New York,2013,4.8
36,New York,2014,4.9
36,New York,2015,4.6
36,New York,2016,4.7
36,New York,2017,4.6
36,New York,2018,4.8
36,New York,2019,4.3
36,New York,2020,4.2
37,North Carolina,2011,3.9
