StateFIPS,State,Year,Value
1,Alabama,2011,13.84
1,Alabama,2012,12.52
1,Alabama,2013,12.49
1,Alabama,2014,12.68
1,Alabama,2015,13.12
1,Alabama,2016,13.72
1,Alabama,2017,12.01
1,Alabama,2018,14.0
1,Alabama,2019,13.31
1,Alabama,2020,12.72
2,Alaska,2011,14.16
2,Alaska,2012,12.27
2,Alaska,2013,11.01
2,Alaska,2014,13.61
2,Alaska,2015,11.47
2,Alaska,2016,15.52
2,Alaska,2017,12.49
2,Alaska,2018,11.85
2,Alaska,2019,13.5
2,Alaska,2020,14.37
4,Arizona,2011,12.07
4,Arizona,2012,12.7
4,Arizona,2013,11.23
4,Arizona,2014,12.01
4,Arizona,2015,11.47
4,Arizona,2016,12.1
4,Arizona,2017,11.78
4,Arizona,2018,12.51
4,Arizona,2019,12.75
4,Arizona,2020,12.21
5,Arkansas,2011,10.69
5,Arkansas,2012,11.29
5,Arkansas,2013,12.44
5,Arkansas,2014,11.4
5,Arkansas,2015,11.69
5,Arkansas,2016,12.34
5,Arkansas,2017,12.74
5,Arkansas,2018,12.5
5,Arkansas,2019,12.73
5,Arkansas,2020,11.4
6,California,2011,11.64
6,California,2012,11.71
6,California,2013,11.66
6,California,2014,11.93
6,California,2015,11.99
6,California,2016,12.25
6,California,2017,12.01
6,California,2018,12.34
6,California,2019,12.66
6,California,2020,11.77
8,Colorado,2011,11.66
8,Colorado,2012,12.04
8,Colorado,2013,10.51
8,Colorado,2014,11.55
8,Colorado,2015,10.62
8,Colorado,2016,11.73
8,Colorado,2017,11.7
8,Colorado,2018,11.26
8,Colorado,2019,11.88
8,Colorado,2020,11.82
9,Connecticut,2011,13.62
9,Connecticut,2012,13.3
9,Connecticut,2013,12.86
9,Connecticut,2014,13.96
9,Connecticut,2015,13.84
9,Connecticut,2016,14.53
9,Connecticut,2017,13.12
9,Connecticut,2018,14.45
9,Connecticut,2019,13.24
9,Connecticut,2020,14.21
10,Delaware,2011,13.47
10,Delaware,2012,14.15
10,Delaware,2013,15.52
10,Delaware,2014,14.43
10,Delaware,2015,15.06
10,Delaware,2016,13.08
10,Delaware,2017,13.73
10,Delaware,2018,13.04
10,Delaware,2019,17.21
10,Delaware,2020,13.54
11,District of Columbia,2011,15.56
11,District of Columbia,2012,15.85
11,District of Columbia,2013,16.18
11,District of Columbia,2014,16.07
11,District of Columbia,2015,18.06
11,District of Columbia,2016,13.36
11,District of Columbia,2017,15.55
11,District of Columbia,2018,16.75
11,District of Columbia,2019,15.36
11,District of Columbia,2020,13.99
12,Florida,2011,12.07
12,Florida,2012,12.29
12,Florida,2013,12.21
12,Florida,2014,12.79
12,Florida,2015,13.02
12,Florida,2016,12.79
12,Florida,2017,13.0
12,Florida,2018,12.82
12,Florida,2019,13.43
12,Florida,2020,13.04
13,Georgia,2011,12.07
13,Georgia,2012,13.27
13,Georgia,2013,13.17
13,Georgia,2014,13.31
13,Georgia,2015,13.24
13,Georgia,2016,13.26
13,Georgia,2017,12.86
13,Georgia,2018,13.7
13,Georgia,2019,13.53
13,Georgia,2020,14.11
15,Hawaii,2011,12.92
15,Hawaii,2012,14.39
15,Hawaii,2013,13.66
15,Hawaii,2014,12.44
15,Hawaii,2015,13.78
15,Hawaii,2016,13.84
15,Hawaii,2017,15.22
15,Hawaii,2018,12.79
15,Hawaii,2019,12.8
15,Hawaii,2020,12.8
16,Idaho,2011,11.75
16,Idaho,2012,12.91
16,Idaho,2013,13.84
16,Idaho,2014,12.92
16,Idaho,2015,14.57
16,Idaho,2016,13.32
16,Idaho,2017,15.48
16,Idaho,2018,11.8
16,Idaho,2019,13.59
16,Idaho,2020,14.75
17,Illinois,2011,13.07
17,Illinois,2012,13.02
17,Illinois,2013,13.14
17,Illinois,2014,13.22
17,Illinois,2015,13.87
17,Illinois,2016,13.53
17,Illinois,2017,14.56
17,Illinois,2018,14.62
17,Illinois,2019,14.62
17,Illinois,2020,13.45
18,Indiana,2011,12.19
18,Indiana,2012,13.24
18,Indiana,2013,13.35
18,Indiana,2014,12.93
18,Indiana,2015,13.7
18,Indiana,2017,14.51
18,Indiana,2018,13.56
18,Indiana,2019,13.21
19,Iowa,2011,11.97
19,Iowa,2012,12.59
19,Iowa,2013,13.09
19,Iowa,2014,14.29
19,Iowa,2015,13.18
19,Iowa,2016,13.78
19,Iowa,2017,13.73
19,Iowa,2018,14.26
19,Iowa,2019,13.74
19,Iowa,2020,12.55
21,Kentucky,2011,13.04
21,Kentucky,2012,12.24
21,Kentucky,2013,13.77
21,Kentucky,2014,13.82
21,Kentucky,2015,13.94
21,Kentucky,2016,13.04
21,Kentucky,2017,13.27
21,Kentucky,2018,14.96
21,Kentucky,2019,13.82
21,Kentucky,2020,13.3
22,Louisiana,2011,14.52
22,Louisiana,2012,13.55
22,Louisiana,2013,14.23
22,Louisiana,2014,14.51
22,Louisiana,2015,15.47
22,Louisiana,2016,13.71
22,Louisiana,2017,13.28
22,Louisiana,2018,14.57
22,Louisiana,2019,15.46
22,Louisiana,2020,14.08
23,Maine,2011,13.61
23,Maine,2012,13.86
23,Maine,2013,13.03
23,Maine,2014,13.13
23,Maine,2015,12.68
23,Maine,2016,14.09
23,Maine,2017,11.95
23,Maine,2018,13.1
23,Maine,2019,14.46
23,Maine,2020,15.17
24,Maryland,2011,13.41
24,Maryland,2012,13.06
24,Maryland,2013,12.82
24,Maryland,2014,13.44
24,Maryland,2015,13.48
24,Maryland,2016,14.05
24,Maryland,2017,13.92
24,Maryland,2018,13.97
24,Maryland,2019,14.08
24,Maryland,2020,12.83
25,Massachusetts,2011,12.48
25,Massachusetts,2012,12.58
25,Massachusetts,2013,13.01
25,Massachusetts,2014,13.01
25,Massachusetts,2015,13.77
25,Massachusetts,2016,13.48
25,Massachusetts,2017,14.04
