StateFIPS,State,Year,Value
1,Alabama,2011,20.59
1,Alabama,2012,22.18
1,Alabama,2013,18.84
1,Alabama,2014,19.4
1,Alabama,2015,22.6
1,Alabama,2016,24.55
1,Alabama,2017,22.94
1,Alabama,2018,23.59
1,Alabama,2019,20.26
1,Alabama,2020,18.53
2,Alaska,2011,12.32
2,Alaska,2012,15.01
2,Alaska,2013,16.14
2,Alaska,2014,17.04
2,Alaska,2015,13.99
2,Alaska,2016,14.79
2,Alaska,2017,12.37
2,Alaska,2018,15.81
2,Alaska,2019,15.67
2,Alaska,2020,12.64
4,Arizona,2011,19.78
4,Arizona,2012,19.19
4,Arizona,2013,20.24
4,Arizona,2014,22.3
4,Arizona,2015,24.01
4,Arizona,2016,26.93
4,Arizona,2017,30.26
4,Arizona,2018,30.99
4,Arizona,2019,30.33
4,Arizona,2020,28.31
5,Arkansas,2011,17.21
5,Arkansas,2012,19.5
5,Arkansas,2013,19.33
5,Arkansas,2014,19.31
5,Arkansas,2015,21.05
5,Arkansas,2016,20.86
5,Arkansas,2017,21.6
5,Arkansas,2018,22.99
5,Arkansas,2019,26.22
5,Arkansas,2020,20.71
6,California,2011,20.83
6,California,2012,21.48
6,California,2013,22.3
6,California,2014,23.51
6,California,2015,23.46
6,California,2016,23.16
6,California,2017,22.88
6,California,2018,22.88
6,California,2019,23.56
6,California,2020,19.78
8,Colorado,2011,22.06
8,Colorado,2012,22.78
8,Colorado,2013,21.9
8,Colorado,2014,22.4
8,Colorado,2015,22.34
8,Colorado,2016,22.84
8,Colorado,2017,22.74
8,Colorado,2018,21.61
8,Colorado,2019,21.65
8,Colorado,2020,18.31
9,Connecticut,2011,21.06
9,Connecticut,2012,19.96
9,Connecticut,2013,20.25
9,Connecticut,2014,22.04
9,Connecticut,2015,20.56
9,Connecticut,2016,20.93
9,Connecticut,2017,19.05
9,Connecticut,2018,19.2
9,Connecticut,2019,18.96
9,Connecticut,2020,16.37
10,Delaware,2011,30.78
10,Delaware,2012,30.22
10,Delaware,2013,29.91
10,Delaware,2014,29.86
10,Delaware,2015,29.54
10,Delaware,2016,29.6
10,Delaware,2017,28.92
10,Delaware,2018,29.53
10,Delaware,2019,29.8
10,Delaware,2020,24.11
11,District of Columbia,2011,9.1
11,District of Columbia,2012,7.64
11,District of Columbia,2013,9.48
11,District of Columbia,2014,9.88
11,District of Columbia,2015,10.39
11,District of Columbia,2016,10.02
11,District of Columbia,2017,10.97
11,District of Columbia,2018,8.5
11,District of Columbia,2019,9.09
11,District of Columbia,2020,8.23
12,Florida,2011,23.39
12,Florida,2012,22.91
12,Florida,2013,24.9
12,Florida,2014,25.55
12,Florida,2015,26.49
12,Florida,2016,25.97
12,Florida,2017,26.92
12,Florida,2018,25.94
12,Florida,2019,25.64
12,Florida,2020,24.16
13,Georgia,2011,23.85
13,Georgia,2012,26.76
13,Georgia,2013,25.31
13,Georgia,2014,28.11
13,Georgia,2015,27.91
13,Georgia,2016,26.17
13,Georgia,2017,26.88
13,Georgia,2018,25.62
13,Georgia,2019,25.76
13,Georgia,2020,21.54
15,Hawaii,2011,19.66
15,Hawaii,2012,18.29
15,Hawaii,2013,19.23
15,Hawaii,2014,20.39
15,Hawaii,2015,23.03
15,Hawaii,2016,25.94
15,Hawaii,2017,20.72
15,Hawaii,2018,23.96
15,Hawaii,2019,27.1
15,Hawaii,2020,24.25
16,Idaho,2011,28.07
16,Idaho,2012,27.59
16,Idaho,2013,26.61
16,Idaho,2014,27.46
16,Idaho,2015,28.83
16,Idaho,2016,30.63
16,Idaho,2017,28.91
16,Idaho,2018,29.73
16,Idaho,2019,30.92
16,Idaho,2020,31.3
17,Illinois,2011,18.52
17,Illinois,2012,18.81
17,Illinois,2013,18.05
17,Illinois,2014,18.92
17,Illinois,2015,20.62
17,Illinois,2016,22.3
17,Illinois,2017,22.89
17,Illinois,2018,22.47
17,Illinois,2019,24.67
17,Illinois,2020,20.65
18,Indiana,2011,17.47
18,Indiana,2012,18.69
18,Indiana,2013,17.88
18,Indiana,2014,21.77
18,Indiana,2015,22.89
18,Indiana,2017,23.36
18,Indiana,2018,21.42
18,Indiana,2019,20.91
19,Iowa,2011,24.35
19,Iowa,2012,24.4
19,Iowa,2013,26.92
19,Iowa,2014,25.41
19,Iowa,2015,26.76
19,Iowa,2016,29.52
19,Iowa,2017,29.24
19,Iowa,2018,31.01
19,Iowa,2019,32.49
19,Iowa,2020,29.0
21,Kentucky,2011,23.65
21,Kentucky,2012,25.66
21,Kentucky,2013,24.69
21,Kentucky,2014,27.75
21,Kentucky,2015,27.77
21,Kentucky,2016,29.42
21,Kentucky,2017,27.75
21,Kentucky,2018,28.96
21,Kentucky,2019,28.49
21,Kentucky,2020,25.71
22,Louisiana,2011,14.83
22,Louisiana,2012,17.16
22,Louisiana,2013,16.8
22,Louisiana,2014,17.46
22,Louisiana,2015,19.01
22,Louisiana,2016,16.59
22,Louisiana,2017,18.53
22,Louisiana,2018,19.64
22,Louisiana,2019,18.79
22,Louisiana,2020,14.63
23,Maine,2011,22.35
23,Maine,2012,24.0
23,Maine,2013,24.78
23,Maine,2014,25.28
23,Maine,2015,28.4
23,Maine,2016,28.21
23,Maine,2017,25.6
23,Maine,2018,29.26
23,Maine,2019,25.15
23,Maine,2020,28.03
24,Maryland,2011,20.51
24,Maryland,2012,21.14
24,Maryland,2013,22.38
24,Maryland,2014,21.65
24,Maryland,2015,25.26
24,Maryland,2016,24.1
24,Maryland,2017,25.29
24,Maryland,2018,23.97
24,Maryland,2019,27.22
24,Maryland,2020,22.35
25,Massachusetts,2011,23.03
25,Massachusetts,2012,20.98
25,Massachusetts,2013,20.08
25,Massachusetts,2014,19.14
25,Massachusetts,2015,22.14
25,Massachusetts,2016,25.2
25,Massachusetts,2017,26.98
25,Massachusetts,2018,17.3
25,Massachusetts,2019,17.72
25,Massachusetts,2020,14.99
26,Michigan,2011,19.29
26,Michigan,2012,19.15
26,Michigan,2013,19.23
26,Michigan,2014,19.35
26,Michigan,2015,21.14
26,Michigan,2016,21.71
26,Michigan,2017,21.34
26,Michigan,2018,21.02
26,Michigan,2019,21.52
26,Michigan,2020,18.82
27,Minnesota,2011,27.64
27,Minnesota,2012,29.43
27,Minnesota,2013,29.64
27,Minnesota,2014,29.58
27,Minnesota,2015,32.39
27,Minnesota,2016,32.25
27,Minnesota,2017,35.67
27,Minnesota,2018,39.53
27,Minnesota,2019,39.33
27,Minnesota,2020,34.26
