StateFIPS,State,Year,Value
1,Alabama,2011,3.96
1,Alabama,2012,4.33
1,Alabama,2013,4.34
1,Alabama,2014,5.15
1,Alabama,2015,4.06
1,Alabama,2016,3.96
1,Alabama,2017,4.11
1,Alabama,2018,4.64
1,Alabama,2019,4.32
1,Alabama,2020,4.54
2,Alaska,2011,6.01
2,Alaska,2012,5.88
2,Alaska,2013,4.62
2,Alaska,2014,6.69
2,Alaska,2015,8.52
2,Alaska,2016,5.13
2,Alaska,2017,5.54
2,Alaska,2018,4.69
2,Alaska,2019,5.73
2,Alaska,2020,6.78
4,Arizona,2011,5.61
4,Arizona,2012,5.62
4,Arizona,2013,4.58
4,Arizona,2014,5.45
4,Arizona,2015,5.65
4,Arizona,2016,5.54
4,Arizona,2017,5.45
4,Arizona,2018,5.76
4,Arizona,2019,6.29
4,Arizona,2020,5.97
5,Arkansas,2011,3.8
5,Arkansas,2012,4.85
5,Arkansas,2013,4.79
5,Arkansas,2014,5.98
5,Arkansas,2015,4.24
5,Arkansas,2016,5.6
5,Arkansas,2017,4.95
5,Arkansas,2018,4.3
5,Arkansas,2019,5.54
5,Arkansas,2020,5.13
6,California,2011,5.54
6,California,2012,5.67
6,California,2013,5.98
6,California,2014,6.24
6,California,2015,6.03
6,California,2016,6.25
6,California,2017,6.32
6,California,2018,6.31
6,California,2019,6.17
6,California,2020,6.41
8,Colorado,2011,5.34
8,Colorado,2012,5.48
8,Colorado,2013,5.37
8,Colorado,2014,6.0
8,Colorado,2015,6.08
8,Colorado,2016,5.38
8,Colorado,2017,5.86
8,Colorado,2018,5.15
8,Colorado,2019,6.15
8,Colorado,2020,6.32
9,Connecticut,2011,6.51
9,Connecticut,2012,6.6
9,Connecticut,2013,6.67
9,Connecticut,2014,7.39
9,Connecticut,2015,4.52
9,Connecticut,2016,7.28
9,Connecticut,2017,6.57
9,Connecticut,2018,6.14
9,Connecticut,2019,6.89
9,Connecticut,2020,6.4
10,Delaware,2011,
10,Delaware,2012,5.91
10,Delaware,2013,7.49
10,Delaware,2014,4.91
10,Delaware,2015,5.36
10,Delaware,2016,5.0
10,Delaware,2017,3.93
10,Delaware,2018,5.81
10,Delaware,2019,6.81
10,Delaware,2020,3.94
11,District of Columbia,2011,6.08
11,District of Columbia,2012,5.31
11,District of Columbia,2013,
11,District of Columbia,2014,4.76
11,District of Columbia,2015,5.2
11,District of Columbia,2016,5.99
11,District of Columbia,2017,6.09
11,District of Columbia,2018,4.19
11,District of Columbia,2019,4.92
11,District of Columbia,2020,
12,Florida,2011,4.75
12,Florida,2012,5.27
12,Florida,2013,5.18
12,Florida,2014,4.89
12,Florida,2015,4.83
12,Florida,2016,5.33
12,Florida,2017,4.87
12,Florida,2018,5.19
12,Florida,2019,4.83
12,Florida,2020,5.1
13,Georgia,2011,4.04
13,Georgia,2012,4.06
13,Georgia,2013,4.19
13,Georgia,2014,4.32
13,Georgia,2015,4.1
13,Georgia,2016,4.73
13,Georgia,2017,4.22
13,Georgia,2018,4.28
13,Georgia,2019,4.64
13,Georgia,2020,4.48
15,Hawaii,2011,4.42
15,Hawaii,2012,5.22
15,Hawaii,2013,5.14
15,Hawaii,2014,6.21
15,Hawaii,2015,6.39
15,Hawaii,2016,6.82
15,Hawaii,2017,5.18
15,Hawaii,2018,4.9
15,Hawaii,2019,5.86
15,Hawaii,2020,7.34
16,Idaho,2011,8.48
16,Idaho,2012,5.73
16,Idaho,2013,5.6
16,Idaho,2014,7.85
16,Idaho,2015,7.74
16,Idaho,2016,7.73
16,Idaho,2017,6.22
16,Idaho,2018,6.51
16,Idaho,2019,6.38
16,Idaho,2020,5.66
17,Illinois,2011,5.45
17,Illinois,2012,5.82
17,Illinois,2013,6.0
17,Illinois,2014,5.89
17,Illinois,2015,6.43
17,Illinois,2016,6.68
17,Illinois,2017,6.04
17,Illinois,2018,6.6
17,Illinois,2019,6.27
17,Illinois,2020,6.29
18,Indiana,2011,5.44
18,Indiana,2012,5.2
18,Indiana,2013,6.39
18,Indiana,2014,6.36
18,Indiana,2015,6.63
18,Indiana,2017,5.4
18,Indiana,2018,6.06
18,Indiana,2019,5.72
19,Iowa,2011,7.26
19,Iowa,2012,6.02
19,Iowa,2013,6.86
19,Iowa,2014,6.81
19,Iowa,2015,7.66
19,Iowa,2016,6.76
19,Iowa,2017,8.03
19,Iowa,2018,5.92
19,Iowa,2019,7.22
19,Iowa,2020,7.3
21,Kentucky,2011,5.67
21,Kentucky,2012,5.14
21,Kentucky,2013,5.67
21,Kentucky,2014,5.87
21,Kentucky,2015,5.54
21,Kentucky,2016,5.77
21,Kentucky,2017,5.79
21,Kentucky,2018,5.07
21,Kentucky,2019,5.21
21,Kentucky,2020,4.86
22,Louisiana,2011,3.82
22,Louisiana,2012,5.12
22,Louisiana,2013,4.36
22,Louisiana,2014,5.65
22,Louisiana,2015,4.35
22,Louisiana,2016,4.5
22,Louisiana,2017,4.78
22,Louisiana,2018,5.19
22,Louisiana,2019,5.47
22,Louisiana,2020,4.96
23,Maine,2011,7.13
23,Maine,2012,6.35
