StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,34.6
1,Alabama,2011,Female,8.4
1,Alabama,2012,Male,32.3
1,Alabama,2012,Female,6.7
1,Alabama,2013,Male,35.1
1,Alabama,2013,Female,7.9
1,Alabama,2014,Male,32.6
1,Alabama,2014,Female,7.0
1,Alabama,2015,Male,32.2
1,Alabama,2015,Female,7.3
1,Alabama,2016,Male,31.1
1,Alabama,2016,Female,7.6
1,Alabama,2017,Male,32.3
1,Alabama,2017,Female,7.2
1,Alabama,2018,Male,30.0
1,Alabama,2018,Female,7.7
1,Alabama,2019,Male,29.6
1,Alabama,2019,Female,7.2
1,Alabama,2020,Male,28.3
1,Alabama,2020,Female,6.9
2,Alaska,2011,Male,41.5
2,Alaska,2011,Female,12.5
2,Alaska,2012,Male,30.9
2,Alaska,2012,Female,10.1
2,Alaska,2013,Male,33.6
2,Alaska,2013,Female,10.5
2,Alaska,2014,Male,33.6
2,Alaska,2014,Female,6.9
2,Alaska,2015,Male,40.0
2,Alaska,2015,Female,11.2
2,Alaska,2016,Male,32.4
2,Alaska,2016,Female,9.1
2,Alaska,2017,Male,37.2
2,Alaska,2017,Female,7.5
2,Alaska,2018,Male,32.1
2,Alaska,2018,Female,6.1
2,Alaska,2019,Male,32.5
2,Alaska,2019,Female,5.8
2,Alaska,2020,Male,24.1
2,Alaska,2020,Female,8.5
4,Arizona,2011,Male,35.6
4,Arizona,2011,Female,8.2
4,Arizona,2012,Male,32.2
4,Arizona,2012,Female,8.8
4,Arizona,2013,Male,34.4
4,Arizona,2013,Female,7.1
4,Arizona,2014,Male,33.8
4,Arizona,2014,Female,8.1
4,Arizona,2015,Male,33.3
4,Arizona,2015,Female,7.8
4,Arizona,2016,Male,32.3
4,Arizona,2016,Female,7.9
4,Arizona,2017,Male,30.6
4,Arizona,2017,Female,7.7
4,Arizona,2018,Male,30.8
4,Arizona,2018,Female,7.0
4,Arizona,2019,Male,29.3
4,Arizona,2019,Female,7.6
