StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,8.1
1,Alabama,2011,Female,4.8
1,Alabama,2012,Male,8.8
1,Alabama,2012,Female,6.3
1,Alabama,2013,Male,7.6
1,Alabama,2013,Female,6.0
1,Alabama,2014,Male,6.5
1,Alabama,2014,Female,5.6
1,Alabama,2015,Male,7.9
1,Alabama,2015,Female,5.0
1,Alabama,2016,Male,7.5
1,Alabama,2016,Female,5.3
1,Alabama,2017,Male,6.7
1,Alabama,2017,Female,5.3
1,Alabama,2018,Male,8.0
1,Alabama,2018,Female,6.4
1,Alabama,2019,Male,7.5
1,Alabama,2019,Female,5.3
1,Alabama,2020,Male,7.8
1,Alabama,2020,Female,6.3
2,Alaska,2011,Male,7.6
2,Alaska,2011,Female,5.2
2,Alaska,2012,Male,8.9
2,Alaska,2012,Female,4.9
2,Alaska,2013,Male,5.7
2,Alaska,2013,Female,
2,Alaska,2014,Male,5.5
2,Alaska,2014,Female,6.0
2,Alaska,2015,Male,7.1
2,Alaska,2015,Female,7.4
2,Alaska,2016,Male,8.9
2,Alaska,2016,Female,7.0
2,Alaska,2017,Male,8.1
2,Alaska,2017,Female,5.4
2,Alaska,2018,Male,6.7
2,Alaska,2018,Female,
2,Alaska,2019,Male,6.5
2,Alaska,2019,Female,5.9
2,Alaska,2020,Male,7.7
2,Alaska,2020,Female,5.0
4,Arizona,2011,Male,7.4
4,Arizona,2011,Female,6.2
4,Arizona,2012,Male,7.4
4,Arizona,2012,Female,6.1
4,Arizona,2013,Male,7.6
4,Arizona,2013,Female,4.9
4,Arizona,2014,Male,7.2
4,Arizona,2014,Female,5.6
4,Arizona,2015,Male,6.9
4,Arizona,2015,Female,5.1
4,Arizona,2016,Male,7.3
4,Arizona,2016,Female,4.8
4,Arizona,2017,Male,6.7
4,Arizona,2017,Female,4.8
4,Arizona,2018,Male,6.7
4,Arizona,2018,Female,4.9
4,Arizona,2019,Male,7.2
4,Arizona,2019,Female,5.2
4,Arizona,2020,Male,7.5
4,Arizona,2020,Female,4.9
5,Arkansas,2011,Male,7.5
5,Arkansas,2011,Female,5.1
5,Arkansas,2012,Male,7.4
5,Arkansas,2012,Female,5.9
5,Arkansas,2013,Male,8.6
5,Arkansas,2013,Female,5.4
5,Arkansas,2014,Male,8.4
5,Arkansas,2014,Female,7.4
5,Arkansas,2015,Male,7.4
5,Arkansas,2015,Female,5.1
5,Arkansas,2016,Male,8.5
5,Arkansas,2016,Female,4.6
5,Arkansas,2017,Male,7.1
5,Arkansas,2017,Female,5.4
5,Arkansas,2018,Male,7.6
5,Arkansas,2018,Female,6.1
5,Arkansas,2019,Male,7.0
5,Arkansas,2019,Female,5.1
5,Arkansas,2020,Male,7.8
5,Arkansas,2020,Female,6.0
6,California,2011,Male,7.1
6,California,2011,Female,5.0
6,California,2012,Male,7.3
6,California,2012,Female,4.9
6,California,2013,Male,7.4
6,California,2013,Female,5.2
6,California,2014,Male,7.3
6,California,2014,Female,5.0
6,California,2015,Male,6.8
6,California,2015,Female,5.5
6,California,2016,Male,7.0
6,California,2016,Female,4.7
6,California,2017,Male,7.2
6,California,2017,Female,4.8
6,California,2018,Male,7.1
6,California,2018,Female,4.6
6,California,2019,Male,6.9
6,California,2019,Female,4.7
6,California,2020,Male,7.1
6,California,2020,Female,4.6
8,Colorado,2011,Male,8.4
8,Colorado,2011,Female,5.4
8,Colorado,2012,Male,7.6
8,Colorado,2012,Female,5.5
8,Colorado,2013,Male,6.9
8,Colorado,2013,Female,5.2
8,Colorado,2014,Male,7.9
8,Colorado,2014,Female,6.0
8,Colorado,2015,Male,8.9
8,Colorado,2015,Female,5.1
8,Colorado,2016,Male,6.8
8,Colorado,2016,Female,5.3
8,Colorado,2017,Male,7.5
8,Colorado,2017,Female,6.4
8,Colorado,2018,Male,6.8
8,Colorado,2018,Female,5.4
8,Colorado,2019,Male,6.9
8,Colorado,2019,Female,5.1
8,Colorado,2020,Male,7.6
8,Colorado,2020,Female,5.4
9,Connecticut,2011,Male,8.6
9,Connecticut,2011,Female,6.0
9,Connecticut,2012,Male,8.0
9,Connecticut,2012,Female,5.4
9,Connecticut,2013,Male,9.2
9,Connecticut,2013,Female,6.8
9,Connecticut,2014,Male,7.6
9,Connecticut,2014,Female,4.5
9,Connecticut,2015,Male,8.9
9,Connecticut,2015,Female,5.7
9,Connecticut,2016,Male,7.8
9,Connecticut,2016,Female,6.5
9,Connecticut,2017,Male,8.1
9,Connecticut,2017,Female,6.0
9,Connecticut,2018,Male,8.7
9,Connecticut,2018,Female,6.9
9,Connecticut,2019,Male,7.7
9,Connecticut,2019,Female,5.9
9,Connecticut,2020,Male,9.1
9,Connecticut,2020,Female,5.4
10,Delaware,2011,Male,7.6
10,Delaware,2011,Female,6.8
10,Delaware,2012,Male,5.8
10,Delaware,2012,Female,7.0
10,Delaware,2013,Male,7.2
10,Delaware,2013,Female,6.1
10,Delaware,2014,Male,5.6
10,Delaware,2014,Female,6.9
10,Delaware,2015,Male,7.1
10,Delaware,2015,Female,4.0
10,Delaware,2016,Male,8.8
10,Delaware,2016,Female,6.0
10,Delaware,2017,Male,8.2
10,Delaware,2017,Female,5.9
10,Delaware,2018,Male,7.2
10,Delaware,2018,Female,5.8
10,Delaware,2019,Male,5.4
10,Delaware,2019,Female,5.0
10,Delaware,2020,Male,8.8
10,Delaware,2020,Female,5.6
11,District of Columbia,2011,Male,6.6
11,District of Columbia,2011,Female,
11,District of Columbia,2012,Male,6.2
11,District of Columbia,2012,Female,4.8
11,District of Columbia,2013,Male,9.3
11,District of Columbia,2013,Female,5.2
11,District of Columbia,2014,Male,5.5
11,District of Columbia,2014,Female,4.9
11,District of Columbia,2015,Male,
11,District of Columbia,2015,Female,
11,District of Columbia,2016,Male,7.3
11,District of Columbia,2016,Female,
11,District of Columbia,2017,Male,
11,District of Columbia,2017,Female,
11,District of Columbia,2018,Male,6.5
11,District of Columbia,2018,Female,4.6
11,District of Columbia,2019,Male,7.4
11,District of Columbia,2019,Female,3.8
11,District of Columbia,2020,Male,6.4
11,District of Columbia,2020,Female,5.3
12,Florida,2011,Male,8.1
12,Florida,2011,Female,5.6
12,Florida,2012,Male,7.4
12,Florida,2012,Female,5.7
12,Florida,2013,Male,8.0
12,Florida,2013,Female,5.9
12,Florida,2014,Male,7.9
12,Florida,2014,Female,5.4
12,Florida,2015,Male,8.0
12,Florida,2015,Female,5.6
12,Florida,2016,Male,7.5
12,Florida,2016,Female,5.7
12,Florida,2017,Male,7.5
12,Florida,2017,Female,5.5
12,Florida,2018,Male,8.3
12,Florida,2018,Female,5.8
12,Florida,2019,Male,7.9
12,Florida,2019,Female,5.6
12,Florida,2020,Male,7.6
12,Florida,2020,Female,5.4
13,Georgia,2011,Male,7.3
13,Georgia,2011,Female,5.2
13,Georgia,2012,Male,7.9
13,Georgia,2012,Female,5.6
13,Georgia,2013,Male,7.3
13,Georgia,2013,Female,5.4
13,Georgia,2014,Male,7.2
13,Georgia,2014,Female,5.2
13,Georgia,2015,Male,7.6
13,Georgia,2015,Female,5.2
13,Georgia,2016,Male,7.0
13,Georgia,2016,Female,5.4
13,Georgia,2017,Male,6.4
13,Georgia,2017,Female,5.1
13,Georgia,2018,Male,6.8
13,Georgia,2018,Female,5.1
13,Georgia,2019,Male,7.1
13,Georgia,2019,Female,4.9
13,Georgia,2020,Male,6.8
13,Georgia,2020,Female,5.1
15,Hawaii,2011,Male,3.4
15,Hawaii,2011,Female,3.1
15,Hawaii,2012,Male,3.9
15,Hawaii,2012,Female,4.7
15,Hawaii,2013,Male,5.4
15,Hawaii,2013,Female,3.8
15,Hawaii,2014,Male,4.8
15,Hawaii,2014,Female,2.8
15,Hawaii,2015,Male,4.7
15,Hawaii,2015,Female,3.7
15,Hawaii,2016,Male,5.4
15,Hawaii,2016,Female,3.4
15,Hawaii,2017,Male,5.4
15,Hawaii,2017,Female,4.5
15,Hawaii,2018,Male,5.7
15,Hawaii,2018,Female,3.2
15,Hawaii,2019,Male,4.7
15,Hawaii,2019,Female,2.7
15,Hawaii,2020,Male,6.0
15,Hawaii,2020,Female,3.1
16,Idaho,2011,Male,7.8
