StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,52.26
1,Alabama,2011,Female,34.21
1,Alabama,2012,Male,51.82
1,Alabama,2012,Female,38.2
1,Alabama,2013,Male,52.72
1,Alabama,2013,Female,37.61
1,Alabama,2014,Male,52.78
1,Alabama,2014,Female,37.93
1,Alabama,2015,Male,49.34
1,Alabama,2015,Female,37.93
1,Alabama,2016,Male,48.43
1,Alabama,2016,Female,40.21
1,Alabama,2017,Male,49.88
1,Alabama,2017,Female,36.48
1,Alabama,2018,Male,47.16
1,Alabama,2018,Female,35.68
1,Alabama,2019,Male,49.03
1,Alabama,2019,Female,35.89
1,Alabama,2020,Male,42.39
1,Alabama,2020,Female,33.58
2,Alaska,2011,Male,49.68
2,Alaska,2011,Female,34.71
2,Alaska,2012,Male,43.86
2,Alaska,2012,Female,39.58
2,Alaska,2013,Male,45.09
2,Alaska,2013,Female,45.57
2,Alaska,2014,Male,49.12
2,Alaska,2014,Female,40.13
2,Alaska,2015,Male,48.18
2,Alaska,2015,Female,37.8
2,Alaska,2016,Male,36.6
2,Alaska,2016,Female,42.73
2,Alaska,2017,Male,49.68
2,Alaska,2017,Female,38.67
2,Alaska,2018,Male,45.5
2,Alaska,2018,Female,38.17
2,Alaska,2019,Male,44.56
2,Alaska,2019,Female,37.16
2,Alaska,2020,Male,44.33
2,Alaska,2020,Female,37.69
4,Arizona,2011,Male,40.9
4,Arizona,2011,Female,30.42
4,Arizona,2012,Male,41.03
4,Arizona,2012,Female,30.49
4,Arizona,2013,Male,39.33
4,Arizona,2013,Female,28.56
4,Arizona,2014,Male,40.45
4,Arizona,2014,Female,29.84
4,Arizona,2015,Male,37.58
4,Arizona,2015,Female,29.28
4,Arizona,2016,Male,36.22
4,Arizona,2016,Female,27.65
4,Arizona,2017,Male,37.05
4,Arizona,2017,Female,27.98
4,Arizona,2018,Male,38.36
4,Arizona,2018,Female,28.25
4,Arizona,2019,Male,35.74
4,Arizona,2019,Female,27.18
4,Arizona,2020,Male,31.8
4,Arizona,2020,Female,26.43
5,Arkansas,2011,Male,44.96
5,Arkansas,2011,Female,37.93
5,Arkansas,2012,Male,46.33
5,Arkansas,2012,Female,36.44
5,Arkansas,2013,Male,49.18
5,Arkansas,2013,Female,36.8
5,Arkansas,2014,Male,50.25
5,Arkansas,2014,Female,37.72
5,Arkansas,2015,Male,50.43
5,Arkansas,2015,Female,38.8
5,Arkansas,2016,Male,44.47
5,Arkansas,2016,Female,38.91
5,Arkansas,2017,Male,48.34
5,Arkansas,2017,Female,36.79
5,Arkansas,2018,Male,46.98
5,Arkansas,2018,Female,36.65
5,Arkansas,2019,Male,52.9
5,Arkansas,2019,Female,38.74
5,Arkansas,2020,Male,41.41
5,Arkansas,2020,Female,31.81
6,California,2011,Male,44.02
6,California,2011,Female,33.51
6,California,2012,Male,42.13
6,California,2012,Female,32.71
6,California,2013,Male,40.57
6,California,2013,Female,31.8
6,California,2014,Male,42.39
6,California,2014,Female,31.5
6,California,2015,Male,40.9
6,California,2015,Female,31.41
6,California,2016,Male,39.0
6,California,2016,Female,31.27
6,California,2017,Male,38.57
6,California,2017,Female,30.39
6,California,2018,Male,39.08
6,California,2018,Female,29.83
6,California,2019,Male,39.13
6,California,2019,Female,30.32
6,California,2020,Male,33.79
6,California,2020,Female,27.29
8,Colorado,2011,Male,39.51
8,Colorado,2011,Female,31.24
8,Colorado,2012,Male,38.05
8,Colorado,2012,Female,30.87
8,Colorado,2013,Male,38.63
8,Colorado,2013,Female,31.2
8,Colorado,2014,Male,36.33
8,Colorado,2014,Female,30.54
8,Colorado,2015,Male,38.92
8,Colorado,2015,Female,29.8
8,Colorado,2016,Male,35.57
8,Colorado,2016,Female,30.09
8,Colorado,2017,Male,36.94
8,Colorado,2017,Female,28.9
8,Colorado,2018,Male,35.2
8,Colorado,2018,Female,28.09
8,Colorado,2019,Male,35.03
8,Colorado,2019,Female,28.16
8,Colorado,2020,Male,31.44
8,Colorado,2020,Female,24.84
9,Connecticut,2011,Male,46.3
9,Connecticut,2011,Female,34.15
9,Connecticut,2012,Male,46.07
9,Connecticut,2012,Female,36.33
9,Connecticut,2013,Male,43.06
9,Connecticut,2013,Female,31.37
9,Connecticut,2014,Male,39.52
9,Connecticut,2014,Female,33.68
9,Connecticut,2015,Male,39.91
9,Connecticut,2015,Female,31.4
9,Connecticut,2016,Male,42.03
9,Connecticut,2016,Female,30.55
9,Connecticut,2017,Male,38.99
9,Connecticut,2017,Female,29.97
9,Connecticut,2018,Male,40.05
9,Connecticut,2018,Female,31.64
9,Connecticut,2019,Male,39.46
9,Connecticut,2019,Female,27.45
9,Connecticut,2020,Male,33.71
9,Connecticut,2020,Female,28.19
10,Delaware,2011,Male,46.35
10,Delaware,2011,Female,31.83
10,Delaware,2012,Male,40.52
10,Delaware,2012,Female,31.9
10,Delaware,2013,Male,41.77
10,Delaware,2013,Female,30.45
10,Delaware,2014,Male,43.31
10,Delaware,2014,Female,32.92
10,Delaware,2015,Male,43.77
10,Delaware,2015,Female,37.61
10,Delaware,2016,Male,48.1
10,Delaware,2016,Female,32.43
10,Delaware,2017,Male,45.89
10,Delaware,2017,Female,31.51
10,Delaware,2018,Male,37.79
10,Delaware,2018,Female,33.93
10,Delaware,2019,Male,40.69
10,Delaware,2019,Female,27.31
10,Delaware,2020,Male,33.23
10,Delaware,2020,Female,26.21
11,District of Columbia,2011,Male,51.0
11,District of Columbia,2011,Female,37.45
11,District of Columbia,2012,Male,51.33
11,District of Columbia,2012,Female,32.23
11,District of Columbia,2013,Male,39.64
11,District of Columbia,2013,Female,41.03
11,District of Columbia,2014,Male,56.1
11,District of Columbia,2014,Female,37.95
11,District of Columbia,2015,Male,35.98
11,District of Columbia,2015,Female,30.54
11,District of Columbia,2016,Male,34.55
11,District of Columbia,2016,Female,36.03
11,District of Columbia,2017,Male,38.7
11,District of Columbia,2017,Female,34.36
11,District of Columbia,2018,Male,47.24
11,District of Columbia,2018,Female,31.27
11,District of Columbia,2019,Male,41.85
11,District of Columbia,2019,Female,29.52
11,District of Columbia,2020,Male,33.83
11,District of Columbia,2020,Female,26.18
12,Florida,2011,Male,47.15
12,Florida,2011,Female,34.74
12,Florida,2012,Male,43.37
12,Florida,2012,Female,33.19
12,Florida,2013,Male,44.3
12,Florida,2013,Female,33.51
12,Florida,2014,Male,44.42
12,Florida,2014,Female,32.97
12,Florida,2015,Male,43.28
12,Florida,2015,Female,33.1
12,Florida,2016,Male,42.51
12,Florida,2016,Female,33.1
12,Florida,2017,Male,41.22
12,Florida,2017,Female,31.28
12,Florida,2018,Male,40.65
12,Florida,2018,Female,31.3
12,Florida,2019,Male,40.96
12,Florida,2019,Female,32.07
12,Florida,2020,Male,38.28
12,Florida,2020,Female,28.4
13,Georgia,2011,Male,49.46
13,Georgia,2011,Female,36.65
13,Georgia,2012,Male,50.18
13,Georgia,2012,Female,36.47
13,Georgia,2013,Male,49.3
13,Georgia,2013,Female,35.41
13,Georgia,2014,Male,50.38
13,Georgia,2014,Female,35.74
13,Georgia,2015,Male,49.55
13,Georgia,2015,Female,36.32
13,Georgia,2016,Male,48.72
13,Georgia,2016,Female,36.68
13,Georgia,2017,Male,45.93
13,Georgia,2017,Female,33.91
13,Georgia,2018,Male,47.22
13,Georgia,2018,Female,34.08
13,Georgia,2019,Male,47.21
13,Georgia,2019,Female,33.72
13,Georgia,2020,Male,41.64
13,Georgia,2020,Female,31.97
15,Hawaii,2011,Male,56.17
15,Hawaii,2011,Female,35.53
15,Hawaii,2012,Male,49.8
15,Hawaii,2012,Female,34.87
15,Hawaii,2013,Male,51.19
15,Hawaii,2013,Female,33.88
15,Hawaii,2014,Male,45.24
15,Hawaii,2014,Female,38.52
15,Hawaii,2015,Male,46.95
15,Hawaii,2015,Female,36.09
15,Hawaii,2016,Male,48.35
15,Hawaii,2016,Female,35.2
15,Hawaii,2017,Male,45.19
15,Hawaii,2017,Female,35.13
15,Hawaii,2018,Male,45.83
15,Hawaii,2018,Female,29.07
15,Hawaii,2019,Male,45.18
15,Hawaii,2019,Female,33.34
15,Hawaii,2020,Male,41.88
15,Hawaii,2020,Female,31.96
16,Idaho,2011,Male,42.94
16,Idaho,2011,Female,35.63
16,Idaho,2012,Male,37.88
16,Idaho,2012,Female,33.95
16,Idaho,2013,Male,42.48
16,Idaho,2013,Female,29.68
16,Idaho,2014,Male,38.04
16,Idaho,2014,Female,35.01
16,Idaho,2015,Male,39.92
16,Idaho,2015,Female,32.97
16,Idaho,2016,Male,41.12
16,Idaho,2016,Female,29.99
16,Idaho,2017,Male,37.91
16,Idaho,2017,Female,30.59
16,Idaho,2018,Male,42.1
16,Idaho,2018,Female,31.55
16,Idaho,2019,Male,38.49
16,Idaho,2019,Female,31.73
16,Idaho,2020,Male,38.32
16,Idaho,2020,Female,27.58
17,Illinois,2011,Male,54.57
17,Illinois,2011,Female,40.25
17,Illinois,2012,Male,52.2
17,Illinois,2012,Female,37.39
