StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,8.31
1,Alabama,2011,Female,2.04
1,Alabama,2012,Male,7.96
1,Alabama,2012,Female,1.67
1,Alabama,2013,Male,8.49
1,Alabama,2013,Female,1.5
1,Alabama,2014,Male,7.16
1,Alabama,2014,Female,1.92
1,Alabama,2015,Male,8.66
1,Alabama,2015,Female,1.67
1,Alabama,2016,Male,7.65
1,Alabama,2016,Female,1.69
1,Alabama,2017,Male,8.37
1,Alabama,2017,Female,1.32
1,Alabama,2018,Male,7.66
1,Alabama,2018,Female,1.81
1,Alabama,2019,Male,7.98
1,Alabama,2019,Female,1.27
1,Alabama,2020,Male,8.03
1,Alabama,2020,Female,1.69
2,Alaska,2011,Male,9.58
2,Alaska,2011,Female,
2,Alaska,2012,Male,5.49
2,Alaska,2012,Female,
2,Alaska,2013,Male,9.39
2,Alaska,2013,Female,
2,Alaska,2014,Male,12.69
2,Alaska,2014,Female,
2,Alaska,2015,Male,7.11
2,Alaska,2015,Female,
2,Alaska,2016,Male,9.04
2,Alaska,2016,Female,
2,Alaska,2017,Male,8.05
2,Alaska,2017,Female,
2,Alaska,2018,Male,10.88
2,Alaska,2018,Female,
2,Alaska,2019,Male,5.71
2,Alaska,2019,Female,
2,Alaska,2020,Male,7.9
2,Alaska,2020,Female,
4,Arizona,2011,Male,7.82
4,Arizona,2011,Female,1.8
4,Arizona,2012,Male,7.56
4,Arizona,2012,Female,1.4
4,Arizona,2013,Male,7.54
4,Arizona,2013,Female,2.04
4,Arizona,2014,Male,7.92
4,Arizona,2014,Female,1.59
4,Arizona,2015,Male,7.18
4,Arizona,2015,Female,1.47
4,Arizona,2016,Male,7.47
4,Arizona,2016,Female,1.64
4,Arizona,2017,Male,6.95
4,Arizona,2017,Female,1.84
4,Arizona,2018,Male,7.69
4,Arizona,2018,Female,1.37
4,Arizona,2019,Male,6.95
4,Arizona,2019,Female,1.27
4,Arizona,2020,Male,6.53
4,Arizona,2020,Female,1.32
5,Arkansas,2011,Male,8.36
5,Arkansas,2011,Female,1.59
5,Arkansas,2012,Male,6.88
5,Arkansas,2012,Female,1.23
5,Arkansas,2013,Male,7.23
5,Arkansas,2013,Female,1.51
5,Arkansas,2014,Male,8.11
5,Arkansas,2014,Female,1.15
5,Arkansas,2015,Male,6.93
5,Arkansas,2015,Female,1.38
5,Arkansas,2016,Male,6.52
5,Arkansas,2016,Female,1.4
5,Arkansas,2017,Male,7.27
5,Arkansas,2017,Female,1.83
5,Arkansas,2018,Male,7.8
5,Arkansas,2018,Female,1.39
5,Arkansas,2019,Male,7.91
5,Arkansas,2019,Female,1.37
5,Arkansas,2020,Male,7.88
5,Arkansas,2020,Female,1.57
6,California,2011,Male,6.6
6,California,2011,Female,1.71
6,California,2012,Male,6.61
6,California,2012,Female,1.43
6,California,2013,Male,5.88
6,California,2013,Female,1.5
6,California,2014,Male,6.08
6,California,2014,Female,1.59
6,California,2015,Male,5.91
6,California,2015,Female,1.57
6,California,2016,Male,5.76
6,California,2016,Female,1.55
6,California,2017,Male,5.83
6,California,2017,Female,1.31
6,California,2018,Male,5.91
6,California,2018,Female,1.42
6,California,2019,Male,6.06
6,California,2019,Female,1.48
6,California,2020,Male,5.75
6,California,2020,Female,1.46
8,Colorado,2011,Male,6.27
8,Colorado,2011,Female,1.06
8,Colorado,2012,Male,7.15
8,Colorado,2012,Female,1.47
8,Colorado,2013,Male,8.65
8,Colorado,2013,Female,1.54
8,Colorado,2014,Male,7.49
8,Colorado,2014,Female,1.28
8,Colorado,2015,Male,8.21
8,Colorado,2015,Female,1.31
8,Colorado,2016,Male,6.99
8,Colorado,2016,Female,1.37
8,Colorado,2017,Male,7.53
8,Colorado,2017,Female,1.57
8,Colorado,2018,Male,6.82
8,Colorado,2018,Female,1.14
8,Colorado,2019,Male,6.7
8,Colorado,2019,Female,1.47
8,Colorado,2020,Male,7.39
8,Colorado,2020,Female,1.44
9,Connecticut,2011,Male,8.28
9,Connecticut,2011,Female,1.27
9,Connecticut,2012,Male,9.16
9,Connecticut,2012,Female,2.14
9,Connecticut,2013,Male,8.46
9,Connecticut,2013,Female,2.1
9,Connecticut,2014,Male,7.35
9,Connecticut,2014,Female,1.7
9,Connecticut,2015,Male,8.79
9,Connecticut,2015,Female,1.88
9,Connecticut,2016,Male,7.4
9,Connecticut,2016,Female,1.87
9,Connecticut,2017,Male,8.64
9,Connecticut,2017,Female,2.07
9,Connecticut,2018,Male,7.07
9,Connecticut,2018,Female,2.14
9,Connecticut,2019,Male,7.82
9,Connecticut,2019,Female,2.08
9,Connecticut,2020,Male,7.4
9,Connecticut,2020,Female,1.76
10,Delaware,2011,Male,9.03
10,Delaware,2011,Female,2.78
10,Delaware,2012,Male,8.44
10,Delaware,2012,Female,
10,Delaware,2013,Male,6.6
10,Delaware,2013,Female,
10,Delaware,2014,Male,11.25
10,Delaware,2014,Female,
10,Delaware,2015,Male,9.64
10,Delaware,2015,Female,
10,Delaware,2016,Male,8.4
10,Delaware,2016,Female,
10,Delaware,2017,Male,9.11
10,Delaware,2017,Female,
10,Delaware,2018,Male,8.33
10,Delaware,2018,Female,
10,Delaware,2019,Male,6.95
10,Delaware,2019,Female,
10,Delaware,2020,Male,7.02
10,Delaware,2020,Female,2.22
11,District of Columbia,2011,Male,7.27
11,District of Columbia,2011,Female,
11,District of Columbia,2012,Male,8.03
11,District of Columbia,2012,Female,
11,District of Columbia,2013,Male,6.28
11,District of Columbia,2013,Female,
11,District of Columbia,2014,Male,
11,District of Columbia,2014,Female,
11,District of Columbia,2015,Male,6.12
11,District of Columbia,2015,Female,
11,District of Columbia,2016,Male,6.19
11,District of Columbia,2016,Female,
11,District of Columbia,2017,Male,
11,District of Columbia,2017,Female,
11,District of Columbia,2018,Male,5.22
11,District of Columbia,2018,Female,
11,District of Columbia,2019,Male,8.72
11,District of Columbia,2019,Female,
11,District of Columbia,2020,Male,7.32
11,District of Columbia,2020,Female,
12,Florida,2011,Male,8.3
12,Florida,2011,Female,1.7
12,Florida,2012,Male,7.8
12,Florida,2012,Female,1.77
12,Florida,2013,Male,7.99
12,Florida,2013,Female,1.74
12,Florida,2014,Male,7.55
12,Florida,2014,Female,1.95
12,Florida,2015,Male,8.04
12,Florida,2015,Female,1.69
12,Florida,2016,Male,7.81
12,Florida,2016,Female,1.75
12,Florida,2017,Male,7.52
12,Florida,2017,Female,1.83
12,Florida,2018,Male,8.33
12,Florida,2018,Female,1.86
12,Florida,2019,Male,7.68
12,Florida,2019,Female,1.87
12,Florida,2020,Male,7.44
12,Florida,2020,Female,1.65
13,Georgia,2011,Male,8.08
13,Georgia,2011,Female,2.0
13,Georgia,2012,Male,8.27
13,Georgia,2012,Female,1.51
13,Georgia,2013,Male,7.61
13,Georgia,2013,Female,1.4
13,Georgia,2014,Male,7.99
13,Georgia,2014,Female,1.67
13,Georgia,2015,Male,7.25
13,Georgia,2015,Female,1.92
13,Georgia,2016,Male,7.79
13,Georgia,2016,Female,1.83
13,Georgia,2017,Male,7.38
13,Georgia,2017,Female,1.75
13,Georgia,2018,Male,7.21
13,Georgia,2018,Female,1.92
13,Georgia,2019,Male,7.6
13,Georgia,2019,Female,1.91
13,Georgia,2020,Male,7.36
13,Georgia,2020,Female,1.64
15,Hawaii,2011,Male,6.57
15,Hawaii,2011,Female,
15,Hawaii,2012,Male,5.97
15,Hawaii,2012,Female,
15,Hawaii,2013,Male,5.56
15,Hawaii,2013,Female,
15,Hawaii,2014,Male,5.51
15,Hawaii,2014,Female,
15,Hawaii,2015,Male,5.78
15,Hawaii,2015,Female,1.6
15,Hawaii,2016,Male,6.93
15,Hawaii,2016,Female,
15,Hawaii,2017,Male,7.37
15,Hawaii,2017,Female,
15,Hawaii,2018,Male,4.26
15,Hawaii,2018,Female,
15,Hawaii,2019,Male,6.13
15,Hawaii,2019,Female,1.79
15,Hawaii,2020,Male,6.76
15,Hawaii,2020,Female,
16,Idaho,2011,Male,7.57
16,Idaho,2011,Female,
16,Idaho,2012,Male,8.36
16,Idaho,2012,Female,
16,Idaho,2013,Male,7.82
16,Idaho,2013,Female,1.71
16,Idaho,2014,Male,9.31
16,Idaho,2014,Female,1.91
16,Idaho,2015,Male,7.52
16,Idaho,2015,Female,
16,Idaho,2016,Male,9.27
16,Idaho,2016,Female,1.63
16,Idaho,2017,Male,9.33
16,Idaho,2017,Female,
16,Idaho,2018,Male,8.93
16,Idaho,2018,Female,1.41
16,Idaho,2019,Male,8.19
16,Idaho,2019,Female,1.51
16,Idaho,2020,Male,7.06
16,Idaho,2020,Female,1.41
17,Illinois,2011,Male,9.1
17,Illinois,2011,Female,2.13
17,Illinois,2012,Male,9.27
17,Illinois,2012,Female,2.21
17,Illinois,2013,Male,8.78
17,Illinois,2013,Female,1.71
17,Illinois,2014,Male,8.68
17,Illinois,2014,Female,1.84
17,Illinois,2015,Male,8.93
17,Illinois,2015,Female,1.72
17,Illinois,2016,Male,7.79
17,Illinois,2016,Female,1.98
17,Illinois,2017,Male,7.85
17,Illinois,2017,Female,1.8
17,Illinois,2018,Male,7.49
17,Illinois,2018,Female,1.97
17,Illinois,2019,Male,8.82
17,Illinois,2019,Female,2.13
17,Illinois,2020,Male,8.42
17,Illinois,2020,Female,2.04
18,Indiana,2011,Male,9.12
18,Indiana,2011,Female,2.01
18,Indiana,2012,Male,10.74
18,Indiana,2012,Female,2.1
18,Indiana,2013,Male,9.64
18,Indiana,2013,Female,2.04
18,Indiana,2014,Male,9.95
18,Indiana,2014,Female,1.85
18,Indiana,2015,Male,9.85
18,Indiana,2015,Female,1.75
18,Indiana,2017,Male,10.36
18,Indiana,2017,Female,2.04
18,Indiana,2018,Male,10.91
18,Indiana,2018,Female,1.81
18,Indiana,2019,Male,9.06
18,Indiana,2019,Female,1.81
19,Iowa,2011,Male,9.91
19,Iowa,2011,Female,1.39
19,Iowa,2012,Male,9.99
19,Iowa,2012,Female,1.69
19,Iowa,2013,Male,10.33
19,Iowa,2013,Female,1.92
19,Iowa,2014,Male,9.92
19,Iowa,2014,Female,2.04
19,Iowa,2015,Male,10.34
19,Iowa,2015,Female,1.63
19,Iowa,2016,Male,9.68
19,Iowa,2016,Female,2.16
19,Iowa,2017,Male,11.32
19,Iowa,2017,Female,1.96
19,Iowa,2018,Male,8.98
19,Iowa,2018,Female,2.25
19,Iowa,2019,Male,9.76
19,Iowa,2019,Female,1.95
19,Iowa,2020,Male,8.92
19,Iowa,2020,Female,2.03
21,Kentucky,2011,Male,8.36
21,Kentucky,2011,Female,1.97
21,Kentucky,2012,Male,7.75
21,Kentucky,2012,Female,1.73
21,Kentucky,2013,Male,8.45
21,Kentucky,2013,Female,2.32
21,Kentucky,2014,Male,8.92
21,Kentucky,2014,Female,1.62
21,Kentucky,2015,Male,9.21
21,Kentucky,2015,Female,1.54
21,Kentucky,2016,Male,9.13
21,Kentucky,2016,Female,1.62
21,Kentucky,2017,Male,9.52
21,Kentucky,2017,Female,2.14
21,Kentucky,2018,Male,9.74
21,Kentucky,2018,Female,1.64
21,Kentucky,2019,Male,10.89
21,Kentucky,2019,Female,2.21
21,Kentucky,2020,Male,10.33
21,Kentucky,2020,Female,1.7
22,Louisiana,2011,Male,8.84
22,Louisiana,2011,Female,1.44
22,Louisiana,2012,Male,8.7
22,Louisiana,2012,Female,2.12
22,Louisiana,2013,Male,8.24
22,Louisiana,2013,Female,1.61
22,Louisiana,2014,Male,7.84
22,Louisiana,2014,Female,1.77
22,Louisiana,2015,Male,7.65
22,Louisiana,2015,Female,2.08
22,Louisiana,2016,Male,8.28
22,Louisiana,2016,Female,1.63
22,Louisiana,2017,Male,6.66
22,Louisiana,2017,Female,1.57
22,Louisiana,2018,Male,7.47
22,Louisiana,2018,Female,1.69
22,Louisiana,2019,Male,8.47
22,Louisiana,2019,Female,1.63
22,Louisiana,2020,Male,8.5
22,Louisiana,2020,Female,1.77
23,Maine,2011,Male,10.94
23,Maine,2011,Female,2.0
23,Maine,2012,Male,10.51
23,Maine,2012,Female,2.82
23,Maine,2013,Male,11.07
23,Maine,2013,Female,2.05
23,Maine,2014,Male,11.9
23,Maine,2014,Female,2.96
23,Maine,2015,Male,13.16
23,Maine,2015,Female,2.09
23,Maine,2016,Male,13.33
23,Maine,2016,Female,2.75
23,Maine,2017,Male,9.94
23,Maine,2017,Female,2.32
23,Maine,2018,Male,11.51
23,Maine,2018,Female,1.86
23,Maine,2019,Male,12.1
23,Maine,2019,Female,2.64
23,Maine,2020,Male,12.81
23,Maine,2020,Female,1.91
24,Maryland,2011,Male,8.05
24,Maryland,2011,Female,1.6
24,Maryland,2012,Male,7.67
24,Maryland,2012,Female,1.65
24,Maryland,2013,Male,7.57
24,Maryland,2013,Female,1.84
24,Maryland,2014,Male,6.36
24,Maryland,2014,Female,1.75
24,Maryland,2015,Male,8.32
24,Maryland,2015,Female,2.3
24,Maryland,2016,Male,6.93
24,Maryland,2016,Female,1.64
24,Maryland,2017,Male,7.57
24,Maryland,2017,Female,1.82
24,Maryland,2018,Male,7.66
24,Maryland,2018,Female,1.9
24,Maryland,2019,Male,6.68
24,Maryland,2019,Female,1.95
24,Maryland,2020,Male,6.11
24,Maryland,2020,Female,1.39
25,Massachusetts,2011,Male,10.97
25,Massachusetts,2011,Female,1.95
25,Massachusetts,2012,Male,9.78
25,Massachusetts,2012,Female,1.71
25,Massachusetts,2013,Male,9.87
25,Massachusetts,2013,Female,2.38
25,Massachusetts,2014,Male,9.23
25,Massachusetts,2014,Female,2.54
25,Massachusetts,2015,Male,8.84
25,Massachusetts,2015,Female,2.26
25,Massachusetts,2016,Male,9.39
25,Massachusetts,2016,Female,2.04
25,Massachusetts,2017,Male,9.64
25,Massachusetts,2017,Female,1.89
25,Massachusetts,2018,Male,9.77
25,Massachusetts,2018,Female,2.41
25,Massachusetts,2019,Male,9.15
25,Massachusetts,2019,Female,2.33
25,Massachusetts,2020,Male,8.24
25,Massachusetts,2020,Female,2.03
26,Michigan,2011,Male,9.46
26,Michigan,2011,Female,2.35
26,Michigan,2012,Male,9.07
26,Michigan,2012,Female,1.71
26,Michigan,2013,Male,8.94
26,Michigan,2013,Female,2.04
26,Michigan,2014,Male,9.12
26,Michigan,2014,Female,2.14
26,Michigan,2015,Male,9.51
26,Michigan,2015,Female,2.07
26,Michigan,2016,Male,9.63
26,Michigan,2016,Female,2.24
26,Michigan,2017,Male,9.26
26,Michigan,2017,Female,2.06
26,Michigan,2018,Male,9.51
26,Michigan,2018,Female,2.05
26,Michigan,2019,Male,9.69
26,Michigan,2019,Female,2.4
26,Michigan,2020,Male,8.52
26,Michigan,2020,Female,1.9
27,Minnesota,2011,Male,8.72
27,Minnesota,2011,Female,2.63
27,Minnesota,2012,Male,7.31
27,Minnesota,2012,Female,2.19
27,Minnesota,2013,Male,7.44
27,Minnesota,2013,Female,2.02
27,Minnesota,2014,Male,8.72
27,Minnesota,2014,Female,1.97
27,Minnesota,2015,Male,8.15
27,Minnesota,2015,Female,1.73
27,Minnesota,2016,Male,8.02
27,Minnesota,2016,Female,2.02
27,Minnesota,2017,Male,8.33
27,Minnesota,2017,Female,1.75
27,Minnesota,2018,Male,8.6
27,Minnesota,2018,Female,2.33
27,Minnesota,2019,Male,8.94
27,Minnesota,2019,Female,2.27
27,Minnesota,2020,Male,8.78
27,Minnesota,2020,Female,2.17
28,Mississippi,2011,Male,8.43
28,Mississippi,2011,Female,1.28
28,Mississippi,2012,Male,8.34
28,Mississippi,2012,Female,2.02
28,Mississippi,2013,Male,7.41
28,Mississippi,2013,Female,2.04
28,Mississippi,2014,Male,7.46
28,Mississippi,2014,Female,1.82
28,Mississippi,2015,Male,8.49
28,Mississippi,2015,Female,2.07
28,Mississippi,2016,Male,8.93
28,Mississippi,2016,Female,1.64
28,Mississippi,2017,Male,7.32
28,Mississippi,2017,Female,1.6
28,Mississippi,2018,Male,7.76
28,Mississippi,2018,Female,1.37
28,Mississippi,2019,Male,9.11
28,Mississippi,2019,Female,2.09
28,Mississippi,2020,Male,7.58
28,Mississippi,2020,Female,1.59
29,Missouri,2011,Male,8.63
29,Missouri,2011,Female,1.6
29,Missouri,2012,Male,8.97
29,Missouri,2012,Female,1.83
29,Missouri,2013,Male,8.43
29,Missouri,2013,Female,2.01
29,Missouri,2014,Male,8.93
29,Missouri,2014,Female,1.63
29,Missouri,2015,Male,8.0
29,Missouri,2015,Female,2.05
29,Missouri,2016,Male,9.47
29,Missouri,2016,Female,1.89
29,Missouri,2017,Male,8.82
29,Missouri,2017,Female,2.21
29,Missouri,2018,Male,8.98
29,Missouri,2018,Female,1.8
29,Missouri,2019,Male,9.08
29,Missouri,2019,Female,1.86
29,Missouri,2020,Male,8.42
29,Missouri,2020,Female,1.56
30,Montana,2011,Male,7.35
30,Montana,2011,Female,2.92
30,Montana,2012,Male,8.84
30,Montana,2012,Female,
30,Montana,2013,Male,8.23
30,Montana,2013,Female,2.89
30,Montana,2014,Male,7.52
30,Montana,2014,Female,
30,Montana,2015,Male,11.11
30,Montana,2015,Female,
30,Montana,2016,Male,8.64
30,Montana,2016,Female,
30,Montana,2017,Male,7.47
30,Montana,2017,Female,
30,Montana,2018,Male,7.04
30,Montana,2018,Female,
30,Montana,2019,Male,7.55
30,Montana,2019,Female,2.24
30,Montana,2020,Male,8.23
30,Montana,2020,Female,
31,Nebraska,2011,Male,8.58
31,Nebraska,2011,Female,1.36
31,Nebraska,2012,Male,10.09
31,Nebraska,2012,Female,1.81
31,Nebraska,2013,Male,8.12
31,Nebraska,2013,Female,1.75
31,Nebraska,2014,Male,7.57
31,Nebraska,2014,Female,1.85
31,Nebraska,2015,Male,8.59
31,Nebraska,2015,Female,1.45
31,Nebraska,2016,Male,8.17
31,Nebraska,2016,Female,1.61
31,Nebraska,2017,Male,8.05
31,Nebraska,2017,Female,1.76
31,Nebraska,2018,Male,7.77
31,Nebraska,2018,Female,1.63
31,Nebraska,2019,Male,9.35
31,Nebraska,2019,Female,2.7
31,Nebraska,2020,Male,8.49
31,Nebraska,2020,Female,1.61
32,Nevada,2011,Male,9.91
32,Nevada,2011,Female,1.75
32,Nevada,2012,Male,7.18
32,Nevada,2012,Female,1.18
32,Nevada,2013,Male,7.72
32,Nevada,2013,Female,2.09
32,Nevada,2014,Male,8.07
32,Nevada,2014,Female,2.12
32,Nevada,2015,Male,6.89
32,Nevada,2015,Female,1.58
32,Nevada,2016,Male,6.92
32,Nevada,2016,Female,1.36
32,Nevada,2017,Male,8.05
32,Nevada,2017,Female,1.35
32,Nevada,2018,Male,7.22
32,Nevada,2018,Female,1.67
32,Nevada,2019,Male,8.2
32,Nevada,2019,Female,1.28
33,New Hampshire,2011,Male,11.77
33,New Hampshire,2011,Female,2.59
33,New Hampshire,2012,Male,13.08
33,New Hampshire,2012,Female,1.55
33,New Hampshire,2013,Male,9.95
33,New Hampshire,2013,Female,3.07
33,New Hampshire,2014,Male,12.8
33,New Hampshire,2014,Female,2.04
33,New Hampshire,2015,Male,13.41
33,New Hampshire,2015,Female,2.71
33,New Hampshire,2016,Male,10.24
33,New Hampshire,2016,Female,2.57
33,New Hampshire,2017,Male,11.53
33,New Hampshire,2017,Female,1.57
33,New Hampshire,2018,Male,13.08
33,New Hampshire,2018,Female,2.01
33,New Hampshire,2019,Male,9.88
33,New Hampshire,2019,Female,2.37
33,New Hampshire,2020,Male,9.53
33,New Hampshire,2020,Female,2.46
34,New Jersey,2011,Male,7.92
34,New Jersey,2011,Female,1.75
34,New Jersey,2012,Male,7.64
