StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,21.65
1,Alabama,2011,Female,10.72
1,Alabama,2012,Male,24.68
1,Alabama,2012,Female,12.23
1,Alabama,2013,Male,23.32
1,Alabama,2013,Female,12.22
1,Alabama,2014,Male,22.84
1,Alabama,2014,Female,12.35
1,Alabama,2015,Male,24.79
1,Alabama,2015,Female,12.94
1,Alabama,2016,Male,25.18
1,Alabama,2016,Female,13.24
1,Alabama,2017,Male,24.25
1,Alabama,2017,Female,13.74
1,Alabama,2018,Male,24.32
1,Alabama,2018,Female,13.62
1,Alabama,2019,Male,28.23
1,Alabama,2019,Female,12.85
1,Alabama,2020,Male,23.92
1,Alabama,2020,Female,11.82
2,Alaska,2011,Male,22.52
2,Alaska,2011,Female,9.61
2,Alaska,2012,Male,19.5
2,Alaska,2012,Female,9.02
2,Alaska,2013,Male,22.69
2,Alaska,2013,Female,14.62
2,Alaska,2014,Male,29.03
2,Alaska,2014,Female,14.25
2,Alaska,2015,Male,22.73
2,Alaska,2015,Female,18.17
2,Alaska,2016,Male,20.99
2,Alaska,2016,Female,11.83
2,Alaska,2017,Male,23.48
2,Alaska,2017,Female,13.41
2,Alaska,2018,Male,27.08
2,Alaska,2018,Female,13.7
2,Alaska,2019,Male,23.66
2,Alaska,2019,Female,15.9
2,Alaska,2020,Male,28.22
2,Alaska,2020,Female,10.38
4,Arizona,2011,Male,20.82
4,Arizona,2011,Female,11.93
4,Arizona,2012,Male,20.99
4,Arizona,2012,Female,11.58
4,Arizona,2013,Male,22.13
4,Arizona,2013,Female,10.51
4,Arizona,2014,Male,21.11
4,Arizona,2014,Female,10.34
4,Arizona,2015,Male,21.48
4,Arizona,2015,Female,11.4
4,Arizona,2016,Male,22.99
4,Arizona,2016,Female,11.11
4,Arizona,2017,Male,22.49
4,Arizona,2017,Female,12.01
4,Arizona,2018,Male,23.25
4,Arizona,2018,Female,11.47
4,Arizona,2019,Male,22.59
4,Arizona,2019,Female,10.59
4,Arizona,2020,Male,20.38
4,Arizona,2020,Female,9.36
5,Arkansas,2011,Male,19.53
5,Arkansas,2011,Female,13.13
5,Arkansas,2012,Male,21.13
5,Arkansas,2012,Female,12.84
5,Arkansas,2013,Male,23.27
5,Arkansas,2013,Female,12.49
5,Arkansas,2014,Male,27.53
5,Arkansas,2014,Female,11.91
5,Arkansas,2015,Male,24.95
5,Arkansas,2015,Female,13.63
5,Arkansas,2016,Male,26.93
5,Arkansas,2016,Female,14.65
5,Arkansas,2017,Male,23.67
5,Arkansas,2017,Female,17.43
5,Arkansas,2018,Male,28.55
5,Arkansas,2018,Female,15.84
5,Arkansas,2019,Male,27.52
5,Arkansas,2019,Female,17.82
5,Arkansas,2020,Male,26.69
5,Arkansas,2020,Female,15.2
6,California,2011,Male,19.5
6,California,2011,Female,9.75
6,California,2012,Male,19.53
6,California,2012,Female,9.78
6,California,2013,Male,20.3
6,California,2013,Female,9.49
6,California,2014,Male,19.76
6,California,2014,Female,9.61
6,California,2015,Male,21.01
6,California,2015,Female,10.45
6,California,2016,Male,20.73
6,California,2016,Female,10.16
6,California,2017,Male,21.08
6,California,2017,Female,10.71
6,California,2018,Male,20.0
6,California,2018,Female,10.53
6,California,2019,Male,21.21
6,California,2019,Female,10.6
6,California,2020,Male,19.16
6,California,2020,Female,9.03
8,Colorado,2011,Male,18.9
8,Colorado,2011,Female,9.93
8,Colorado,2012,Male,17.95
8,Colorado,2012,Female,9.72
8,Colorado,2013,Male,17.81
8,Colorado,2013,Female,9.71
8,Colorado,2014,Male,19.39
8,Colorado,2014,Female,10.71
8,Colorado,2015,Male,18.16
8,Colorado,2015,Female,10.41
8,Colorado,2016,Male,19.23
8,Colorado,2016,Female,9.86
8,Colorado,2017,Male,18.17
8,Colorado,2017,Female,10.39
8,Colorado,2018,Male,20.69
8,Colorado,2018,Female,10.38
8,Colorado,2019,Male,20.62
8,Colorado,2019,Female,10.79
8,Colorado,2020,Male,18.97
8,Colorado,2020,Female,10.03
9,Connecticut,2011,Male,21.85
9,Connecticut,2011,Female,9.27
9,Connecticut,2012,Male,23.28
9,Connecticut,2012,Female,9.63
9,Connecticut,2013,Male,21.25
9,Connecticut,2013,Female,10.15
9,Connecticut,2014,Male,22.41
9,Connecticut,2014,Female,11.05
9,Connecticut,2015,Male,22.93
9,Connecticut,2015,Female,10.87
9,Connecticut,2016,Male,22.13
9,Connecticut,2016,Female,10.75
9,Connecticut,2017,Male,23.33
9,Connecticut,2017,Female,11.57
9,Connecticut,2018,Male,22.09
9,Connecticut,2018,Female,9.96
9,Connecticut,2019,Male,22.68
9,Connecticut,2019,Female,11.71
9,Connecticut,2020,Male,17.92
9,Connecticut,2020,Female,9.2
10,Delaware,2011,Male,23.5
10,Delaware,2011,Female,11.55
10,Delaware,2012,Male,25.96
10,Delaware,2012,Female,9.36
10,Delaware,2013,Male,28.81
10,Delaware,2013,Female,9.98
10,Delaware,2014,Male,20.99
10,Delaware,2014,Female,14.16
10,Delaware,2015,Male,23.21
10,Delaware,2015,Female,11.5
10,Delaware,2016,Male,22.24
10,Delaware,2016,Female,12.4
10,Delaware,2017,Male,23.39
10,Delaware,2017,Female,12.02
10,Delaware,2018,Male,23.65
10,Delaware,2018,Female,13.63
10,Delaware,2019,Male,26.91
10,Delaware,2019,Female,11.01
10,Delaware,2020,Male,19.32
10,Delaware,2020,Female,10.58
11,District of Columbia,2011,Male,24.35
11,District of Columbia,2011,Female,10.11
11,District of Columbia,2012,Male,24.75
11,District of Columbia,2012,Female,9.59
11,District of Columbia,2013,Male,21.54
11,District of Columbia,2013,Female,9.41
11,District of Columbia,2014,Male,21.28
11,District of Columbia,2014,Female,10.76
11,District of Columbia,2015,Male,15.68
11,District of Columbia,2015,Female,7.35
11,District of Columbia,2016,Male,14.09
11,District of Columbia,2016,Female,8.78
11,District of Columbia,2017,Male,16.56
11,District of Columbia,2017,Female,10.63
11,District of Columbia,2018,Male,16.28
11,District of Columbia,2018,Female,8.95
11,District of Columbia,2019,Male,13.54
11,District of Columbia,2019,Female,6.38
11,District of Columbia,2020,Male,14.74
11,District of Columbia,2020,Female,9.0
12,Florida,2011,Male,20.89
12,Florida,2011,Female,10.38
12,Florida,2012,Male,20.39
12,Florida,2012,Female,9.48
12,Florida,2013,Male,19.89
12,Florida,2013,Female,9.34
12,Florida,2014,Male,21.04
12,Florida,2014,Female,10.29
12,Florida,2015,Male,21.23
12,Florida,2015,Female,10.86
12,Florida,2016,Male,21.09
12,Florida,2016,Female,10.4
12,Florida,2017,Male,20.05
12,Florida,2017,Female,10.51
12,Florida,2018,Male,21.33
12,Florida,2018,Female,10.56
12,Florida,2019,Male,21.69
12,Florida,2019,Female,10.83
12,Florida,2020,Male,21.04
12,Florida,2020,Female,9.77
13,Georgia,2011,Male,19.89
13,Georgia,2011,Female,10.91
13,Georgia,2012,Male,23.26
13,Georgia,2012,Female,11.25
13,Georgia,2013,Male,21.69
13,Georgia,2013,Female,10.86
13,Georgia,2014,Male,24.24
13,Georgia,2014,Female,11.18
13,Georgia,2015,Male,22.43
13,Georgia,2015,Female,12.82
13,Georgia,2016,Male,24.7
13,Georgia,2016,Female,12.23
13,Georgia,2017,Male,24.79
13,Georgia,2017,Female,12.58
13,Georgia,2018,Male,23.28
13,Georgia,2018,Female,11.74
13,Georgia,2019,Male,25.26
13,Georgia,2019,Female,12.7
13,Georgia,2020,Male,23.72
13,Georgia,2020,Female,11.69
15,Hawaii,2011,Male,20.3
15,Hawaii,2011,Female,10.05
15,Hawaii,2012,Male,17.91
15,Hawaii,2012,Female,8.13
15,Hawaii,2013,Male,20.46
15,Hawaii,2013,Female,8.38
15,Hawaii,2014,Male,16.41
15,Hawaii,2014,Female,8.97
15,Hawaii,2015,Male,20.78
15,Hawaii,2015,Female,9.92
15,Hawaii,2016,Male,19.89
