StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,16.0
1,Alabama,2011,Female,10.0
1,Alabama,2012,Male,16.4
1,Alabama,2012,Female,9.8
1,Alabama,2013,Male,15.7
1,Alabama,2013,Female,9.5
1,Alabama,2014,Male,16.2
1,Alabama,2014,Female,10.0
1,Alabama,2015,Male,16.0
1,Alabama,2015,Female,9.8
1,Alabama,2016,Male,16.0
1,Alabama,2016,Female,10.2
1,Alabama,2017,Male,15.8
1,Alabama,2017,Female,10.0
1,Alabama,2018,Male,17.1
1,Alabama,2018,Female,11.4
1,Alabama,2019,Male,15.7
1,Alabama,2019,Female,9.9
1,Alabama,2020,Male,12.6
1,Alabama,2020,Female,8.4
2,Alaska,2011,Male,20.0
2,Alaska,2011,Female,9.2
2,Alaska,2012,Male,12.4
2,Alaska,2012,Female,8.4
2,Alaska,2013,Male,12.1
2,Alaska,2013,Female,11.5
2,Alaska,2014,Male,14.8
2,Alaska,2014,Female,10.6
2,Alaska,2015,Male,15.5
2,Alaska,2015,Female,8.6
2,Alaska,2016,Male,17.9
2,Alaska,2016,Female,8.2
2,Alaska,2017,Male,16.7
2,Alaska,2017,Female,8.3
2,Alaska,2018,Male,13.9
2,Alaska,2018,Female,9.4
2,Alaska,2019,Male,15.9
2,Alaska,2019,Female,11.0
2,Alaska,2020,Male,15.5
2,Alaska,2020,Female,8.6
4,Arizona,2011,Male,17.4
4,Arizona,2011,Female,9.8
4,Arizona,2012,Male,16.3
4,Arizona,2012,Female,10.9
4,Arizona,2013,Male,15.6
4,Arizona,2013,Female,9.4
4,Arizona,2014,Male,15.1
4,Arizona,2014,Female,8.7
4,Arizona,2015,Male,16.2
4,Arizona,2015,Female,10.2
4,Arizona,2016,Male,14.0
4,Arizona,2016,Female,9.1
4,Arizona,2017,Male,13.5
4,Arizona,2017,Female,8.9
4,Arizona,2018,Male,14.6
4,Arizona,2018,Female,9.1
4,Arizona,2019,Male,14.0
4,Arizona,2019,Female,9.5
4,Arizona,2020,Male,13.6
4,Arizona,2020,Female,8.5
5,Arkansas,2011,Male,11.8
5,Arkansas,2011,Female,8.5
5,Arkansas,2012,Male,15.5
5,Arkansas,2012,Female,9.8
5,Arkansas,2013,Male,16.3
5,Arkansas,2013,Female,11.2
5,Arkansas,2014,Male,17.8
5,Arkansas,2014,Female,10.2
5,Arkansas,2015,Male,16.9
5,Arkansas,2015,Female,12.2
5,Arkansas,2016,Male,18.4
5,Arkansas,2016,Female,11.3
5,Arkansas,2017,Male,17.1
5,Arkansas,2017,Female,12.4
5,Arkansas,2018,Male,16.9
5,Arkansas,2018,Female,12.3
5,Arkansas,2019,Male,19.0
5,Arkansas,2019,Female,10.9
5,Arkansas,2020,Male,13.1
5,Arkansas,2020,Female,9.9
6,California,2011,Male,16.5
6,California,2011,Female,10.6
6,California,2012,Male,17.7
6,California,2012,Female,10.1
6,California,2013,Male,17.3
6,California,2013,Female,10.3
6,California,2014,Male,17.0
6,California,2014,Female,10.3
6,California,2015,Male,16.3
6,California,2015,Female,10.3
6,California,2016,Male,16.5
6,California,2016,Female,9.9
6,California,2017,Male,15.7
6,California,2017,Female,9.6
6,California,2018,Male,15.6
6,California,2018,Female,9.5
6,California,2019,Male,15.9
6,California,2019,Female,9.6
6,California,2020,Male,13.9
6,California,2020,Female,9.3
8,Colorado,2011,Male,19.4
8,Colorado,2011,Female,11.5
8,Colorado,2012,Male,17.9
8,Colorado,2012,Female,11.1
8,Colorado,2013,Male,18.8
8,Colorado,2013,Female,10.1
8,Colorado,2014,Male,18.3
8,Colorado,2014,Female,11.0
8,Colorado,2015,Male,17.3
8,Colorado,2015,Female,10.3
8,Colorado,2016,Male,16.7
8,Colorado,2016,Female,10.7
8,Colorado,2017,Male,16.1
8,Colorado,2017,Female,9.8
8,Colorado,2018,Male,16.4
8,Colorado,2018,Female,9.7
8,Colorado,2019,Male,15.4
8,Colorado,2019,Female,9.8
8,Colorado,2020,Male,14.7
8,Colorado,2020,Female,9.0
9,Connecticut,2011,Male,22.6
9,Connecticut,2011,Female,12.5
9,Connecticut,2012,Male,20.9
9,Connecticut,2012,Female,12.4
9,Connecticut,2013,Male,19.1
9,Connecticut,2013,Female,13.1
9,Connecticut,2014,Male,18.4
9,Connecticut,2014,Female,12.3
9,Connecticut,2015,Male,16.7
9,Connecticut,2015,Female,10.4
9,Connecticut,2016,Male,17.6
9,Connecticut,2016,Female,11.2
9,Connecticut,2017,Male,19.5
9,Connecticut,2017,Female,14.2
9,Connecticut,2018,Male,18.7
9,Connecticut,2018,Female,10.7
9,Connecticut,2019,Male,18.3
9,Connecticut,2019,Female,10.9
9,Connecticut,2020,Male,17.4
9,Connecticut,2020,Female,11.0
10,Delaware,2011,Male,17.7
10,Delaware,2011,Female,12.4
10,Delaware,2012,Male,25.6
10,Delaware,2012,Female,12.9
10,Delaware,2013,Male,18.8
10,Delaware,2013,Female,8.8
10,Delaware,2014,Male,19.9
10,Delaware,2014,Female,10.9
10,Delaware,2015,Male,18.8
10,Delaware,2015,Female,9.4
10,Delaware,2016,Male,17.7
10,Delaware,2016,Female,9.2
10,Delaware,2017,Male,15.4
10,Delaware,2017,Female,11.2
10,Delaware,2018,Male,17.8
10,Delaware,2018,Female,7.6
10,Delaware,2019,Male,19.6
10,Delaware,2019,Female,9.8
10,Delaware,2020,Male,16.6
10,Delaware,2020,Female,11.0
11,District of Columbia,2011,Male,18.2
11,District of Columbia,2011,Female,10.7
11,District of Columbia,2012,Male,12.6
11,District of Columbia,2012,Female,12.4
11,District of Columbia,2013,Male,11.7
11,District of Columbia,2013,Female,5.2
11,District of Columbia,2014,Male,9.9
11,District of Columbia,2014,Female,6.3
11,District of Columbia,2015,Male,10.7
11,District of Columbia,2015,Female,7.6
11,District of Columbia,2016,Male,10.8
11,District of Columbia,2016,Female,4.7
11,District of Columbia,2017,Male,13.4
11,District of Columbia,2017,Female,7.5
11,District of Columbia,2018,Male,15.5
11,District of Columbia,2018,Female,6.1
11,District of Columbia,2019,Male,14.3
11,District of Columbia,2019,Female,9.3
11,District of Columbia,2020,Male,10.2
11,District of Columbia,2020,Female,8.2
12,Florida,2011,Male,23.3
12,Florida,2011,Female,14.4
12,Florida,2012,Male,22.0
12,Florida,2012,Female,14.4
12,Florida,2013,Male,25.1
12,Florida,2013,Female,16.1
12,Florida,2014,Male,25.2
12,Florida,2014,Female,15.8
12,Florida,2015,Male,26.1
12,Florida,2015,Female,16.6
12,Florida,2016,Male,23.9
12,Florida,2016,Female,15.2
12,Florida,2017,Male,21.6
12,Florida,2017,Female,14.3
12,Florida,2018,Male,22.5
12,Florida,2018,Female,14.9
12,Florida,2019,Male,20.1
12,Florida,2019,Female,12.6
12,Florida,2020,Male,20.5
12,Florida,2020,Female,13.5
13,Georgia,2011,Male,17.6
13,Georgia,2011,Female,11.3
13,Georgia,2012,Male,18.7
13,Georgia,2012,Female,11.5
13,Georgia,2013,Male,19.9
13,Georgia,2013,Female,12.1
13,Georgia,2014,Male,21.2
13,Georgia,2014,Female,12.1
13,Georgia,2015,Male,18.2
13,Georgia,2015,Female,12.2
13,Georgia,2016,Male,18.8
13,Georgia,2016,Female,11.2
13,Georgia,2017,Male,18.8
13,Georgia,2017,Female,11.9
13,Georgia,2018,Male,18.8
13,Georgia,2018,Female,11.4
13,Georgia,2019,Male,18.9
13,Georgia,2019,Female,11.8
13,Georgia,2020,Male,17.2
13,Georgia,2020,Female,10.7
15,Hawaii,2011,Male,16.6
15,Hawaii,2011,Female,11.4
15,Hawaii,2012,Male,14.2
15,Hawaii,2012,Female,8.6
15,Hawaii,2013,Male,13.4
15,Hawaii,2013,Female,9.8
15,Hawaii,2014,Male,15.0
15,Hawaii,2014,Female,9.1
15,Hawaii,2015,Male,13.1
15,Hawaii,2015,Female,7.4
15,Hawaii,2016,Male,13.7
15,Hawaii,2016,Female,7.9
15,Hawaii,2017,Male,14.1
15,Hawaii,2017,Female,8.5
15,Hawaii,2018,Male,12.4
15,Hawaii,2018,Female,7.7
15,Hawaii,2019,Male,13.4
15,Hawaii,2019,Female,7.8
15,Hawaii,2020,Male,13.0
15,Hawaii,2020,Female,8.6
16,Idaho,2011,Male,18.7
16,Idaho,2011,Female,13.2
16,Idaho,2012,Male,18.4
16,Idaho,2012,Female,12.5
16,Idaho,2013,Male,22.2
16,Idaho,2013,Female,15.2
16,Idaho,2014,Male,19.2
16,Idaho,2014,Female,12.9
16,Idaho,2015,Male,22.6
16,Idaho,2015,Female,14.5
16,Idaho,2016,Male,20.2
16,Idaho,2016,Female,11.0
16,Idaho,2017,Male,21.6
16,Idaho,2017,Female,13.0
16,Idaho,2018,Male,21.3
16,Idaho,2018,Female,13.3
16,Idaho,2019,Male,21.4
16,Idaho,2019,Female,12.6
16,Idaho,2020,Male,20.9
16,Idaho,2020,Female,13.5
17,Illinois,2011,Male,18.4
17,Illinois,2011,Female,11.4
17,Illinois,2012,Male,19.0
17,Illinois,2012,Female,11.2
17,Illinois,2013,Male,18.1
17,Illinois,2013,Female,11.2
17,Illinois,2014,Male,18.0
17,Illinois,2014,Female,10.7
17,Illinois,2015,Male,18.2
17,Illinois,2015,Female,10.8
17,Illinois,2016,Male,17.4
17,Illinois,2016,Female,10.7
17,Illinois,2017,Male,18.4
17,Illinois,2017,Female,11.6
17,Illinois,2018,Male,18.1
17,Illinois,2018,Female,10.6
17,Illinois,2019,Male,18.0
17,Illinois,2019,Female,10.4
17,Illinois,2020,Male,16.4
17,Illinois,2020,Female,10.3
18,Indiana,2011,Male,19.0
18,Indiana,2011,Female,11.7
18,Indiana,2012,Male,20.7
18,Indiana,2012,Female,11.9
18,Indiana,2013,Male,18.0
18,Indiana,2013,Female,11.8
18,Indiana,2014,Male,17.9
18,Indiana,2014,Female,11.0
18,Indiana,2015,Male,20.3
18,Indiana,2015,Female,10.8
18,Indiana,2017,Male,18.8
18,Indiana,2017,Female,10.9
18,Indiana,2018,Male,17.1
18,Indiana,2018,Female,10.4
18,Indiana,2019,Male,16.3
18,Indiana,2019,Female,9.5
19,Iowa,2011,Male,23.1
19,Iowa,2011,Female,13.3
19,Iowa,2012,Male,20.6
19,Iowa,2012,Female,13.4
19,Iowa,2013,Male,22.2
19,Iowa,2013,Female,13.7
19,Iowa,2014,Male,23.7
19,Iowa,2014,Female,11.9
19,Iowa,2015,Male,23.1
19,Iowa,2015,Female,12.6
19,Iowa,2016,Male,24.6
19,Iowa,2016,Female,14.0
19,Iowa,2017,Male,21.5
19,Iowa,2017,Female,12.9
19,Iowa,2018,Male,23.3
19,Iowa,2018,Female,12.4
19,Iowa,2019,Male,22.6
