StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,11.34
1,Alabama,2011,Female,3.48
1,Alabama,2012,Male,11.0
1,Alabama,2012,Female,3.35
1,Alabama,2013,Male,11.68
1,Alabama,2013,Female,3.91
1,Alabama,2014,Male,11.19
1,Alabama,2014,Female,3.87
1,Alabama,2015,Male,11.88
1,Alabama,2015,Female,4.27
1,Alabama,2016,Male,13.19
1,Alabama,2016,Female,4.43
1,Alabama,2017,Male,11.92
1,Alabama,2017,Female,4.71
1,Alabama,2018,Male,13.29
1,Alabama,2018,Female,4.71
1,Alabama,2019,Male,13.02
1,Alabama,2019,Female,4.97
1,Alabama,2020,Male,11.57
1,Alabama,2020,Female,4.65
2,Alaska,2011,Male,11.8
2,Alaska,2011,Female,
2,Alaska,2012,Male,15.21
2,Alaska,2012,Female,
2,Alaska,2013,Male,13.78
2,Alaska,2013,Female,6.94
2,Alaska,2014,Male,11.94
2,Alaska,2014,Female,6.93
2,Alaska,2015,Male,12.31
2,Alaska,2015,Female,5.15
2,Alaska,2016,Male,13.85
2,Alaska,2016,Female,
2,Alaska,2017,Male,13.5
2,Alaska,2017,Female,6.06
2,Alaska,2018,Male,12.23
2,Alaska,2018,Female,4.19
2,Alaska,2019,Male,16.51
2,Alaska,2019,Female,6.07
2,Alaska,2020,Male,10.75
2,Alaska,2020,Female,5.62
4,Arizona,2011,Male,12.25
4,Arizona,2011,Female,4.21
4,Arizona,2012,Male,11.39
4,Arizona,2012,Female,4.86
4,Arizona,2013,Male,12.07
4,Arizona,2013,Female,4.45
4,Arizona,2014,Male,12.53
4,Arizona,2014,Female,4.59
4,Arizona,2015,Male,12.33
4,Arizona,2015,Female,4.7
4,Arizona,2016,Male,12.65
4,Arizona,2016,Female,4.28
4,Arizona,2017,Male,12.11
4,Arizona,2017,Female,4.34
4,Arizona,2018,Male,12.96
4,Arizona,2018,Female,4.78
4,Arizona,2019,Male,12.61
4,Arizona,2019,Female,4.36
4,Arizona,2020,Male,9.75
4,Arizona,2020,Female,4.12
5,Arkansas,2011,Male,8.1
5,Arkansas,2011,Female,2.67
5,Arkansas,2012,Male,9.1
5,Arkansas,2012,Female,3.85
5,Arkansas,2013,Male,8.35
5,Arkansas,2013,Female,4.04
5,Arkansas,2014,Male,9.88
5,Arkansas,2014,Female,3.91
5,Arkansas,2015,Male,9.07
5,Arkansas,2015,Female,4.27
5,Arkansas,2016,Male,12.33
5,Arkansas,2016,Female,4.6
5,Arkansas,2017,Male,10.82
5,Arkansas,2017,Female,3.67
