StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,92.7
1,Alabama,2011,Female,56.4
1,Alabama,2012,Male,94.4
1,Alabama,2012,Female,52.1
1,Alabama,2013,Male,88.8
1,Alabama,2013,Female,52.0
1,Alabama,2014,Male,87.8
1,Alabama,2014,Female,49.3
1,Alabama,2015,Male,83.6
1,Alabama,2015,Female,49.6
1,Alabama,2016,Male,83.4
1,Alabama,2016,Female,50.2
1,Alabama,2017,Male,79.0
1,Alabama,2017,Female,49.7
1,Alabama,2018,Male,76.9
1,Alabama,2018,Female,50.2
1,Alabama,2019,Male,75.6
1,Alabama,2019,Female,47.9
1,Alabama,2020,Male,66.3
1,Alabama,2020,Female,43.0
2,Alaska,2011,Male,72.6
2,Alaska,2011,Female,61.8
2,Alaska,2012,Male,65.1
2,Alaska,2012,Female,59.1
2,Alaska,2013,Male,71.8
2,Alaska,2013,Female,44.6
2,Alaska,2014,Male,68.6
2,Alaska,2014,Female,48.5
2,Alaska,2015,Male,71.1
2,Alaska,2015,Female,48.9
2,Alaska,2016,Male,64.3
2,Alaska,2016,Female,51.1
2,Alaska,2017,Male,59.6
2,Alaska,2017,Female,50.9
2,Alaska,2018,Male,54.5
2,Alaska,2018,Female,44.9
2,Alaska,2019,Male,55.6
2,Alaska,2019,Female,54.5
2,Alaska,2020,Male,53.8
2,Alaska,2020,Female,46.4
4,Arizona,2011,Male,59.1
4,Arizona,2011,Female,48.1
4,Arizona,2012,Male,56.2
4,Arizona,2012,Female,46.6
4,Arizona,2013,Male,58.2
4,Arizona,2013,Female,45.0
4,Arizona,2014,Male,54.1
4,Arizona,2014,Female,44.2
4,Arizona,2015,Male,52.5
4,Arizona,2015,Female,44.6
4,Arizona,2016,Male,50.1
4,Arizona,2016,Female,41.1
4,Arizona,2017,Male,47.6
4,Arizona,2017,Female,41.8
4,Arizona,2018,Male,48.1
4,Arizona,2018,Female,39.7
4,Arizona,2019,Male,44.0
4,Arizona,2019,Female,39.0
4,Arizona,2020,Male,41.4
4,Arizona,2020,Female,35.0
5,Arkansas,2011,Male,90.8
5,Arkansas,2011,Female,58.5
5,Arkansas,2012,Male,85.0
5,Arkansas,2012,Female,59.2
5,Arkansas,2013,Male,90.2
5,Arkansas,2013,Female,62.6
5,Arkansas,2014,Male,86.9
5,Arkansas,2014,Female,64.5
5,Arkansas,2015,Male,87.7
5,Arkansas,2015,Female,63.2
5,Arkansas,2016,Male,87.7
5,Arkansas,2016,Female,62.8
5,Arkansas,2017,Male,81.5
5,Arkansas,2017,Female,60.0
5,Arkansas,2018,Male,83.7
5,Arkansas,2018,Female,62.6
5,Arkansas,2019,Male,79.4
5,Arkansas,2019,Female,62.3
5,Arkansas,2020,Male,71.6
5,Arkansas,2020,Female,52.5
6,California,2011,Male,52.6
6,California,2011,Female,40.5
6,California,2012,Male,51.8
6,California,2012,Female,40.4
6,California,2013,Male,49.3
6,California,2013,Female,39.3
6,California,2014,Male,48.1
6,California,2014,Female,39.2
6,California,2015,Male,47.6
6,California,2015,Female,38.2
6,California,2016,Male,45.6
6,California,2016,Female,37.0
6,California,2017,Male,43.7
6,California,2017,Female,36.6
6,California,2018,Male,41.8
6,California,2018,Female,34.8
6,California,2019,Male,42.0
6,California,2019,Female,34.9
6,California,2020,Male,36.8
6,California,2020,Female,29.5
8,Colorado,2011,Male,50.3
8,Colorado,2011,Female,41.9
8,Colorado,2012,Male,49.2
8,Colorado,2012,Female,43.2
8,Colorado,2013,Male,45.5
8,Colorado,2013,Female,42.0
8,Colorado,2014,Male,46.9
8,Colorado,2014,Female,39.8
8,Colorado,2015,Male,45.1
8,Colorado,2015,Female,38.9
8,Colorado,2016,Male,43.0
8,Colorado,2016,Female,39.5
8,Colorado,2017,Male,42.3
8,Colorado,2017,Female,38.8
8,Colorado,2018,Male,39.5
8,Colorado,2018,Female,36.8
8,Colorado,2019,Male,39.3
8,Colorado,2019,Female,37.6
8,Colorado,2020,Male,37.4
8,Colorado,2020,Female,34.5
9,Connecticut,2011,Male,73.8
9,Connecticut,2011,Female,55.6
9,Connecticut,2012,Male,68.0
9,Connecticut,2012,Female,57.4
9,Connecticut,2013,Male,69.1
9,Connecticut,2013,Female,58.5
9,Connecticut,2014,Male,66.1
9,Connecticut,2014,Female,55.5
9,Connecticut,2015,Male,62.8
9,Connecticut,2015,Female,54.7
9,Connecticut,2016,Male,65.1
9,Connecticut,2016,Female,57.1
9,Connecticut,2017,Male,64.7
9,Connecticut,2017,Female,56.0
9,Connecticut,2018,Male,59.9
9,Connecticut,2018,Female,51.5
9,Connecticut,2019,Male,59.0
9,Connecticut,2019,Female,53.5
9,Connecticut,2020,Male,48.3
9,Connecticut,2020,Female,46.3
10,Delaware,2011,Male,93.5
10,Delaware,2011,Female,63.2
10,Delaware,2012,Male,79.0
10,Delaware,2012,Female,62.7
10,Delaware,2013,Male,81.8
10,Delaware,2013,Female,62.8
10,Delaware,2014,Male,75.0
10,Delaware,2014,Female,63.5
10,Delaware,2015,Male,86.4
10,Delaware,2015,Female,61.7
10,Delaware,2016,Male,74.5
10,Delaware,2016,Female,63.9
10,Delaware,2017,Male,63.6
10,Delaware,2017,Female,54.9
10,Delaware,2018,Male,62.7
10,Delaware,2018,Female,56.0
10,Delaware,2019,Male,64.5
10,Delaware,2019,Female,49.2
10,Delaware,2020,Male,53.9
10,Delaware,2020,Female,46.6
11,District of Columbia,2011,Male,68.7
11,District of Columbia,2011,Female,46.2
11,District of Columbia,2012,Male,74.1
11,District of Columbia,2012,Female,52.0
11,District of Columbia,2013,Male,59.3
11,District of Columbia,2013,Female,49.3
11,District of Columbia,2014,Male,56.5
11,District of Columbia,2014,Female,45.4
11,District of Columbia,2015,Male,47.3
11,District of Columbia,2015,Female,46.7
11,District of Columbia,2016,Male,43.4
11,District of Columbia,2016,Female,40.2
11,District of Columbia,2017,Male,47.8
11,District of Columbia,2017,Female,39.9
11,District of Columbia,2018,Male,53.4
11,District of Columbia,2018,Female,38.8
11,District of Columbia,2019,Male,54.6
11,District of Columbia,2019,Female,41.5
11,District of Columbia,2020,Male,41.2
11,District of Columbia,2020,Female,36.6
12,Florida,2011,Male,74.8
12,Florida,2011,Female,54.7
12,Florida,2012,Male,74.2
12,Florida,2012,Female,55.5
12,Florida,2013,Male,71.4
12,Florida,2013,Female,53.4
12,Florida,2014,Male,70.5
12,Florida,2014,Female,51.9
12,Florida,2015,Male,66.9
12,Florida,2015,Female,51.4
12,Florida,2016,Male,66.6
12,Florida,2016,Female,50.7
12,Florida,2017,Male,63.9
12,Florida,2017,Female,50.9
12,Florida,2018,Male,63.3
12,Florida,2018,Female,50.2
12,Florida,2019,Male,60.4
12,Florida,2019,Female,50.0
12,Florida,2020,Male,54.9
12,Florida,2020,Female,45.1
13,Georgia,2011,Male,87.1
13,Georgia,2011,Female,53.3
13,Georgia,2012,Male,87.2
13,Georgia,2012,Female,54.3
13,Georgia,2013,Male,83.2
13,Georgia,2013,Female,51.9
13,Georgia,2014,Male,83.0
13,Georgia,2014,Female,51.0
13,Georgia,2015,Male,78.3
13,Georgia,2015,Female,50.6
13,Georgia,2016,Male,78.3
13,Georgia,2016,Female,51.1
13,Georgia,2017,Male,75.7
13,Georgia,2017,Female,50.1
13,Georgia,2018,Male,69.7
13,Georgia,2018,Female,49.3
13,Georgia,2019,Male,67.5
13,Georgia,2019,Female,50.5
13,Georgia,2020,Male,63.8
13,Georgia,2020,Female,43.1
15,Hawaii,2011,Male,56.8
15,Hawaii,2011,Female,39.0
15,Hawaii,2012,Male,55.1
15,Hawaii,2012,Female,38.6
15,Hawaii,2013,Male,63.0
15,Hawaii,2013,Female,40.1
15,Hawaii,2014,Male,53.6
15,Hawaii,2014,Female,36.7
15,Hawaii,2015,Male,56.0
15,Hawaii,2015,Female,35.2
15,Hawaii,2016,Male,60.0
15,Hawaii,2016,Female,33.4
15,Hawaii,2017,Male,55.5
15,Hawaii,2017,Female,37.5
15,Hawaii,2018,Male,49.5
15,Hawaii,2018,Female,35.1
15,Hawaii,2019,Male,47.7
15,Hawaii,2019,Female,37.3
15,Hawaii,2020,Male,37.7
15,Hawaii,2020,Female,33.3
16,Idaho,2011,Male,57.4
16,Idaho,2011,Female,48.7
16,Idaho,2012,Male,56.9
16,Idaho,2012,Female,50.1
16,Idaho,2013,Male,52.6
16,Idaho,2013,Female,46.1
16,Idaho,2014,Male,60.0
16,Idaho,2014,Female,45.3
16,Idaho,2015,Male,58.7
16,Idaho,2015,Female,46.0
16,Idaho,2016,Male,53.5
16,Idaho,2016,Female,46.0
16,Idaho,2017,Male,51.1
16,Idaho,2017,Female,48.7
16,Idaho,2018,Male,51.8
16,Idaho,2018,Female,42.3
16,Idaho,2019,Male,46.5
16,Idaho,2019,Female,46.1
16,Idaho,2020,Male,43.7
16,Idaho,2020,Female,38.7
17,Illinois,2011,Male,82.5
17,Illinois,2011,Female,58.2
17,Illinois,2012,Male,78.9
17,Illinois,2012,Female,58.6
17,Illinois,2013,Male,77.2
17,Illinois,2013,Female,54.7
17,Illinois,2014,Male,76.8
17,Illinois,2014,Female,58.9
17,Illinois,2015,Male,74.4
17,Illinois,2015,Female,57.4
17,Illinois,2016,Male,71.7
17,Illinois,2016,Female,57.1
17,Illinois,2017,Male,72.1
17,Illinois,2017,Female,55.5
17,Illinois,2018,Male,67.1
17,Illinois,2018,Female,56.7
17,Illinois,2019,Male,64.2
17,Illinois,2019,Female,54.4
17,Illinois,2020,Male,59.4
17,Illinois,2020,Female,48.7
18,Indiana,2011,Male,93.9
18,Indiana,2011,Female,62.4
18,Indiana,2012,Male,91.7
18,Indiana,2012,Female,59.2
18,Indiana,2013,Male,90.9
18,Indiana,2013,Female,62.9
18,Indiana,2014,Male,87.6
18,Indiana,2014,Female,61.4
18,Indiana,2015,Male,91.2
18,Indiana,2015,Female,64.0
18,Indiana,2017,Male,84.0
18,Indiana,2017,Female,62.2
18,Indiana,2018,Male,75.3
18,Indiana,2018,Female,60.3
18,Indiana,2019,Male,75.8
18,Indiana,2019,Female,59.8
19,Iowa,2011,Male,80.4
19,Iowa,2011,Female,51.4
19,Iowa,2012,Male,77.7
19,Iowa,2012,Female,52.3
19,Iowa,2013,Male,77.5
19,Iowa,2013,Female,53.3
19,Iowa,2014,Male,76.5
19,Iowa,2014,Female,57.1
19,Iowa,2015,Male,77.3
19,Iowa,2015,Female,55.8
19,Iowa,2016,Male,69.3
19,Iowa,2016,Female,54.2
19,Iowa,2017,Male,75.7
19,Iowa,2017,Female,55.3
19,Iowa,2018,Male,70.6
19,Iowa,2018,Female,54.5
19,Iowa,2019,Male,71.1
19,Iowa,2019,Female,55.6
19,Iowa,2020,Male,64.5
19,Iowa,2020,Female,50.1
21,Kentucky,2011,Male,116.1
21,Kentucky,2011,Female,80.6
21,Kentucky,2012,Male,114.3
21,Kentucky,2012,Female,79.2
21,Kentucky,2013,Male,116.5
21,Kentucky,2013,Female,79.3
21,Kentucky,2014,Male,114.5
21,Kentucky,2014,Female,77.8
21,Kentucky,2015,Male,109.6
21,Kentucky,2015,Female,79.1
21,Kentucky,2016,Male,107.1
21,Kentucky,2016,Female,75.1
21,Kentucky,2017,Male,103.8
21,Kentucky,2017,Female,78.7
21,Kentucky,2018,Male,97.0
21,Kentucky,2018,Female,76.0
21,Kentucky,2019,Male,98.8
21,Kentucky,2019,Female,78.7
21,Kentucky,2020,Male,93.6
21,Kentucky,2020,Female,68.8
22,Louisiana,2011,Male,92.4
22,Louisiana,2011,Female,54.6
22,Louisiana,2012,Male,90.5
22,Louisiana,2012,Female,55.9
22,Louisiana,2013,Male,86.3
22,Louisiana,2013,Female,55.4
