StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,19.7
1,Alabama,2011,Female,13.5
1,Alabama,2012,Male,19.6
1,Alabama,2012,Female,13.9
1,Alabama,2013,Male,19.6
1,Alabama,2013,Female,14.0
1,Alabama,2014,Male,18.9
1,Alabama,2014,Female,13.6
1,Alabama,2015,Male,20.6
1,Alabama,2015,Female,12.9
1,Alabama,2016,Male,19.3
1,Alabama,2016,Female,13.9
1,Alabama,2017,Male,20.6
1,Alabama,2017,Female,12.7
1,Alabama,2018,Male,17.9
1,Alabama,2018,Female,11.8
1,Alabama,2019,Male,19.8
1,Alabama,2019,Female,12.8
1,Alabama,2020,Male,16.3
1,Alabama,2020,Female,10.3
2,Alaska,2011,Male,23.4
2,Alaska,2011,Female,14.7
2,Alaska,2012,Male,20.7
2,Alaska,2012,Female,14.0
2,Alaska,2013,Male,26.5
2,Alaska,2013,Female,14.5
2,Alaska,2014,Male,17.2
2,Alaska,2014,Female,12.9
2,Alaska,2015,Male,22.4
2,Alaska,2015,Female,15.2
2,Alaska,2016,Male,22.3
2,Alaska,2016,Female,13.2
2,Alaska,2017,Male,21.4
2,Alaska,2017,Female,14.3
2,Alaska,2018,Male,18.9
2,Alaska,2018,Female,13.1
2,Alaska,2019,Male,22.4
2,Alaska,2019,Female,18.9
2,Alaska,2020,Male,21.2
2,Alaska,2020,Female,14.7
4,Arizona,2011,Male,20.7
4,Arizona,2011,Female,15.4
4,Arizona,2012,Male,18.3
4,Arizona,2012,Female,12.9
4,Arizona,2013,Male,19.3
4,Arizona,2013,Female,13.6
4,Arizona,2014,Male,18.7
4,Arizona,2014,Female,14.0
4,Arizona,2015,Male,18.8
4,Arizona,2015,Female,13.0
4,Arizona,2016,Male,19.6
4,Arizona,2016,Female,13.0
4,Arizona,2017,Male,19.1
4,Arizona,2017,Female,12.2
4,Arizona,2018,Male,18.9
4,Arizona,2018,Female,13.0
4,Arizona,2019,Male,18.0
4,Arizona,2019,Female,10.7
4,Arizona,2020,Male,16.5
4,Arizona,2020,Female,11.2
5,Arkansas,2011,Male,17.1
5,Arkansas,2011,Female,14.2
5,Arkansas,2012,Male,21.0
5,Arkansas,2012,Female,14.9
5,Arkansas,2013,Male,20.9
5,Arkansas,2013,Female,16.4
5,Arkansas,2014,Male,19.8
5,Arkansas,2014,Female,14.3
5,Arkansas,2015,Male,20.2
5,Arkansas,2015,Female,14.4
5,Arkansas,2016,Male,20.8
5,Arkansas,2016,Female,15.6
5,Arkansas,2017,Male,21.7
5,Arkansas,2017,Female,15.6
5,Arkansas,2018,Male,21.1
5,Arkansas,2018,Female,13.7
5,Arkansas,2019,Male,24.1
5,Arkansas,2019,Female,14.6
5,Arkansas,2020,Male,20.3
5,Arkansas,2020,Female,12.4
6,California,2011,Male,22.9
6,California,2011,Female,15.3
6,California,2012,Male,22.6
6,California,2012,Female,15.4
6,California,2013,Male,23.2
6,California,2013,Female,14.9
6,California,2014,Male,23.6
6,California,2014,Female,16.1
6,California,2015,Male,22.5
6,California,2015,Female,15.3
6,California,2016,Male,22.2
6,California,2016,Female,15.1
6,California,2017,Male,21.6
6,California,2017,Female,14.8
6,California,2018,Male,21.8
6,California,2018,Female,14.8
6,California,2019,Male,21.6
6,California,2019,Female,15.1
6,California,2020,Male,20.3
6,California,2020,Female,13.9
8,Colorado,2011,Male,21.5
8,Colorado,2011,Female,15.7
8,Colorado,2012,Male,21.9
8,Colorado,2012,Female,14.3
8,Colorado,2013,Male,20.8
8,Colorado,2013,Female,14.2
8,Colorado,2014,Male,19.8
8,Colorado,2014,Female,13.9
8,Colorado,2015,Male,21.7
