StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,5.4
1,Alabama,2011,Female,3.0
1,Alabama,2012,Male,5.1
1,Alabama,2012,Female,3.3
1,Alabama,2013,Male,4.4
1,Alabama,2013,Female,3.0
1,Alabama,2014,Male,5.2
1,Alabama,2014,Female,3.3
1,Alabama,2015,Male,4.7
1,Alabama,2015,Female,3.1
1,Alabama,2016,Male,4.1
1,Alabama,2016,Female,3.3
1,Alabama,2017,Male,4.2
1,Alabama,2017,Female,3.3
1,Alabama,2018,Male,4.3
1,Alabama,2018,Female,3.2
1,Alabama,2019,Male,4.3
1,Alabama,2019,Female,2.7
1,Alabama,2020,Male,4.3
1,Alabama,2020,Female,3.1
2,Alaska,2011,Male,7.7
2,Alaska,2011,Female,
2,Alaska,2012,Male,
2,Alaska,2012,Female,
2,Alaska,2013,Male,
2,Alaska,2013,Female,
2,Alaska,2014,Male,
2,Alaska,2014,Female,
2,Alaska,2015,Male,
2,Alaska,2015,Female,
2,Alaska,2016,Male,5.3
2,Alaska,2016,Female,
2,Alaska,2017,Male,6.6
2,Alaska,2017,Female,
2,Alaska,2018,Male,
2,Alaska,2018,Female,
2,Alaska,2019,Male,
2,Alaska,2019,Female,
2,Alaska,2020,Male,
2,Alaska,2020,Female,
4,Arizona,2011,Male,4.8
4,Arizona,2011,Female,3.8
4,Arizona,2012,Male,5.3
4,Arizona,2012,Female,4.1
4,Arizona,2013,Male,5.1
4,Arizona,2013,Female,2.9
4,Arizona,2014,Male,4.5
4,Arizona,2014,Female,2.8
4,Arizona,2015,Male,4.5
4,Arizona,2015,Female,3.4
4,Arizona,2016,Male,4.4
4,Arizona,2016,Female,2.8
4,Arizona,2017,Male,4.3
4,Arizona,2017,Female,3.0
4,Arizona,2018,Male,4.9
4,Arizona,2018,Female,2.6
4,Arizona,2019,Male,4.7
4,Arizona,2019,Female,3.3
4,Arizona,2020,Male,4.3
4,Arizona,2020,Female,3.0
5,Arkansas,2011,Male,3.7
5,Arkansas,2011,Female,3.4
5,Arkansas,2012,Male,4.9
5,Arkansas,2012,Female,4.1
5,Arkansas,2013,Male,4.9
5,Arkansas,2013,Female,2.9
5,Arkansas,2014,Male,4.6
5,Arkansas,2014,Female,3.2
5,Arkansas,2015,Male,5.2
5,Arkansas,2015,Female,3.7
5,Arkansas,2016,Male,4.8
5,Arkansas,2016,Female,3.7
5,Arkansas,2017,Male,4.7
5,Arkansas,2017,Female,3.9
5,Arkansas,2018,Male,4.0
5,Arkansas,2018,Female,4.1
5,Arkansas,2019,Male,5.2
5,Arkansas,2019,Female,3.3
5,Arkansas,2020,Male,3.9
5,Arkansas,2020,Female,3.0
6,California,2011,Male,4.8
6,California,2011,Female,3.4
6,California,2012,Male,5.0
6,California,2012,Female,3.4
6,California,2013,Male,5.0
6,California,2013,Female,3.4
6,California,2014,Male,5.0
6,California,2014,Female,3.4
6,California,2015,Male,4.8
6,California,2015,Female,3.2
6,California,2016,Male,4.8
6,California,2016,Female,3.2
6,California,2017,Male,4.6
6,California,2017,Female,3.2
6,California,2018,Male,4.7
6,California,2018,Female,3.4
6,California,2019,Male,5.1
6,California,2019,Female,3.4
6,California,2020,Male,4.3
6,California,2020,Female,3.3
8,Colorado,2011,Male,4.6
8,Colorado,2011,Female,3.1
8,Colorado,2012,Male,4.8
8,Colorado,2012,Female,3.1
8,Colorado,2013,Male,4.7
8,Colorado,2013,Female,3.5
8,Colorado,2014,Male,5.2
8,Colorado,2014,Female,3.4
8,Colorado,2015,Male,4.5
8,Colorado,2015,Female,3.8
8,Colorado,2016,Male,5.2
8,Colorado,2016,Female,3.6
8,Colorado,2017,Male,4.8
8,Colorado,2017,Female,3.5
8,Colorado,2018,Male,4.7
8,Colorado,2018,Female,3.0
8,Colorado,2019,Male,5.1
8,Colorado,2019,Female,3.3
8,Colorado,2020,Male,3.7
8,Colorado,2020,Female,3.1
9,Connecticut,2011,Male,6.3
9,Connecticut,2011,Female,3.7
9,Connecticut,2012,Male,6.0
9,Connecticut,2012,Female,3.8
9,Connecticut,2013,Male,5.4
9,Connecticut,2013,Female,3.8
9,Connecticut,2014,Male,4.8
9,Connecticut,2014,Female,3.3
9,Connecticut,2015,Male,4.7
9,Connecticut,2015,Female,3.3
9,Connecticut,2016,Male,4.5
9,Connecticut,2016,Female,3.5
9,Connecticut,2017,Male,5.0
9,Connecticut,2017,Female,3.6
9,Connecticut,2018,Male,5.6
9,Connecticut,2018,Female,3.7
9,Connecticut,2019,Male,4.7
