StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,16.08
1,Alabama,2011,Female,12.13
1,Alabama,2012,Male,14.5
1,Alabama,2012,Female,10.68
1,Alabama,2013,Male,14.65
1,Alabama,2013,Female,10.68
1,Alabama,2014,Male,14.43
1,Alabama,2014,Female,11.22
1,Alabama,2015,Male,14.91
1,Alabama,2015,Female,11.71
1,Alabama,2016,Male,16.63
1,Alabama,2016,Female,11.36
1,Alabama,2017,Male,13.78
1,Alabama,2017,Female,10.48
1,Alabama,2018,Male,16.06
1,Alabama,2018,Female,12.29
1,Alabama,2019,Male,15.86
1,Alabama,2019,Female,11.2
1,Alabama,2020,Male,14.69
1,Alabama,2020,Female,11.06
2,Alaska,2011,Male,16.81
2,Alaska,2011,Female,11.62
2,Alaska,2012,Male,11.2
2,Alaska,2012,Female,13.03
2,Alaska,2013,Male,11.36
2,Alaska,2013,Female,10.83
2,Alaska,2014,Male,15.14
2,Alaska,2014,Female,12.61
2,Alaska,2015,Male,11.8
2,Alaska,2015,Female,11.19
2,Alaska,2016,Male,18.31
2,Alaska,2016,Female,12.5
2,Alaska,2017,Male,14.56
2,Alaska,2017,Female,10.18
2,Alaska,2018,Male,13.67
2,Alaska,2018,Female,10.15
2,Alaska,2019,Male,14.85
2,Alaska,2019,Female,12.51
2,Alaska,2020,Male,14.3
2,Alaska,2020,Female,14.27
4,Arizona,2011,Male,13.06
4,Arizona,2011,Female,11.1
4,Arizona,2012,Male,14.85
4,Arizona,2012,Female,10.72
4,Arizona,2013,Male,12.62
4,Arizona,2013,Female,9.99
4,Arizona,2014,Male,13.57
4,Arizona,2014,Female,10.59
4,Arizona,2015,Male,13.84
4,Arizona,2015,Female,9.34
4,Arizona,2016,Male,13.36
4,Arizona,2016,Female,11.01
4,Arizona,2017,Male,13.91
4,Arizona,2017,Female,9.81
4,Arizona,2018,Male,14.46
4,Arizona,2018,Female,10.84
4,Arizona,2019,Male,14.45
4,Arizona,2019,Female,11.23
4,Arizona,2020,Male,13.7
4,Arizona,2020,Female,10.99
5,Arkansas,2011,Male,12.51
5,Arkansas,2011,Female,9.15
5,Arkansas,2012,Male,12.12
5,Arkansas,2012,Female,10.46
5,Arkansas,2013,Male,13.53
5,Arkansas,2013,Female,11.35
5,Arkansas,2014,Male,13.69
5,Arkansas,2014,Female,9.39
5,Arkansas,2015,Male,12.66
5,Arkansas,2015,Female,10.78
5,Arkansas,2016,Male,13.37
5,Arkansas,2016,Female,11.28
5,Arkansas,2017,Male,14.81
5,Arkansas,2017,Female,11.03
5,Arkansas,2018,Male,14.65
5,Arkansas,2018,Female,10.58
5,Arkansas,2019,Male,14.83
5,Arkansas,2019,Female,10.95
5,Arkansas,2020,Male,12.17
5,Arkansas,2020,Female,10.78
6,California,2011,Male,13.46
6,California,2011,Female,10.16
6,California,2012,Male,13.14
6,California,2012,Female,10.47
6,California,2013,Male,13.24
6,California,2013,Female,10.34
6,California,2014,Male,13.69
6,California,2014,Female,10.44
6,California,2015,Male,13.52
6,California,2015,Female,10.74
6,California,2016,Male,13.88
6,California,2016,Female,10.87
6,California,2017,Male,13.66
6,California,2017,Female,10.58
6,California,2018,Male,13.83
6,California,2018,Female,11.1
6,California,2019,Male,14.21
6,California,2019,Female,11.34
6,California,2020,Male,13.2
6,California,2020,Female,10.54
8,Colorado,2011,Male,12.49
8,Colorado,2011,Female,10.84
8,Colorado,2012,Male,12.92
8,Colorado,2012,Female,11.26
8,Colorado,2013,Male,12.47
8,Colorado,2013,Female,8.96
8,Colorado,2014,Male,13.83
8,Colorado,2014,Female,9.61
8,Colorado,2015,Male,11.74
8,Colorado,2015,Female,9.61
8,Colorado,2016,Male,14.23
8,Colorado,2016,Female,9.56
8,Colorado,2017,Male,13.5
8,Colorado,2017,Female,10.07
8,Colorado,2018,Male,13.43
8,Colorado,2018,Female,9.44
8,Colorado,2019,Male,12.58
8,Colorado,2019,Female,11.21
8,Colorado,2020,Male,13.48
8,Colorado,2020,Female,10.44
9,Connecticut,2011,Male,15.45
9,Connecticut,2011,Female,12.13
9,Connecticut,2012,Male,14.56
9,Connecticut,2012,Female,12.31
9,Connecticut,2013,Male,14.66
9,Connecticut,2013,Female,11.43
9,Connecticut,2014,Male,15.91
9,Connecticut,2014,Female,12.32
9,Connecticut,2015,Male,15.71
9,Connecticut,2015,Female,12.2
9,Connecticut,2016,Male,17.13
9,Connecticut,2016,Female,12.39
9,Connecticut,2017,Male,14.28
9,Connecticut,2017,Female,12.08
9,Connecticut,2018,Male,16.76
9,Connecticut,2018,Female,12.43
9,Connecticut,2019,Male,15.17
9,Connecticut,2019,Female,11.58
9,Connecticut,2020,Male,15.6
9,Connecticut,2020,Female,13.19
10,Delaware,2011,Male,14.16
10,Delaware,2011,Female,12.71
10,Delaware,2012,Male,17.16
10,Delaware,2012,Female,11.45
10,Delaware,2013,Male,18.94
10,Delaware,2013,Female,13.0
10,Delaware,2014,Male,16.12
10,Delaware,2014,Female,12.86
10,Delaware,2015,Male,17.19
10,Delaware,2015,Female,13.36
10,Delaware,2016,Male,15.29
10,Delaware,2016,Female,11.16
10,Delaware,2017,Male,17.38
10,Delaware,2017,Female,10.9
10,Delaware,2018,Male,14.16
10,Delaware,2018,Female,12.2
10,Delaware,2019,Male,18.27
10,Delaware,2019,Female,16.16
10,Delaware,2020,Male,15.63
10,Delaware,2020,Female,11.96
11,District of Columbia,2011,Male,19.13
11,District of Columbia,2011,Female,12.27
11,District of Columbia,2012,Male,16.03
11,District of Columbia,2012,Female,15.11
11,District of Columbia,2013,Male,19.01
11,District of Columbia,2013,Female,13.69
11,District of Columbia,2014,Male,20.43
11,District of Columbia,2014,Female,12.73
11,District of Columbia,2015,Male,20.72
11,District of Columbia,2015,Female,16.08
11,District of Columbia,2016,Male,16.17
11,District of Columbia,2016,Female,11.21
11,District of Columbia,2017,Male,15.53
11,District of Columbia,2017,Female,15.53
11,District of Columbia,2018,Male,17.22
11,District of Columbia,2018,Female,16.27
11,District of Columbia,2019,Male,18.78
11,District of Columbia,2019,Female,12.37
11,District of Columbia,2020,Male,14.11
11,District of Columbia,2020,Female,13.9
12,Florida,2011,Male,13.71
12,Florida,2011,Female,10.65
12,Florida,2012,Male,14.41
12,Florida,2012,Female,10.45
12,Florida,2013,Male,14.23
12,Florida,2013,Female,10.48
12,Florida,2014,Male,14.83
12,Florida,2014,Female,11.02
12,Florida,2015,Male,15.03
12,Florida,2015,Female,11.29
12,Florida,2016,Male,14.67
12,Florida,2016,Female,11.16
12,Florida,2017,Male,14.94
12,Florida,2017,Female,11.3
12,Florida,2018,Male,14.56
12,Florida,2018,Female,11.3
12,Florida,2019,Male,15.68
12,Florida,2019,Female,11.5
12,Florida,2020,Male,15.17
12,Florida,2020,Female,11.21
13,Georgia,2011,Male,13.84
13,Georgia,2011,Female,10.47
13,Georgia,2012,Male,15.5
13,Georgia,2012,Female,11.45
13,Georgia,2013,Male,15.01
13,Georgia,2013,Female,11.74
13,Georgia,2014,Male,14.8
13,Georgia,2014,Female,11.95
13,Georgia,2015,Male,15.91
13,Georgia,2015,Female,11.2
13,Georgia,2016,Male,15.9
13,Georgia,2016,Female,11.28
13,Georgia,2017,Male,13.57
13,Georgia,2017,Female,12.08
13,Georgia,2018,Male,15.74
13,Georgia,2018,Female,12.08
13,Georgia,2019,Male,15.74
13,Georgia,2019,Female,11.66
13,Georgia,2020,Male,16.12
13,Georgia,2020,Female,12.41
15,Hawaii,2011,Male,16.05
15,Hawaii,2011,Female,10.46
15,Hawaii,2012,Male,14.96
15,Hawaii,2012,Female,13.61
15,Hawaii,2013,Male,16.52
15,Hawaii,2013,Female,11.32
15,Hawaii,2014,Male,13.78
15,Hawaii,2014,Female,11.1
15,Hawaii,2015,Male,16.17
15,Hawaii,2015,Female,11.89
15,Hawaii,2016,Male,15.32
15,Hawaii,2016,Female,12.45
15,Hawaii,2017,Male,16.42
15,Hawaii,2017,Female,13.99
15,Hawaii,2018,Male,15.72
15,Hawaii,2018,Female,10.05
15,Hawaii,2019,Male,14.66
15,Hawaii,2019,Female,11.15
15,Hawaii,2020,Male,15.43
15,Hawaii,2020,Female,10.59
16,Idaho,2011,Male,12.57
16,Idaho,2011,Female,10.97
16,Idaho,2012,Male,14.96
16,Idaho,2012,Female,10.96
16,Idaho,2013,Male,16.14
16,Idaho,2013,Female,11.9
16,Idaho,2014,Male,13.23
16,Idaho,2014,Female,12.44
16,Idaho,2015,Male,19.29
16,Idaho,2015,Female,10.23
16,Idaho,2016,Male,13.54
16,Idaho,2016,Female,12.95
16,Idaho,2017,Male,17.73
16,Idaho,2017,Female,13.48
16,Idaho,2018,Male,15.35
