StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,28.55
1,Alabama,2011,Female,14.84
1,Alabama,2012,Male,28.76
1,Alabama,2012,Female,17.6
1,Alabama,2013,Male,25.02
1,Alabama,2013,Female,14.46
1,Alabama,2014,Male,25.67
1,Alabama,2014,Female,14.94
1,Alabama,2015,Male,30.14
1,Alabama,2015,Female,17.11
1,Alabama,2016,Male,32.64
1,Alabama,2016,Female,18.85
1,Alabama,2017,Male,27.69
1,Alabama,2017,Female,19.79
1,Alabama,2018,Male,29.02
1,Alabama,2018,Female,20.01
1,Alabama,2019,Male,25.42
1,Alabama,2019,Female,16.51
1,Alabama,2020,Male,21.62
1,Alabama,2020,Female,16.5
2,Alaska,2011,Male,11.21
2,Alaska,2011,Female,13.09
2,Alaska,2012,Male,15.66
2,Alaska,2012,Female,14.73
2,Alaska,2013,Male,18.73
2,Alaska,2013,Female,14.19
2,Alaska,2014,Male,19.82
2,Alaska,2014,Female,14.58
2,Alaska,2015,Male,14.95
2,Alaska,2015,Female,13.01
2,Alaska,2016,Male,19.28
2,Alaska,2016,Female,11.41
2,Alaska,2017,Male,14.94
2,Alaska,2017,Female,10.12
2,Alaska,2018,Male,19.69
2,Alaska,2018,Female,11.92
2,Alaska,2019,Male,15.6
2,Alaska,2019,Female,16.02
2,Alaska,2020,Male,13.85
2,Alaska,2020,Female,11.48
4,Arizona,2011,Male,26.36
4,Arizona,2011,Female,14.3
4,Arizona,2012,Male,26.08
4,Arizona,2012,Female,13.47
4,Arizona,2013,Male,27.15
4,Arizona,2013,Female,14.57
4,Arizona,2014,Male,30.63
4,Arizona,2014,Female,15.33
4,Arizona,2015,Male,33.39
4,Arizona,2015,Female,16.07
4,Arizona,2016,Male,33.86
4,Arizona,2016,Female,21.31
4,Arizona,2017,Male,42.18
4,Arizona,2017,Female,20.1
4,Arizona,2018,Male,41.47
4,Arizona,2018,Female,22.14
4,Arizona,2019,Male,40.11
4,Arizona,2019,Female,22.1
4,Arizona,2020,Male,37.95
4,Arizona,2020,Female,20.11
5,Arkansas,2011,Male,22.12
5,Arkansas,2011,Female,13.56
5,Arkansas,2012,Male,24.91
5,Arkansas,2012,Female,15.65
5,Arkansas,2013,Male,24.87
5,Arkansas,2013,Female,15.33
5,Arkansas,2014,Male,24.09
5,Arkansas,2014,Female,15.81
5,Arkansas,2015,Male,26.5
5,Arkansas,2015,Female,16.99
5,Arkansas,2016,Male,25.99
5,Arkansas,2016,Female,17.46
5,Arkansas,2017,Male,26.19
5,Arkansas,2017,Female,18.56
5,Arkansas,2018,Male,28.38
5,Arkansas,2018,Female,19.26
5,Arkansas,2019,Male,33.23
5,Arkansas,2019,Female,21.01
5,Arkansas,2020,Male,25.2
5,Arkansas,2020,Female,17.56
6,California,2011,Male,28.06
6,California,2011,Female,15.36
6,California,2012,Male,28.77
6,California,2012,Female,15.95
6,California,2013,Male,30.36
6,California,2013,Female,16.17
6,California,2014,Male,31.02
6,California,2014,Female,17.81
6,California,2015,Male,30.89
6,California,2015,Female,17.84
6,California,2016,Male,30.94
6,California,2016,Female,17.17
6,California,2017,Male,30.39
6,California,2017,Female,17.17
6,California,2018,Male,29.86
6,California,2018,Female,17.53
6,California,2019,Male,30.56
6,California,2019,Female,18.25
6,California,2020,Male,25.74
6,California,2020,Female,15.26
8,Colorado,2011,Male,28.7
8,Colorado,2011,Female,17.08
8,Colorado,2012,Male,28.66
8,Colorado,2012,Female,18.35
8,Colorado,2013,Male,27.19
8,Colorado,2013,Female,17.65
8,Colorado,2014,Male,28.43
8,Colorado,2014,Female,17.66
8,Colorado,2015,Male,27.25
8,Colorado,2015,Female,18.75
8,Colorado,2016,Male,28.88
8,Colorado,2016,Female,18.23
8,Colorado,2017,Male,27.58
8,Colorado,2017,Female,19.22
8,Colorado,2018,Male,26.43
