StateFIPS,State,Year,Sex,Value
1,Alabama,2011,Male,4.7
1,Alabama,2011,Female,13.7
1,Alabama,2012,Male,4.6
1,Alabama,2012,Female,12.5
1,Alabama,2013,Male,5.1
1,Alabama,2013,Female,11.7
1,Alabama,2014,Male,5.9
1,Alabama,2014,Female,14.0
1,Alabama,2015,Male,4.7
1,Alabama,2015,Female,14.9
1,Alabama,2016,Male,5.4
1,Alabama,2016,Female,14.7
1,Alabama,2017,Male,4.3
1,Alabama,2017,Female,15.2
1,Alabama,2018,Male,5.3
1,Alabama,2018,Female,13.9
1,Alabama,2019,Male,4.5
1,Alabama,2019,Female,13.7
1,Alabama,2020,Male,4.4
1,Alabama,2020,Female,12.5
2,Alaska,2011,Male,6.1
2,Alaska,2011,Female,15.3
2,Alaska,2012,Male,5.2
2,Alaska,2012,Female,17.1
2,Alaska,2013,Male,7.4
2,Alaska,2013,Female,19.8
2,Alaska,2014,Male,8.1
2,Alaska,2014,Female,20.5
2,Alaska,2015,Male,4.2
2,Alaska,2015,Female,18.6
2,Alaska,2016,Male,6.7
2,Alaska,2016,Female,19.1
2,Alaska,2017,Male,6.7
2,Alaska,2017,Female,20.1
2,Alaska,2018,Male,6.5
2,Alaska,2018,Female,20.3
2,Alaska,2019,Male,7.3
2,Alaska,2019,Female,18.5
2,Alaska,2020,Male,
2,Alaska,2020,Female,11.9
4,Arizona,2011,Male,7.3
4,Arizona,2011,Female,23.9
4,Arizona,2012,Male,7.6
4,Arizona,2012,Female,25.2
4,Arizona,2013,Male,7.2
4,Arizona,2013,Female,22.9
4,Arizona,2014,Male,7.2
4,Arizona,2014,Female,22.3
4,Arizona,2015,Male,6.5
4,Arizona,2015,Female,21.3
4,Arizona,2016,Male,6.5
4,Arizona,2016,Female,20.4
4,Arizona,2017,Male,6.1
4,Arizona,2017,Female,18.9
4,Arizona,2018,Male,6.7
4,Arizona,2018,Female,17.9
4,Arizona,2019,Male,6.5
4,Arizona,2019,Female,18.1
4,Arizona,2020,Male,6.0
4,Arizona,2020,Female,16.6
5,Arkansas,2011,Male,4.4
5,Arkansas,2011,Female,15.1
5,Arkansas,2012,Male,4.3
5,Arkansas,2012,Female,15.3
5,Arkansas,2013,Male,4.9
5,Arkansas,2013,Female,13.3
5,Arkansas,2014,Male,5.5
5,Arkansas,2014,Female,19.1
5,Arkansas,2015,Male,7.7
5,Arkansas,2015,Female,19.4
5,Arkansas,2016,Male,5.4
5,Arkansas,2016,Female,18.2
5,Arkansas,2017,Male,5.7
5,Arkansas,2017,Female,17.5
5,Arkansas,2018,Male,6.3
5,Arkansas,2018,Female,17.1
5,Arkansas,2019,Male,6.1
5,Arkansas,2019,Female,18.5
5,Arkansas,2020,Male,4.8
5,Arkansas,2020,Female,12.5
6,California,2011,Male,6.1
6,California,2011,Female,18.4
6,California,2012,Male,6.2
6,California,2012,Female,19.7
6,California,2013,Male,6.3
6,California,2013,Female,19.6
6,California,2014,Male,6.6
6,California,2014,Female,20.0
6,California,2015,Male,7.2
6,California,2015,Female,20.0
6,California,2016,Male,6.7
6,California,2016,Female,19.1
6,California,2017,Male,6.6
6,California,2017,Female,19.0
6,California,2018,Male,6.7
6,California,2018,Female,19.8
6,California,2019,Male,7.1
6,California,2019,Female,19.4
6,California,2020,Male,6.2
6,California,2020,Female,15.8
8,Colorado,2011,Male,8.4
8,Colorado,2011,Female,24.0
8,Colorado,2012,Male,9.4
8,Colorado,2012,Female,23.3
8,Colorado,2013,Male,9.2
8,Colorado,2013,Female,24.7
8,Colorado,2014,Male,6.9
8,Colorado,2014,Female,22.1
8,Colorado,2015,Male,7.7
8,Colorado,2015,Female,22.3
8,Colorado,2016,Male,8.0
8,Colorado,2016,Female,22.3
8,Colorado,2017,Male,7.4
8,Colorado,2017,Female,21.1
8,Colorado,2018,Male,7.7
8,Colorado,2018,Female,21.0
8,Colorado,2019,Male,8.6
8,Colorado,2019,Female,17.6
8,Colorado,2020,Male,6.9
8,Colorado,2020,Female,17.6
9,Connecticut,2011,Male,8.6
9,Connecticut,2011,Female,29.2
9,Connecticut,2012,Male,11.0
9,Connecticut,2012,Female,28.3
9,Connecticut,2013,Male,10.3
9,Connecticut,2013,Female,31.2
9,Connecticut,2014,Male,10.1
9,Connecticut,2014,Female,30.1
9,Connecticut,2015,Male,9.5
9,Connecticut,2015,Female,26.2
9,Connecticut,2016,Male,9.5
9,Connecticut,2016,Female,25.2
9,Connecticut,2017,Male,9.5
9,Connecticut,2017,Female,24.4
9,Connecticut,2018,Male,8.0
9,Connecticut,2018,Female,23.4
9,Connecticut,2019,Male,9.0
9,Connecticut,2019,Female,24.1
9,Connecticut,2020,Male,7.4
9,Connecticut,2020,Female,21.0
10,Delaware,2011,Male,7.8
10,Delaware,2011,Female,21.8
10,Delaware,2012,Male,4.9
10,Delaware,2012,Female,24.9
10,Delaware,2013,Male,7.6
10,Delaware,2013,Female,25.0
10,Delaware,2014,Male,7.0
10,Delaware,2014,Female,27.2
10,Delaware,2015,Male,4.4
10,Delaware,2015,Female,23.4
10,Delaware,2016,Male,10.3
10,Delaware,2016,Female,28.8
10,Delaware,2017,Male,5.0
10,Delaware,2017,Female,21.7
10,Delaware,2018,Male,11.0
10,Delaware,2018,Female,23.1
10,Delaware,2019,Male,8.2
10,Delaware,2019,Female,21.7
10,Delaware,2020,Male,7.6
10,Delaware,2020,Female,22.4
11,District of Columbia,2011,Male,6.8
11,District of Columbia,2011,Female,21.6
11,District of Columbia,2012,Male,8.1
11,District of Columbia,2012,Female,22.6
11,District of Columbia,2013,Male,8.1
11,District of Columbia,2013,Female,25.9
11,District of Columbia,2014,Male,7.5
11,District of Columbia,2014,Female,20.6
11,District of Columbia,2015,Male,5.8
11,District of Columbia,2015,Female,18.8
11,District of Columbia,2016,Male,4.3
11,District of Columbia,2016,Female,18.9
11,District of Columbia,2017,Male,9.1
11,District of Columbia,2017,Female,15.3
11,District of Columbia,2018,Male,5.4
11,District of Columbia,2018,Female,13.8
11,District of Columbia,2019,Male,
11,District of Columbia,2019,Female,13.8
11,District of Columbia,2020,Male,
11,District of Columbia,2020,Female,8.5
12,Florida,2011,Male,5.4
12,Florida,2011,Female,17.6
12,Florida,2012,Male,6.1
12,Florida,2012,Female,19.0
12,Florida,2013,Male,6.4
12,Florida,2013,Female,18.4
12,Florida,2014,Male,6.6
12,Florida,2014,Female,18.8
12,Florida,2015,Male,6.6
12,Florida,2015,Female,19.3
12,Florida,2016,Male,6.5
12,Florida,2016,Female,19.2
12,Florida,2017,Male,6.5
12,Florida,2017,Female,18.2
12,Florida,2018,Male,5.9
12,Florida,2018,Female,18.9
12,Florida,2019,Male,6.9
12,Florida,2019,Female,18.7
12,Florida,2020,Male,6.2
12,Florida,2020,Female,16.8
13,Georgia,2011,Male,6.1
13,Georgia,2011,Female,16.5
13,Georgia,2012,Male,5.4
13,Georgia,2012,Female,16.9
13,Georgia,2013,Male,6.6
13,Georgia,2013,Female,17.6
13,Georgia,2014,Male,6.2
13,Georgia,2014,Female,18.5
13,Georgia,2015,Male,5.8
13,Georgia,2015,Female,19.0
13,Georgia,2016,Male,6.4
13,Georgia,2016,Female,17.6
13,Georgia,2017,Male,6.6
13,Georgia,2017,Female,16.9
13,Georgia,2018,Male,6.6
13,Georgia,2018,Female,16.9
13,Georgia,2019,Male,6.4
13,Georgia,2019,Female,16.2
13,Georgia,2020,Male,6.0
13,Georgia,2020,Female,14.9
15,Hawaii,2011,Male,8.4
15,Hawaii,2011,Female,24.2
15,Hawaii,2012,Male,10.4
15,Hawaii,2012,Female,23.8
15,Hawaii,2013,Male,8.3
15,Hawaii,2013,Female,22.5
15,Hawaii,2014,Male,7.0
15,Hawaii,2014,Female,20.3
15,Hawaii,2015,Male,7.0
15,Hawaii,2015,Female,22.9
15,Hawaii,2016,Male,6.5
15,Hawaii,2016,Female,23.3
15,Hawaii,2017,Male,6.4
15,Hawaii,2017,Female,22.5
15,Hawaii,2018,Male,5.7
15,Hawaii,2018,Female,19.2
15,Hawaii,2019,Male,6.7
15,Hawaii,2019,Female,21.9
15,Hawaii,2020,Male,4.7
15,Hawaii,2020,Female,17.0
16,Idaho,2011,Male,6.1
16,Idaho,2011,Female,25.6
16,Idaho,2012,Male,7.4
16,Idaho,2012,Female,27.0
16,Idaho,2013,Male,7.9
16,Idaho,2013,Female,22.1
16,Idaho,2014,Male,7.7
16,Idaho,2014,Female,24.5
16,Idaho,2015,Male,6.8
16,Idaho,2015,Female,25.0
16,Idaho,2016,Male,8.6
16,Idaho,2016,Female,24.0
16,Idaho,2017,Male,8.2
16,Idaho,2017,Female,17.1
16,Idaho,2018,Male,7.3
16,Idaho,2018,Female,19.7
16,Idaho,2019,Male,7.1
16,Idaho,2019,Female,19.4
16,Idaho,2020,Male,8.2
16,Idaho,2020,Female,19.4
17,Illinois,2011,Male,7.2
17,Illinois,2011,Female,20.8
17,Illinois,2012,Male,7.7
17,Illinois,2012,Female,22.8
17,Illinois,2013,Male,8.2
17,Illinois,2013,Female,23.1
17,Illinois,2014,Male,8.2
17,Illinois,2014,Female,22.6
17,Illinois,2015,Male,8.3
17,Illinois,2015,Female,24.0
17,Illinois,2016,Male,8.2
17,Illinois,2016,Female,21.8
17,Illinois,2017,Male,7.6
17,Illinois,2017,Female,18.8
17,Illinois,2018,Male,7.0
17,Illinois,2018,Female,19.0
17,Illinois,2019,Male,7.3
17,Illinois,2019,Female,20.2
17,Illinois,2020,Male,6.2
17,Illinois,2020,Female,16.5
18,Indiana,2011,Male,5.3
18,Indiana,2011,Female,17.7
18,Indiana,2012,Male,6.4
18,Indiana,2012,Female,18.2
18,Indiana,2013,Male,6.1
18,Indiana,2013,Female,19.4
18,Indiana,2014,Male,6.3
18,Indiana,2014,Female,17.7
18,Indiana,2015,Male,6.5
18,Indiana,2015,Female,20.1
18,Indiana,2017,Male,7.0
18,Indiana,2017,Female,17.8
18,Indiana,2018,Male,6.4
18,Indiana,2018,Female,17.8
18,Indiana,2019,Male,6.5
18,Indiana,2019,Female,15.9
19,Iowa,2011,Male,6.8
19,Iowa,2011,Female,19.9
19,Iowa,2012,Male,7.1
19,Iowa,2012,Female,18.5
19,Iowa,2013,Male,7.3
19,Iowa,2013,Female,20.2
19,Iowa,2014,Male,8.6
19,Iowa,2014,Female,22.6
19,Iowa,2015,Male,7.7
19,Iowa,2015,Female,22.4
19,Iowa,2016,Male,8.2
19,Iowa,2016,Female,23.6
19,Iowa,2017,Male,6.9
19,Iowa,2017,Female,19.5
19,Iowa,2018,Male,7.7
19,Iowa,2018,Female,21.9
19,Iowa,2019,Male,8.9
19,Iowa,2019,Female,20.6
19,Iowa,2020,Male,7.2
19,Iowa,2020,Female,18.1
21,Kentucky,2011,Male,6.7
21,Kentucky,2011,Female,22.1
21,Kentucky,2012,Male,7.4
21,Kentucky,2012,Female,22.9
21,Kentucky,2013,Male,8.2
21,Kentucky,2013,Female,20.0
21,Kentucky,2014,Male,8.1
21,Kentucky,2014,Female,23.2
21,Kentucky,2015,Male,9.2
21,Kentucky,2015,Female,24.6
21,Kentucky,2016,Male,7.7
21,Kentucky,2016,Female,25.0
21,Kentucky,2017,Male,8.3
21,Kentucky,2017,Female,23.6
21,Kentucky,2018,Male,6.7
21,Kentucky,2018,Female,20.8
21,Kentucky,2019,Male,7.3
21,Kentucky,2019,Female,21.7
21,Kentucky,2020,Male,7.0
21,Kentucky,2020,Female,18.1
22,Louisiana,2011,Male,6.5
22,Louisiana,2011,Female,20.0
22,Louisiana,2012,Male,6.0
22,Louisiana,2012,Female,19.7
22,Louisiana,2013,Male,7.4
22,Louisiana,2013,Female,19.6
22,Louisiana,2014,Male,6.9
22,Louisiana,2014,Female,21.3
22,Louisiana,2015,Male,7.8
22,Louisiana,2015,Female,21.4
22,Louisiana,2016,Male,7.0
22,Louisiana,2016,Female,21.8
22,Louisiana,2017,Male,7.7
22,Louisiana,2017,Female,20.7
22,Louisiana,2018,Male,7.8
22,Louisiana,2018,Female,23.6
22,Louisiana,2019,Male,7.5
22,Louisiana,2019,Female,20.7
22,Louisiana,2020,Male,5.6
22,Louisiana,2020,Female,15.9
23,Maine,2011,Male,8.9
23,Maine,2011,Female,21.7
23,Maine,2012,Male,7.7
23,Maine,2012,Female,21.2
23,Maine,2013,Male,8.1
23,Maine,2013,Female,24.6
23,Maine,2014,Male,10.7
23,Maine,2014,Female,25.5
23,Maine,2015,Male,8.1
23,Maine,2015,Female,22.9
23,Maine,2016,Male,9.7
23,Maine,2016,Female,20.1
23,Maine,2017,Male,8.0
23,Maine,2017,Female,19.6
23,Maine,2018,Male,7.4
23,Maine,2018,Female,17.8
23,Maine,2019,Male,8.0
23,Maine,2019,Female,24.0
23,Maine,2020,Male,6.9
23,Maine,2020,Female,19.5
24,Maryland,2011,Male,7.1
24,Maryland,2011,Female,20.5
24,Maryland,2012,Male,8.0
24,Maryland,2012,Female,24.2
24,Maryland,2013,Male,7.8
24,Maryland,2013,Female,24.0
24,Maryland,2014,Male,7.3
24,Maryland,2014,Female,21.4
24,Maryland,2015,Male,6.6
24,Maryland,2015,Female,21.7
24,Maryland,2016,Male,7.6
24,Maryland,2016,Female,20.3
24,Maryland,2017,Male,6.4
24,Maryland,2017,Female,18.4
24,Maryland,2018,Male,6.3
24,Maryland,2018,Female,19.8
24,Maryland,2019,Male,6.7
24,Maryland,2019,Female,18.2
24,Maryland,2020,Male,5.6
24,Maryland,2020,Female,15.4
25,Massachusetts,2011,Male,10.8
25,Massachusetts,2011,Female,30.7
25,Massachusetts,2012,Male,10.4
25,Massachusetts,2012,Female,29.6
25,Massachusetts,2013,Male,9.3
25,Massachusetts,2013,Female,27.0
25,Massachusetts,2014,Male,11.5
25,Massachusetts,2014,Female,31.2
25,Massachusetts,2015,Male,11.5
25,Massachusetts,2015,Female,29.2
25,Massachusetts,2016,Male,10.4
25,Massachusetts,2016,Female,27.3
25,Massachusetts,2017,Male,9.6
25,Massachusetts,2017,Female,25.0
25,Massachusetts,2018,Male,9.8
25,Massachusetts,2018,Female,25.1
25,Massachusetts,2019,Male,8.9
25,Massachusetts,2019,Female,22.9
25,Massachusetts,2020,Male,7.6
25,Massachusetts,2020,Female,18.9
26,Michigan,2011,Male,6.2
26,Michigan,2011,Female,19.9
26,Michigan,2012,Male,6.8
26,Michigan,2012,Female,20.3
26,Michigan,2013,Male,7.5
26,Michigan,2013,Female,20.9
26,Michigan,2014,Male,6.7
26,Michigan,2014,Female,20.3
26,Michigan,2015,Male,6.5
26,Michigan,2015,Female,20.7
26,Michigan,2016,Male,7.2
26,Michigan,2016,Female,20.6
26,Michigan,2017,Male,6.2
26,Michigan,2017,Female,17.5
26,Michigan,2018,Male,5.7
26,Michigan,2018,Female,17.0
26,Michigan,2019,Male,6.7
26,Michigan,2019,Female,17.1
26,Michigan,2020,Male,5.6
26,Michigan,2020,Female,15.3
27,Minnesota,2011,Male,6.2
27,Minnesota,2011,Female,18.8
27,Minnesota,2012,Male,7.2
27,Minnesota,2012,Female,19.8
27,Minnesota,2013,Male,6.8
27,Minnesota,2013,Female,20.4
27,Minnesota,2014,Male,7.1
27,Minnesota,2014,Female,20.9
27,Minnesota,2015,Male,7.4
27,Minnesota,2015,Female,18.8
27,Minnesota,2016,Male,7.0
27,Minnesota,2016,Female,18.7
27,Minnesota,2017,Male,7.0
27,Minnesota,2017,Female,17.6
27,Minnesota,2018,Male,7.3
27,Minnesota,2018,Female,18.3
27,Minnesota,2019,Male,8.0
27,Minnesota,2019,Female,17.8
27,Minnesota,2020,Male,6.5
27,Minnesota,2020,Female,15.6
28,Mississippi,2011,Male,5.0
28,Mississippi,2011,Female,16.6
28,Mississippi,2012,Male,5.3
28,Mississippi,2012,Female,15.0
28,Mississippi,2013,Male,5.9
28,Mississippi,2013,Female,17.4
28,Mississippi,2014,Male,5.2
28,Mississippi,2014,Female,15.7
28,Mississippi,2015,Male,5.8
28,Mississippi,2015,Female,16.6
28,Mississippi,2016,Male,4.8
28,Mississippi,2016,Female,16.2
28,Mississippi,2017,Male,4.7
28,Mississippi,2017,Female,13.0
28,Mississippi,2018,Male,4.9
28,Mississippi,2018,Female,12.8
28,Mississippi,2019,Male,4.5
28,Mississippi,2019,Female,10.9
28,Mississippi,2020,Male,4.0
28,Mississippi,2020,Female,10.2
