StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2011,Black (includes Hispanic),4.4
1,Alabama,2011,Hispanic (all races),
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),6.9
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2012,Black (includes Hispanic),4.3
1,Alabama,2012,Hispanic (all races),
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),8.4
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2013,Black (includes Hispanic),4.4
1,Alabama,2013,Hispanic (all races),
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),7.4
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2014,Black (includes Hispanic),4.4
1,Alabama,2014,Hispanic (all races),
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),6.3
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2015,Black (includes Hispanic),4.5
1,Alabama,2015,Hispanic (all races),
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),7.0
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2016,Black (includes Hispanic),4.4
1,Alabama,2016,Hispanic (all races),
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),6.8
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2017,Black (includes Hispanic),3.6
1,Alabama,2017,Hispanic (all races),
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),6.7
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2018,Black (includes Hispanic),4.6
1,Alabama,2018,Hispanic (all races),
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),8.0
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2019,Black (includes Hispanic),4.1
1,Alabama,2019,Hispanic (all races),
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),7.0
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2020,Black (includes Hispanic),4.9
1,Alabama,2020,Hispanic (all races),
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),7.7
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2011,White (includes Hispanic),6.7
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2012,Black (includes Hispanic),
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2012,White (includes Hispanic),7.5
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2013,Black (includes Hispanic),
2,Alaska,2013,Hispanic (all races),
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2013,White (includes Hispanic),5.6
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2014,Black (includes Hispanic),
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2014,White (includes Hispanic),5.5
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2015,Black (includes Hispanic),
2,Alaska,2015,Hispanic (all races),
2,Alaska,2015,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2015,White (includes Hispanic),8.0
2,Alaska,2016,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2016,Black (includes Hispanic),
2,Alaska,2016,Hispanic (all races),
2,Alaska,2016,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2016,White (includes Hispanic),8.6
2,Alaska,2017,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2017,Black (includes Hispanic),
2,Alaska,2017,Hispanic (all races),
2,Alaska,2017,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2017,White (includes Hispanic),8.7
2,Alaska,2018,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2018,Black (includes Hispanic),
2,Alaska,2018,Hispanic (all races),
2,Alaska,2018,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2018,White (includes Hispanic),5.9
2,Alaska,2019,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2019,Black (includes Hispanic),
2,Alaska,2019,Hispanic (all races),
2,Alaska,2019,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2019,White (includes Hispanic),6.7
2,Alaska,2020,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2020,Black (includes Hispanic),
2,Alaska,2020,Hispanic (all races),
2,Alaska,2020,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2020,White (includes Hispanic),7.0
4,Arizona,2011,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2011,Black (includes Hispanic),
4,Arizona,2011,Hispanic (all races),5.5
4,Arizona,2011,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2011,White (includes Hispanic),7.1
4,Arizona,2012,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2012,Black (includes Hispanic),
4,Arizona,2012,Hispanic (all races),5.0
4,Arizona,2012,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2012,White (includes Hispanic),7.0
4,Arizona,2013,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2013,Black (includes Hispanic),
4,Arizona,2013,Hispanic (all races),6.2
4,Arizona,2013,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2013,White (includes Hispanic),6.6
4,Arizona,2014,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2014,Black (includes Hispanic),
4,Arizona,2014,Hispanic (all races),5.3
4,Arizona,2014,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2014,White (includes Hispanic),6.7
4,Arizona,2015,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2015,Black (includes Hispanic),
4,Arizona,2015,Hispanic (all races),4.4
4,Arizona,2015,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2015,White (includes Hispanic),6.1
4,Arizona,2016,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2016,Black (includes Hispanic),
4,Arizona,2016,Hispanic (all races),5.1
4,Arizona,2016,American Indian/Alaskan Native (includes Hispanic),
