StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),67.2
1,Alabama,2011,Black (includes Hispanic),126.9
1,Alabama,2011,Hispanic (all races),76.3
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),115.1
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),113.1
1,Alabama,2012,Black (includes Hispanic),122.0
1,Alabama,2012,Hispanic (all races),39.2
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),118.5
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),98.8
1,Alabama,2013,Black (includes Hispanic),126.4
1,Alabama,2013,Hispanic (all races),65.3
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),120.5
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),65.4
1,Alabama,2014,Black (includes Hispanic),121.7
1,Alabama,2014,Hispanic (all races),74.2
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),121.2
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),66.5
1,Alabama,2015,Black (includes Hispanic),128.1
1,Alabama,2015,Hispanic (all races),53.1
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),123.1
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),81.5
1,Alabama,2016,Black (includes Hispanic),131.9
1,Alabama,2016,Hispanic (all races),58.6
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),118.5
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),54.4
1,Alabama,2017,Black (includes Hispanic),127.4
1,Alabama,2017,Hispanic (all races),41.2
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),114.9
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),87.8
1,Alabama,2018,Black (includes Hispanic),125.4
1,Alabama,2018,Hispanic (all races),61.4
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),119.3
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),112.8
1,Alabama,2019,Black (includes Hispanic),126.3
1,Alabama,2019,Hispanic (all races),67.0
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),127.2
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),99.8
1,Alabama,2020,Black (includes Hispanic),133.7
1,Alabama,2020,Hispanic (all races),64.3
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),118.1
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),113.0
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),125.6
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),170.5
2,Alaska,2011,White (includes Hispanic),131.6
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),82.4
2,Alaska,2012,Black (includes Hispanic),176.9
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),169.4
2,Alaska,2012,White (includes Hispanic),124.4
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),89.1
2,Alaska,2013,Black (includes Hispanic),157.7
2,Alaska,2013,Hispanic (all races),167.4
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),151.0
2,Alaska,2013,White (includes Hispanic),119.8
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),101.7
2,Alaska,2014,Black (includes Hispanic),117.2
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),151.0
2,Alaska,2014,White (includes Hispanic),133.0
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),74.5
2,Alaska,2015,Black (includes Hispanic),95.8
2,Alaska,2015,Hispanic (all races),133.8
2,Alaska,2015,American Indian/Alaskan Native (includes Hispanic),160.3
2,Alaska,2015,White (includes Hispanic),129.0
2,Alaska,2016,Asian/Pacific Islander (includes Hispanic),72.8
2,Alaska,2016,Black (includes Hispanic),126.8
2,Alaska,2016,Hispanic (all races),177.2
2,Alaska,2016,American Indian/Alaskan Native (includes Hispanic),134.1
2,Alaska,2016,White (includes Hispanic),118.2
2,Alaska,2017,Asian/Pacific Islander (includes Hispanic),77.1
2,Alaska,2017,Black (includes Hispanic),
2,Alaska,2017,Hispanic (all races),125.3
2,Alaska,2017,American Indian/Alaskan Native (includes Hispanic),126.4
2,Alaska,2017,White (includes Hispanic),116.4
2,Alaska,2018,Asian/Pacific Islander (includes Hispanic),90.1
2,Alaska,2018,Black (includes Hispanic),129.5
2,Alaska,2018,Hispanic (all races),98.0
2,Alaska,2018,American Indian/Alaskan Native (includes Hispanic),133.5
2,Alaska,2018,White (includes Hispanic),130.4
2,Alaska,2019,Asian/Pacific Islander (includes Hispanic),97.9
2,Alaska,2019,Black (includes Hispanic),78.3
2,Alaska,2019,Hispanic (all races),164.8
2,Alaska,2019,American Indian/Alaskan Native (includes Hispanic),225.2
2,Alaska,2019,White (includes Hispanic),131.7
2,Alaska,2020,Asian/Pacific Islander (includes Hispanic),120.3
2,Alaska,2020,Black (includes Hispanic),
2,Alaska,2020,Hispanic (all races),
2,Alaska,2020,American Indian/Alaskan Native (includes Hispanic),107.1
2,Alaska,2020,White (includes Hispanic),116.8
4,Arizona,2011,Asian/Pacific Islander (includes Hispanic),73.9
4,Arizona,2011,Black (includes Hispanic),122.0
4,Arizona,2011,Hispanic (all races),90.5
4,Arizona,2011,American Indian/Alaskan Native (includes Hispanic),52.0
4,Arizona,2011,White (includes Hispanic),116.3
4,Arizona,2012,Asian/Pacific Islander (includes Hispanic),72.5
4,Arizona,2012,Black (includes Hispanic),102.6
4,Arizona,2012,Hispanic (all races),95.7
4,Arizona,2012,American Indian/Alaskan Native (includes Hispanic),48.6
4,Arizona,2012,White (includes Hispanic),114.9
4,Arizona,2013,Asian/Pacific Islander (includes Hispanic),93.3
4,Arizona,2013,Black (includes Hispanic),107.0
4,Arizona,2013,Hispanic (all races),94.9
4,Arizona,2013,American Indian/Alaskan Native (includes Hispanic),68.0
4,Arizona,2013,White (includes Hispanic),119.6
4,Arizona,2014,Asian/Pacific Islander (includes Hispanic),74.1
4,Arizona,2014,Black (includes Hispanic),108.4
4,Arizona,2014,Hispanic (all races),93.2
4,Arizona,2014,American Indian/Alaskan Native (includes Hispanic),69.1
4,Arizona,2014,White (includes Hispanic),121.7
4,Arizona,2015,Asian/Pacific Islander (includes Hispanic),84.7
4,Arizona,2015,Black (includes Hispanic),119.9
4,Arizona,2015,Hispanic (all races),99.4
4,Arizona,2015,American Indian/Alaskan Native (includes Hispanic),63.5
4,Arizona,2015,White (includes Hispanic),117.5
4,Arizona,2016,Asian/Pacific Islander (includes Hispanic),84.8
4,Arizona,2016,Black (includes Hispanic),106.4
4,Arizona,2016,Hispanic (all races),97.4
4,Arizona,2016,American Indian/Alaskan Native (includes Hispanic),52.4
4,Arizona,2016,White (includes Hispanic),120.1
4,Arizona,2017,Asian/Pacific Islander (includes Hispanic),75.7
4,Arizona,2017,Black (includes Hispanic),94.2
4,Arizona,2017,Hispanic (all races),96.1
4,Arizona,2017,American Indian/Alaskan Native (includes Hispanic),47.0
4,Arizona,2017,White (includes Hispanic),118.6
