StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2011,Black (includes Hispanic),53.82
1,Alabama,2011,Hispanic (all races),
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),39.19
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2012,Black (includes Hispanic),50.73
1,Alabama,2012,Hispanic (all races),26.18
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),42.53
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2013,Black (includes Hispanic),54.52
1,Alabama,2013,Hispanic (all races),
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),42.01
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2014,Black (includes Hispanic),53.77
1,Alabama,2014,Hispanic (all races),31.01
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),41.94
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),33.79
1,Alabama,2015,Black (includes Hispanic),46.6
1,Alabama,2015,Hispanic (all races),28.35
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),41.77
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),24.1
1,Alabama,2016,Black (includes Hispanic),48.34
1,Alabama,2016,Hispanic (all races),26.56
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),42.15
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),37.32
1,Alabama,2017,Black (includes Hispanic),46.11
1,Alabama,2017,Hispanic (all races),27.95
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),41.22
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),29.62
1,Alabama,2018,Black (includes Hispanic),47.52
1,Alabama,2018,Hispanic (all races),29.35
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),38.86
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),39.05
1,Alabama,2019,Black (includes Hispanic),46.49
1,Alabama,2019,Hispanic (all races),14.76
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),40.69
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2020,Black (includes Hispanic),41.55
1,Alabama,2020,Hispanic (all races),
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),36.63
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),85.22
2,Alaska,2011,White (includes Hispanic),35.33
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),42.49
2,Alaska,2012,Black (includes Hispanic),
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),91.67
2,Alaska,2012,White (includes Hispanic),32.44
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),38.24
2,Alaska,2013,Black (includes Hispanic),
2,Alaska,2013,Hispanic (all races),
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),98.42
2,Alaska,2013,White (includes Hispanic),36.33
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),40.5
2,Alaska,2014,Black (includes Hispanic),
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),90.91
2,Alaska,2014,White (includes Hispanic),37.22
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2015,Black (includes Hispanic),
2,Alaska,2015,Hispanic (all races),
2,Alaska,2015,American Indian/Alaskan Native (includes Hispanic),93.95
2,Alaska,2015,White (includes Hispanic),36.8
2,Alaska,2016,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2016,Black (includes Hispanic),
2,Alaska,2016,Hispanic (all races),
2,Alaska,2016,American Indian/Alaskan Native (includes Hispanic),92.62
2,Alaska,2016,White (includes Hispanic),32.08
2,Alaska,2017,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2017,Black (includes Hispanic),
2,Alaska,2017,Hispanic (all races),
2,Alaska,2017,American Indian/Alaskan Native (includes Hispanic),102.5
2,Alaska,2017,White (includes Hispanic),36.78
2,Alaska,2018,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2018,Black (includes Hispanic),
2,Alaska,2018,Hispanic (all races),
2,Alaska,2018,American Indian/Alaskan Native (includes Hispanic),85.47
2,Alaska,2018,White (includes Hispanic),36.3
2,Alaska,2019,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2019,Black (includes Hispanic),
