StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2011,Black (includes Hispanic),6.29
1,Alabama,2011,Hispanic (all races),
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),4.42
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2012,Black (includes Hispanic),5.01
1,Alabama,2012,Hispanic (all races),
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),4.41
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2013,Black (includes Hispanic),5.86
1,Alabama,2013,Hispanic (all races),
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),4.27
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2014,Black (includes Hispanic),3.88
1,Alabama,2014,Hispanic (all races),
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),4.44
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2015,Black (includes Hispanic),5.56
1,Alabama,2015,Hispanic (all races),
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),4.68
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2016,Black (includes Hispanic),4.02
1,Alabama,2016,Hispanic (all races),
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),4.47
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2017,Black (includes Hispanic),3.34
1,Alabama,2017,Hispanic (all races),
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),4.85
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2018,Black (includes Hispanic),3.96
1,Alabama,2018,Hispanic (all races),
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),4.72
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2019,Black (includes Hispanic),4.17
1,Alabama,2019,Hispanic (all races),
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),4.4
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2020,Black (includes Hispanic),3.16
1,Alabama,2020,Hispanic (all races),
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),4.97
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2011,White (includes Hispanic),7.22
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2012,Black (includes Hispanic),
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2012,White (includes Hispanic),4.28
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2013,Black (includes Hispanic),
2,Alaska,2013,Hispanic (all races),
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2013,White (includes Hispanic),5.72
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2014,Black (includes Hispanic),
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2014,White (includes Hispanic),8.04
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2015,Black (includes Hispanic),
2,Alaska,2015,Hispanic (all races),
2,Alaska,2015,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2015,White (includes Hispanic),3.95
2,Alaska,2016,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2016,Black (includes Hispanic),
2,Alaska,2016,Hispanic (all races),
2,Alaska,2016,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2016,White (includes Hispanic),5.05
2,Alaska,2017,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2017,Black (includes Hispanic),
2,Alaska,2017,Hispanic (all races),
2,Alaska,2017,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2017,White (includes Hispanic),4.96
2,Alaska,2018,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2018,Black (includes Hispanic),
2,Alaska,2018,Hispanic (all races),
2,Alaska,2018,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2018,White (includes Hispanic),6.85
2,Alaska,2019,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2019,Black (includes Hispanic),
2,Alaska,2019,Hispanic (all races),
2,Alaska,2019,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2019,White (includes Hispanic),3.86
2,Alaska,2020,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2020,Black (includes Hispanic),
2,Alaska,2020,Hispanic (all races),
2,Alaska,2020,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2020,White (includes Hispanic),4.99
4,Arizona,2011,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2011,Black (includes Hispanic),
4,Arizona,2011,Hispanic (all races),3.13
4,Arizona,2011,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2011,White (includes Hispanic),4.69
4,Arizona,2012,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2012,Black (includes Hispanic),
4,Arizona,2012,Hispanic (all races),2.37
4,Arizona,2012,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2012,White (includes Hispanic),4.4
4,Arizona,2013,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2013,Black (includes Hispanic),
4,Arizona,2013,Hispanic (all races),2.77
4,Arizona,2013,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2013,White (includes Hispanic),4.73
4,Arizona,2014,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2014,Black (includes Hispanic),
4,Arizona,2014,Hispanic (all races),2.55
4,Arizona,2014,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2014,White (includes Hispanic),4.59
4,Arizona,2015,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2015,Black (includes Hispanic),
4,Arizona,2015,Hispanic (all races),2.95
4,Arizona,2015,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2015,White (includes Hispanic),4.26
4,Arizona,2016,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2016,Black (includes Hispanic),
4,Arizona,2016,Hispanic (all races),2.62
4,Arizona,2016,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2016,White (includes Hispanic),4.55
4,Arizona,2017,Asian/Pacific Islander (includes Hispanic),
4,Arizona,2017,Black (includes Hispanic),
4,Arizona,2017,Hispanic (all races),2.67
4,Arizona,2017,American Indian/Alaskan Native (includes Hispanic),
4,Arizona,2017,White (includes Hispanic),4.31
