StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2011,Black (includes Hispanic),6.81
1,Alabama,2011,Hispanic (all races),
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),6.95
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2012,Black (includes Hispanic),7.9
1,Alabama,2012,Hispanic (all races),
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),6.38
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2013,Black (includes Hispanic),9.06
1,Alabama,2013,Hispanic (all races),
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),7.04
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2014,Black (includes Hispanic),7.0
1,Alabama,2014,Hispanic (all races),
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),7.09
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2015,Black (includes Hispanic),7.98
1,Alabama,2015,Hispanic (all races),
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),7.58
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2016,Black (includes Hispanic),8.59
1,Alabama,2016,Hispanic (all races),
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),8.22
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2017,Black (includes Hispanic),8.77
1,Alabama,2017,Hispanic (all races),
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),7.66
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2018,Black (includes Hispanic),8.47
1,Alabama,2018,Hispanic (all races),
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),8.54
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2019,Black (includes Hispanic),7.4
1,Alabama,2019,Hispanic (all races),
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),8.77
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2020,Black (includes Hispanic),7.87
1,Alabama,2020,Hispanic (all races),
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),7.75
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2011,White (includes Hispanic),6.19
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2012,Black (includes Hispanic),
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2012,White (includes Hispanic),9.05
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2013,Black (includes Hispanic),
2,Alaska,2013,Hispanic (all races),
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2013,White (includes Hispanic),9.08
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2014,Black (includes Hispanic),
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2014,White (includes Hispanic),8.25
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2015,Black (includes Hispanic),
2,Alaska,2015,Hispanic (all races),
2,Alaska,2015,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2015,White (includes Hispanic),8.24
2,Alaska,2016,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2016,Black (includes Hispanic),
2,Alaska,2016,Hispanic (all races),
2,Alaska,2016,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2016,White (includes Hispanic),8.21
2,Alaska,2017,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2017,Black (includes Hispanic),
2,Alaska,2017,Hispanic (all races),
2,Alaska,2017,American Indian/Alaskan Native (includes Hispanic),20.47
2,Alaska,2017,White (includes Hispanic),7.85
2,Alaska,2018,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2018,Black (includes Hispanic),
2,Alaska,2018,Hispanic (all races),
2,Alaska,2018,American Indian/Alaskan Native (includes Hispanic),18.3
2,Alaska,2018,White (includes Hispanic),5.76
2,Alaska,2019,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2019,Black (includes Hispanic),
2,Alaska,2019,Hispanic (all races),
2,Alaska,2019,American Indian/Alaskan Native (includes Hispanic),25.23
2,Alaska,2019,White (includes Hispanic),8.16
2,Alaska,2020,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2020,Black (includes Hispanic),
2,Alaska,2020,Hispanic (all races),
2,Alaska,2020,American Indian/Alaskan Native (includes Hispanic),
2,Alaska,2020,White (includes Hispanic),7.6
4,Arizona,2011,Asian/Pacific Islander (includes Hispanic),10.02
4,Arizona,2011,Black (includes Hispanic),10.43
4,Arizona,2011,Hispanic (all races),14.01
4,Arizona,2011,American Indian/Alaskan Native (includes Hispanic),15.22
4,Arizona,2011,White (includes Hispanic),7.56
4,Arizona,2012,Asian/Pacific Islander (includes Hispanic),13.78
4,Arizona,2012,Black (includes Hispanic),10.53
4,Arizona,2012,Hispanic (all races),13.65
4,Arizona,2012,American Indian/Alaskan Native (includes Hispanic),19.33
4,Arizona,2012,White (includes Hispanic),7.31
4,Arizona,2013,Asian/Pacific Islander (includes Hispanic),13.09
4,Arizona,2013,Black (includes Hispanic),13.67
4,Arizona,2013,Hispanic (all races),14.36
4,Arizona,2013,American Indian/Alaskan Native (includes Hispanic),15.27
4,Arizona,2013,White (includes Hispanic),7.54
4,Arizona,2014,Asian/Pacific Islander (includes Hispanic),8.72
4,Arizona,2014,Black (includes Hispanic),9.59
4,Arizona,2014,Hispanic (all races),14.94
4,Arizona,2014,American Indian/Alaskan Native (includes Hispanic),15.96
4,Arizona,2014,White (includes Hispanic),7.99
4,Arizona,2015,Asian/Pacific Islander (includes Hispanic),13.4
4,Arizona,2015,Black (includes Hispanic),6.63
4,Arizona,2015,Hispanic (all races),14.95
4,Arizona,2015,American Indian/Alaskan Native (includes Hispanic),18.57
4,Arizona,2015,White (includes Hispanic),7.8
4,Arizona,2016,Asian/Pacific Islander (includes Hispanic),12.7
4,Arizona,2016,Black (includes Hispanic),6.43
4,Arizona,2016,Hispanic (all races),14.45
4,Arizona,2016,American Indian/Alaskan Native (includes Hispanic),15.5
4,Arizona,2016,White (includes Hispanic),7.86
4,Arizona,2017,Asian/Pacific Islander (includes Hispanic),6.74
4,Arizona,2017,Black (includes Hispanic),10.83
4,Arizona,2017,Hispanic (all races),14.06
4,Arizona,2017,American Indian/Alaskan Native (includes Hispanic),15.86
4,Arizona,2017,White (includes Hispanic),7.62
4,Arizona,2018,Asian/Pacific Islander (includes Hispanic),9.31
4,Arizona,2018,Black (includes Hispanic),10.28
4,Arizona,2018,Hispanic (all races),13.02
4,Arizona,2018,American Indian/Alaskan Native (includes Hispanic),17.9
4,Arizona,2018,White (includes Hispanic),8.28
4,Arizona,2019,Asian/Pacific Islander (includes Hispanic),9.57
4,Arizona,2019,Black (includes Hispanic),8.04
4,Arizona,2019,Hispanic (all races),14.55
4,Arizona,2019,American Indian/Alaskan Native (includes Hispanic),13.17
4,Arizona,2019,White (includes Hispanic),7.93
4,Arizona,2020,Asian/Pacific Islander (includes Hispanic),5.07
4,Arizona,2020,Black (includes Hispanic),7.76
4,Arizona,2020,Hispanic (all races),11.59
4,Arizona,2020,American Indian/Alaskan Native (includes Hispanic),10.95
4,Arizona,2020,White (includes Hispanic),6.53
5,Arkansas,2011,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2011,Black (includes Hispanic),4.51
5,Arkansas,2011,Hispanic (all races),
5,Arkansas,2011,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2011,White (includes Hispanic),4.98
5,Arkansas,2012,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2012,Black (includes Hispanic),5.65
5,Arkansas,2012,Hispanic (all races),
5,Arkansas,2012,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2012,White (includes Hispanic),6.27
5,Arkansas,2013,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2013,Black (includes Hispanic),7.11
5,Arkansas,2013,Hispanic (all races),
5,Arkansas,2013,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2013,White (includes Hispanic),5.75
5,Arkansas,2014,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2014,Black (includes Hispanic),8.99
5,Arkansas,2014,Hispanic (all races),
5,Arkansas,2014,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2014,White (includes Hispanic),6.16
5,Arkansas,2015,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2015,Black (includes Hispanic),5.82
5,Arkansas,2015,Hispanic (all races),20.72
5,Arkansas,2015,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2015,White (includes Hispanic),6.45
5,Arkansas,2016,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2016,Black (includes Hispanic),9.49
5,Arkansas,2016,Hispanic (all races),
5,Arkansas,2016,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2016,White (includes Hispanic),7.84
5,Arkansas,2017,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2017,Black (includes Hispanic),6.92
5,Arkansas,2017,Hispanic (all races),
5,Arkansas,2017,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2017,White (includes Hispanic),6.75
5,Arkansas,2018,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2018,Black (includes Hispanic),7.28
5,Arkansas,2018,Hispanic (all races),
5,Arkansas,2018,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2018,White (includes Hispanic),7.94
5,Arkansas,2019,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2019,Black (includes Hispanic),9.52
5,Arkansas,2019,Hispanic (all races),16.94
5,Arkansas,2019,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2019,White (includes Hispanic),8.26
5,Arkansas,2020,Asian/Pacific Islander (includes Hispanic),
5,Arkansas,2020,Black (includes Hispanic),6.33
5,Arkansas,2020,Hispanic (all races),
5,Arkansas,2020,American Indian/Alaskan Native (includes Hispanic),
5,Arkansas,2020,White (includes Hispanic),7.82
6,California,2011,Asian/Pacific Islander (includes Hispanic),14.41
6,California,2011,Black (includes Hispanic),11.2
6,California,2011,Hispanic (all races),13.52
6,California,2011,American Indian/Alaskan Native (includes Hispanic),7.49
6,California,2011,White (includes Hispanic),8.59
6,California,2012,Asian/Pacific Islander (includes Hispanic),13.47
6,California,2012,Black (includes Hispanic),11.44
6,California,2012,Hispanic (all races),13.33
6,California,2012,American Indian/Alaskan Native (includes Hispanic),5.39
6,California,2012,White (includes Hispanic),8.85
6,California,2013,Asian/Pacific Islander (includes Hispanic),13.3
6,California,2013,Black (includes Hispanic),11.72
