StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),44.3
1,Alabama,2011,Black (includes Hispanic),66.4
1,Alabama,2011,Hispanic (all races),
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),73.6
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2012,Black (includes Hispanic),58.6
1,Alabama,2012,Hispanic (all races),29.8
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),73.6
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),38.2
1,Alabama,2013,Black (includes Hispanic),61.8
1,Alabama,2013,Hispanic (all races),
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),69.8
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2014,Black (includes Hispanic),57.8
1,Alabama,2014,Hispanic (all races),
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),68.5
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2015,Black (includes Hispanic),53.7
1,Alabama,2015,Hispanic (all races),
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),67.7
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),50.7
1,Alabama,2016,Black (includes Hispanic),61.6
1,Alabama,2016,Hispanic (all races),
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),65.8
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),36.7
1,Alabama,2017,Black (includes Hispanic),51.6
1,Alabama,2017,Hispanic (all races),29.3
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),66.0
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),29.9
1,Alabama,2018,Black (includes Hispanic),54.9
1,Alabama,2018,Hispanic (all races),
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),64.5
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),35.1
1,Alabama,2019,Black (includes Hispanic),53.7
1,Alabama,2019,Hispanic (all races),17.3
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),62.4
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),28.2
1,Alabama,2020,Black (includes Hispanic),43.9
1,Alabama,2020,Hispanic (all races),
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),56.3
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),105.3
2,Alaska,2011,White (includes Hispanic),62.0
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),46.0
2,Alaska,2012,Black (includes Hispanic),
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),89.4
2,Alaska,2012,White (includes Hispanic),58.1
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),44.5
2,Alaska,2013,Black (includes Hispanic),
2,Alaska,2013,Hispanic (all races),
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),89.5
2,Alaska,2013,White (includes Hispanic),52.8
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2014,Black (includes Hispanic),
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),78.0
2,Alaska,2014,White (includes Hispanic),57.3
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),36.5
2,Alaska,2015,Black (includes Hispanic),
2,Alaska,2015,Hispanic (all races),
