StateFIPS,State,Year,Race Ethnicity,Value
1,Alabama,2011,Asian/Pacific Islander (includes Hispanic),125.88
1,Alabama,2011,Black (includes Hispanic),212.17
1,Alabama,2011,Hispanic (all races),64.9
1,Alabama,2011,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2011,White (includes Hispanic),125.03
1,Alabama,2012,Asian/Pacific Islander (includes Hispanic),75.35
1,Alabama,2012,Black (includes Hispanic),203.18
1,Alabama,2012,Hispanic (all races),55.78
1,Alabama,2012,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2012,White (includes Hispanic),106.54
1,Alabama,2013,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2013,Black (includes Hispanic),190.36
1,Alabama,2013,Hispanic (all races),59.8
1,Alabama,2013,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2013,White (includes Hispanic),103.12
1,Alabama,2014,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2014,Black (includes Hispanic),174.76
1,Alabama,2014,Hispanic (all races),60.01
1,Alabama,2014,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2014,White (includes Hispanic),90.22
1,Alabama,2015,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2015,Black (includes Hispanic),188.95
1,Alabama,2015,Hispanic (all races),42.17
1,Alabama,2015,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2015,White (includes Hispanic),101.38
1,Alabama,2016,Asian/Pacific Islander (includes Hispanic),112.52
1,Alabama,2016,Black (includes Hispanic),196.53
1,Alabama,2016,Hispanic (all races),66.55
1,Alabama,2016,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2016,White (includes Hispanic),98.57
1,Alabama,2017,Asian/Pacific Islander (includes Hispanic),68.45
1,Alabama,2017,Black (includes Hispanic),203.05
1,Alabama,2017,Hispanic (all races),80.34
1,Alabama,2017,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2017,White (includes Hispanic),102.98
1,Alabama,2018,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2018,Black (includes Hispanic),184.04
1,Alabama,2018,Hispanic (all races),49.42
1,Alabama,2018,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2018,White (includes Hispanic),101.31
1,Alabama,2019,Asian/Pacific Islander (includes Hispanic),
1,Alabama,2019,Black (includes Hispanic),177.63
1,Alabama,2019,Hispanic (all races),61.91
1,Alabama,2019,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2019,White (includes Hispanic),96.32
1,Alabama,2020,Asian/Pacific Islander (includes Hispanic),55.1
1,Alabama,2020,Black (includes Hispanic),169.93
1,Alabama,2020,Hispanic (all races),39.66
1,Alabama,2020,American Indian/Alaskan Native (includes Hispanic),
1,Alabama,2020,White (includes Hispanic),85.74
2,Alaska,2011,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2011,Black (includes Hispanic),
2,Alaska,2011,Hispanic (all races),
2,Alaska,2011,American Indian/Alaskan Native (includes Hispanic),73.72
2,Alaska,2011,White (includes Hispanic),108.02
2,Alaska,2012,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2012,Black (includes Hispanic),171.88
2,Alaska,2012,Hispanic (all races),
2,Alaska,2012,American Indian/Alaskan Native (includes Hispanic),76.2
2,Alaska,2012,White (includes Hispanic),93.85
2,Alaska,2013,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2013,Black (includes Hispanic),
2,Alaska,2013,Hispanic (all races),
2,Alaska,2013,American Indian/Alaskan Native (includes Hispanic),53.77
2,Alaska,2013,White (includes Hispanic),83.98
2,Alaska,2014,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2014,Black (includes Hispanic),179.07
2,Alaska,2014,Hispanic (all races),
2,Alaska,2014,American Indian/Alaskan Native (includes Hispanic),52.7
2,Alaska,2014,White (includes Hispanic),83.75
2,Alaska,2015,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2015,Black (includes Hispanic),
2,Alaska,2015,Hispanic (all races),
2,Alaska,2015,American Indian/Alaskan Native (includes Hispanic),48.9
2,Alaska,2015,White (includes Hispanic),74.42
2,Alaska,2016,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2016,Black (includes Hispanic),128.0
2,Alaska,2016,Hispanic (all races),
2,Alaska,2016,American Indian/Alaskan Native (includes Hispanic),93.63
2,Alaska,2016,White (includes Hispanic),101.99
2,Alaska,2017,Asian/Pacific Islander (includes Hispanic),
2,Alaska,2017,Black (includes Hispanic),174.27
2,Alaska,2017,Hispanic (all races),
2,Alaska,2017,American Indian/Alaskan Native (includes Hispanic),89.42
2,Alaska,2017,White (includes Hispanic),96.54
2,Alaska,2018,Asian/Pacific Islander (includes Hispanic),79.79
2,Alaska,2018,Black (includes Hispanic),188.8
2,Alaska,2018,Hispanic (all races),
2,Alaska,2018,American Indian/Alaskan Native (includes Hispanic),97.95
2,Alaska,2018,White (includes Hispanic),103.2
