StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,3621.4,2011,2015
1,Alabama,1003,Baldwin,3739.4,2011,2015
1,Alabama,1005,Barbour,3674.0,2011,2015
1,Alabama,1007,Bibb,3593.6,2011,2015
1,Alabama,1009,Blount,3534.6,2011,2015
1,Alabama,1011,Bullock,3653.2,2011,2015
1,Alabama,1013,Butler,3682.8,2011,2015
1,Alabama,1015,Calhoun,3524.6,2011,2015
1,Alabama,1017,Chambers,3634.6,2011,2015
1,Alabama,1019,Cherokee,3480.2,2011,2015
1,Alabama,1021,Chilton,3594.0,2011,2015
1,Alabama,1023,Choctaw,3659.2,2011,2015
1,Alabama,1025,Clarke,3666.6,2011,2015
1,Alabama,1027,Clay,3572.8,2011,2015
1,Alabama,1029,Cleburne,3523.2,2011,2015
1,Alabama,1031,Coffee,3711.4,2011,2015
1,Alabama,1033,Colbert,3511.2,2011,2015
1,Alabama,1035,Conecuh,3693.2,2011,2015
1,Alabama,1037,Coosa,3588.0,2011,2015
1,Alabama,1039,Covington,3713.0,2011,2015
1,Alabama,1041,Crenshaw,3684.8,2011,2015
1,Alabama,1043,Cullman,3558.0,2011,2015
1,Alabama,1045,Dale,3698.0,2011,2015
1,Alabama,1047,Dallas,3658.4,2011,2015
1,Alabama,1049,DeKalb,3459.2,2011,2015
1,Alabama,1051,Elmore,3626.4,2011,2015
1,Alabama,1053,Escambia,3694.2,2011,2015
1,Alabama,1055,Etowah,3503.2,2011,2015
1,Alabama,1057,Fayette,3505.4,2011,2015
1,Alabama,1059,Franklin,3492.0,2011,2015
1,Alabama,1061,Geneva,3723.2,2011,2015
1,Alabama,1063,Greene,3579.2,2011,2015
1,Alabama,1065,Hale,3582.2,2011,2015
1,Alabama,1067,Henry,3701.8,2011,2015
1,Alabama,1069,Houston,3722.4,2011,2015
1,Alabama,1071,Jackson,3500.4,2011,2015
1,Alabama,1073,Jefferson,3534.8,2011,2015
1,Alabama,1075,Lamar,3486.4,2011,2015
1,Alabama,1077,Lauderdale,3532.6,2011,2015
1,Alabama,1079,Lawrence,3590.4,2011,2015
1,Alabama,1081,Lee,3651.6,2011,2015
1,Alabama,1083,Limestone,3519.4,2011,2015
1,Alabama,1085,Lowndes,3666.4,2011,2015
1,Alabama,1087,Macon,3658.8,2011,2015
1,Alabama,1089,Madison,3517.6,2011,2015
1,Alabama,1091,Marengo,3621.6,2011,2015
1,Alabama,1093,Marion,3465.6,2011,2015
1,Alabama,1095,Marshall,3551.6,2011,2015
1,Alabama,1097,Mobile,3729.8,2011,2015
1,Alabama,1099,Monroe,3673.4,2011,2015
1,Alabama,1101,Montgomery,3655.4,2011,2015
1,Alabama,1103,Morgan,3536.6,2011,2015
1,Alabama,1105,Perry,3617.2,2011,2015
1,Alabama,1107,Pickens,3545.2,2011,2015
1,Alabama,1109,Pike,3663.0,2011,2015
1,Alabama,1111,Randolph,3582.0,2011,2015
1,Alabama,1113,Russell,3656.4,2011,2015
1,Alabama,1115,St. Clair,3514.6,2011,2015
1,Alabama,1117,Shelby,3548.4,2011,2015
1,Alabama,1119,Sumter,3602.8,2011,2015
1,Alabama,1121,Talladega,3548.8,2011,2015
1,Alabama,1123,Tallapoosa,3638.0,2011,2015
1,Alabama,1125,Tuscaloosa,3539.6,2011,2015
1,Alabama,1127,Walker,3558.6,2011,2015
1,Alabama,1129,Washington,3692.4,2011,2015
1,Alabama,1131,Wilcox,3660.8,2011,2015
1,Alabama,1133,Winston,3590.8,2011,2015
2,Alaska,2013,Aleutians East,2182.4,2011,2015
2,Alaska,2016,Aleutians West,2144.8,2011,2015
2,Alaska,2020,Anchorage,2198.0,2011,2015
