StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,3617.6,2011,2015
1,Alabama,1003,Baldwin,3824.0,2011,2015
1,Alabama,1005,Barbour,3699.0,2011,2015
1,Alabama,1007,Bibb,3622.8,2011,2015
1,Alabama,1009,Blount,3395.8,2011,2015
1,Alabama,1011,Bullock,3609.4,2011,2015
1,Alabama,1013,Butler,3735.4,2011,2015
1,Alabama,1015,Calhoun,3487.2,2011,2015
1,Alabama,1017,Chambers,3640.8,2011,2015
1,Alabama,1019,Cherokee,3377.6,2011,2015
1,Alabama,1021,Chilton,3564.8,2011,2015
1,Alabama,1023,Choctaw,3770.6,2011,2015
1,Alabama,1025,Clarke,3725.4,2011,2015
1,Alabama,1027,Clay,3523.8,2011,2015
1,Alabama,1029,Cleburne,3447.6,2011,2015
1,Alabama,1031,Coffee,3739.4,2011,2015
1,Alabama,1033,Colbert,3401.6,2011,2015
1,Alabama,1035,Conecuh,3699.4,2011,2015
1,Alabama,1037,Coosa,3495.4,2011,2015
1,Alabama,1039,Covington,3789.0,2011,2015
1,Alabama,1041,Crenshaw,3700.6,2011,2015
1,Alabama,1043,Cullman,3415.4,2011,2015
1,Alabama,1045,Dale,3687.8,2011,2015
1,Alabama,1047,Dallas,3664.4,2011,2015
1,Alabama,1049,DeKalb,3365.8,2011,2015
1,Alabama,1051,Elmore,3546.0,2011,2015
1,Alabama,1053,Escambia,3716.2,2011,2015
1,Alabama,1055,Etowah,3448.4,2011,2015
1,Alabama,1057,Fayette,3430.2,2011,2015
1,Alabama,1059,Franklin,3396.2,2011,2015
1,Alabama,1061,Geneva,3764.2,2011,2015
1,Alabama,1063,Greene,3561.0,2011,2015
1,Alabama,1065,Hale,3544.0,2011,2015
1,Alabama,1067,Henry,3792.4,2011,2015
1,Alabama,1069,Houston,3766.6,2011,2015
1,Alabama,1071,Jackson,3360.6,2011,2015
1,Alabama,1073,Jefferson,3477.4,2011,2015
1,Alabama,1075,Lamar,3423.6,2011,2015
1,Alabama,1077,Lauderdale,3400.6,2011,2015
1,Alabama,1079,Lawrence,3466.8,2011,2015
1,Alabama,1081,Lee,3673.6,2011,2015
1,Alabama,1083,Limestone,3346.0,2011,2015
1,Alabama,1085,Lowndes,3692.6,2011,2015
1,Alabama,1087,Macon,3618.8,2011,2015
1,Alabama,1089,Madison,3329.2,2011,2015
1,Alabama,1091,Marengo,3636.4,2011,2015
1,Alabama,1093,Marion,3373.0,2011,2015
1,Alabama,1095,Marshall,3398.8,2011,2015
1,Alabama,1097,Mobile,3813.2,2011,2015
1,Alabama,1099,Monroe,3704.8,2011,2015
1,Alabama,1101,Montgomery,3602.8,2011,2015
1,Alabama,1103,Morgan,3380.2,2011,2015
1,Alabama,1105,Perry,3602.0,2011,2015
1,Alabama,1107,Pickens,3497.2,2011,2015
1,Alabama,1109,Pike,3619.2,2011,2015
1,Alabama,1111,Randolph,3548.8,2011,2015
1,Alabama,1113,Russell,3701.8,2011,2015
1,Alabama,1115,St. Clair,3419.0,2011,2015
1,Alabama,1117,Shelby,3488.2,2011,2015
1,Alabama,1119,Sumter,3643.4,2011,2015
1,Alabama,1121,Talladega,3465.4,2011,2015
1,Alabama,1123,Tallapoosa,3589.8,2011,2015
1,Alabama,1125,Tuscaloosa,3487.4,2011,2015
1,Alabama,1127,Walker,3513.2,2011,2015
1,Alabama,1129,Washington,3803.0,2011,2015
1,Alabama,1131,Wilcox,3657.0,2011,2015
1,Alabama,1133,Winston,3503.8,2011,2015
2,Alaska,2013,Aleutians East,1581.8,2011,2015
2,Alaska,2016,Aleutians West,1575.8,2011,2015
2,Alaska,2020,Anchorage,1567.0,2011,2015
2,Alaska,2050,Bethel,1560.4,2011,2015
2,Alaska,2060,Bristol Bay,1657.8,2011,2015
2,Alaska,2068,Denali,1567.2,2011,2015
2,Alaska,2070,Dillingham,1575.0,2011,2015
2,Alaska,2090,Fairbanks North Star,1539.8,2011,2015
2,Alaska,2100,Haines,1533.8,2011,2015
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,1532.2,2011,2015
2,Alaska,2110,Juneau,1477.6,2011,2015
2,Alaska,2122,Kenai Peninsula,1547.6,2011,2015
2,Alaska,2130,Ketchikan Gateway,1712.6,2011,2015
2,Alaska,2150,Kodiak Island,1615.4,2011,2015
2,Alaska,2164,Lake and Peninsula,1593.4,2011,2015
2,Alaska,2170,Matanuska-Susitna,1610.4,2011,2015
2,Alaska,2180,Nome,1442.8,2011,2015
2,Alaska,2185,North Slope,1526.6,2011,2015
2,Alaska,2188,Northwest Arctic,1517.6,2011,2015
2,Alaska,2195,PETERSBURG CENSUS AREA,1629.4,2011,2015
2,Alaska,2198,PRINCE OF WALES-HYDER CENSUS AREA,1820.4,2011,2015
2,Alaska,2220,Sitka,1658.8,2011,2015
2,Alaska,2230,SKAGWAY MUNICIPALITY,1693.8,2011,2015
2,Alaska,2240,Southeast Fairbanks,1585.0,2011,2015
2,Alaska,2261,Valdez-Cordova,1588.4,2011,2015
2,Alaska,2270,Wade Hampton,1521.8,2011,2015
2,Alaska,2275,WRANGELL CITY AND BURROUGH,1622.8,2011,2015
2,Alaska,2282,Yakutat,1374.0,2011,2015
2,Alaska,2290,Yukon-Koyukuk,1526.2,2011,2015
4,Arizona,4001,Apache,3857.6,2011,2015
4,Arizona,4003,Cochise,4331.0,2011,2015
4,Arizona,4005,Coconino,3792.6,2011,2015
4,Arizona,4007,Gila,4176.4,2011,2015
4,Arizona,4009,Graham,4276.4,2011,2015
4,Arizona,4011,Greenlee,4124.6,2011,2015
4,Arizona,4012,La Paz,4227.8,2011,2015
4,Arizona,4013,Maricopa,4326.0,2011,2015
4,Arizona,4015,Mohave,3926.8,2011,2015
4,Arizona,4017,Navajo,3866.2,2011,2015
4,Arizona,4019,Pima,4382.8,2011,2015
4,Arizona,4021,Pinal,4330.0,2011,2015
4,Arizona,4023,Santa Cruz,4334.4,2011,2015
4,Arizona,4025,Yavapai,4060.0,2011,2015
4,Arizona,4027,Yuma,4318.8,2011,2015
5,Arkansas,5001,Arkansas,3427.6,2011,2015
5,Arkansas,5003,Ashley,3581.2,2011,2015
5,Arkansas,5005,Baxter,3219.4,2011,2015
5,Arkansas,5007,Benton,3257.8,2011,2015
5,Arkansas,5009,Boone,3146.8,2011,2015
5,Arkansas,5011,Bradley,3526.8,2011,2015
5,Arkansas,5013,Calhoun,3441.8,2011,2015
5,Arkansas,5015,Carroll,3163.0,2011,2015
5,Arkansas,5017,Chicot,3530.0,2011,2015
5,Arkansas,5019,Clark,3499.0,2011,2015
5,Arkansas,5021,Clay,3135.6,2011,2015
5,Arkansas,5023,Cleburne,3230.0,2011,2015
5,Arkansas,5025,Cleveland,3520.4,2011,2015
5,Arkansas,5027,Columbia,3657.2,2011,2015
5,Arkansas,5029,Conway,3318.4,2011,2015
5,Arkansas,5031,Craighead,3257.0,2011,2015
5,Arkansas,5033,Crawford,3317.8,2011,2015
5,Arkansas,5035,Crittenden,3321.6,2011,2015
5,Arkansas,5037,Cross,3332.6,2011,2015
5,Arkansas,5039,Dallas,3422.2,2011,2015
5,Arkansas,5041,Desha,3458.6,2011,2015
5,Arkansas,5043,Drew,3537.6,2011,2015
5,Arkansas,5045,Faulkner,3406.6,2011,2015
5,Arkansas,5047,Franklin,3332.2,2011,2015
5,Arkansas,5049,Fulton,3114.6,2011,2015
5,Arkansas,5051,Garland,3380.6,2011,2015
5,Arkansas,5053,Grant,3498.6,2011,2015
5,Arkansas,5055,Greene,3178.6,2011,2015
5,Arkansas,5057,Hempstead,3604.6,2011,2015
5,Arkansas,5059,Hot Spring,3424.2,2011,2015
5,Arkansas,5061,Howard,3523.6,2011,2015
5,Arkansas,5063,Independence,3187.2,2011,2015
5,Arkansas,5065,Izard,3146.0,2011,2015
5,Arkansas,5067,Jackson,3259.2,2011,2015
5,Arkansas,5069,Jefferson,3499.8,2011,2015
5,Arkansas,5071,Johnson,3237.2,2011,2015
5,Arkansas,5073,Lafayette,3626.0,2011,2015
