StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,0.47,2011,2015
1,Alabama,1003,Baldwin,0.29500000000000004,2011,2015
1,Alabama,1005,Barbour,0.28500000000000003,2011,2015
1,Alabama,1007,Bibb,0.3,2011,2015
1,Alabama,1009,Blount,0.315,2011,2015
1,Alabama,1011,Bullock,0.28,2011,2015
1,Alabama,1013,Butler,0.29500000000000004,2011,2015
1,Alabama,1015,Calhoun,0.625,2011,2015
1,Alabama,1017,Chambers,0.365,2011,2015
1,Alabama,1019,Cherokee,0.33999999999999997,2011,2015
1,Alabama,1021,Chilton,0.31,2011,2015
1,Alabama,1023,Choctaw,0.235,2011,2015
1,Alabama,1025,Clarke,0.24,2011,2015
1,Alabama,1027,Clay,0.265,2011,2015
1,Alabama,1029,Cleburne,0.28500000000000003,2011,2015
1,Alabama,1031,Coffee,0.30000000000000004,2011,2015
1,Alabama,1033,Colbert,0.39,2011,2015
1,Alabama,1035,Conecuh,0.27,2011,2015
1,Alabama,1037,Coosa,0.275,2011,2015
1,Alabama,1039,Covington,0.29000000000000004,2011,2015
1,Alabama,1041,Crenshaw,0.26,2011,2015
1,Alabama,1043,Cullman,0.36,2011,2015
1,Alabama,1045,Dale,0.34,2011,2015
1,Alabama,1047,Dallas,0.49,2011,2015
1,Alabama,1049,DeKalb,0.30000000000000004,2011,2015
1,Alabama,1051,Elmore,0.345,2011,2015
1,Alabama,1053,Escambia,0.365,2011,2015
1,Alabama,1055,Etowah,0.5800000000000001,2011,2015
1,Alabama,1057,Fayette,0.275,2011,2015
1,Alabama,1059,Franklin,0.26,2011,2015
1,Alabama,1061,Geneva,0.275,2011,2015
1,Alabama,1063,Greene,0.255,2011,2015
1,Alabama,1065,Hale,0.26,2011,2015
1,Alabama,1067,Henry,0.265,2011,2015
1,Alabama,1069,Houston,0.45999999999999996,2011,2015
1,Alabama,1071,Jackson,0.29500000000000004,2011,2015
1,Alabama,1073,Jefferson,0.635,2011,2015
1,Alabama,1075,Lamar,0.245,2011,2015
1,Alabama,1077,Lauderdale,0.47,2011,2015
1,Alabama,1079,Lawrence,0.31000000000000005,2011,2015
1,Alabama,1081,Lee,0.52,2011,2015
1,Alabama,1083,Limestone,0.47,2011,2015
1,Alabama,1085,Lowndes,0.25,2011,2015
1,Alabama,1087,Macon,0.32,2011,2015
1,Alabama,1089,Madison,0.565,2011,2015
1,Alabama,1091,Marengo,0.255,2011,2015
1,Alabama,1093,Marion,0.265,2011,2015
1,Alabama,1095,Marshall,0.35,2011,2015
1,Alabama,1097,Mobile,0.62,2011,2015
1,Alabama,1099,Monroe,0.25,2011,2015
1,Alabama,1101,Montgomery,0.7,2011,2015
1,Alabama,1103,Morgan,0.5800000000000001,2011,2015
1,Alabama,1105,Perry,0.25,2011,2015
1,Alabama,1107,Pickens,0.255,2011,2015
1,Alabama,1109,Pike,0.28500000000000003,2011,2015
1,Alabama,1111,Randolph,0.27,2011,2015
1,Alabama,1113,Russell,0.515,2011,2015
1,Alabama,1115,St. Clair,0.355,2011,2015
1,Alabama,1117,Shelby,0.405,2011,2015
1,Alabama,1119,Sumter,0.24,2011,2015
1,Alabama,1121,Talladega,0.405,2011,2015
1,Alabama,1123,Tallapoosa,0.32499999999999996,2011,2015
1,Alabama,1125,Tuscaloosa,0.61,2011,2015
1,Alabama,1127,Walker,0.375,2011,2015
1,Alabama,1129,Washington,0.235,2011,2015
1,Alabama,1131,Wilcox,0.235,2011,2015
1,Alabama,1133,Winston,0.28500000000000003,2011,2015
2,Alaska,2013,Aleutians East,0.12,2011,2015
2,Alaska,2016,Aleutians West,0.12,2011,2015
2,Alaska,2020,Anchorage,0.91,2011,2015
2,Alaska,2050,Bethel,0.12,2011,2015
2,Alaska,2060,Bristol Bay,0.125,2011,2015
2,Alaska,2068,Denali,0.12,2011,2015
2,Alaska,2070,Dillingham,0.125,2011,2015
