StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,15.075,2018,2022
1,Alabama,1003,Baldwin,17.8,2018,2022
1,Alabama,1005,Barbour,13.175,2018,2022
1,Alabama,1007,Bibb,15.35,2018,2022
1,Alabama,1009,Blount,15.675,2018,2022
1,Alabama,1011,Bullock,12.525,2018,2022
1,Alabama,1013,Butler,13.175,2018,2022
1,Alabama,1015,Calhoun,14.475,2018,2022
1,Alabama,1017,Chambers,13.8,2018,2022
1,Alabama,1019,Cherokee,15.975,2018,2022
1,Alabama,1021,Chilton,15.25,2018,2022
1,Alabama,1023,Choctaw,13.575,2018,2022
1,Alabama,1025,Clarke,13.175,2018,2022
1,Alabama,1027,Clay,14.9,2018,2022
1,Alabama,1029,Cleburne,15.775,2018,2022
1,Alabama,1031,Coffee,14.9,2018,2022
1,Alabama,1033,Colbert,15.35,2018,2022
1,Alabama,1035,Conecuh,13.15,2018,2022
1,Alabama,1037,Coosa,14.775,2018,2022
1,Alabama,1039,Covington,14.875,2018,2022
1,Alabama,1041,Crenshaw,14.475,2018,2022
1,Alabama,1043,Cullman,16.1,2018,2022
1,Alabama,1045,Dale,15.05,2018,2022
1,Alabama,1047,Dallas,11.95,2018,2022
1,Alabama,1049,DeKalb,14.45,2018,2022
1,Alabama,1051,Elmore,15.175,2018,2022
1,Alabama,1053,Escambia,13.85,2018,2022
1,Alabama,1055,Etowah,14.575,2018,2022
1,Alabama,1057,Fayette,15.0,2018,2022
1,Alabama,1059,Franklin,14.925,2018,2022
1,Alabama,1061,Geneva,15.075,2018,2022
1,Alabama,1063,Greene,10.8,2018,2022
1,Alabama,1065,Hale,12.45,2018,2022
1,Alabama,1067,Henry,14.825,2018,2022
1,Alabama,1069,Houston,14.0,2018,2022
1,Alabama,1071,Jackson,15.175,2018,2022
1,Alabama,1073,Jefferson,14.899999999999999,2018,2022
1,Alabama,1075,Lamar,15.275,2018,2022
1,Alabama,1077,Lauderdale,15.775,2018,2022
1,Alabama,1079,Lawrence,15.175,2018,2022
1,Alabama,1081,Lee,15.225,2018,2022
1,Alabama,1083,Limestone,15.450000000000001,2018,2022
1,Alabama,1085,Lowndes,11.6,2018,2022
1,Alabama,1087,Macon,11.675,2018,2022
1,Alabama,1089,Madison,15.025,2018,2022
1,Alabama,1091,Marengo,12.925,2018,2022
1,Alabama,1093,Marion,15.525,2018,2022
1,Alabama,1095,Marshall,14.8,2018,2022
1,Alabama,1097,Mobile,15.475,2018,2022
1,Alabama,1099,Monroe,13.35,2018,2022
1,Alabama,1101,Montgomery,13.075000000000001,2018,2022
1,Alabama,1103,Morgan,15.0,2018,2022
1,Alabama,1105,Perry,11.275,2018,2022
1,Alabama,1107,Pickens,13.5,2018,2022
1,Alabama,1109,Pike,13.75,2018,2022
1,Alabama,1111,Randolph,14.625,2018,2022
1,Alabama,1113,Russell,13.575,2018,2022
1,Alabama,1115,St. Clair,15.8,2018,2022
1,Alabama,1117,Shelby,16.05,2018,2022
1,Alabama,1119,Sumter,11.65,2018,2022
1,Alabama,1121,Talladega,13.875,2018,2022
1,Alabama,1123,Tallapoosa,14.375,2018,2022
1,Alabama,1125,Tuscaloosa,15.325000000000001,2018,2022
1,Alabama,1127,Walker,15.025,2018,2022
1,Alabama,1129,Washington,14.2,2018,2022
1,Alabama,1131,Wilcox,11.425,2018,2022
1,Alabama,1133,Winston,15.475,2018,2022
2,Alaska,2013,Aleutians East,14.875,2018,2022
2,Alaska,2016,Aleutians West,16.775000000000002,2018,2022
2,Alaska,2020,Anchorage,17.975,2018,2022
2,Alaska,2050,Bethel,16.775,2018,2022
2,Alaska,2060,Bristol Bay,19.425,2018,2022
2,Alaska,2063,Chugach,20.299999999999997,2018,2022
2,Alaska,2066,Copper River,19.3,2018,2022
2,Alaska,2068,Denali,18.775,2018,2022
2,Alaska,2070,Dillingham,18.125,2018,2022
2,Alaska,2090,Fairbanks North Star,18.049999999999997,2018,2022
2,Alaska,2100,Haines,19.4,2018,2022
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,19.125,2018,2022
2,Alaska,2110,Juneau,19.175,2018,2022
2,Alaska,2122,Kenai Peninsula,19.125,2018,2022
2,Alaska,2130,Ketchikan Gateway,19.275,2018,2022
2,Alaska,2150,Kodiak Island,17.65,2018,2022
2,Alaska,2164,Lake and Peninsula,17.675,2018,2022
2,Alaska,2170,Matanuska-Susitna,18.2,2018,2022
2,Alaska,2180,Nome,17.875,2018,2022
2,Alaska,2185,North Slope,19.825,2018,2022
2,Alaska,2188,Northwest Arctic,17.625,2018,2022
2,Alaska,2195,PETERSBURG CENSUS AREA,19.775,2018,2022
2,Alaska,2198,PRINCE OF WALES-HYDER CENSUS AREA,18.475,2018,2022
2,Alaska,2220,Sitka,18.925,2018,2022
2,Alaska,2230,SKAGWAY MUNICIPALITY,19.9,2018,2022
2,Alaska,2240,Southeast Fairbanks,18.75,2018,2022
2,Alaska,2261,Valdez-Cordova,19.4,2018,2022
2,Alaska,2270,Wade Hampton,15.5,2018,2022
2,Alaska,2275,WRANGELL CITY AND BURROUGH,18.65,2018,2022
2,Alaska,2282,Yakutat,18.55,2018,2022
2,Alaska,2290,Yukon-Koyukuk,18.35,2018,2022
4,Arizona,4001,Apache,14.475,2018,2022
4,Arizona,4003,Cochise,16.925,2018,2022
4,Arizona,4005,Coconino,17.45,2018,2022
4,Arizona,4007,Gila,18.3,2018,2022
4,Arizona,4009,Graham,17.075,2018,2022
4,Arizona,4011,Greenlee,17.45,2018,2022
4,Arizona,4012,La Paz,16.35,2018,2022
4,Arizona,4013,Maricopa,16.7,2018,2022
4,Arizona,4015,Mohave,18.25,2018,2022
4,Arizona,4017,Navajo,15.05,2018,2022
4,Arizona,4019,Pima,17.05,2018,2022
4,Arizona,4021,Pinal,17.35,2018,2022
4,Arizona,4023,Santa Cruz,15.125,2018,2022
4,Arizona,4025,Yavapai,17.225,2018,2022
4,Arizona,4027,Yuma,15.75,2018,2022
5,Arkansas,5001,Arkansas,14.4,2018,2022
5,Arkansas,5003,Ashley,14.4,2018,2022
5,Arkansas,5005,Baxter,16.625,2018,2022
5,Arkansas,5007,Benton,16.525,2018,2022
5,Arkansas,5009,Boone,16.075,2018,2022
5,Arkansas,5011,Bradley,13.975,2018,2022
5,Arkansas,5013,Calhoun,15.675,2018,2022
5,Arkansas,5015,Carroll,15.524999999999999,2018,2022
5,Arkansas,5017,Chicot,12.95,2018,2022
5,Arkansas,5019,Clark,14.9,2018,2022
5,Arkansas,5021,Clay,15.6,2018,2022
5,Arkansas,5023,Cleburne,16.3,2018,2022
5,Arkansas,5025,Cleveland,15.425,2018,2022
5,Arkansas,5027,Columbia,13.725,2018,2022
5,Arkansas,5029,Conway,15.524999999999999,2018,2022
5,Arkansas,5031,Craighead,14.625,2018,2022
5,Arkansas,5033,Crawford,15.2,2018,2022
5,Arkansas,5035,Crittenden,13.125,2018,2022
5,Arkansas,5037,Cross,14.575,2018,2022
5,Arkansas,5039,Dallas,14.075,2018,2022
5,Arkansas,5041,Desha,12.375,2018,2022
5,Arkansas,5043,Drew,14.175,2018,2022
5,Arkansas,5045,Faulkner,15.475,2018,2022
5,Arkansas,5047,Franklin,15.3,2018,2022
5,Arkansas,5049,Fulton,15.2,2018,2022
5,Arkansas,5051,Garland,15.7,2018,2022
5,Arkansas,5053,Grant,16.325,2018,2022
5,Arkansas,5055,Greene,15.8,2018,2022
5,Arkansas,5057,Hempstead,13.875,2018,2022
5,Arkansas,5059,Hot Spring,15.825,2018,2022
5,Arkansas,5061,Howard,14.2,2018,2022
5,Arkansas,5063,Independence,15.275,2018,2022
5,Arkansas,5065,Izard,16.0,2018,2022
5,Arkansas,5067,Jackson,14.525,2018,2022
5,Arkansas,5069,Jefferson,12.625,2018,2022
5,Arkansas,5071,Johnson,14.45,2018,2022
5,Arkansas,5073,Lafayette,13.5,2018,2022
5,Arkansas,5075,Lawrence,15.6,2018,2022
5,Arkansas,5077,Lee,13.75,2018,2022
5,Arkansas,5079,Lincoln,15.55,2018,2022
5,Arkansas,5081,Little River,15.0,2018,2022
5,Arkansas,5083,Logan,15.425,2018,2022
5,Arkansas,5085,Lonoke,16.075,2018,2022
5,Arkansas,5087,Madison,15.4,2018,2022
5,Arkansas,5089,Marion,16.075,2018,2022
5,Arkansas,5091,Miller,14.725,2018,2022
5,Arkansas,5093,Mississippi,14.0,2018,2022
5,Arkansas,5095,Monroe,13.325,2018,2022
5,Arkansas,5097,Montgomery,15.525,2018,2022
5,Arkansas,5099,Nevada,14.3,2018,2022
5,Arkansas,5101,Newton,16.175,2018,2022
5,Arkansas,5103,Ouachita,13.8,2018,2022
5,Arkansas,5105,Perry,15.975,2018,2022
5,Arkansas,5107,Phillips,11.825,2018,2022
5,Arkansas,5109,Pike,15.6,2018,2022
5,Arkansas,5111,Poinsett,14.725,2018,2022
5,Arkansas,5113,Polk,14.975,2018,2022
5,Arkansas,5115,Pope,14.95,2018,2022
5,Arkansas,5117,Prairie,15.6,2018,2022
5,Arkansas,5119,Pulaski,14.775,2018,2022
5,Arkansas,5121,Randolph,15.125,2018,2022
5,Arkansas,5123,St. Francis,13.95,2018,2022
5,Arkansas,5125,Saline,15.9,2018,2022
5,Arkansas,5127,Scott,15.05,2018,2022
5,Arkansas,5129,Searcy,15.25,2018,2022
5,Arkansas,5131,Sebastian,14.075,2018,2022
5,Arkansas,5133,Sevier,14.2,2018,2022
5,Arkansas,5135,Sharp,15.15,2018,2022
5,Arkansas,5137,Stone,15.475,2018,2022
5,Arkansas,5139,Union,14.25,2018,2022
5,Arkansas,5141,Van Buren,15.55,2018,2022
5,Arkansas,5143,Washington,15.75,2018,2022
5,Arkansas,5145,White,15.35,2018,2022
5,Arkansas,5147,Woodruff,14.175,2018,2022
5,Arkansas,5149,Yell,14.625,2018,2022
6,California,6001,Alameda,15.65,2018,2022
6,California,6003,Alpine,19.375,2018,2022
6,California,6005,Amador,20.975,2018,2022
6,California,6007,Butte,18.45,2018,2022
6,California,6009,Calaveras,19.85,2018,2022
6,California,6011,Colusa,17.450000000000003,2018,2022
6,California,6013,Contra Costa,17.225,2018,2022
6,California,6015,Del Norte,18.725,2018,2022
6,California,6017,El Dorado,20.15,2018,2022
6,California,6019,Fresno,15.775,2018,2022
6,California,6021,Glenn,17.9,2018,2022
6,California,6023,Humboldt,18.925,2018,2022
6,California,6025,Imperial,16.575,2018,2022
6,California,6027,Inyo,19.65,2018,2022
6,California,6029,Kern,16.225,2018,2022
6,California,6031,Kings,17.675,2018,2022
6,California,6033,Lake,18.175,2018,2022
6,California,6035,Lassen,20.15,2018,2022
6,California,6037,Los Angeles,16.225,2018,2022
6,California,6039,Madera,16.375,2018,2022
6,California,6041,Marin,19.15,2018,2022
6,California,6043,Mariposa,19.55,2018,2022
6,California,6045,Mendocino,19.0,2018,2022
6,California,6047,Merced,16.200000000000003,2018,2022
6,California,6049,Modoc,18.675,2018,2022
6,California,6051,Mono,19.85,2018,2022
6,California,6053,Monterey,17.2,2018,2022
6,California,6055,Napa,18.925,2018,2022
6,California,6057,Nevada,20.4,2018,2022
6,California,6059,Orange,16.55,2018,2022
6,California,6061,Placer,19.5,2018,2022
6,California,6063,Plumas,20.15,2018,2022
6,California,6065,Riverside,17.225,2018,2022
6,California,6067,Sacramento,17.775,2018,2022
6,California,6069,San Benito,18.25,2018,2022
6,California,6071,San Bernardino,16.6,2018,2022
6,California,6073,San Diego,18.825,2018,2022
6,California,6075,San Francisco,18.5,2018,2022
6,California,6077,San Joaquin,16.95,2018,2022
6,California,6079,San Luis Obispo,20.25,2018,2022
6,California,6081,San Mateo,17.2,2018,2022
6,California,6083,Santa Barbara,18.025,2018,2022
6,California,6085,Santa Clara,15.425,2018,2022
6,California,6087,Santa Cruz,18.45,2018,2022
6,California,6089,Shasta,19.15,2018,2022
6,California,6091,Sierra,20.05,2018,2022
6,California,6093,Siskiyou,18.95,2018,2022
6,California,6095,Solano,17.675,2018,2022
6,California,6097,Sonoma,19.725,2018,2022
6,California,6099,Stanislaus,17.65,2018,2022
6,California,6101,Sutter,16.975,2018,2022
6,California,6103,Tehama,18.1,2018,2022
6,California,6105,Trinity,18.799999999999997,2018,2022
6,California,6107,Tulare,15.6,2018,2022
