StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,0.54,2011,2015
1,Alabama,1003,Baldwin,0.54,2011,2015
1,Alabama,1005,Barbour,0.54,2011,2015
1,Alabama,1007,Bibb,0.54,2011,2015
1,Alabama,1009,Blount,0.54,2011,2015
1,Alabama,1011,Bullock,0.54,2011,2015
1,Alabama,1013,Butler,0.54,2011,2015
1,Alabama,1015,Calhoun,0.54,2011,2015
1,Alabama,1017,Chambers,0.54,2011,2015
1,Alabama,1019,Cherokee,0.54,2011,2015
1,Alabama,1021,Chilton,0.54,2011,2015
1,Alabama,1023,Choctaw,0.54,2011,2015
1,Alabama,1025,Clarke,0.54,2011,2015
1,Alabama,1027,Clay,0.535,2011,2015
1,Alabama,1029,Cleburne,0.535,2011,2015
1,Alabama,1031,Coffee,0.54,2011,2015
1,Alabama,1033,Colbert,0.54,2011,2015
1,Alabama,1035,Conecuh,0.54,2011,2015
1,Alabama,1037,Coosa,0.54,2011,2015
1,Alabama,1039,Covington,0.54,2011,2015
1,Alabama,1041,Crenshaw,0.54,2011,2015
1,Alabama,1043,Cullman,0.54,2011,2015
1,Alabama,1045,Dale,0.54,2011,2015
1,Alabama,1047,Dallas,0.54,2011,2015
1,Alabama,1049,DeKalb,0.535,2011,2015
1,Alabama,1051,Elmore,0.54,2011,2015
1,Alabama,1053,Escambia,0.54,2011,2015
1,Alabama,1055,Etowah,0.54,2011,2015
1,Alabama,1057,Fayette,0.54,2011,2015
1,Alabama,1059,Franklin,0.54,2011,2015
1,Alabama,1061,Geneva,0.54,2011,2015
1,Alabama,1063,Greene,0.545,2011,2015
1,Alabama,1065,Hale,0.54,2011,2015
1,Alabama,1067,Henry,0.54,2011,2015
1,Alabama,1069,Houston,0.54,2011,2015
1,Alabama,1071,Jackson,0.54,2011,2015
1,Alabama,1073,Jefferson,0.54,2011,2015
1,Alabama,1075,Lamar,0.54,2011,2015
1,Alabama,1077,Lauderdale,0.54,2011,2015
1,Alabama,1079,Lawrence,0.54,2011,2015
1,Alabama,1081,Lee,0.54,2011,2015
1,Alabama,1083,Limestone,0.54,2011,2015
1,Alabama,1085,Lowndes,0.54,2011,2015
1,Alabama,1087,Macon,0.54,2011,2015
1,Alabama,1089,Madison,0.54,2011,2015
1,Alabama,1091,Marengo,0.545,2011,2015
1,Alabama,1093,Marion,0.54,2011,2015
1,Alabama,1095,Marshall,0.54,2011,2015
1,Alabama,1097,Mobile,0.54,2011,2015
1,Alabama,1099,Monroe,0.54,2011,2015
1,Alabama,1101,Montgomery,0.54,2011,2015
1,Alabama,1103,Morgan,0.54,2011,2015
1,Alabama,1105,Perry,0.54,2011,2015
1,Alabama,1107,Pickens,0.54,2011,2015
1,Alabama,1109,Pike,0.54,2011,2015
1,Alabama,1111,Randolph,0.535,2011,2015
1,Alabama,1113,Russell,0.54,2011,2015
1,Alabama,1115,St. Clair,0.54,2011,2015
1,Alabama,1117,Shelby,0.54,2011,2015
1,Alabama,1119,Sumter,0.545,2011,2015
1,Alabama,1121,Talladega,0.54,2011,2015
1,Alabama,1123,Tallapoosa,0.54,2011,2015
1,Alabama,1125,Tuscaloosa,0.54,2011,2015
