StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,24.3,2019,2023
1,Alabama,1003,Baldwin,24.599999999999998,2019,2023
1,Alabama,1005,Barbour,23.833333333333332,2019,2023
1,Alabama,1007,Bibb,24.866666666666664,2019,2023
1,Alabama,1009,Blount,25.566666666666666,2019,2023
1,Alabama,1011,Bullock,21.233333333333334,2019,2023
1,Alabama,1013,Butler,23.2,2019,2023
1,Alabama,1015,Calhoun,25.833333333333332,2019,2023
1,Alabama,1017,Chambers,24.333333333333332,2019,2023
1,Alabama,1019,Cherokee,27.133333333333336,2019,2023
1,Alabama,1021,Chilton,26.166666666666668,2019,2023
1,Alabama,1023,Choctaw,24.666666666666668,2019,2023
1,Alabama,1025,Clarke,24.133333333333336,2019,2023
1,Alabama,1027,Clay,26.866666666666664,2019,2023
1,Alabama,1029,Cleburne,27.099999999999998,2019,2023
1,Alabama,1031,Coffee,25.433333333333334,2019,2023
1,Alabama,1033,Colbert,25.366666666666664,2019,2023
1,Alabama,1035,Conecuh,24.0,2019,2023
1,Alabama,1037,Coosa,24.099999999999998,2019,2023
1,Alabama,1039,Covington,26.366666666666664,2019,2023
1,Alabama,1041,Crenshaw,24.96666666666667,2019,2023
1,Alabama,1043,Cullman,26.400000000000002,2019,2023
1,Alabama,1045,Dale,24.53333333333333,2019,2023
1,Alabama,1047,Dallas,22.5,2019,2023
1,Alabama,1049,DeKalb,26.866666666666664,2019,2023
1,Alabama,1051,Elmore,24.833333333333332,2019,2023
1,Alabama,1053,Escambia,24.5,2019,2023
1,Alabama,1055,Etowah,26.666666666666668,2019,2023
1,Alabama,1057,Fayette,27.333333333333332,2019,2023
1,Alabama,1059,Franklin,25.96666666666667,2019,2023
1,Alabama,1061,Geneva,27.233333333333334,2019,2023
1,Alabama,1063,Greene,22.133333333333336,2019,2023
1,Alabama,1065,Hale,23.400000000000002,2019,2023
1,Alabama,1067,Henry,24.599999999999998,2019,2023
1,Alabama,1069,Houston,25.766666666666666,2019,2023
1,Alabama,1071,Jackson,27.266666666666666,2019,2023
1,Alabama,1073,Jefferson,22.066666666666666,2019,2023
1,Alabama,1075,Lamar,26.7,2019,2023
1,Alabama,1077,Lauderdale,25.433333333333334,2019,2023
1,Alabama,1079,Lawrence,26.7,2019,2023
1,Alabama,1081,Lee,23.53333333333333,2019,2023
1,Alabama,1083,Limestone,24.0,2019,2023
1,Alabama,1085,Lowndes,22.3,2019,2023
1,Alabama,1087,Macon,21.766666666666666,2019,2023
1,Alabama,1089,Madison,22.73333333333333,2019,2023
1,Alabama,1091,Marengo,23.133333333333336,2019,2023
1,Alabama,1093,Marion,27.333333333333332,2019,2023
1,Alabama,1095,Marshall,26.333333333333332,2019,2023
1,Alabama,1097,Mobile,23.433333333333334,2019,2023
1,Alabama,1099,Monroe,23.7,2019,2023
1,Alabama,1101,Montgomery,20.8,2019,2023
1,Alabama,1103,Morgan,25.599999999999998,2019,2023
1,Alabama,1105,Perry,23.7,2019,2023
1,Alabama,1107,Pickens,24.233333333333334,2019,2023
1,Alabama,1109,Pike,23.733333333333334,2019,2023
1,Alabama,1111,Randolph,25.5,2019,2023
1,Alabama,1113,Russell,24.133333333333336,2019,2023
1,Alabama,1115,St. Clair,26.2,2019,2023
1,Alabama,1117,Shelby,22.733333333333334,2019,2023
1,Alabama,1119,Sumter,22.166666666666668,2019,2023
1,Alabama,1121,Talladega,25.3,2019,2023
1,Alabama,1123,Tallapoosa,25.366666666666664,2019,2023
1,Alabama,1125,Tuscaloosa,23.366666666666664,2019,2023
1,Alabama,1127,Walker,27.833333333333332,2019,2023
1,Alabama,1129,Washington,25.133333333333336,2019,2023
1,Alabama,1131,Wilcox,22.833333333333332,2019,2023
1,Alabama,1133,Winston,28.066666666666666,2019,2023
2,Alaska,2013,Aleutians East,11.833333333333334,2019,2023
2,Alaska,2016,Aleutians West,12.366666666666667,2019,2023
2,Alaska,2020,Anchorage,17.599999999999998,2019,2023
2,Alaska,2050,Bethel,20.099999999999998,2019,2023
2,Alaska,2060,Bristol Bay,18.133333333333336,2019,2023
2,Alaska,2063,Chugach,17.9,2019,2023
2,Alaska,2066,Copper River,18.45,2019,2023
2,Alaska,2068,Denali,17.8,2019,2023
2,Alaska,2070,Dillingham,19.133333333333336,2019,2023
2,Alaska,2090,Fairbanks North Star,18.400000000000002,2019,2023
2,Alaska,2100,Haines,19.0,2019,2023
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,18.933333333333334,2019,2023
2,Alaska,2110,Juneau,17.96666666666667,2019,2023
2,Alaska,2122,Kenai Peninsula,19.333333333333332,2019,2023
2,Alaska,2130,Ketchikan Gateway,18.433333333333334,2019,2023
2,Alaska,2150,Kodiak Island,15.200000000000001,2019,2023
2,Alaska,2164,Lake and Peninsula,19.466666666666665,2019,2023
2,Alaska,2170,Matanuska-Susitna,19.866666666666664,2019,2023
2,Alaska,2180,Nome,18.966666666666665,2019,2023
2,Alaska,2185,North Slope,16.900000000000002,2019,2023
2,Alaska,2188,Northwest Arctic,19.5,2019,2023
2,Alaska,2195,PETERSBURG CENSUS AREA,18.2,2019,2023
2,Alaska,2198,PRINCE OF WALES-HYDER CENSUS AREA,19.2,2019,2023
2,Alaska,2220,Sitka,17.233333333333334,2019,2023
2,Alaska,2230,SKAGWAY MUNICIPALITY,18.466666666666665,2019,2023
2,Alaska,2240,Southeast Fairbanks,17.266666666666666,2019,2023
2,Alaska,2261,Valdez-Cordova,17.2,2019,2023
2,Alaska,2270,Wade Hampton,22.266666666666666,2019,2023
2,Alaska,2275,WRANGELL CITY AND BURROUGH,19.433333333333334,2019,2023
2,Alaska,2282,Yakutat,17.666666666666668,2019,2023
2,Alaska,2290,Yukon-Koyukuk,20.3,2019,2023
4,Arizona,4001,Apache,20.333333333333332,2019,2023
4,Arizona,4003,Cochise,19.3,2019,2023
4,Arizona,4005,Coconino,19.666666666666668,2019,2023
4,Arizona,4007,Gila,20.599999999999998,2019,2023
4,Arizona,4009,Graham,18.96666666666667,2019,2023
4,Arizona,4011,Greenlee,18.099999999999998,2019,2023
4,Arizona,4012,La Paz,20.099999999999998,2019,2023
4,Arizona,4013,Maricopa,18.066666666666666,2019,2023
4,Arizona,4015,Mohave,20.8,2019,2023
4,Arizona,4017,Navajo,21.3,2019,2023
4,Arizona,4019,Pima,20.333333333333332,2019,2023
4,Arizona,4021,Pinal,18.933333333333334,2019,2023
4,Arizona,4023,Santa Cruz,17.7,2019,2023
4,Arizona,4025,Yavapai,21.3,2019,2023
4,Arizona,4027,Yuma,18.333333333333332,2019,2023
5,Arkansas,5001,Arkansas,24.46666666666667,2019,2023
5,Arkansas,5003,Ashley,25.599999999999998,2019,2023
5,Arkansas,5005,Baxter,26.5,2019,2023
5,Arkansas,5007,Benton,22.233333333333334,2019,2023
5,Arkansas,5009,Boone,26.400000000000002,2019,2023
5,Arkansas,5011,Bradley,24.2,2019,2023
5,Arkansas,5013,Calhoun,24.666666666666668,2019,2023
5,Arkansas,5015,Carroll,24.433333333333334,2019,2023
5,Arkansas,5017,Chicot,22.96666666666667,2019,2023
5,Arkansas,5019,Clark,25.0,2019,2023
5,Arkansas,5021,Clay,28.400000000000002,2019,2023
5,Arkansas,5023,Cleburne,26.866666666666664,2019,2023
5,Arkansas,5025,Cleveland,25.933333333333334,2019,2023
5,Arkansas,5027,Columbia,24.266666666666666,2019,2023
