StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,2.74,2011,2015
1,Alabama,1003,Baldwin,2.0,2011,2015
1,Alabama,1005,Barbour,2.4749999999999996,2011,2015
1,Alabama,1007,Bibb,2.59,2011,2015
1,Alabama,1009,Blount,2.0999999999999996,2011,2015
1,Alabama,1011,Bullock,2.545,2011,2015
1,Alabama,1013,Butler,2.45,2011,2015
1,Alabama,1015,Calhoun,2.385,2011,2015
1,Alabama,1017,Chambers,2.425,2011,2015
1,Alabama,1019,Cherokee,2.15,2011,2015
1,Alabama,1021,Chilton,2.5300000000000002,2011,2015
1,Alabama,1023,Choctaw,2.46,2011,2015
1,Alabama,1025,Clarke,2.46,2011,2015
1,Alabama,1027,Clay,2.27,2011,2015
1,Alabama,1029,Cleburne,2.21,2011,2015
1,Alabama,1031,Coffee,2.295,2011,2015
1,Alabama,1033,Colbert,2.105,2011,2015
1,Alabama,1035,Conecuh,2.4050000000000002,2011,2015
1,Alabama,1037,Coosa,2.4699999999999998,2011,2015
1,Alabama,1039,Covington,2.275,2011,2015
1,Alabama,1041,Crenshaw,2.365,2011,2015
1,Alabama,1043,Cullman,2.115,2011,2015
1,Alabama,1045,Dale,2.3600000000000003,2011,2015
1,Alabama,1047,Dallas,2.62,2011,2015
1,Alabama,1049,DeKalb,1.875,2011,2015
1,Alabama,1051,Elmore,2.64,2011,2015
1,Alabama,1053,Escambia,2.37,2011,2015
1,Alabama,1055,Etowah,2.3049999999999997,2011,2015
1,Alabama,1057,Fayette,2.35,2011,2015
1,Alabama,1059,Franklin,1.995,2011,2015
1,Alabama,1061,Geneva,2.2,2011,2015
1,Alabama,1063,Greene,2.58,2011,2015
1,Alabama,1065,Hale,2.5549999999999997,2011,2015
1,Alabama,1067,Henry,2.31,2011,2015
1,Alabama,1069,Houston,2.2649999999999997,2011,2015
1,Alabama,1071,Jackson,1.855,2011,2015
1,Alabama,1073,Jefferson,2.56,2011,2015
1,Alabama,1075,Lamar,2.33,2011,2015
1,Alabama,1077,Lauderdale,2.08,2011,2015
1,Alabama,1079,Lawrence,1.965,2011,2015
1,Alabama,1081,Lee,2.615,2011,2015
1,Alabama,1083,Limestone,1.9500000000000002,2011,2015
1,Alabama,1085,Lowndes,2.4699999999999998,2011,2015
1,Alabama,1087,Macon,2.715,2011,2015
1,Alabama,1089,Madison,1.98,2011,2015
1,Alabama,1091,Marengo,2.545,2011,2015
1,Alabama,1093,Marion,2.145,2011,2015
1,Alabama,1095,Marshall,1.96,2011,2015
1,Alabama,1097,Mobile,2.19,2011,2015
1,Alabama,1099,Monroe,2.31,2011,2015
