StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,32.0,2017,2021
1,Alabama,1003,Baldwin,31.833333333333332,2017,2021
1,Alabama,1005,Barbour,33.699999999999996,2017,2021
1,Alabama,1007,Bibb,33.233333333333334,2017,2021
1,Alabama,1009,Blount,33.26666666666667,2017,2021
1,Alabama,1011,Bullock,33.166666666666664,2017,2021
1,Alabama,1013,Butler,33.266666666666666,2017,2021
1,Alabama,1015,Calhoun,32.800000000000004,2017,2021
1,Alabama,1017,Chambers,32.46666666666667,2017,2021
1,Alabama,1019,Cherokee,32.9,2017,2021
1,Alabama,1021,Chilton,32.96666666666666,2017,2021
1,Alabama,1023,Choctaw,32.800000000000004,2017,2021
1,Alabama,1025,Clarke,32.5,2017,2021
1,Alabama,1027,Clay,33.300000000000004,2017,2021
1,Alabama,1029,Cleburne,33.06666666666666,2017,2021
1,Alabama,1031,Coffee,31.566666666666666,2017,2021
1,Alabama,1033,Colbert,32.166666666666664,2017,2021
1,Alabama,1035,Conecuh,33.03333333333333,2017,2021
1,Alabama,1037,Coosa,32.733333333333334,2017,2021
1,Alabama,1039,Covington,32.666666666666664,2017,2021
1,Alabama,1041,Crenshaw,33.233333333333334,2017,2021
1,Alabama,1043,Cullman,33.06666666666666,2017,2021
1,Alabama,1045,Dale,33.0,2017,2021
1,Alabama,1047,Dallas,32.4,2017,2021
1,Alabama,1049,DeKalb,34.13333333333333,2017,2021
1,Alabama,1051,Elmore,32.233333333333334,2017,2021
1,Alabama,1053,Escambia,31.8,2017,2021
1,Alabama,1055,Etowah,33.300000000000004,2017,2021
1,Alabama,1057,Fayette,33.699999999999996,2017,2021
1,Alabama,1059,Franklin,33.199999999999996,2017,2021
1,Alabama,1061,Geneva,34.03333333333333,2017,2021
1,Alabama,1063,Greene,33.166666666666664,2017,2021
1,Alabama,1065,Hale,32.7,2017,2021
1,Alabama,1067,Henry,32.53333333333333,2017,2021
1,Alabama,1069,Houston,31.766666666666666,2017,2021
1,Alabama,1071,Jackson,33.36666666666667,2017,2021
1,Alabama,1073,Jefferson,30.46666666666667,2017,2021
1,Alabama,1075,Lamar,33.333333333333336,2017,2021
1,Alabama,1077,Lauderdale,32.43333333333333,2017,2021
1,Alabama,1079,Lawrence,32.53333333333333,2017,2021
1,Alabama,1081,Lee,32.0,2017,2021
1,Alabama,1083,Limestone,32.699999999999996,2017,2021
1,Alabama,1085,Lowndes,32.333333333333336,2017,2021
1,Alabama,1087,Macon,31.766666666666666,2017,2021
1,Alabama,1089,Madison,30.46666666666667,2017,2021
1,Alabama,1091,Marengo,32.43333333333334,2017,2021
1,Alabama,1093,Marion,33.43333333333334,2017,2021
1,Alabama,1095,Marshall,33.63333333333333,2017,2021
1,Alabama,1097,Mobile,32.43333333333333,2017,2021
