StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,28.525,2018,2022
1,Alabama,1003,Baldwin,25.475,2018,2022
1,Alabama,1005,Barbour,38.575,2018,2022
1,Alabama,1007,Bibb,34.125,2018,2022
1,Alabama,1009,Blount,30.575,2018,2022
1,Alabama,1011,Bullock,40.65,2018,2022
1,Alabama,1013,Butler,36.275,2018,2022
1,Alabama,1015,Calhoun,31.025,2018,2022
1,Alabama,1017,Chambers,34.2,2018,2022
1,Alabama,1019,Cherokee,32.075,2018,2022
1,Alabama,1021,Chilton,33.3,2018,2022
1,Alabama,1023,Choctaw,34.9,2018,2022
1,Alabama,1025,Clarke,36.425,2018,2022
1,Alabama,1027,Clay,33.875,2018,2022
1,Alabama,1029,Cleburne,31.225,2018,2022
1,Alabama,1031,Coffee,30.974999999999998,2018,2022
1,Alabama,1033,Colbert,30.825000000000003,2018,2022
1,Alabama,1035,Conecuh,37.725,2018,2022
1,Alabama,1037,Coosa,32.825,2018,2022
1,Alabama,1039,Covington,31.725,2018,2022
1,Alabama,1041,Crenshaw,33.45,2018,2022
1,Alabama,1043,Cullman,30.85,2018,2022
1,Alabama,1045,Dale,31.75,2018,2022
1,Alabama,1047,Dallas,38.375,2018,2022
1,Alabama,1049,DeKalb,35.15,2018,2022
1,Alabama,1051,Elmore,28.9,2018,2022
1,Alabama,1053,Escambia,36.4,2018,2022
1,Alabama,1055,Etowah,31.65,2018,2022
1,Alabama,1057,Fayette,33.65,2018,2022
1,Alabama,1059,Franklin,34.5,2018,2022
1,Alabama,1061,Geneva,34.625,2018,2022
1,Alabama,1063,Greene,42.9,2018,2022
1,Alabama,1065,Hale,37.975,2018,2022
1,Alabama,1067,Henry,31.85,2018,2022
1,Alabama,1069,Houston,33.275,2018,2022
1,Alabama,1071,Jackson,32.7,2018,2022
1,Alabama,1073,Jefferson,28.05,2018,2022
1,Alabama,1075,Lamar,32.875,2018,2022
1,Alabama,1077,Lauderdale,28.625,2018,2022
1,Alabama,1079,Lawrence,31.95,2018,2022
1,Alabama,1081,Lee,27.525,2018,2022
1,Alabama,1083,Limestone,28.55,2018,2022
1,Alabama,1085,Lowndes,39.725,2018,2022
1,Alabama,1087,Macon,36.725,2018,2022
1,Alabama,1089,Madison,25.25,2018,2022
1,Alabama,1091,Marengo,35.45,2018,2022
1,Alabama,1093,Marion,32.15,2018,2022
1,Alabama,1095,Marshall,32.85,2018,2022
1,Alabama,1097,Mobile,31.0,2018,2022
1,Alabama,1099,Monroe,37.1,2018,2022
1,Alabama,1101,Montgomery,31.9,2018,2022
1,Alabama,1103,Morgan,29.75,2018,2022
1,Alabama,1105,Perry,42.75,2018,2022
1,Alabama,1107,Pickens,35.775,2018,2022
1,Alabama,1109,Pike,32.375,2018,2022
1,Alabama,1111,Randolph,32.6,2018,2022
1,Alabama,1113,Russell,34.125,2018,2022
1,Alabama,1115,St. Clair,29.525,2018,2022
1,Alabama,1117,Shelby,22.7,2018,2022
1,Alabama,1119,Sumter,37.825,2018,2022
1,Alabama,1121,Talladega,35.0,2018,2022
1,Alabama,1123,Tallapoosa,32.9,2018,2022
1,Alabama,1125,Tuscaloosa,29.675,2018,2022
1,Alabama,1127,Walker,32.900000000000006,2018,2022
1,Alabama,1129,Washington,34.075,2018,2022
1,Alabama,1131,Wilcox,41.125,2018,2022
1,Alabama,1133,Winston,33.8,2018,2022
2,Alaska,2013,Aleutians East,27.825000000000003,2018,2022
2,Alaska,2016,Aleutians West,24.725,2018,2022
2,Alaska,2020,Anchorage,19.875,2018,2022
2,Alaska,2050,Bethel,33.325,2018,2022
2,Alaska,2060,Bristol Bay,20.975,2018,2022
2,Alaska,2063,Chugach,18.55,2018,2022
2,Alaska,2066,Copper River,21.8,2018,2022
2,Alaska,2068,Denali,19.75,2018,2022
2,Alaska,2070,Dillingham,27.75,2018,2022
2,Alaska,2090,Fairbanks North Star,21.175,2018,2022
2,Alaska,2100,Haines,20.275,2018,2022
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,22.9,2018,2022
2,Alaska,2110,Juneau,17.05,2018,2022
2,Alaska,2122,Kenai Peninsula,21.45,2018,2022
2,Alaska,2130,Ketchikan Gateway,21.425,2018,2022
2,Alaska,2150,Kodiak Island,22.0,2018,2022
2,Alaska,2164,Lake and Peninsula,26.65,2018,2022
2,Alaska,2170,Matanuska-Susitna,22.0,2018,2022
2,Alaska,2180,Nome,28.775,2018,2022
2,Alaska,2185,North Slope,24.65,2018,2022
2,Alaska,2188,Northwest Arctic,30.15,2018,2022
2,Alaska,2195,PETERSBURG CENSUS AREA,20.575,2018,2022
2,Alaska,2198,PRINCE OF WALES-HYDER CENSUS AREA,25.075000000000003,2018,2022
2,Alaska,2220,Sitka,19.075,2018,2022
2,Alaska,2230,SKAGWAY MUNICIPALITY,19.6,2018,2022
2,Alaska,2240,Southeast Fairbanks,22.175,2018,2022
2,Alaska,2261,Valdez-Cordova,20.549999999999997,2018,2022
2,Alaska,2270,Wade Hampton,39.475,2018,2022
2,Alaska,2275,WRANGELL CITY AND BURROUGH,22.6,2018,2022
2,Alaska,2282,Yakutat,23.45,2018,2022
2,Alaska,2290,Yukon-Koyukuk,28.45,2018,2022
4,Arizona,4001,Apache,27.875,2018,2022
4,Arizona,4003,Cochise,25.25,2018,2022
4,Arizona,4005,Coconino,19.15,2018,2022
4,Arizona,4007,Gila,26.35,2018,2022
4,Arizona,4009,Graham,26.225,2018,2022
4,Arizona,4011,Greenlee,24.325,2018,2022
4,Arizona,4012,La Paz,29.8,2018,2022
4,Arizona,4013,Maricopa,22.4,2018,2022
4,Arizona,4015,Mohave,28.3,2018,2022
4,Arizona,4017,Navajo,26.85,2018,2022
4,Arizona,4019,Pima,22.875,2018,2022
4,Arizona,4021,Pinal,26.7,2018,2022
4,Arizona,4023,Santa Cruz,30.35,2018,2022
4,Arizona,4025,Yavapai,21.35,2018,2022
4,Arizona,4027,Yuma,29.125,2018,2022
5,Arkansas,5001,Arkansas,33.55,2018,2022
5,Arkansas,5003,Ashley,36.8,2018,2022
5,Arkansas,5005,Baxter,28.174999999999997,2018,2022
5,Arkansas,5007,Benton,25.45,2018,2022
5,Arkansas,5009,Boone,30.825,2018,2022
5,Arkansas,5011,Bradley,35.725,2018,2022
5,Arkansas,5013,Calhoun,32.425,2018,2022
5,Arkansas,5015,Carroll,30.975,2018,2022
5,Arkansas,5017,Chicot,39.175,2018,2022
5,Arkansas,5019,Clark,31.625,2018,2022
5,Arkansas,5021,Clay,33.45,2018,2022
5,Arkansas,5023,Cleburne,31.175,2018,2022
5,Arkansas,5025,Cleveland,32.875,2018,2022
5,Arkansas,5027,Columbia,34.85,2018,2022
5,Arkansas,5029,Conway,32.05,2018,2022
5,Arkansas,5031,Craighead,30.775,2018,2022
5,Arkansas,5033,Crawford,31.825,2018,2022
5,Arkansas,5035,Crittenden,36.125,2018,2022
5,Arkansas,5037,Cross,34.425,2018,2022
5,Arkansas,5039,Dallas,35.025,2018,2022
5,Arkansas,5041,Desha,39.8,2018,2022
5,Arkansas,5043,Drew,33.625,2018,2022
5,Arkansas,5045,Faulkner,28.450000000000003,2018,2022
5,Arkansas,5047,Franklin,34.425,2018,2022
5,Arkansas,5049,Fulton,34.1,2018,2022
5,Arkansas,5051,Garland,29.5,2018,2022
5,Arkansas,5053,Grant,28.975,2018,2022
5,Arkansas,5055,Greene,31.825,2018,2022
5,Arkansas,5057,Hempstead,36.075,2018,2022
5,Arkansas,5059,Hot Spring,31.075,2018,2022
5,Arkansas,5061,Howard,35.425,2018,2022
5,Arkansas,5063,Independence,31.1,2018,2022
5,Arkansas,5065,Izard,31.35,2018,2022
5,Arkansas,5067,Jackson,36.35,2018,2022
5,Arkansas,5069,Jefferson,35.400000000000006,2018,2022
5,Arkansas,5071,Johnson,36.15,2018,2022
5,Arkansas,5073,Lafayette,37.55,2018,2022
5,Arkansas,5075,Lawrence,32.0,2018,2022
5,Arkansas,5077,Lee,39.3,2018,2022
5,Arkansas,5079,Lincoln,35.7,2018,2022
5,Arkansas,5081,Little River,32.375,2018,2022
5,Arkansas,5083,Logan,33.125,2018,2022
5,Arkansas,5085,Lonoke,29.05,2018,2022
5,Arkansas,5087,Madison,33.325,2018,2022
5,Arkansas,5089,Marion,30.9,2018,2022
5,Arkansas,5091,Miller,32.45,2018,2022
5,Arkansas,5093,Mississippi,36.75,2018,2022
5,Arkansas,5095,Monroe,38.625,2018,2022
5,Arkansas,5097,Montgomery,32.8,2018,2022
5,Arkansas,5099,Nevada,34.3,2018,2022
5,Arkansas,5101,Newton,29.875,2018,2022
5,Arkansas,5103,Ouachita,36.75,2018,2022
5,Arkansas,5105,Perry,31.525,2018,2022
5,Arkansas,5107,Phillips,39.425,2018,2022
5,Arkansas,5109,Pike,31.875,2018,2022
5,Arkansas,5111,Poinsett,35.2,2018,2022
5,Arkansas,5113,Polk,32.925,2018,2022
5,Arkansas,5115,Pope,31.025000000000002,2018,2022
5,Arkansas,5117,Prairie,31.575,2018,2022
5,Arkansas,5119,Pulaski,27.525,2018,2022
5,Arkansas,5121,Randolph,34.15,2018,2022
5,Arkansas,5123,St. Francis,38.975,2018,2022
5,Arkansas,5125,Saline,26.825,2018,2022
5,Arkansas,5127,Scott,35.35,2018,2022
5,Arkansas,5129,Searcy,34.6,2018,2022
5,Arkansas,5131,Sebastian,32.125,2018,2022
5,Arkansas,5133,Sevier,36.4,2018,2022
