StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,36.75,2018,2022
1,Alabama,1003,Baldwin,32.2,2018,2022
1,Alabama,1005,Barbour,42.75,2018,2022
1,Alabama,1007,Bibb,39.4,2018,2022
1,Alabama,1009,Blount,35.7,2018,2022
1,Alabama,1011,Bullock,46.65,2018,2022
1,Alabama,1013,Butler,42.125,2018,2022
1,Alabama,1015,Calhoun,38.3,2018,2022
1,Alabama,1017,Chambers,40.925,2018,2022
1,Alabama,1019,Cherokee,38.025,2018,2022
1,Alabama,1021,Chilton,39.775,2018,2022
1,Alabama,1023,Choctaw,42.125,2018,2022
1,Alabama,1025,Clarke,42.275,2018,2022
1,Alabama,1027,Clay,38.3,2018,2022
1,Alabama,1029,Cleburne,36.675,2018,2022
1,Alabama,1031,Coffee,38.375,2018,2022
1,Alabama,1033,Colbert,37.525,2018,2022
1,Alabama,1035,Conecuh,43.125,2018,2022
1,Alabama,1037,Coosa,40.075,2018,2022
1,Alabama,1039,Covington,39.8,2018,2022
1,Alabama,1041,Crenshaw,37.65,2018,2022
1,Alabama,1043,Cullman,35.5,2018,2022
1,Alabama,1045,Dale,39.95,2018,2022
1,Alabama,1047,Dallas,45.475,2018,2022
1,Alabama,1049,DeKalb,38.4,2018,2022
1,Alabama,1051,Elmore,36.7,2018,2022
1,Alabama,1053,Escambia,41.425,2018,2022
1,Alabama,1055,Etowah,37.95,2018,2022
1,Alabama,1057,Fayette,37.25,2018,2022
1,Alabama,1059,Franklin,37.825,2018,2022
1,Alabama,1061,Geneva,39.55,2018,2022
1,Alabama,1063,Greene,48.525,2018,2022
1,Alabama,1065,Hale,45.775,2018,2022
1,Alabama,1067,Henry,38.675,2018,2022
1,Alabama,1069,Houston,38.425,2018,2022
1,Alabama,1071,Jackson,38.225,2018,2022
1,Alabama,1073,Jefferson,36.75,2018,2022
1,Alabama,1075,Lamar,37.625,2018,2022
1,Alabama,1077,Lauderdale,36.3,2018,2022
1,Alabama,1079,Lawrence,37.725,2018,2022
1,Alabama,1081,Lee,35.775,2018,2022
1,Alabama,1083,Limestone,34.5,2018,2022
1,Alabama,1085,Lowndes,46.949999999999996,2018,2022
1,Alabama,1087,Macon,45.925,2018,2022
1,Alabama,1089,Madison,35.7,2018,2022
1,Alabama,1091,Marengo,44.75,2018,2022
1,Alabama,1093,Marion,36.975,2018,2022
1,Alabama,1095,Marshall,37.775,2018,2022
1,Alabama,1097,Mobile,38.35,2018,2022
1,Alabama,1099,Monroe,42.85,2018,2022
1,Alabama,1101,Montgomery,40.4,2018,2022
1,Alabama,1103,Morgan,38.625,2018,2022
1,Alabama,1105,Perry,48.975,2018,2022
1,Alabama,1107,Pickens,42.3,2018,2022
1,Alabama,1109,Pike,39.325,2018,2022
1,Alabama,1111,Randolph,38.4,2018,2022
1,Alabama,1113,Russell,40.6,2018,2022
1,Alabama,1115,St. Clair,37.525,2018,2022
1,Alabama,1117,Shelby,32.224999999999994,2018,2022
1,Alabama,1119,Sumter,45.5,2018,2022
1,Alabama,1121,Talladega,39.9,2018,2022
1,Alabama,1123,Tallapoosa,38.75,2018,2022
1,Alabama,1125,Tuscaloosa,39.275,2018,2022
1,Alabama,1127,Walker,36.525,2018,2022
1,Alabama,1129,Washington,39.85,2018,2022
1,Alabama,1131,Wilcox,47.75,2018,2022
1,Alabama,1133,Winston,38.325,2018,2022
2,Alaska,2013,Aleutians East,29.975,2018,2022
2,Alaska,2016,Aleutians West,29.275,2018,2022
2,Alaska,2020,Anchorage,29.975,2018,2022
2,Alaska,2050,Bethel,39.125,2018,2022
2,Alaska,2060,Bristol Bay,34.325,2018,2022
2,Alaska,2063,Chugach,31.1,2018,2022
2,Alaska,2066,Copper River,34.45,2018,2022
2,Alaska,2068,Denali,28.225,2018,2022
2,Alaska,2070,Dillingham,37.6,2018,2022
2,Alaska,2090,Fairbanks North Star,31.575,2018,2022
2,Alaska,2100,Haines,30.299999999999997,2018,2022
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,35.525,2018,2022
2,Alaska,2110,Juneau,27.55,2018,2022
2,Alaska,2122,Kenai Peninsula,30.65,2018,2022
2,Alaska,2130,Ketchikan Gateway,33.375,2018,2022
2,Alaska,2150,Kodiak Island,28.675,2018,2022
2,Alaska,2164,Lake and Peninsula,37.15,2018,2022
2,Alaska,2170,Matanuska-Susitna,32.825,2018,2022
2,Alaska,2180,Nome,38.85,2018,2022
2,Alaska,2185,North Slope,35.575,2018,2022
2,Alaska,2188,Northwest Arctic,40.5,2018,2022
2,Alaska,2195,PETERSBURG CENSUS AREA,29.35,2018,2022
2,Alaska,2198,PRINCE OF WALES-HYDER CENSUS AREA,35.625,2018,2022
2,Alaska,2220,Sitka,29.525,2018,2022
2,Alaska,2230,SKAGWAY MUNICIPALITY,30.5,2018,2022
2,Alaska,2240,Southeast Fairbanks,32.65,2018,2022
2,Alaska,2261,Valdez-Cordova,30.9,2018,2022
2,Alaska,2270,Wade Hampton,45.3,2018,2022
2,Alaska,2275,WRANGELL CITY AND BURROUGH,31.725,2018,2022
2,Alaska,2282,Yakutat,33.925,2018,2022
2,Alaska,2290,Yukon-Koyukuk,36.5,2018,2022
4,Arizona,4001,Apache,36.475,2018,2022
4,Arizona,4003,Cochise,33.025,2018,2022
4,Arizona,4005,Coconino,27.1,2018,2022
4,Arizona,4007,Gila,33.15,2018,2022
4,Arizona,4009,Graham,35.225,2018,2022
4,Arizona,4011,Greenlee,33.1,2018,2022
4,Arizona,4012,La Paz,36.224999999999994,2018,2022
4,Arizona,4013,Maricopa,30.625,2018,2022
4,Arizona,4015,Mohave,33.175,2018,2022
4,Arizona,4017,Navajo,35.775,2018,2022
4,Arizona,4019,Pima,30.675,2018,2022
4,Arizona,4021,Pinal,36.7,2018,2022
4,Arizona,4023,Santa Cruz,35.975,2018,2022
4,Arizona,4025,Yavapai,27.65,2018,2022
4,Arizona,4027,Yuma,39.55,2018,2022
5,Arkansas,5001,Arkansas,37.8,2018,2022
5,Arkansas,5003,Ashley,39.625,2018,2022
5,Arkansas,5005,Baxter,33.4,2018,2022
5,Arkansas,5007,Benton,31.625,2018,2022
5,Arkansas,5009,Boone,35.275,2018,2022
5,Arkansas,5011,Bradley,40.05,2018,2022
5,Arkansas,5013,Calhoun,38.974999999999994,2018,2022
5,Arkansas,5015,Carroll,35.2,2018,2022
5,Arkansas,5017,Chicot,45.325,2018,2022
5,Arkansas,5019,Clark,39.4,2018,2022
5,Arkansas,5021,Clay,37.55,2018,2022
5,Arkansas,5023,Cleburne,35.5,2018,2022
5,Arkansas,5025,Cleveland,38.65,2018,2022
5,Arkansas,5027,Columbia,41.8,2018,2022
5,Arkansas,5029,Conway,37.925,2018,2022
5,Arkansas,5031,Craighead,40.275,2018,2022
5,Arkansas,5033,Crawford,37.925,2018,2022
5,Arkansas,5035,Crittenden,42.8,2018,2022
5,Arkansas,5037,Cross,40.375,2018,2022
5,Arkansas,5039,Dallas,40.475,2018,2022
5,Arkansas,5041,Desha,44.025000000000006,2018,2022
5,Arkansas,5043,Drew,39.175,2018,2022
5,Arkansas,5045,Faulkner,36.025,2018,2022
5,Arkansas,5047,Franklin,37.625,2018,2022
5,Arkansas,5049,Fulton,38.025,2018,2022
5,Arkansas,5051,Garland,33.825,2018,2022
5,Arkansas,5053,Grant,36.05,2018,2022
5,Arkansas,5055,Greene,37.05,2018,2022
5,Arkansas,5057,Hempstead,41.275,2018,2022
5,Arkansas,5059,Hot Spring,35.575,2018,2022
5,Arkansas,5061,Howard,41.025,2018,2022
5,Arkansas,5063,Independence,35.7,2018,2022
5,Arkansas,5065,Izard,36.225,2018,2022
5,Arkansas,5067,Jackson,39.025,2018,2022
5,Arkansas,5069,Jefferson,42.9,2018,2022
5,Arkansas,5071,Johnson,38.0,2018,2022
5,Arkansas,5073,Lafayette,40.849999999999994,2018,2022
5,Arkansas,5075,Lawrence,38.25,2018,2022
5,Arkansas,5077,Lee,44.4,2018,2022
5,Arkansas,5079,Lincoln,41.0,2018,2022
5,Arkansas,5081,Little River,38.15,2018,2022
5,Arkansas,5083,Logan,37.825,2018,2022
5,Arkansas,5085,Lonoke,35.75,2018,2022
5,Arkansas,5087,Madison,36.2,2018,2022
5,Arkansas,5089,Marion,35.575,2018,2022
5,Arkansas,5091,Miller,38.475,2018,2022
5,Arkansas,5093,Mississippi,41.5,2018,2022
5,Arkansas,5095,Monroe,42.275,2018,2022
5,Arkansas,5097,Montgomery,36.425,2018,2022
5,Arkansas,5099,Nevada,40.6,2018,2022
5,Arkansas,5101,Newton,36.525,2018,2022
5,Arkansas,5103,Ouachita,40.175,2018,2022
5,Arkansas,5105,Perry,36.675,2018,2022
5,Arkansas,5107,Phillips,45.2,2018,2022
5,Arkansas,5109,Pike,36.225,2018,2022
5,Arkansas,5111,Poinsett,40.925,2018,2022
5,Arkansas,5113,Polk,35.525,2018,2022
5,Arkansas,5115,Pope,37.75,2018,2022
5,Arkansas,5117,Prairie,36.25,2018,2022
5,Arkansas,5119,Pulaski,36.175,2018,2022
5,Arkansas,5121,Randolph,38.15,2018,2022
5,Arkansas,5123,St. Francis,46.25,2018,2022
5,Arkansas,5125,Saline,34.825,2018,2022
5,Arkansas,5127,Scott,37.65,2018,2022
5,Arkansas,5129,Searcy,37.525,2018,2022
5,Arkansas,5131,Sebastian,36.45,2018,2022
5,Arkansas,5133,Sevier,39.325,2018,2022
5,Arkansas,5135,Sharp,39.55,2018,2022
5,Arkansas,5137,Stone,39.15,2018,2022
5,Arkansas,5139,Union,38.925,2018,2022
5,Arkansas,5141,Van Buren,38.375,2018,2022
5,Arkansas,5143,Washington,34.175,2018,2022
5,Arkansas,5145,White,37.375,2018,2022
5,Arkansas,5147,Woodruff,39.5,2018,2022
5,Arkansas,5149,Yell,38.05,2018,2022
6,California,6001,Alameda,23.95,2018,2022
6,California,6003,Alpine,29.475,2018,2022
6,California,6005,Amador,29.475,2018,2022
6,California,6007,Butte,31.525,2018,2022
6,California,6009,Calaveras,29.2,2018,2022
6,California,6011,Colusa,32.724999999999994,2018,2022
6,California,6013,Contra Costa,24.775,2018,2022
6,California,6015,Del Norte,32.675,2018,2022
6,California,6017,El Dorado,27.125,2018,2022
6,California,6019,Fresno,35.75,2018,2022
6,California,6021,Glenn,32.175,2018,2022
6,California,6023,Humboldt,29.8,2018,2022
6,California,6025,Imperial,36.775,2018,2022
6,California,6027,Inyo,28.65,2018,2022
6,California,6029,Kern,35.25,2018,2022
6,California,6031,Kings,35.025,2018,2022
6,California,6033,Lake,31.975,2018,2022
6,California,6035,Lassen,30.85,2018,2022
6,California,6037,Los Angeles,27.925,2018,2022
6,California,6039,Madera,34.4,2018,2022
6,California,6041,Marin,22.425,2018,2022
6,California,6043,Mariposa,28.75,2018,2022
6,California,6045,Mendocino,30.525,2018,2022
6,California,6047,Merced,35.65,2018,2022
6,California,6049,Modoc,31.65,2018,2022
6,California,6051,Mono,28.9,2018,2022
6,California,6053,Monterey,29.925,2018,2022
6,California,6055,Napa,27.2,2018,2022
6,California,6057,Nevada,25.675,2018,2022
6,California,6059,Orange,23.6,2018,2022
6,California,6061,Placer,25.125,2018,2022
6,California,6063,Plumas,28.55,2018,2022
6,California,6065,Riverside,33.325,2018,2022
6,California,6067,Sacramento,29.6,2018,2022
6,California,6069,San Benito,30.3,2018,2022
6,California,6071,San Bernardino,36.35,2018,2022
6,California,6073,San Diego,25.2,2018,2022
6,California,6075,San Francisco,17.725,2018,2022
6,California,6077,San Joaquin,32.05,2018,2022
6,California,6079,San Luis Obispo,28.25,2018,2022
6,California,6081,San Mateo,21.0,2018,2022
6,California,6083,Santa Barbara,28.575000000000003,2018,2022
6,California,6085,Santa Clara,19.825,2018,2022
6,California,6087,Santa Cruz,25.925,2018,2022
6,California,6089,Shasta,29.1,2018,2022
6,California,6091,Sierra,29.35,2018,2022
6,California,6093,Siskiyou,31.025,2018,2022
6,California,6095,Solano,29.45,2018,2022
6,California,6097,Sonoma,26.55,2018,2022
6,California,6099,Stanislaus,32.95,2018,2022
6,California,6101,Sutter,29.6,2018,2022
6,California,6103,Tehama,34.475,2018,2022
6,California,6105,Trinity,31.35,2018,2022
6,California,6107,Tulare,35.65,2018,2022
6,California,6109,Tuolumne,28.275,2018,2022
6,California,6111,Ventura,26.85,2018,2022
6,California,6113,Yolo,28.725,2018,2022
6,California,6115,Yuba,31.875,2018,2022
8,Colorado,8001,Adams,30.65,2018,2022
8,Colorado,8003,Alamosa,30.375,2018,2022
8,Colorado,8005,Arapahoe,24.45,2018,2022
8,Colorado,8007,Archuleta,23.925,2018,2022
8,Colorado,8009,Baca,28.9,2018,2022
8,Colorado,8011,Bent,32.05,2018,2022
8,Colorado,8013,Boulder,17.65,2018,2022
8,Colorado,8014,Broomfield,23.35,2018,2022
8,Colorado,8015,Chaffee,24.125,2018,2022
8,Colorado,8017,Cheyenne,26.25,2018,2022
8,Colorado,8019,Clear Creek,22.75,2018,2022
8,Colorado,8021,Conejos,30.5,2018,2022
8,Colorado,8023,Costilla,31.225,2018,2022
8,Colorado,8025,Crowley,31.475,2018,2022
8,Colorado,8027,Custer,24.075,2018,2022
8,Colorado,8029,Delta,27.15,2018,2022
8,Colorado,8031,Denver,22.1,2018,2022
8,Colorado,8033,Dolores,25.525,2018,2022
8,Colorado,8035,Douglas,20.775,2018,2022
8,Colorado,8037,Eagle,21.8,2018,2022
