StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
10,Alabama,1001,Autauga County,82.02000000000001,2019,2023
10,Alabama,1003,Baldwin County,63.6,2019,2023
10,Alabama,1005,Barbour County,18.06,2019,2023
10,Alabama,1007,Bibb County,29.160000000000004,2019,2023
10,Alabama,1009,Blount County,20.740000000000002,2019,2023
10,Alabama,1011,Bullock County,20.54,2019,2023
10,Alabama,1013,Butler County,31.439999999999998,2019,2023
10,Alabama,1015,Calhoun County,92.34,2019,2023
10,Alabama,1017,Chambers County,59.6,2019,2023
10,Alabama,1019,Cherokee County,42.959999999999994,2019,2023
10,Alabama,1021,Chilton County,35.96,2019,2023
10,Alabama,1023,Choctaw County,33.04,2019,2023
10,Alabama,1025,Clarke County,59.220000000000006,2019,2023
10,Alabama,1027,Clay County,73.3,2019,2023
10,Alabama,1029,Cleburne County,7.0200000000000005,2019,2023
10,Alabama,1031,Coffee County,85.78,2019,2023
10,Alabama,1033,Colbert County,140.42000000000002,2019,2023
10,Alabama,1035,Conecuh County,122.34,2019,2023
10,Alabama,1037,Coosa County,0.0,2019,2023
10,Alabama,1039,Covington County,76.4,2019,2023
10,Alabama,1041,Crenshaw County,32.56,2019,2023
10,Alabama,1043,Cullman County,76.36,2019,2023
10,Alabama,1045,Dale County,32.8,2019,2023
10,Alabama,1047,Dallas County,57.64,2019,2023
10,Alabama,1049,DeKalb County,61.3,2019,2023
10,Alabama,1051,Elmore County,22.380000000000003,2019,2023
10,Alabama,1053,Escambia County,70.58,2019,2023
10,Alabama,1055,Etowah County,92.94,2019,2023
10,Alabama,1057,Fayette County,40.5,2019,2023
10,Alabama,1059,Franklin County,78.1,2019,2023
10,Alabama,1061,Geneva County,17.08,2019,2023
10,Alabama,1063,Greene County,17.64,2019,2023
10,Alabama,1065,Hale County,19.72,2019,2023
10,Alabama,1067,Henry County,43.82,2019,2023
10,Alabama,1069,Houston County,136.88,2019,2023
10,Alabama,1071,Jackson County,68.66,2019,2023
10,Alabama,1073,Jefferson County,134.4,2019,2023
10,Alabama,1075,Lamar County,11.42,2019,2023
10,Alabama,1077,Lauderdale County,58.879999999999995,2019,2023
10,Alabama,1079,Lawrence County,30.6,2019,2023
10,Alabama,1081,Lee County,31.98,2019,2023
10,Alabama,1083,Limestone County,28.46,2019,2023
10,Alabama,1085,Lowndes County,5.119999999999999,2019,2023
10,Alabama,1087,Macon County,11.059999999999999,2019,2023
10,Alabama,1089,Madison County,86.14,2019,2023
10,Alabama,1091,Marengo County,59.6,2019,2023
10,Alabama,1093,Marion County,100.24,2019,2023
10,Alabama,1095,Marshall County,88.2,2019,2023
10,Alabama,1097,Mobile County,96.24,2019,2023
10,Alabama,1099,Monroe County,54.660000000000004,2019,2023
11,Alabama,1101,Montgomery County,87.24,2019,2023
11,Alabama,1103,Morgan County,64.03999999999999,2019,2023
11,Alabama,1105,Perry County,17.419999999999998,2019,2023
11,Alabama,1107,Pickens County,42.78,2019,2023
11,Alabama,1109,Pike County,35.58,2019,2023
11,Alabama,1111,Randolph County,50.82,2019,2023
11,Alabama,1113,Russell County,34.1,2019,2023
11,Alabama,1115,St. Clair County,63.82000000000001,2019,2023
11,Alabama,1117,Shelby County,67.88,2019,2023
11,Alabama,1119,Sumter County,29.5,2019,2023
11,Alabama,1121,Talladega County,37.739999999999995,2019,2023
11,Alabama,1123,Tallapoosa County,43.760000000000005,2019,2023
11,Alabama,1125,Tuscaloosa County,78.38,2019,2023
11,Alabama,1127,Walker County,110.54,2019,2023
11,Alabama,1129,Washington County,25.860000000000003,2019,2023
11,Alabama,1131,Wilcox County,16.919999999999998,2019,2023
11,Alabama,1133,Winston County,65.47999999999999,2019,2023
20,Alaska,2013,Aleutians East Borough,5.0600000000000005,2019,2023
20,Alaska,2016,Aleutians West Census Area,3.44,2019,2023
20,Alaska,2020,Anchorage Municipality,45.92,2019,2023
20,Alaska,2050,Bethel Census Area,9.48,2019,2023
20,Alaska,2060,Bristol Bay Borough,4.3,2019,2023
20,Alaska,2063,Chugach Census Area,,2019,2023
20,Alaska,2066,Copper River Census Area,,2019,2023
20,Alaska,2068,Denali Borough,5.96,2019,2023
20,Alaska,2070,Dillingham Census Area,2.7,2019,2023
20,Alaska,2090,Fairbanks North Star Borough,28.3,2019,2023
21,Alaska,2100,Haines Borough,0.72,2019,2023
21,Alaska,2105,Hoonah-Angoon Census Area,2.68,2019,2023
21,Alaska,2110,Juneau City and Borough,29.380000000000003,2019,2023
21,Alaska,2122,Kenai Peninsula Borough,47.019999999999996,2019,2023
21,Alaska,2130,Ketchikan Gateway Borough,43.519999999999996,2019,2023
21,Alaska,2150,Kodiak Island Borough,17.34,2019,2023
21,Alaska,2158,Kusilvak Census Area,0.45,2019,2023
21,Alaska,2164,Lake and Peninsula Borough,0.3,2019,2023
