StateFIPS,State,CountyFIPS,County,Value,Start Year,End Year
1,Alabama,1001,Autauga,18.675,2018,2022
1,Alabama,1003,Baldwin,17.575,2018,2022
1,Alabama,1005,Barbour,26.05,2018,2022
1,Alabama,1007,Bibb,23.275,2018,2022
1,Alabama,1009,Blount,21.65,2018,2022
1,Alabama,1011,Bullock,25.325,2018,2022
1,Alabama,1013,Butler,22.700000000000003,2018,2022
1,Alabama,1015,Calhoun,21.4,2018,2022
1,Alabama,1017,Chambers,22.2,2018,2022
1,Alabama,1019,Cherokee,23.3,2018,2022
1,Alabama,1021,Chilton,22.775,2018,2022
1,Alabama,1023,Choctaw,23.05,2018,2022
1,Alabama,1025,Clarke,23.525,2018,2022
1,Alabama,1027,Clay,23.825,2018,2022
1,Alabama,1029,Cleburne,22.675,2018,2022
1,Alabama,1031,Coffee,20.05,2018,2022
1,Alabama,1033,Colbert,20.9,2018,2022
1,Alabama,1035,Conecuh,24.325,2018,2022
1,Alabama,1037,Coosa,22.475,2018,2022
1,Alabama,1039,Covington,22.825,2018,2022
1,Alabama,1041,Crenshaw,22.55,2018,2022
1,Alabama,1043,Cullman,21.45,2018,2022
1,Alabama,1045,Dale,21.075,2018,2022
1,Alabama,1047,Dallas,23.6,2018,2022
1,Alabama,1049,DeKalb,23.825,2018,2022
1,Alabama,1051,Elmore,18.775,2018,2022
1,Alabama,1053,Escambia,24.725,2018,2022
1,Alabama,1055,Etowah,21.65,2018,2022
1,Alabama,1057,Fayette,23.8,2018,2022
1,Alabama,1059,Franklin,22.475,2018,2022
1,Alabama,1061,Geneva,24.125,2018,2022
1,Alabama,1063,Greene,27.075,2018,2022
1,Alabama,1065,Hale,24.1,2018,2022
1,Alabama,1067,Henry,21.525,2018,2022
1,Alabama,1069,Houston,21.05,2018,2022
1,Alabama,1071,Jackson,22.95,2018,2022
1,Alabama,1073,Jefferson,17.15,2018,2022
1,Alabama,1075,Lamar,23.325,2018,2022
1,Alabama,1077,Lauderdale,19.5,2018,2022
1,Alabama,1079,Lawrence,23.6,2018,2022
1,Alabama,1081,Lee,17.575,2018,2022
1,Alabama,1083,Limestone,19.075,2018,2022
1,Alabama,1085,Lowndes,24.8,2018,2022
1,Alabama,1087,Macon,21.725,2018,2022
1,Alabama,1089,Madison,15.675,2018,2022
1,Alabama,1091,Marengo,22.2,2018,2022
1,Alabama,1093,Marion,23.35,2018,2022
1,Alabama,1095,Marshall,21.475,2018,2022
1,Alabama,1097,Mobile,20.375,2018,2022
1,Alabama,1099,Monroe,24.35,2018,2022
1,Alabama,1101,Montgomery,18.7,2018,2022
1,Alabama,1103,Morgan,20.25,2018,2022
1,Alabama,1105,Perry,26.625,2018,2022
1,Alabama,1107,Pickens,23.1,2018,2022
1,Alabama,1109,Pike,20.45,2018,2022
1,Alabama,1111,Randolph,21.950000000000003,2018,2022
1,Alabama,1113,Russell,21.425,2018,2022
1,Alabama,1115,St. Clair,20.8,2018,2022
1,Alabama,1117,Shelby,14.175,2018,2022
1,Alabama,1119,Sumter,23.0,2018,2022
1,Alabama,1121,Talladega,23.175,2018,2022
1,Alabama,1123,Tallapoosa,22.375,2018,2022
1,Alabama,1125,Tuscaloosa,18.95,2018,2022
1,Alabama,1127,Walker,23.7,2018,2022
1,Alabama,1129,Washington,23.6,2018,2022
1,Alabama,1131,Wilcox,25.975,2018,2022
1,Alabama,1133,Winston,24.45,2018,2022
2,Alaska,2013,Aleutians East,19.225,2018,2022
2,Alaska,2016,Aleutians West,16.775,2018,2022
2,Alaska,2020,Anchorage,15.7,2018,2022
2,Alaska,2050,Bethel,34.75,2018,2022
2,Alaska,2060,Bristol Bay,19.95,2018,2022
2,Alaska,2063,Chugach,15.15,2018,2022
2,Alaska,2066,Copper River,18.799999999999997,2018,2022
2,Alaska,2068,Denali,17.45,2018,2022
2,Alaska,2070,Dillingham,29.575,2018,2022
2,Alaska,2090,Fairbanks North Star,16.725,2018,2022
2,Alaska,2100,Haines,18.4,2018,2022
2,Alaska,2105,HOONAH-ANGOON CENSUS AREA,22.375,2018,2022
2,Alaska,2110,Juneau,15.05,2018,2022
2,Alaska,2122,Kenai Peninsula,19.549999999999997,2018,2022
2,Alaska,2130,Ketchikan Gateway,18.7,2018,2022
2,Alaska,2150,Kodiak Island,16.925,2018,2022
2,Alaska,2164,Lake and Peninsula,27.225,2018,2022
2,Alaska,2170,Matanuska-Susitna,19.475,2018,2022
2,Alaska,2180,Nome,31.4,2018,2022
2,Alaska,2185,North Slope,24.25,2018,2022
2,Alaska,2188,Northwest Arctic,32.75,2018,2022
2,Alaska,2195,PETERSBURG CENSUS AREA,18.275,2018,2022
2,Alaska,2198,PRINCE OF WALES-HYDER CENSUS AREA,25.5,2018,2022
2,Alaska,2220,Sitka,16.675,2018,2022
2,Alaska,2230,SKAGWAY MUNICIPALITY,16.925,2018,2022
2,Alaska,2240,Southeast Fairbanks,20.325,2018,2022
2,Alaska,2261,Valdez-Cordova,18.15,2018,2022
2,Alaska,2270,Wade Hampton,42.725,2018,2022
2,Alaska,2275,WRANGELL CITY AND BURROUGH,21.725,2018,2022
2,Alaska,2282,Yakutat,22.375,2018,2022
2,Alaska,2290,Yukon-Koyukuk,30.65,2018,2022
4,Arizona,4001,Apache,25.6,2018,2022
4,Arizona,4003,Cochise,17.225,2018,2022
4,Arizona,4005,Coconino,17.3,2018,2022
4,Arizona,4007,Gila,21.575,2018,2022
4,Arizona,4009,Graham,19.025,2018,2022
4,Arizona,4011,Greenlee,15.85,2018,2022
4,Arizona,4012,La Paz,20.5,2018,2022
4,Arizona,4013,Maricopa,14.575,2018,2022
4,Arizona,4015,Mohave,21.6,2018,2022
4,Arizona,4017,Navajo,22.425,2018,2022
4,Arizona,4019,Pima,15.55,2018,2022
4,Arizona,4021,Pinal,18.049999999999997,2018,2022
4,Arizona,4023,Santa Cruz,15.0,2018,2022
4,Arizona,4025,Yavapai,17.275,2018,2022
4,Arizona,4027,Yuma,15.974999999999998,2018,2022
5,Arkansas,5001,Arkansas,23.05,2018,2022
5,Arkansas,5003,Ashley,25.15,2018,2022
5,Arkansas,5005,Baxter,22.8,2018,2022
5,Arkansas,5007,Benton,16.675,2018,2022
5,Arkansas,5009,Boone,22.65,2018,2022
5,Arkansas,5011,Bradley,23.200000000000003,2018,2022
5,Arkansas,5013,Calhoun,23.25,2018,2022
5,Arkansas,5015,Carroll,20.775,2018,2022
5,Arkansas,5017,Chicot,26.4,2018,2022
5,Arkansas,5019,Clark,20.75,2018,2022
5,Arkansas,5021,Clay,25.275,2018,2022
5,Arkansas,5023,Cleburne,23.475,2018,2022
5,Arkansas,5025,Cleveland,23.8,2018,2022
5,Arkansas,5027,Columbia,23.95,2018,2022
5,Arkansas,5029,Conway,23.65,2018,2022
5,Arkansas,5031,Craighead,21.075,2018,2022
5,Arkansas,5033,Crawford,22.875,2018,2022
5,Arkansas,5035,Crittenden,23.6,2018,2022
5,Arkansas,5037,Cross,24.55,2018,2022
5,Arkansas,5039,Dallas,23.3,2018,2022
5,Arkansas,5041,Desha,26.675,2018,2022
5,Arkansas,5043,Drew,22.675,2018,2022
5,Arkansas,5045,Faulkner,19.925,2018,2022
5,Arkansas,5047,Franklin,25.825,2018,2022
5,Arkansas,5049,Fulton,26.6,2018,2022
5,Arkansas,5051,Garland,21.175,2018,2022
5,Arkansas,5053,Grant,21.125,2018,2022
5,Arkansas,5055,Greene,23.575,2018,2022
5,Arkansas,5057,Hempstead,23.325,2018,2022
5,Arkansas,5059,Hot Spring,23.325,2018,2022
5,Arkansas,5061,Howard,23.0,2018,2022
5,Arkansas,5063,Independence,22.6,2018,2022
5,Arkansas,5065,Izard,24.275,2018,2022
5,Arkansas,5067,Jackson,26.475,2018,2022
5,Arkansas,5069,Jefferson,23.5,2018,2022
5,Arkansas,5071,Johnson,24.675,2018,2022
5,Arkansas,5073,Lafayette,26.05,2018,2022
5,Arkansas,5075,Lawrence,24.475,2018,2022
5,Arkansas,5077,Lee,27.575,2018,2022
5,Arkansas,5079,Lincoln,25.275,2018,2022
5,Arkansas,5081,Little River,22.4,2018,2022
5,Arkansas,5083,Logan,24.05,2018,2022
5,Arkansas,5085,Lonoke,20.875,2018,2022
5,Arkansas,5087,Madison,24.775,2018,2022
5,Arkansas,5089,Marion,24.075,2018,2022
5,Arkansas,5091,Miller,23.175,2018,2022
5,Arkansas,5093,Mississippi,25.425,2018,2022
5,Arkansas,5095,Monroe,26.375,2018,2022
5,Arkansas,5097,Montgomery,24.9,2018,2022
5,Arkansas,5099,Nevada,23.825,2018,2022
5,Arkansas,5101,Newton,22.675,2018,2022
5,Arkansas,5103,Ouachita,24.475,2018,2022
5,Arkansas,5105,Perry,23.175,2018,2022
5,Arkansas,5107,Phillips,25.975,2018,2022
5,Arkansas,5109,Pike,23.125,2018,2022
5,Arkansas,5111,Poinsett,26.200000000000003,2018,2022
5,Arkansas,5113,Polk,24.525,2018,2022
5,Arkansas,5115,Pope,21.925,2018,2022
5,Arkansas,5117,Prairie,22.924999999999997,2018,2022
5,Arkansas,5119,Pulaski,18.85,2018,2022
5,Arkansas,5121,Randolph,25.525000000000002,2018,2022
5,Arkansas,5123,St. Francis,26.075,2018,2022
5,Arkansas,5125,Saline,18.15,2018,2022
5,Arkansas,5127,Scott,25.45,2018,2022
5,Arkansas,5129,Searcy,26.65,2018,2022
5,Arkansas,5131,Sebastian,21.275,2018,2022
5,Arkansas,5133,Sevier,22.5,2018,2022
5,Arkansas,5135,Sharp,26.725,2018,2022
5,Arkansas,5137,Stone,26.275,2018,2022
5,Arkansas,5139,Union,21.55,2018,2022
5,Arkansas,5141,Van Buren,24.975,2018,2022
5,Arkansas,5143,Washington,19.1,2018,2022
5,Arkansas,5145,White,23.075,2018,2022
5,Arkansas,5147,Woodruff,25.375,2018,2022
5,Arkansas,5149,Yell,23.775,2018,2022
6,California,6001,Alameda,10.05,2018,2022
6,California,6003,Alpine,15.275,2018,2022
6,California,6005,Amador,14.45,2018,2022
6,California,6007,Butte,15.275,2018,2022
6,California,6009,Calaveras,14.975,2018,2022
6,California,6011,Colusa,14.425,2018,2022
6,California,6013,Contra Costa,10.2,2018,2022
6,California,6015,Del Norte,17.95,2018,2022
6,California,6017,El Dorado,12.225,2018,2022
6,California,6019,Fresno,14.525,2018,2022
6,California,6021,Glenn,15.95,2018,2022
6,California,6023,Humboldt,15.975000000000001,2018,2022
6,California,6025,Imperial,14.3,2018,2022
6,California,6027,Inyo,13.975,2018,2022
6,California,6029,Kern,15.75,2018,2022
6,California,6031,Kings,15.325,2018,2022
6,California,6033,Lake,17.0,2018,2022
6,California,6035,Lassen,17.275,2018,2022
