StateFIPS,State,Year,Value
1,Alabama,2011,3652
1,Alabama,2012,3605
1,Alabama,2013,3480
1,Alabama,2014,3635
1,Alabama,2015,3644
1,Alabama,2016,3778
1,Alabama,2017,3999
1,Alabama,2018,3647
1,Alabama,2019,3724
1,Alabama,2020,3677
2,Alaska,2011,2175
2,Alaska,2012,2054
2,Alaska,2013,2142
2,Alaska,2014,2229
2,Alaska,2015,2615
2,Alaska,2016,2596
2,Alaska,2017,2368
2,Alaska,2018,2439
2,Alaska,2019,2555
2,Alaska,2020,2491
4,Arizona,2011,4072
4,Arizona,2012,4072
4,Arizona,2013,4049
4,Arizona,2014,4058
4,Arizona,2015,4014
4,Arizona,2016,4253
4,Arizona,2017,4252
4,Arizona,2018,4132
4,Arizona,2019,4138
4,Arizona,2020,4268
5,Arkansas,2011,3429
5,Arkansas,2012,3540
5,Arkansas,2013,3381
5,Arkansas,2014,3384
5,Arkansas,2015,3558
5,Arkansas,2016,3790
5,Arkansas,2017,4090
5,Arkansas,2018,4448
5,Arkansas,2019,3564
5,Arkansas,2020,4129
6,California,2011,3659
6,California,2012,3710
6,California,2013,3795
6,California,2014,3759
6,California,2015,3979
6,California,2016,4582
6,California,2017,4220
6,California,2018,4147
6,California,2019,4246
6,California,2020,4251
8,Colorado,2011,3840
8,Colorado,2012,3921
8,Colorado,2013,3808
8,Colorado,2014,3852
8,Colorado,2015,4003
8,Colorado,2016,4494
8,Colorado,2017,4377
8,Colorado,2018,4104
8,Colorado,2019,4329
8,Colorado,2020,4193
9,Connecticut,2011,2849
9,Connecticut,2012,2904
9,Connecticut,2013,2824
9,Connecticut,2014,2831
9,Connecticut,2015,3035
9,Connecticut,2016,3742
9,Connecticut,2017,2970
9,Connecticut,2018,3112
9,Connecticut,2019,3145
9,Connecticut,2020,3098
10,Delaware,2011,3049
10,Delaware,2012,3060
10,Delaware,2013,3004
10,Delaware,2014,2994
10,Delaware,2015,3768
10,Delaware,2016,4096
10,Delaware,2017,5962
10,Delaware,2018,4054
10,Delaware,2019,3573
10,Delaware,2020,3439
11,District of Columbia,2011,2973
11,District of Columbia,2012,3112
11,District of Columbia,2013,2993
11,District of Columbia,2014,3031
11,District of Columbia,2015,3364
11,District of Columbia,2016,4752
11,District of Columbia,2017,3999
11,District of Columbia,2018,4335
11,District of Columbia,2019,4039
11,District of Columbia,2020,3543
12,Florida,2011,4008
12,Florida,2012,3885
12,Florida,2013,3826
12,Florida,2014,3852
12,Florida,2015,3889
12,Florida,2016,4019
12,Florida,2017,4003
