StateFIPS,State,Year,Value
1,Alabama,2011,0.58
1,Alabama,2014,0.35
1,Alabama,2017,0.18
1,Alabama,2018,0.18
1,Alabama,2019,0.14
2,Alaska,2011,0.28
2,Alaska,2014,0.32
2,Alaska,2017,0.14
2,Alaska,2018,0.14
2,Alaska,2019,0.02
4,Arizona,2011,0.46
4,Arizona,2014,0.26
4,Arizona,2017,0.07
4,Arizona,2018,0.06
4,Arizona,2019,0.06
5,Arkansas,2011,0.38
5,Arkansas,2014,0.26
5,Arkansas,2017,0.18
5,Arkansas,2018,0.19
5,Arkansas,2019,0.15
6,California,2011,0.49
6,California,2014,0.35
6,California,2017,0.15
6,California,2018,0.15
6,California,2019,0.1
8,Colorado,2011,0.58
8,Colorado,2014,0.37
8,Colorado,2017,0.1
8,Colorado,2018,0.11
8,Colorado,2019,0.1
9,Connecticut,2011,1.08
9,Connecticut,2014,0.47
9,Connecticut,2017,0.29
9,Connecticut,2018,0.28
9,Connecticut,2019,0.23
10,Delaware,2011,1.17
10,Delaware,2014,0.41
10,Delaware,2017,0.25
10,Delaware,2018,0.25
10,Delaware,2019,0.22
11,District of Columbia,2011,1.36
11,District of Columbia,2014,0.74
11,District of Columbia,2017,0.48
11,District of Columbia,2018,0.46
11,District of Columbia,2019,0.48
12,Florida,2011,0.46
12,Florida,2014,0.35
12,Florida,2017,0.17
12,Florida,2018,0.15
12,Florida,2019,0.13
13,Georgia,2011,0.41
13,Georgia,2014,0.32
13,Georgia,2017,0.19
13,Georgia,2018,0.17
13,Georgia,2019,0.15
15,Hawaii,2011,0.4
15,Hawaii,2014,0.27
15,Hawaii,2017,0.13
15,Hawaii,2018,0.02
15,Hawaii,2019,0.02
16,Idaho,2011,0.31
16,Idaho,2014,0.21
16,Idaho,2017,0.12
16,Idaho,2018,0.11
16,Idaho,2019,0.08
17,Illinois,2011,0.53
17,Illinois,2014,0.43
17,Illinois,2017,0.2
17,Illinois,2018,0.23
17,Illinois,2019,0.18
18,Indiana,2011,0.88
18,Indiana,2014,0.39
18,Indiana,2017,0.21
18,Indiana,2018,0.23
18,Indiana,2019,0.19
19,Iowa,2011,0.5
19,Iowa,2014,0.27
19,Iowa,2017,0.17
19,Iowa,2018,0.22
19,Iowa,2019,0.17
20,Kansas,2011,0.6
20,Kansas,2014,0.24
20,Kansas,2017,0.15
20,Kansas,2018,0.17
20,Kansas,2019,0.13
21,Kentucky,2011,0.42
21,Kentucky,2014,0.33
