StateFIPS,State,Year,Value
2,Alaska,2011,0.36
2,Alaska,2012,0.71
4,Arizona,2011,0.47
4,Arizona,2012,0.35
4,Arizona,2013,0.2
4,Arizona,2014,0.36
4,Arizona,2015,0.28
4,Arizona,2016,0.27
4,Arizona,2017,0.2
4,Arizona,2018,0.28
4,Arizona,2019,0.24
4,Arizona,2020,0.24
4,Arizona,2021,0.18
6,California,2011,0.41
6,California,2012,0.3
6,California,2013,0.29
6,California,2014,0.25
6,California,2015,0.22
6,California,2016,0.23
6,California,2017,0.33
6,California,2018,0.34
6,California,2019,0.53
6,California,2020,0.38
6,California,2021,0.38
8,Colorado,2011,0.54
8,Colorado,2012,0.64
8,Colorado,2013,0.61
8,Colorado,2014,0.77
8,Colorado,2015,0.79
8,Colorado,2016,0.66
8,Colorado,2017,0.61
8,Colorado,2018,0.61
8,Colorado,2019,0.7
8,Colorado,2020,0.79
8,Colorado,2021,0.62
9,Connecticut,2011,1.37
9,Connecticut,2012,0.73
9,Connecticut,2013,0.78
9,Connecticut,2014,0.48
9,Connecticut,2015,0.26
9,Connecticut,2016,0.19
9,Connecticut,2017,0.31
9,Connecticut,2018,0.19
9,Connecticut,2019,0.42
9,Connecticut,2020,0.61
9,Connecticut,2021,0.43
12,Florida,2011,0.47
12,Florida,2012,0.51
12,Florida,2013,0.54
12,Florida,2014,0.53
12,Florida,2015,0.5
12,Florida,2016,0.49
12,Florida,2017,0.65
12,Florida,2018,0.44
12,Florida,2019,0.39
12,Florida,2020,0.52
12,Florida,2021,0.44
19,Iowa,2011,0.98
19,Iowa,2012,1.01
19,Iowa,2013,1.23
19,Iowa,2014,0.79
19,Iowa,2015,1.35
19,Iowa,2016,0.78
19,Iowa,2017,1.11
19,Iowa,2018,0.5
19,Iowa,2019,0.55
19,Iowa,2020,0.4
19,Iowa,2021,0.31
20,Kansas,2011,0.85
20,Kansas,2012,0.55
20,Kansas,2013,0.94
20,Kansas,2014,0.48
20,Kansas,2015,0.83
20,Kansas,2016,1.04
20,Kansas,2017,1.17
20,Kansas,2018,1.12
20,Kansas,2019,0.85
20,Kansas,2020,0.66
20,Kansas,2021,0.9
21,Kentucky,2011,1.21
21,Kentucky,2012,0.6
21,Kentucky,2013,0.61
21,Kentucky,2014,0.61
21,Kentucky,2015,0.72
21,Kentucky,2016,0.51
21,Kentucky,2017,0.51
21,Kentucky,2018,0.85
21,Kentucky,2019,0.97
21,Kentucky,2020,0.62
21,Kentucky,2021,0.4
22,Louisiana,2011,0.24
