StateFIPS,State,Year,Value
1,Alabama,2011,0.73
1,Alabama,2014,0.32
1,Alabama,2017,0.11
1,Alabama,2018,0.1
1,Alabama,2019,0.1
2,Alaska,2011,0.14
2,Alaska,2014,0.29
2,Alaska,2017,0.0
2,Alaska,2018,0.0
2,Alaska,2019,0.0
4,Arizona,2011,0.52
4,Arizona,2014,0.41
4,Arizona,2017,0.05
4,Arizona,2018,0.04
4,Arizona,2019,0.04
5,Arkansas,2011,0.35
5,Arkansas,2014,0.25
5,Arkansas,2017,0.1
5,Arkansas,2018,0.09
5,Arkansas,2019,0.1
6,California,2011,0.52
6,California,2014,0.39
6,California,2017,0.09
6,California,2018,0.08
6,California,2019,0.07
8,Colorado,2011,0.41
8,Colorado,2014,0.33
8,Colorado,2017,0.03
8,Colorado,2018,0.03
8,Colorado,2019,0.03
9,Connecticut,2011,0.99
9,Connecticut,2014,0.3
9,Connecticut,2017,0.14
9,Connecticut,2018,0.13
9,Connecticut,2019,0.12
10,Delaware,2011,1.34
10,Delaware,2014,0.35
10,Delaware,2017,0.15
10,Delaware,2018,0.13
10,Delaware,2019,0.14
11,District of Columbia,2011,2.11
11,District of Columbia,2014,1.08
11,District of Columbia,2017,0.51
11,District of Columbia,2018,0.43
11,District of Columbia,2019,0.45
12,Florida,2011,0.6
12,Florida,2014,0.48
12,Florida,2017,0.15
12,Florida,2018,0.14
12,Florida,2019,0.14
13,Georgia,2011,0.48
13,Georgia,2014,0.32
13,Georgia,2017,0.12
13,Georgia,2018,0.11
13,Georgia,2019,0.12
15,Hawaii,2011,0.15
15,Hawaii,2014,0.11
15,Hawaii,2017,0.02
15,Hawaii,2018,0.01
15,Hawaii,2019,0.02
16,Idaho,2011,0.25
16,Idaho,2014,0.21
16,Idaho,2017,0.03
16,Idaho,2018,0.03
16,Idaho,2019,0.03
17,Illinois,2011,0.73
17,Illinois,2014,0.49
17,Illinois,2017,0.14
17,Illinois,2018,0.14
17,Illinois,2019,0.14
18,Indiana,2011,0.89
18,Indiana,2014,0.39
18,Indiana,2017,0.17
18,Indiana,2018,0.15
18,Indiana,2019,0.16
19,Iowa,2011,0.5
19,Iowa,2014,0.2
19,Iowa,2017,0.1
19,Iowa,2018,0.1
19,Iowa,2019,0.1
20,Kansas,2011,0.59
20,Kansas,2014,0.22
20,Kansas,2017,0.08
20,Kansas,2018,0.08
20,Kansas,2019,0.08
21,Kentucky,2011,0.41
21,Kentucky,2014,0.33
21,Kentucky,2017,0.12
21,Kentucky,2018,0.11
21,Kentucky,2019,0.11
22,Louisiana,2011,0.54
22,Louisiana,2014,0.41
22,Louisiana,2017,0.12
22,Louisiana,2018,0.11
22,Louisiana,2019,0.1
23,Maine,2011,0.93
23,Maine,2014,0.14
23,Maine,2017,0.04
23,Maine,2018,0.04
23,Maine,2019,0.03
24,Maryland,2011,0.65
24,Maryland,2014,0.54
24,Maryland,2017,0.17
24,Maryland,2018,0.14
24,Maryland,2019,0.16
25,Massachusetts,2011,1.1
25,Massachusetts,2014,0.35
25,Massachusetts,2017,0.14
