StateFIPS,State,Year,Value
1,Alabama,2011,2.46
1,Alabama,2014,2.19
1,Alabama,2017,1.75
1,Alabama,2018,1.65
1,Alabama,2019,1.75
2,Alaska,2011,0.09
2,Alaska,2014,0.25
2,Alaska,2017,0.15
2,Alaska,2018,0.28
2,Alaska,2019,0.28
4,Arizona,2011,1.55
4,Arizona,2014,1.78
4,Arizona,2017,0.82
4,Arizona,2018,0.72
4,Arizona,2019,0.71
5,Arkansas,2011,2.33
5,Arkansas,2014,1.85
5,Arkansas,2017,1.69
5,Arkansas,2018,1.51
5,Arkansas,2019,1.48
6,California,2011,1.63
6,California,2014,1.61
6,California,2017,1.26
6,California,2018,1.2
6,California,2019,0.99
8,Colorado,2011,0.92
8,Colorado,2014,0.88
8,Colorado,2017,0.6
8,Colorado,2018,0.61
8,Colorado,2019,0.51
9,Connecticut,2011,1.57
9,Connecticut,2014,1.0
9,Connecticut,2017,0.99
9,Connecticut,2018,0.89
9,Connecticut,2019,0.89
10,Delaware,2011,1.57
10,Delaware,2014,1.13
10,Delaware,2017,1.06
10,Delaware,2018,0.91
10,Delaware,2019,1.0
11,District of Columbia,2011,2.44
11,District of Columbia,2014,1.69
11,District of Columbia,2017,1.59
11,District of Columbia,2018,1.45
11,District of Columbia,2019,1.57
12,Florida,2011,1.83
12,Florida,2014,1.65
12,Florida,2017,1.38
12,Florida,2018,1.27
12,Florida,2019,1.33
13,Georgia,2011,2.3
13,Georgia,2014,2.05
13,Georgia,2017,1.67
13,Georgia,2018,1.49
13,Georgia,2019,1.64
15,Hawaii,2011,0.12
15,Hawaii,2014,0.33
15,Hawaii,2017,0.5
15,Hawaii,2018,0.62
15,Hawaii,2019,0.62
16,Idaho,2011,0.91
16,Idaho,2014,0.97
16,Idaho,2017,0.76
16,Idaho,2018,0.64
16,Idaho,2019,0.58
17,Illinois,2011,1.29
17,Illinois,2014,1.1
17,Illinois,2017,1.01
17,Illinois,2018,0.92
17,Illinois,2019,0.87
18,Indiana,2011,1.31
18,Indiana,2014,1.06
18,Indiana,2017,0.99
18,Indiana,2018,0.91
18,Indiana,2019,0.89
19,Iowa,2011,1.1
19,Iowa,2014,0.87
19,Iowa,2017,0.82
19,Iowa,2018,0.75
19,Iowa,2019,0.68
20,Kansas,2011,1.67
20,Kansas,2014,1.22
20,Kansas,2017,0.95
20,Kansas,2018,0.84
20,Kansas,2019,0.84
21,Kentucky,2011,1.6
21,Kentucky,2014,1.44
21,Kentucky,2017,1.27
21,Kentucky,2018,1.15
21,Kentucky,2019,1.18
22,Louisiana,2011,2.15
22,Louisiana,2014,1.87
22,Louisiana,2017,1.6
22,Louisiana,2018,1.5
22,Louisiana,2019,1.51
23,Maine,2011,0.85
23,Maine,2014,0.81
23,Maine,2017,0.71
23,Maine,2018,0.65
23,Maine,2019,0.61
24,Maryland,2011,1.28
24,Maryland,2014,1.34
24,Maryland,2017,1.2
24,Maryland,2018,1.04
24,Maryland,2019,1.15
25,Massachusetts,2011,1.19
25,Massachusetts,2014,0.99
25,Massachusetts,2017,0.94
25,Massachusetts,2018,0.84
25,Massachusetts,2019,0.84
26,Michigan,2011,0.87
26,Michigan,2014,0.85
26,Michigan,2017,0.71
26,Michigan,2018,0.67
26,Michigan,2019,0.62
27,Minnesota,2011,0.95
27,Minnesota,2014,0.76
27,Minnesota,2017,0.72
27,Minnesota,2018,0.72
27,Minnesota,2019,0.62
28,Mississippi,2011,2.33
28,Mississippi,2014,2.02
28,Mississippi,2017,1.66
28,Mississippi,2018,1.58
28,Mississippi,2019,1.61
29,Missouri,2011,1.71
29,Missouri,2014,1.42
29,Missouri,2017,1.26
29,Missouri,2018,1.13
29,Missouri,2019,1.05
30,Montana,2011,0.69
30,Montana,2014,0.72
30,Montana,2017,0.73
30,Montana,2018,0.55
30,Montana,2019,0.51
31,Nebraska,2011,1.13
31,Nebraska,2014,0.88
31,Nebraska,2017,0.71
31,Nebraska,2018,0.62
31,Nebraska,2019,0.63
32,Nevada,2011,0.99
32,Nevada,2014,1.39
32,Nevada,2017,0.59
32,Nevada,2018,0.55
32,Nevada,2019,0.5
33,New Hampshire,2011,0.9
33,New Hampshire,2014,0.92
33,New Hampshire,2017,0.82
33,New Hampshire,2018,0.76
33,New Hampshire,2019,0.72
34,New Jersey,2011,1.65
34,New Jersey,2014,1.22
34,New Jersey,2017,1.13
34,New Jersey,2018,1.0
34,New Jersey,2019,1.03
35,New Mexico,2011,1.41
35,New Mexico,2014,1.06
35,New Mexico,2017,0.65
35,New Mexico,2018,0.59
35,New Mexico,2019,0.59
36,New York,2011,1.24
36,New York,2014,0.98
36,New York,2017,0.78
36,New York,2018,0.71
36,New York,2019,0.69
37,North Carolina,2011,1.76
37,North Carolina,2014,1.6
37,North Carolina,2017,1.31
37,North Carolina,2018,1.18
37,North Carolina,2019,1.28
38,North Dakota,2011,0.77
38,North Dakota,2014,0.61
38,North Dakota,2017,0.71
38,North Dakota,2018,0.64
38,North Dakota,2019,0.58
39,Ohio,2011,1.24
39,Ohio,2014,1.04
39,Ohio,2017,1.01
39,Ohio,2018,0.91
39,Ohio,2019,0.91
40,Oklahoma,2011,2.07
40,Oklahoma,2014,1.65
40,Oklahoma,2017,1.27
40,Oklahoma,2018,1.14
40,Oklahoma,2019,1.09
41,Oregon,2011,0.96
41,Oregon,2014,1.22
41,Oregon,2017,0.96
41,Oregon,2018,0.81
41,Oregon,2019,0.7
42,Pennsylvania,2011,1.28
42,Pennsylvania,2014,1.09
42,Pennsylvania,2017,1.0
