StateFIPS,State,Year,Value
1,Alabama,2011,4.2
1,Alabama,2012,4.2
1,Alabama,2013,4.2
1,Alabama,2014,4.2
1,Alabama,2015,4.3
1,Alabama,2016,4.1
1,Alabama,2017,4.3
1,Alabama,2018,4.5
2,Alaska,2011,2.7
2,Alaska,2012,2.7
2,Alaska,2013,2.3
2,Alaska,2014,2.4
2,Alaska,2015,2.2
2,Alaska,2016,2.2
2,Alaska,2017,2.3
2,Alaska,2018,2.6
4,Arizona,2011,2.8
4,Arizona,2012,2.7
4,Arizona,2013,2.6
4,Arizona,2014,2.6
4,Arizona,2015,2.5
4,Arizona,2016,3.0
4,Arizona,2017,2.5
4,Arizona,2018,3.1
5,Arkansas,2011,3.7
5,Arkansas,2012,3.7
5,Arkansas,2013,4.0
5,Arkansas,2014,4.5
5,Arkansas,2015,3.3
5,Arkansas,2016,4.3
5,Arkansas,2017,4.5
5,Arkansas,2018,4.1
6,California,2011,2.2
6,California,2012,2.3
6,California,2013,2.1
6,California,2014,2.6
6,California,2015,2.2
6,California,2016,2.3
6,California,2017,2.1
6,California,2018,2.4
8,Colorado,2011,1.9
8,Colorado,2012,1.8
8,Colorado,2013,1.7
8,Colorado,2014,1.7
8,Colorado,2015,2.2
8,Colorado,2016,2.2
8,Colorado,2017,2.0
8,Colorado,2018,1.8
9,Connecticut,2011,2.0
9,Connecticut,2012,1.9
9,Connecticut,2013,2.0
9,Connecticut,2014,2.3
9,Connecticut,2015,2.2
9,Connecticut,2016,2.3
9,Connecticut,2017,2.1
9,Connecticut,2018,2.2
10,Delaware,2011,3.0
10,Delaware,2012,3.0
10,Delaware,2013,3.0
10,Delaware,2014,2.8
10,Delaware,2015,3.0
10,Delaware,2016,2.7
10,Delaware,2017,3.0
10,Delaware,2018,3.3
11,District of Columbia,2011,3.8
11,District of Columbia,2012,3.5
11,District of Columbia,2013,3.4
11,District of Columbia,2014,3.4
11,District of Columbia,2015,3.7
11,District of Columbia,2016,3.1
11,District of Columbia,2017,3.4
11,District of Columbia,2018,3.9
12,Florida,2011,3.3
12,Florida,2012,2.7
12,Florida,2013,3.1
12,Florida,2014,2.9
12,Florida,2015,2.6
12,Florida,2016,2.9
12,Florida,2017,3.1
12,Florida,2018,3.2
13,Georgia,2011,3.4
13,Georgia,2012,3.1
13,Georgia,2013,2.7
13,Georgia,2014,3.1
13,Georgia,2015,3.7
13,Georgia,2016,3.5
13,Georgia,2017,3.3
13,Georgia,2018,3.4
15,Hawaii,2011,2.2
15,Hawaii,2012,2.6
15,Hawaii,2013,2.3
15,Hawaii,2014,2.7
15,Hawaii,2015,2.3
15,Hawaii,2016,2.6
15,Hawaii,2017,2.5
15,Hawaii,2018,2.6
16,Idaho,2011,2.2
16,Idaho,2012,2.4
16,Idaho,2013,2.1
16,Idaho,2014,2.6
16,Idaho,2015,2.2
16,Idaho,2016,2.2
16,Idaho,2017,2.3
16,Idaho,2018,2.7
17,Illinois,2011,3.0
17,Illinois,2012,2.5
17,Illinois,2013,2.7
17,Illinois,2014,2.7
17,Illinois,2015,2.8
17,Illinois,2016,2.8
17,Illinois,2017,2.4
17,Illinois,2018,3.1
18,Indiana,2011,3.2
18,Indiana,2012,3.1
18,Indiana,2013,2.7
18,Indiana,2014,2.9
18,Indiana,2015,3.2
18,Indiana,2016,3.6
18,Indiana,2017,3.2
18,Indiana,2018,3.8
19,Iowa,2011,2.1
19,Iowa,2012,2.6
19,Iowa,2013,2.5
19,Iowa,2014,2.4
