StateFIPS,State,Year,Value
1,Alabama,2021,38.7
2,Alaska,2021,29.5
4,Arizona,2021,27.7
5,Arkansas,2021,37.1
6,California,2021,26.2
8,Colorado,2021,24.6
9,Connecticut,2021,27.9
10,Delaware,2021,31.6
11,District of Columbia,2021,29.6
12,Florida,2021,
13,Georgia,2021,34.3
15,Hawaii,2021,26.3
16,Idaho,2021,27.9
17,Illinois,2021,27.2
18,Indiana,2021,31.5
19,Iowa,2021,28.3
20,Kansas,2021,31.5
21,Kentucky,2021,36.7
22,Louisiana,2021,37.3
23,Maine,2021,28.4
24,Maryland,2021,31.4
25,Massachusetts,2021,26.5
26,Michigan,2021,31.6
27,Minnesota,2021,26.6
28,Mississippi,2021,40.2
29,Missouri,2021,31.7
30,Montana,2021,26.8
31,Nebraska,2021,29.1
32,Nevada,2021,29.9
33,New Hampshire,2021,25.9
34,New Jersey,2021,27.4
35,New Mexico,2021,29.8
36,New York,2021,27.3
37,North Carolina,2021,31.1
38,North Dakota,2021,29.3
39,Ohio,2021,31.8
40,Oklahoma,2021,36.3
41,Oregon,2021,27.6
42,Pennsylvania,2021,29.4
44,Rhode Island,2021,29.5
45,South Carolina,2021,33.7
46,South Dakota,2021,30.3
47,Tennessee,2021,34.3
48,Texas,2021,31.2
49,Utah,2021,27.1
50,Vermont,2021,25.7
51,Virginia,2021,31.4
53,Washington,2021,27.4
54,West Virginia,2021,37.9
55,Wisconsin,2021,27.8
56,Wyoming,2021,26.9
66,Guam,2021,28.8
72,Puerto Rico,2021,37.6
78,Virgin Islands of the US,2021,29.4
