StateFIPS,State,Year,Value
1,Alabama,2021,34.0
2,Alaska,2021,28.4
4,Arizona,2021,31.0
5,Arkansas,2021,31.9
6,California,2021,31.0
8,Colorado,2021,28.6
9,Connecticut,2021,30.9
10,Delaware,2021,32.4
11,District of Columbia,2021,30.5
12,Florida,2021,
13,Georgia,2021,33.2
15,Hawaii,2021,29.9
16,Idaho,2021,28.6
17,Illinois,2021,28.1
18,Indiana,2021,30.6
19,Iowa,2021,29.3
20,Kansas,2021,33.6
21,Kentucky,2021,32.7
22,Louisiana,2021,33.5
23,Maine,2021,28.0
24,Maryland,2021,33.5
25,Massachusetts,2021,31.2
26,Michigan,2021,31.8
27,Minnesota,2021,26.7
28,Mississippi,2021,33.0
29,Missouri,2021,30.9
30,Montana,2021,25.1
31,Nebraska,2021,29.8
32,Nevada,2021,32.8
33,New Hampshire,2021,27.7
34,New Jersey,2021,33.5
35,New Mexico,2021,30.7
36,New York,2021,32.2
37,North Carolina,2021,31.6
38,North Dakota,2021,29.2
39,Ohio,2021,30.4
40,Oklahoma,2021,32.3
41,Oregon,2021,27.6
42,Pennsylvania,2021,28.9
44,Rhode Island,2021,29.5
45,South Carolina,2021,32.1
46,South Dakota,2021,30.9
47,Tennessee,2021,33.6
48,Texas,2021,33.0
49,Utah,2021,29.7
50,Vermont,2021,26.6
51,Virginia,2021,34.1
53,Washington,2021,29.4
54,West Virginia,2021,34.1
55,Wisconsin,2021,30.7
56,Wyoming,2021,27.3
66,Guam,2021,32.8
72,Puerto Rico,2021,36.9
78,Virgin Islands of the US,2021,32.0
