StateFIPS,State,Year,Value
4,Arizona,2011,27.2
4,Arizona,2012,26.9
4,Arizona,2013,25.3
4,Arizona,2014,25.3
4,Arizona,2015,26.8
4,Arizona,2016,26.9
4,Arizona,2017,27.1
4,Arizona,2018,25.9
4,Arizona,2019,25.8
4,Arizona,2020,22.4
4,Arizona,2021,22.6
6,California,2011,25.9
6,California,2012,25.4
6,California,2013,24.8
6,California,2014,23.7
6,California,2015,25.0
6,California,2016,25.5
6,California,2017,26.0
6,California,2018,25.5
6,California,2019,25.2
6,California,2020,21.2
6,California,2021,20.9
8,Colorado,2011,21.2
8,Colorado,2012,21.0
8,Colorado,2013,20.0
8,Colorado,2014,20.1
8,Colorado,2015,20.8
8,Colorado,2016,23.6
8,Colorado,2017,21.0
8,Colorado,2018,21.1
8,Colorado,2019,20.5
8,Colorado,2020,18.3
8,Colorado,2021,18.2
9,Connecticut,2011,26.3
9,Connecticut,2012,28.8
9,Connecticut,2013,26.8
9,Connecticut,2014,25.9
9,Connecticut,2015,26.5
9,Connecticut,2016,25.2
9,Connecticut,2017,23.4
9,Connecticut,2018,22.5
9,Connecticut,2019,22.4
9,Connecticut,2020,19.4
9,Connecticut,2021,19.4
12,Florida,2011,29.4
12,Florida,2012,29.9
12,Florida,2013,28.9
12,Florida,2014,29.2
12,Florida,2015,29.9
12,Florida,2016,30.8
12,Florida,2017,31.2
12,Florida,2018,30.2
12,Florida,2019,29.9
12,Florida,2020,26.8
12,Florida,2021,27.4
18,Indiana,2018,32.1
18,Indiana,2019,32.0
18,Indiana,2020,27.2
19,Iowa,2011,28.9
19,Iowa,2012,29.1
19,Iowa,2013,28.0
19,Iowa,2014,27.9
19,Iowa,2015,27.5
19,Iowa,2016,28.2
19,Iowa,2017,27.8
19,Iowa,2018,26.1
19,Iowa,2019,27.4
19,Iowa,2020,23.5
19,Iowa,2021,24.5
20,Kansas,2011,26.6
20,Kansas,2012,25.8
20,Kansas,2013,25.4
20,Kansas,2014,25.0
20,Kansas,2015,25.7
20,Kansas,2016,26.6
20,Kansas,2017,26.5
20,Kansas,2018,24.8
20,Kansas,2019,27.4
20,Kansas,2020,24.6
20,Kansas,2021,23.5
21,Kentucky,2011,41.5
21,Kentucky,2012,42.2
21,Kentucky,2013,41.7
21,Kentucky,2014,40.5
21,Kentucky,2015,40.6
21,Kentucky,2016,42.0
21,Kentucky,2017,41.1
21,Kentucky,2018,39.2
21,Kentucky,2019,38.0
21,Kentucky,2020,32.9
21,Kentucky,2021,34.0
22,Louisiana,2011,32.6
22,Louisiana,2012,32.0
22,Louisiana,2013,30.4
22,Louisiana,2014,31.6
22,Louisiana,2015,33.0
22,Louisiana,2016,35.6
22,Louisiana,2017,30.6
22,Louisiana,2018,33.2
22,Louisiana,2019,31.9
22,Louisiana,2020,29.6
22,Louisiana,2021,29.3
23,Maine,2011,39.4
23,Maine,2012,39.7
23,Maine,2013,39.9
23,Maine,2014,38.4
23,Maine,2015,40.0
23,Maine,2016,40.2
23,Maine,2017,38.5
23,Maine,2018,38.6
23,Maine,2019,37.5
23,Maine,2020,30.4
